<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МРСК СЗ;60;20170124;100000;0.0542;0.0543;0.0539;0.0543;1020;0
МРСК СЗ;60;20170124;120000;0.0536;0.0536;0.053;0.053;151;0
МРСК СЗ;60;20170124;140000;0.0532;0.0532;0.0532;0.0532;50;0
МРСК СЗ;60;20170124;150000;0.0536;0.0539;0.0536;0.0539;100;0
МРСК СЗ;60;20170124;160000;0.0539;0.0542;0.0532;0.0532;31;0
МРСК СЗ;60;20170124;170000;0.0541;0.0541;0.0541;0.0541;61;0
МРСК СЗ;60;20170124;180000;0.054;0.054;0.054;0.054;330;0
МРСК СЗ;60;20170125;100000;0.0538;0.0542;0.0538;0.0542;4;0
МРСК СЗ;60;20170125;110000;0.0542;0.0542;0.0542;0.0542;3;0
МРСК СЗ;60;20170125;130000;0.054;0.054;0.054;0.054;1;0
МРСК СЗ;60;20170125;140000;0.0541;0.0547;0.0541;0.0546;231;0
МРСК СЗ;60;20170125;160000;0.0546;0.0546;0.0545;0.0545;72;0
МРСК СЗ;60;20170125;170000;0.0542;0.0542;0.0542;0.0542;1;0
МРСК СЗ;60;20170125;180000;0.0545;0.0545;0.0545;0.0545;1;0
МРСК СЗ;60;20170126;100000;0.0545;0.0545;0.0543;0.0543;6;0
МРСК СЗ;60;20170126;120000;0.0543;0.0543;0.0542;0.0542;52;0
МРСК СЗ;60;20170126;140000;0.0542;0.0542;0.0542;0.0542;1;0
МРСК СЗ;60;20170126;160000;0.0541;0.0541;0.053;0.0533;221;0
МРСК СЗ;60;20170126;170000;0.0539;0.0539;0.0539;0.0539;8;0
МРСК СЗ;60;20170126;180000;0.0538;0.054;0.0538;0.0538;29;0
МРСК СЗ;60;20170127;100000;0.0531;0.0538;0.0531;0.0538;110;0
МРСК СЗ;60;20170127;110000;0.0533;0.0533;0.053;0.053;70;0
МРСК СЗ;60;20170127;120000;0.0533;0.0533;0.0533;0.0533;1;0
МРСК СЗ;60;20170127;130000;0.0538;0.0538;0.0537;0.0537;12;0
МРСК СЗ;60;20170127;140000;0.0537;0.0537;0.0537;0.0537;3;0
МРСК СЗ;60;20170127;160000;0.0538;0.0538;0.0538;0.0538;101;0
МРСК СЗ;60;20170127;170000;0.0538;0.0546;0.0538;0.0546;415;0
МРСК СЗ;60;20170127;180000;0.0541;0.0541;0.054;0.054;56;0
МРСК СЗ;60;20170130;100000;0.0542;0.0565;0.0542;0.0554;360;0
МРСК СЗ;60;20170130;110000;0.0553;0.0553;0.0551;0.0551;25;0
МРСК СЗ;60;20170130;120000;0.0551;0.0551;0.0546;0.055;366;0
МРСК СЗ;60;20170130;130000;0.0547;0.0553;0.0546;0.0553;13;0
МРСК СЗ;60;20170130;150000;0.0553;0.0558;0.0553;0.0558;513;0
МРСК СЗ;60;20170130;160000;0.0551;0.0551;0.0551;0.0551;1;0
МРСК СЗ;60;20170130;170000;0.0551;0.0551;0.0551;0.0551;2;0
МРСК СЗ;60;20170130;180000;0.055;0.055;0.054;0.0541;806;0
МРСК СЗ;60;20170131;100000;0.0542;0.0542;0.0541;0.0541;29;0
МРСК СЗ;60;20170131;110000;0.0546;0.0552;0.0546;0.0552;168;0
МРСК СЗ;60;20170131;120000;0.0547;0.0547;0.054;0.054;83;0
МРСК СЗ;60;20170131;140000;0.0545;0.0545;0.0545;0.0545;36;0
МРСК СЗ;60;20170131;150000;0.0545;0.0545;0.0545;0.0545;26;0
МРСК СЗ;60;20170131;170000;0.0545;0.0545;0.054;0.0545;188;0
МРСК СЗ;60;20170131;180000;0.0541;0.0545;0.0541;0.0545;6;0
МРСК СЗ;60;20170201;100000;0.0544;0.0557;0.0544;0.0555;863;0
МРСК СЗ;60;20170201;110000;0.0558;0.0573;0.0556;0.0556;589;0
