<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МРСК Ур;60;20170124;090000;0.17;0.17;0.17;0.17;9;0
МРСК Ур;60;20170124;100000;0.1695;0.1705;0.1695;0.1705;10;0
МРСК Ур;60;20170124;110000;0.1685;0.1695;0.1655;0.1675;221;0
МРСК Ур;60;20170124;120000;0.1675;0.1685;0.1675;0.1685;65;0
МРСК Ур;60;20170124;130000;0.168;0.168;0.1655;0.1655;715;0
МРСК Ур;60;20170124;140000;0.1675;0.168;0.166;0.1675;147;0
МРСК Ур;60;20170124;150000;0.1675;0.1675;0.1675;0.1675;45;0
МРСК Ур;60;20170124;160000;0.168;0.168;0.1675;0.1675;21;0
МРСК Ур;60;20170124;170000;0.168;0.1685;0.1665;0.1675;66;0
МРСК Ур;60;20170124;180000;0.1675;0.169;0.166;0.1685;126;0
МРСК Ур;60;20170125;100000;0.1675;0.1675;0.1655;0.167;138;0
МРСК Ур;60;20170125;110000;0.167;0.167;0.1665;0.1665;21;0
МРСК Ур;60;20170125;120000;0.166;0.166;0.1655;0.1655;64;0
МРСК Ур;60;20170125;130000;0.167;0.167;0.1645;0.1645;67;0
МРСК Ур;60;20170125;140000;0.166;0.1665;0.166;0.1665;2;0
МРСК Ур;60;20170125;150000;0.1655;0.1655;0.1645;0.1645;50;0
МРСК Ур;60;20170125;160000;0.1665;0.1665;0.1665;0.1665;20;0
МРСК Ур;60;20170125;180000;0.1655;0.167;0.1655;0.167;2;0
МРСК Ур;60;20170126;100000;0.1665;0.1675;0.1655;0.1655;55;0
МРСК Ур;60;20170126;110000;0.166;0.1665;0.1655;0.1665;43;0
МРСК Ур;60;20170126;120000;0.1675;0.168;0.1675;0.1675;87;0
МРСК Ур;60;20170126;130000;0.1675;0.1675;0.1675;0.1675;17;0
МРСК Ур;60;20170126;140000;0.1675;0.1675;0.1675;0.1675;13;0
МРСК Ур;60;20170126;150000;0.1675;0.1675;0.1675;0.1675;1;0
МРСК Ур;60;20170126;160000;0.167;0.167;0.167;0.167;1;0
МРСК Ур;60;20170126;170000;0.1665;0.1665;0.1655;0.1655;18;0
