<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МРСК ЦП;60;20170124;100000;0.1521;0.1538;0.1518;0.153;633;0
МРСК ЦП;60;20170124;110000;0.153;0.153;0.1526;0.153;374;0
МРСК ЦП;60;20170124;120000;0.153;0.153;0.1527;0.1527;23;0
МРСК ЦП;60;20170124;130000;0.1527;0.1527;0.1522;0.1526;24;0
МРСК ЦП;60;20170124;140000;0.1526;0.1527;0.1522;0.1522;122;0
МРСК ЦП;60;20170124;150000;0.1525;0.153;0.1522;0.1522;120;0
МРСК ЦП;60;20170124;160000;0.1528;0.1538;0.152;0.1529;186;0
МРСК ЦП;60;20170124;170000;0.1537;0.154;0.1531;0.1531;315;0
МРСК ЦП;60;20170124;180000;0.1529;0.154;0.1526;0.1538;810;0
МРСК ЦП;60;20170125;100000;0.1544;0.155;0.1517;0.153;380;0
МРСК ЦП;60;20170125;110000;0.1529;0.1539;0.1524;0.1536;107;0
МРСК ЦП;60;20170125;120000;0.1536;0.1539;0.153;0.1536;44;0
МРСК ЦП;60;20170125;130000;0.1535;0.1539;0.1532;0.1535;20;0
МРСК ЦП;60;20170125;140000;0.153;0.1535;0.1524;0.153;233;0
МРСК ЦП;60;20170125;150000;0.153;0.1534;0.1524;0.1534;209;0
МРСК ЦП;60;20170125;160000;0.1529;0.1529;0.1529;0.1529;10;0
МРСК ЦП;60;20170125;170000;0.1534;0.1535;0.1534;0.1535;24;0
МРСК ЦП;60;20170125;180000;0.1534;0.1534;0.1524;0.1534;82;0
МРСК ЦП;60;20170126;100000;0.1519;0.1536;0.1519;0.153;41;0
МРСК ЦП;60;20170126;110000;0.153;0.1535;0.1529;0.1529;29;0
МРСК ЦП;60;20170126;120000;0.1531;0.1534;0.1521;0.1521;94;0
МРСК ЦП;60;20170126;130000;0.1523;0.1533;0.1513;0.1513;240;0
МРСК ЦП;60;20170126;140000;0.1519;0.1529;0.1519;0.1522;23;0
МРСК ЦП;60;20170126;150000;0.1528;0.1529;0.1518;0.1518;53;0
МРСК ЦП;60;20170126;160000;0.1517;0.1539;0.151;0.151;737;0
МРСК ЦП;60;20170126;170000;0.1525;0.153;0.1521;0.1522;2339;0
МРСК ЦП;60;20170126;180000;0.1522;0.153;0.1522;0.153;148;0
МРСК ЦП;60;20170127;100000;0.153;0.1536;0.1527;0.1529;103;0
МРСК ЦП;60;20170127;110000;0.1529;0.1535;0.1529;0.1535;122;0
МРСК ЦП;60;20170127;120000;0.1535;0.154;0.1535;0.154;131;0
МРСК ЦП;60;20170127;130000;0.1539;0.1547;0.1539;0.1547;146;0
МРСК ЦП;60;20170127;140000;0.1547;0.1548;0.1539;0.1544;168;0
МРСК ЦП;60;20170127;150000;0.1544;0.1546;0.1535;0.1535;67;0
МРСК ЦП;60;20170127;160000;0.1535;0.1545;0.153;0.1532;279;0
МРСК ЦП;60;20170127;170000;0.1534;0.1538;0.1531;0.1536;41;0
МРСК ЦП;60;20170127;180000;0.1538;0.1545;0.1531;0.1543;194;0
МРСК ЦП;60;20170130;100000;0.154;0.1565;0.1538;0.1554;378;0
МРСК ЦП;60;20170130;110000;0.1554;0.1555;0.1554;0.1555;143;0
