<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МРСК Центр;60;20170124;090000;0.4375;0.4375;0.4375;0.4375;5;0
МРСК Центр;60;20170124;100000;0.434;0.449;0.432;0.4465;2528;0
МРСК Центр;60;20170124;110000;0.4465;0.4465;0.4445;0.4445;327;0
МРСК Центр;60;20170124;120000;0.444;0.4445;0.4425;0.4435;762;0
МРСК Центр;60;20170124;130000;0.4435;0.444;0.4405;0.441;2547;0
МРСК Центр;60;20170124;140000;0.443;0.4435;0.4395;0.443;1212;0
МРСК Центр;60;20170124;150000;0.4425;0.4425;0.4405;0.4425;212;0
МРСК Центр;60;20170124;160000;0.4425;0.445;0.4425;0.4435;1024;0
МРСК Центр;60;20170124;170000;0.4435;0.445;0.4435;0.444;366;0
МРСК Центр;60;20170124;180000;0.4445;0.448;0.4445;0.4475;996;0
МРСК Центр;60;20170125;100000;0.448;0.4525;0.4475;0.448;752;0
МРСК Центр;60;20170125;110000;0.448;0.45;0.447;0.449;2128;0
МРСК Центр;60;20170125;120000;0.449;0.449;0.448;0.449;141;0
МРСК Центр;60;20170125;130000;0.449;0.4495;0.4475;0.4475;171;0
МРСК Центр;60;20170125;140000;0.4475;0.4495;0.445;0.4495;1828;0
МРСК Центр;60;20170125;150000;0.4495;0.4495;0.4455;0.4485;438;0
МРСК Центр;60;20170125;160000;0.4485;0.4495;0.4475;0.4475;474;0
МРСК Центр;60;20170125;170000;0.4475;0.449;0.447;0.449;36;0
МРСК Центр;60;20170125;180000;0.449;0.45;0.447;0.45;159;0
МРСК Центр;60;20170126;100000;0.4505;0.453;0.4465;0.4465;1217;0
МРСК Центр;60;20170126;110000;0.4465;0.4465;0.4395;0.441;943;0
МРСК Центр;60;20170126;120000;0.441;0.442;0.4375;0.44;2117;0
МРСК Центр;60;20170126;130000;0.4395;0.442;0.4375;0.442;1448;0
МРСК Центр;60;20170126;140000;0.442;0.444;0.442;0.443;696;0
МРСК Центр;60;20170126;150000;0.443;0.444;0.442;0.444;953;0
МРСК Центр;60;20170126;160000;0.444;0.4455;0.444;0.4445;1045;0
МРСК Центр;60;20170126;170000;0.445;0.445;0.441;0.441;1323;0
МРСК Центр;60;20170126;180000;0.4415;0.4485;0.441;0.4465;1201;0
МРСК Центр;60;20170127;090000;0.441;0.441;0.441;0.441;1;0
МРСК Центр;60;20170127;100000;0.446;0.446;0.443;0.4455;81;0
МРСК Центр;60;20170127;110000;0.4445;0.446;0.4435;0.445;65;0
МРСК Центр;60;20170127;120000;0.4455;0.4495;0.4455;0.4485;593;0
МРСК Центр;60;20170127;130000;0.4485;0.449;0.447;0.447;258;0
МРСК Центр;60;20170127;140000;0.447;0.4475;0.4455;0.446;942;0
МРСК Центр;60;20170127;150000;0.446;0.447;0.4455;0.4455;163;0
МРСК Центр;60;20170127;160000;0.4455;0.4475;0.4455;0.4475;1299;0
