<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МРСКВол;60;20170124;100000;0.063;0.06305;0.062;0.062;340;0
МРСКВол;60;20170124;110000;0.0618;0.0619;0.06125;0.06175;1476;0
МРСКВол;60;20170124;120000;0.06165;0.0618;0.06155;0.0616;204;0
МРСКВол;60;20170124;130000;0.06165;0.06165;0.0616;0.0616;54;0
МРСКВол;60;20170124;140000;0.0618;0.06195;0.0616;0.06185;225;0
МРСКВол;60;20170124;150000;0.06185;0.06185;0.06165;0.06165;23;0
МРСКВол;60;20170124;160000;0.0616;0.06175;0.0615;0.06175;87;0
МРСКВол;60;20170124;170000;0.0616;0.06205;0.0616;0.06195;157;0
МРСКВол;60;20170124;180000;0.0617;0.0617;0.06165;0.06165;16;0
МРСКВол;60;20170125;090000;0.0618;0.0618;0.0618;0.0618;2;0
МРСКВол;60;20170125;100000;0.06155;0.0618;0.06125;0.06125;292;0
МРСКВол;60;20170125;110000;0.06145;0.0615;0.06145;0.06145;11;0
МРСКВол;60;20170125;120000;0.0614;0.06145;0.06135;0.06145;8;0
МРСКВол;60;20170125;140000;0.0614;0.0614;0.06135;0.06135;34;0
МРСКВол;60;20170125;150000;0.0613;0.0613;0.06115;0.06115;57;0
МРСКВол;60;20170125;160000;0.06125;0.0613;0.06125;0.0613;229;0
МРСКВол;60;20170125;170000;0.06135;0.06135;0.0613;0.0613;13;0
МРСКВол;60;20170125;180000;0.0613;0.06135;0.0613;0.0613;14;0
МРСКВол;60;20170126;090000;0.0614;0.0614;0.0614;0.0614;4;0
МРСКВол;60;20170126;100000;0.0612;0.0616;0.0612;0.0614;404;0
МРСКВол;60;20170126;110000;0.06135;0.06135;0.0612;0.0613;40;0
МРСКВол;60;20170126;120000;0.0613;0.0613;0.06125;0.06125;150;0
МРСКВол;60;20170126;130000;0.06125;0.06135;0.06125;0.0613;192;0
МРСКВол;60;20170126;140000;0.0613;0.0613;0.06115;0.06115;1031;0
МРСКВол;60;20170126;150000;0.0613;0.0613;0.0613;0.0613;7;0
МРСКВол;60;20170126;160000;0.0613;0.06135;0.0613;0.0613;978;0
МРСКВол;60;20170126;170000;0.0613;0.06135;0.06115;0.0612;10799;0
МРСКВол;60;20170126;180000;0.06135;0.0614;0.06135;0.0614;40;0
МРСКВол;60;20170127;100000;0.06135;0.06145;0.06125;0.06125;81;0
МРСКВол;60;20170127;110000;0.06125;0.06125;0.0612;0.0612;65;0
МРСКВол;60;20170127;120000;0.0612;0.06145;0.06115;0.06145;168;0
МРСКВол;60;20170127;130000;0.0614;0.0614;0.0614;0.0614;31;0
МРСКВол;60;20170127;140000;0.06145;0.0615;0.0614;0.0614;153;0
МРСКВол;60;20170127;150000;0.06145;0.06145;0.06145;0.06145;25;0
МРСКВол;60;20170127;160000;0.06145;0.0615;0.0614;0.0614;326;0
МРСКВол;60;20170127;170000;0.0614;0.0614;0.06125;0.06125;136;0
МРСКВол;60;20170127;180000;0.0613;0.0616;0.06125;0.0613;65;0
МРСКВол;60;20170130;100000;0.0613;0.06145;0.0613;0.0614;112;0
МРСКВол;60;20170130;110000;0.0613;0.0615;0.0613;0.06145;32;0
МРСКВол;60;20170130;120000;0.0615;0.0615;0.0615;0.0615;192;0
МРСКВол;60;20170130;130000;0.0614;0.0615;0.06135;0.0615;17;0
МРСКВол;60;20170130;140000;0.0615;0.0615;0.06135;0.06135;43;0
МРСКВол;60;20170130;150000;0.0614;0.06155;0.0614;0.06155;292;0
МРСКВол;60;20170130;160000;0.06155;0.06165;0.0615;0.0616;594;0
МРСКВол;60;20170130;170000;0.06165;0.06205;0.0616;0.06205;207;0
МРСКВол;60;20170130;180000;0.06205;0.06215;0.062;0.06215;74;0
МРСКВол;60;20170131;100000;0.06265;0.06325;0.0625;0.0632;131;0
МРСКВол;60;20170131;110000;0.06325;0.0643;0.06305;0.0638;185;0
МРСКВол;60;20170131;120000;0.0638;0.0638;0.0638;0.0638;3;0
МРСКВол;60;20170131;130000;0.06385;0.0642;0.06365;0.06385;207;0
МРСКВол;60;20170131;140000;0.06415;0.0642;0.06365;0.06365;265;0
МРСКВол;60;20170131;150000;0.0636;0.06385;0.0635;0.0635;42;0
МРСКВол;60;20170131;160000;0.06355;0.06355;0.06355;0.06355;10;0
МРСКВол;60;20170131;170000;0.06375;0.06425;0.06345;0.06345;126;0
МРСКВол;60;20170131;180000;0.06355;0.0646;0.0635;0.0645;204;0
МРСКВол;60;20170201;090000;0.0643;0.0643;0.0643;0.0643;5;0
МРСКВол;60;20170201;100000;0.06465;0.06475;0.06435;0.0646;158;0
МРСКВол;60;20170201;110000;0.0646;0.06475;0.0646;0.06475;44;0
МРСКВол;60;20170201;120000;0.06475;0.06595;0.0646;0.06595;155;0
МРСКВол;60;20170201;130000;0.06555;0.06555;0.06525;0.06525;11;0
МРСКВол;60;20170201;140000;0.065;0.06525;0.065;0.06525;13;0
МРСКВол;60;20170201;150000;0.0649;0.06525;0.0649;0.06525;14;0
МРСКВол;60;20170201;160000;0.06525;0.06525;0.0652;0.06525;13;0
МРСКВол;60;20170201;170000;0.065;0.06515;0.0649;0.06515;52;0
МРСКВол;60;20170201;180000;0.0651;0.06515;0.06485;0.0649;55;0
МРСКВол;60;20170202;090000;0.0657;0.0657;0.0657;0.0657;8;0
МРСКВол;60;20170202;100000;0.0649;0.0658;0.0648;0.065;205;0
МРСКВол;60;20170202;110000;0.0651;0.06575;0.0651;0.06575;144;0
МРСКВол;60;20170202;120000;0.06515;0.0656;0.06465;0.0652;497;0
МРСКВол;60;20170202;130000;0.0647;0.06485;0.06425;0.06465;276;0
МРСКВол;60;20170202;140000;0.0646;0.0646;0.06425;0.06425;23;0
МРСКВол;60;20170202;150000;0.0649;0.0649;0.06425;0.06425;30;0
МРСКВол;60;20170202;170000;0.06425;0.0643;0.06375;0.0641;562;0
МРСКВол;60;20170202;180000;0.0639;0.0639;0.0637;0.06385;175;0
МРСКВол;60;20170203;100000;0.06385;0.06395;0.06385;0.0639;92;0
МРСКВол;60;20170203;110000;0.0639;0.06395;0.0639;0.06395;62;0
МРСКВол;60;20170203;120000;0.06365;0.06405;0.06205;0.06405;245;0
МРСКВол;60;20170203;130000;0.0635;0.0635;0.06295;0.06295;12;0
МРСКВол;60;20170203;140000;0.06335;0.06345;0.06335;0.06345;3;0
МРСКВол;60;20170203;150000;0.06335;0.06335;0.06245;0.06255;293;0
МРСКВол;60;20170203;160000;0.06315;0.0635;0.0624;0.063;554;0
МРСКВол;60;20170203;170000;0.0632;0.0632;0.0626;0.06315;29;0
МРСКВол;60;20170203;180000;0.0632;0.0635;0.0627;0.0635;150;0
МРСКВол;60;20170206;100000;0.06335;0.06335;0.06265;0.0627;277;0
МРСКВол;60;20170206;110000;0.06305;0.06305;0.0624;0.0625;32;0
МРСКВол;60;20170206;120000;0.06245;0.06245;0.0612;0.0617;881;0
МРСКВол;60;20170206;130000;0.0617;0.062;0.0617;0.062;5;0
МРСКВол;60;20170206;140000;0.06205;0.06205;0.0616;0.0616;149;0
МРСКВол;60;20170206;150000;0.0616;0.06195;0.0616;0.06195;32;0
МРСКВол;60;20170206;160000;0.06185;0.062;0.0616;0.06195;134;0
МРСКВол;60;20170206;170000;0.06185;0.0627;0.06185;0.06235;39;0
МРСКВол;60;20170206;180000;0.0624;0.0624;0.06155;0.06225;585;0
МРСКВол;60;20170207;100000;0.06165;0.06235;0.06125;0.0623;391;0
МРСКВол;60;20170207;110000;0.06245;0.06245;0.0624;0.0624;70;0
МРСКВол;60;20170207;120000;0.0624;0.0626;0.06165;0.0625;424;0
МРСКВол;60;20170207;130000;0.0625;0.06255;0.0596;0.0604;2411;0
МРСКВол;60;20170207;140000;0.0604;0.06285;0.06035;0.0616;737;0
МРСКВол;60;20170207;150000;0.0621;0.06285;0.0621;0.06225;100;0
МРСКВол;60;20170207;160000;0.06265;0.0627;0.06265;0.0627;31;0
МРСКВол;60;20170207;170000;0.0623;0.0626;0.0622;0.0626;14;0
МРСКВол;60;20170207;180000;0.0626;0.0626;0.06215;0.06215;253;0
МРСКВол;60;20170208;100000;0.0623;0.06285;0.0621;0.0621;284;0
МРСКВол;60;20170208;110000;0.0621;0.0621;0.062;0.062;174;0
МРСКВол;60;20170208;120000;0.0619;0.06195;0.06145;0.0615;390;0
МРСКВол;60;20170208;130000;0.06155;0.06185;0.06115;0.06115;137;0
МРСКВол;60;20170208;140000;0.06135;0.0616;0.06095;0.06145;369;0
МРСКВол;60;20170208;150000;0.0615;0.0615;0.06145;0.06145;3;0
МРСКВол;60;20170208;160000;0.0614;0.0614;0.06085;0.061;108;0
МРСКВол;60;20170208;170000;0.0609;0.061;0.0607;0.06075;243;0
МРСКВол;60;20170208;180000;0.0615;0.0615;0.06095;0.06095;12;0
МРСКВол;60;20170209;100000;0.06115;0.0613;0.06115;0.0613;149;0
МРСКВол;60;20170209;110000;0.06095;0.061;0.06095;0.06095;266;0
МРСКВол;60;20170209;120000;0.06095;0.06115;0.0608;0.0609;161;0
МРСКВол;60;20170209;130000;0.0609;0.0609;0.0609;0.0609;2;0
МРСКВол;60;20170209;140000;0.0609;0.061;0.06085;0.061;119;0
МРСКВол;60;20170209;150000;0.061;0.061;0.0608;0.0608;106;0
МРСКВол;60;20170209;160000;0.0609;0.0609;0.05995;0.06;542;0
МРСКВол;60;20170209;170000;0.06;0.06015;0.06;0.06015;181;0
МРСКВол;60;20170209;180000;0.06015;0.06015;0.0601;0.0601;32;0
МРСКВол;60;20170210;100000;0.0603;0.0603;0.0595;0.06;861;0
МРСКВол;60;20170210;110000;0.06;0.06;0.06;0.06;23;0
МРСКВол;60;20170210;120000;0.0601;0.0603;0.06;0.0603;401;0
МРСКВол;60;20170210;130000;0.0603;0.06185;0.0603;0.0617;739;0
МРСКВол;60;20170210;140000;0.06195;0.06295;0.06195;0.06225;689;0
МРСКВол;60;20170210;150000;0.0622;0.0634;0.06185;0.0629;538;0
МРСКВол;60;20170210;160000;0.0629;0.0629;0.0618;0.0618;330;0
МРСКВол;60;20170210;170000;0.06185;0.0628;0.06185;0.0628;91;0
МРСКВол;60;20170210;180000;0.06215;0.0627;0.06195;0.0627;5;0
МРСКВол;60;20170213;100000;0.0628;0.0628;0.0628;0.0628;30;0
МРСКВол;60;20170213;110000;0.06245;0.06245;0.06205;0.06205;115;0
МРСКВол;60;20170213;120000;0.0621;0.06255;0.0621;0.06255;6;0
МРСКВол;60;20170213;130000;0.0624;0.06265;0.0624;0.06265;18;0
МРСКВол;60;20170213;140000;0.06275;0.06275;0.06275;0.06275;1;0
МРСКВол;60;20170213;150000;0.06235;0.0626;0.062;0.062;33;0
МРСКВол;60;20170213;160000;0.0618;0.0618;0.06175;0.06175;17;0
МРСКВол;60;20170213;170000;0.062;0.0621;0.062;0.0621;22;0
МРСКВол;60;20170213;180000;0.0619;0.062;0.06;0.0609;559;0
МРСКВол;60;20170214;100000;0.0607;0.06105;0.0601;0.06065;37;0
МРСКВол;60;20170214;110000;0.06095;0.06105;0.06095;0.06105;13;0
МРСКВол;60;20170214;120000;0.0607;0.0607;0.0602;0.06025;81;0
МРСКВол;60;20170214;130000;0.06025;0.061;0.06025;0.061;298;0
МРСКВол;60;20170214;140000;0.061;0.0611;0.0602;0.0602;57;0
МРСКВол;60;20170214;160000;0.0603;0.0603;0.0602;0.0602;20;0
МРСКВол;60;20170214;170000;0.06045;0.0607;0.0603;0.0603;154;0
МРСКВол;60;20170214;180000;0.0603;0.0604;0.06015;0.0604;55;0
