<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МРСКСиб;60;20170124;100000;0.0929;0.095;0.092;0.095;14;0
МРСКСиб;60;20170124;110000;0.0939;0.0939;0.0939;0.0939;5;0
МРСКСиб;60;20170124;120000;0.0891;0.0935;0.089;0.0911;9;0
МРСКСиб;60;20170124;130000;0.0911;0.0911;0.091;0.091;5;0
МРСКСиб;60;20170124;140000;0.091;0.091;0.0889;0.0889;218;0
МРСКСиб;60;20170124;150000;0.089;0.089;0.0889;0.0889;3;0
МРСКСиб;60;20170124;160000;0.089;0.089;0.089;0.089;4;0
МРСКСиб;60;20170124;170000;0.088;0.0881;0.0844;0.088;35;0
МРСКСиб;60;20170125;100000;0.086;0.0916;0.0842;0.0884;84;0
МРСКСиб;60;20170125;110000;0.0884;0.0884;0.0847;0.0879;6;0
МРСКСиб;60;20170125;120000;0.0862;0.0862;0.0862;0.0862;8;0
МРСКСиб;60;20170125;130000;0.0859;0.0878;0.0859;0.0878;11;0
МРСКСиб;60;20170125;150000;0.0851;0.0851;0.0851;0.0851;1;0
МРСКСиб;60;20170125;160000;0.0856;0.0856;0.085;0.085;52;0
МРСКСиб;60;20170125;170000;0.0869;0.0869;0.0869;0.0869;1;0
МРСКСиб;60;20170125;180000;0.0876;0.0876;0.0876;0.0876;1;0
МРСКСиб;60;20170126;100000;0.0861;0.0861;0.0861;0.0861;1;0
МРСКСиб;60;20170126;110000;0.0863;0.0863;0.0862;0.0862;77;0
МРСКСиб;60;20170126;130000;0.0862;0.0862;0.0862;0.0862;10;0
МРСКСиб;60;20170126;150000;0.0863;0.0863;0.0863;0.0863;14;0
МРСКСиб;60;20170126;160000;0.0865;0.0865;0.0865;0.0865;1;0
МРСКСиб;60;20170126;170000;0.0875;0.0878;0.0875;0.0878;5;0
МРСКСиб;60;20170126;180000;0.0878;0.0885;0.0834;0.0885;111;0
МРСКСиб;60;20170127;100000;0.0831;0.0857;0.0831;0.0854;12;0
МРСКСиб;60;20170127;110000;0.0854;0.0886;0.0854;0.0859;15;0
МРСКСиб;60;20170127;120000;0.086;0.086;0.086;0.086;2;0
МРСКСиб;60;20170127;130000;0.088;0.088;0.088;0.088;19;0
МРСКСиб;60;20170127;140000;0.088;0.088;0.088;0.088;1;0
МРСКСиб;60;20170127;180000;0.0859;0.0859;0.0859;0.0859;30;0
МРСКСиб;60;20170130;110000;0.0859;0.0859;0.0859;0.0859;81;0
МРСКСиб;60;20170130;120000;0.086;0.086;0.0859;0.0859;31;0
МРСКСиб;60;20170130;130000;0.0841;0.0885;0.0841;0.0885;10;0
МРСКСиб;60;20170130;170000;0.0873;0.0873;0.0825;0.0867;55;0
МРСКСиб;60;20170130;180000;0.0845;0.0845;0.0844;0.0844;2;0
МРСКСиб;60;20170131;100000;0.0859;0.0867;0.0859;0.0867;8;0
МРСКСиб;60;20170131;110000;0.0858;0.0858;0.0858;0.0858;1;0
МРСКСиб;60;20170131;120000;0.0855;0.0855;0.0855;0.0855;1;0
МРСКСиб;60;20170201;100000;0.0839;0.0842;0.0839;0.0842;3;0
МРСКСиб;60;20170201;130000;0.0844;0.0844;0.075;0.079;2209;0
МРСКСиб;60;20170201;140000;0.079;0.0803;0.0787;0.0787;279;0
МРСКСиб;60;20170201;150000;0.08;0.0803;0.079;0.0799;377;0
МРСКСиб;60;20170201;160000;0.0799;0.0802;0.0789;0.0799;157;0
МРСКСиб;60;20170201;170000;0.0794;0.081;0.0793;0.081;218;0
МРСКСиб;60;20170201;180000;0.0796;0.08;0.0791;0.0794;286;0
МРСКСиб;60;20170202;090000;0.079;0.079;0.079;0.079;1;0
МРСКСиб;60;20170202;100000;0.0796;0.0807;0.0793;0.0793;29;0
МРСКСиб;60;20170202;110000;0.0793;0.0801;0.0793;0.0801;2;0
МРСКСиб;60;20170202;120000;0.0794;0.0799;0.0794;0.0796;53;0
МРСКСиб;60;20170202;130000;0.0796;0.0806;0.0796;0.0806;108;0
МРСКСиб;60;20170202;140000;0.0806;0.0806;0.0806;0.0806;2;0
МРСКСиб;60;20170202;150000;0.0806;0.0806;0.0806;0.0806;5;0
МРСКСиб;60;20170202;180000;0.0799;0.0805;0.0799;0.0805;2;0
МРСКСиб;60;20170203;100000;0.0808;0.082;0.0808;0.082;48;0
МРСКСиб;60;20170203;110000;0.0834;0.0834;0.0834;0.0834;2;0
МРСКСиб;60;20170203;120000;0.0829;0.0829;0.0821;0.0821;45;0
МРСКСиб;60;20170203;130000;0.0822;0.0822;0.082;0.082;243;0
МРСКСиб;60;20170203;180000;0.0821;0.0821;0.082;0.082;195;0
МРСКСиб;60;20170206;100000;0.0825;0.0825;0.0825;0.0825;5;0
МРСКСиб;60;20170206;110000;0.0808;0.0808;0.0805;0.0805;70;0
МРСКСиб;60;20170206;180000;0.0817;0.0817;0.0817;0.0817;2;0
МРСКСиб;60;20170207;100000;0.0798;0.0813;0.0798;0.0812;20;0
МРСКСиб;60;20170207;120000;0.0812;0.0812;0.0812;0.0812;1;0
МРСКСиб;60;20170207;140000;0.0803;0.0803;0.0801;0.0801;3;0
МРСКСиб;60;20170207;160000;0.0803;0.0803;0.0803;0.0803;1;0
МРСКСиб;60;20170207;170000;0.0804;0.0804;0.0804;0.0804;1;0
МРСКСиб;60;20170207;180000;0.0804;0.0809;0.0804;0.0808;52;0
МРСКСиб;60;20170208;090000;0.0805;0.0805;0.0805;0.0805;14;0
МРСКСиб;60;20170208;100000;0.0806;0.0812;0.0805;0.0805;3;0
МРСКСиб;60;20170208;120000;0.0806;0.0806;0.0797;0.0798;39;0
МРСКСиб;60;20170208;130000;0.0797;0.0797;0.0775;0.0775;206;0
МРСКСиб;60;20170208;140000;0.0785;0.0785;0.0785;0.0785;35;0
МРСКСиб;60;20170208;150000;0.0789;0.0789;0.0785;0.0789;68;0
МРСКСиб;60;20170208;160000;0.0788;0.0788;0.0788;0.0788;55;0
МРСКСиб;60;20170208;170000;0.0788;0.0789;0.0788;0.0789;5;0
МРСКСиб;60;20170208;180000;0.0789;0.0789;0.0774;0.0783;309;0
МРСКСиб;60;20170209;100000;0.0783;0.0789;0.0759;0.0773;161;0
МРСКСиб;60;20170209;120000;0.0781;0.0783;0.0774;0.0775;60;0
МРСКСиб;60;20170209;130000;0.0774;0.0785;0.0774;0.0785;66;0
МРСКСиб;60;20170209;140000;0.0775;0.0775;0.0774;0.0774;29;0
МРСКСиб;60;20170209;150000;0.0774;0.0774;0.0774;0.0774;2;0
МРСКСиб;60;20170209;160000;0.0775;0.078;0.0774;0.0774;34;0
МРСКСиб;60;20170209;170000;0.0774;0.0774;0.0771;0.0771;147;0
МРСКСиб;60;20170209;180000;0.0776;0.0789;0.0776;0.0789;15;0
МРСКСиб;60;20170210;100000;0.0783;0.0783;0.0783;0.0783;2;0
МРСКСиб;60;20170210;130000;0.0782;0.0782;0.0782;0.0782;1;0
МРСКСиб;60;20170210;140000;0.0782;0.0782;0.0771;0.0782;32;0
МРСКСиб;60;20170210;160000;0.0773;0.0781;0.0772;0.0781;11;0
МРСКСиб;60;20170210;170000;0.0779;0.078;0.0779;0.078;41;0
МРСКСиб;60;20170210;180000;0.078;0.078;0.078;0.078;55;0
МРСКСиб;60;20170213;100000;0.0773;0.0773;0.0771;0.0771;41;0
МРСКСиб;60;20170213;110000;0.0773;0.0773;0.077;0.077;152;0
МРСКСиб;60;20170213;150000;0.0767;0.0767;0.0763;0.0763;8;0
МРСКСиб;60;20170213;170000;0.0764;0.077;0.0763;0.077;65;0
МРСКСиб;60;20170213;180000;0.0779;0.0784;0.0779;0.0784;5;0
МРСКСиб;60;20170214;090000;0.0796;0.0796;0.0796;0.0796;1;0
МРСКСиб;60;20170214;150000;0.0773;0.0778;0.0771;0.0778;18;0
МРСКСиб;60;20170214;180000;0.0771;0.0779;0.0771;0.0779;4;0
МРСКСиб;60;20170215;090000;0.0799;0.0799;0.0799;0.0799;1;0
МРСКСиб;60;20170215;100000;0.0809;0.081;0.0761;0.0779;57;0
МРСКСиб;60;20170215;120000;0.0761;0.0774;0.0761;0.0774;11;0
МРСКСиб;60;20170215;140000;0.0774;0.0774;0.077;0.077;3;0
МРСКСиб;60;20170215;150000;0.0769;0.077;0.0769;0.077;10;0
МРСКСиб;60;20170215;160000;0.077;0.077;0.077;0.077;3;0
МРСКСиб;60;20170215;170000;0.0765;0.077;0.0765;0.077;16;0
МРСКСиб;60;20170215;180000;0.0768;0.077;0.076;0.077;77;0
МРСКСиб;60;20170216;090000;0.0788;0.0788;0.0788;0.0788;1;0
МРСКСиб;60;20170216;100000;0.0762;0.0763;0.074;0.0755;122;0
МРСКСиб;60;20170216;110000;0.0749;0.075;0.074;0.074;59;0
МРСКСиб;60;20170216;120000;0.075;0.075;0.0748;0.0748;2;0
МРСКСиб;60;20170216;130000;0.0741;0.0745;0.073;0.0735;142;0
МРСКСиб;60;20170216;140000;0.0731;0.0739;0.0731;0.0739;38;0
МРСКСиб;60;20170216;150000;0.074;0.0741;0.074;0.0741;6;0
МРСКСиб;60;20170216;160000;0.0741;0.0747;0.0736;0.0747;56;0
МРСКСиб;60;20170216;170000;0.0736;0.0736;0.073;0.073;40;0
МРСКСиб;60;20170216;180000;0.0735;0.0747;0.0735;0.0747;76;0
МРСКСиб;60;20170217;100000;0.0748;0.0753;0.0741;0.075;5;0
МРСКСиб;60;20170217;110000;0.0754;0.0777;0.0754;0.076;31;0
МРСКСиб;60;20170217;120000;0.0742;0.075;0.0741;0.0741;17;0
МРСКСиб;60;20170217;130000;0.0742;0.075;0.0742;0.075;72;0
МРСКСиб;60;20170217;150000;0.076;0.0761;0.076;0.0761;29;0
МРСКСиб;60;20170217;160000;0.0768;0.077;0.0768;0.0769;39;0
МРСКСиб;60;20170217;170000;0.0762;0.077;0.0761;0.077;77;0
МРСКСиб;60;20170217;180000;0.076;0.076;0.076;0.076;3;0
МРСКСиб;60;20170220;100000;0.0753;0.0753;0.0753;0.0753;2;0
МРСКСиб;60;20170220;150000;0.0761;0.0761;0.0743;0.0751;29;0
МРСКСиб;60;20170220;160000;0.075;0.075;0.0742;0.0742;49;0
МРСКСиб;60;20170220;170000;0.077;0.077;0.077;0.077;3;0
МРСКСиб;60;20170220;180000;0.0745;0.0746;0.074;0.0742;71;0
МРСКСиб;60;20170221;100000;0.0742;0.0742;0.0742;0.0742;9;0
МРСКСиб;60;20170221;120000;0.074;0.074;0.074;0.074;8;0
МРСКСиб;60;20170221;130000;0.074;0.0745;0.074;0.0745;4;0
МРСКСиб;60;20170221;140000;0.0738;0.0738;0.0725;0.0726;120;0
МРСКСиб;60;20170221;150000;0.0727;0.0727;0.0726;0.0726;21;0
МРСКСиб;60;20170221;170000;0.0736;0.0736;0.0722;0.0733;32;0
МРСКСиб;60;20170221;180000;0.0721;0.0729;0.072;0.0729;106;0
МРСКСиб;60;20170222;090000;0.0745;0.0745;0.0745;0.0745;1;0
МРСКСиб;60;20170222;110000;0.0729;0.0733;0.0729;0.0731;100;0
МРСКСиб;60;20170222;120000;0.0726;0.0726;0.0722;0.0722;20;0
МРСКСиб;60;20170222;130000;0.073;0.073;0.073;0.073;2;0
МРСКСиб;60;20170222;140000;0.073;0.073;0.073;0.073;1;0
МРСКСиб;60;20170222;150000;0.073;0.0733;0.073;0.0733;28;0
МРСКСиб;60;20170222;160000;0.0723;0.0723;0.0711;0.0718;188;0
