<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МРСКЮга ао;60;20170124;090000;0.05;0.05;0.05;0.05;50;0
МРСКЮга ао;60;20170124;100000;0.0509;0.0509;0.0503;0.0508;76;0
МРСКЮга ао;60;20170124;110000;0.0509;0.0509;0.0509;0.0509;1;0
МРСКЮга ао;60;20170124;120000;0.0508;0.0508;0.0499;0.05;620;0
МРСКЮга ао;60;20170124;130000;0.05;0.05;0.05;0.05;383;0
МРСКЮга ао;60;20170124;140000;0.05;0.05;0.0499;0.0499;61;0
МРСКЮга ао;60;20170124;150000;0.0499;0.0499;0.0489;0.0495;3099;0
МРСКЮга ао;60;20170124;160000;0.0494;0.0495;0.0492;0.0495;50;0
МРСКЮга ао;60;20170124;170000;0.0496;0.0498;0.0492;0.0498;512;0
МРСКЮга ао;60;20170124;180000;0.0494;0.0498;0.0493;0.0498;16;0
МРСКЮга ао;60;20170125;090000;0.0491;0.0491;0.0491;0.0491;1;0
МРСКЮга ао;60;20170125;100000;0.0497;0.0498;0.0493;0.0494;261;0
МРСКЮга ао;60;20170125;110000;0.0494;0.0497;0.0493;0.0497;33;0
МРСКЮга ао;60;20170125;120000;0.0494;0.0497;0.049;0.0497;437;0
МРСКЮга ао;60;20170125;130000;0.0495;0.0498;0.0493;0.0494;144;0
МРСКЮга ао;60;20170125;140000;0.0497;0.0497;0.0495;0.0497;3;0
МРСКЮга ао;60;20170125;150000;0.0497;0.0497;0.0497;0.0497;6;0
МРСКЮга ао;60;20170125;160000;0.0497;0.0498;0.0497;0.0498;87;0
МРСКЮга ао;60;20170125;170000;0.0493;0.0499;0.0493;0.0495;29;0
МРСКЮга ао;60;20170125;180000;0.0494;0.0499;0.0492;0.0499;66;0
МРСКЮга ао;60;20170126;090000;0.05;0.05;0.05;0.05;2;0
МРСКЮга ао;60;20170126;100000;0.0499;0.05;0.0491;0.0497;44;0
МРСКЮга ао;60;20170126;110000;0.0496;0.0499;0.0496;0.0499;11;0
МРСКЮга ао;60;20170126;120000;0.0499;0.0499;0.0499;0.0499;1;0
МРСКЮга ао;60;20170126;130000;0.0499;0.0499;0.0499;0.0499;9;0
МРСКЮга ао;60;20170126;140000;0.05;0.05;0.0494;0.0494;27;0
МРСКЮга ао;60;20170126;150000;0.0496;0.0497;0.0495;0.0497;62;0
МРСКЮга ао;60;20170126;170000;0.0497;0.0498;0.0497;0.0498;5;0
МРСКЮга ао;60;20170126;180000;0.0498;0.0498;0.0493;0.0498;100;0
МРСКЮга ао;60;20170127;090000;0.0498;0.0498;0.0498;0.0498;4;0
МРСКЮга ао;60;20170127;100000;0.0498;0.0499;0.0498;0.0499;195;0
МРСКЮга ао;60;20170127;110000;0.0499;0.0504;0.0499;0.0504;117;0
МРСКЮга ао;60;20170127;120000;0.0504;0.051;0.0504;0.0508;140;0
МРСКЮга ао;60;20170127;130000;0.0507;0.0514;0.0507;0.0512;132;0
МРСКЮга ао;60;20170127;140000;0.0509;0.0509;0.0505;0.0505;31;0
МРСКЮга ао;60;20170127;150000;0.051;0.0511;0.0505;0.0506;77;0
МРСКЮга ао;60;20170127;160000;0.0508;0.051;0.0508;0.051;4;0
МРСКЮга ао;60;20170127;180000;0.0507;0.0509;0.0505;0.0509;122;0
МРСКЮга ао;60;20170130;100000;0.0504;0.0509;0.0504;0.0509;4;0
МРСКЮга ао;60;20170130;110000;0.0506;0.0508;0.0505;0.0505;45;0
МРСКЮга ао;60;20170130;130000;0.0505;0.0507;0.0505;0.0507;21;0
МРСКЮга ао;60;20170130;140000;0.0507;0.0507;0.0507;0.0507;1;0
МРСКЮга ао;60;20170130;150000;0.0507;0.0509;0.0507;0.0509;50;0
МРСКЮга ао;60;20170130;160000;0.0506;0.0506;0.0506;0.0506;1;0
МРСКЮга ао;60;20170130;170000;0.0508;0.0508;0.0506;0.0508;44;0
МРСКЮга ао;60;20170130;180000;0.0506;0.0506;0.05;0.0506;51;0
МРСКЮга ао;60;20170131;090000;0.05;0.05;0.05;0.05;3;0
МРСКЮга ао;60;20170131;100000;0.0508;0.0508;0.0502;0.0508;4;0
МРСКЮга ао;60;20170131;110000;0.0508;0.0508;0.0508;0.0508;9;0
МРСКЮга ао;60;20170131;120000;0.0507;0.0507;0.0507;0.0507;21;0
МРСКЮга ао;60;20170131;130000;0.0506;0.0506;0.05;0.0504;51;0
МРСКЮга ао;60;20170131;140000;0.0503;0.0503;0.0503;0.0503;1;0
МРСКЮга ао;60;20170131;150000;0.0504;0.0506;0.0504;0.0506;38;0
МРСКЮга ао;60;20170131;160000;0.0503;0.0503;0.0498;0.0503;78;0
МРСКЮга ао;60;20170131;170000;0.0498;0.0498;0.0498;0.0498;8;0
МРСКЮга ао;60;20170131;180000;0.0502;0.0503;0.0498;0.0498;9;0
МРСКЮга ао;60;20170201;090000;0.0503;0.0503;0.0503;0.0503;1;0
МРСКЮга ао;60;20170201;100000;0.0498;0.0502;0.0492;0.0496;311;0
МРСКЮга ао;60;20170201;110000;0.0495;0.0497;0.0493;0.0496;38;0
МРСКЮга ао;60;20170201;120000;0.0496;0.0496;0.0496;0.0496;6;0
МРСКЮга ао;60;20170201;130000;0.0496;0.0496;0.0491;0.0491;219;0
МРСКЮга ао;60;20170201;140000;0.0493;0.0495;0.0492;0.0495;3;0
МРСКЮга ао;60;20170201;150000;0.0493;0.0498;0.049;0.0497;615;0
МРСКЮга ао;60;20170201;160000;0.0498;0.05;0.0495;0.0495;188;0
МРСКЮга ао;60;20170201;170000;0.0498;0.0501;0.0497;0.0501;15;0
