<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МТС-ао;60;20170124;090000;267.8;267.8;267.8;267.8;5;0
МТС-ао;60;20170124;100000;268.15;269.5;267.45;268.95;8220;0
МТС-ао;60;20170124;110000;268.85;269;267.95;268.75;7127;0
МТС-ао;60;20170124;120000;268.75;269;268.1;268.1;3368;0
МТС-ао;60;20170124;130000;268.1;268.3;267.7;267.95;10441;0
МТС-ао;60;20170124;140000;267.75;268.25;267.65;268;1061;0
МТС-ао;60;20170124;150000;267.8;268.3;267.65;267.65;4422;0
МТС-ао;60;20170124;160000;267.9;268.25;267.1;267.65;6588;0
МТС-ао;60;20170124;170000;267.5;269.85;267.15;268.35;23241;0
МТС-ао;60;20170124;180000;268.5;268.5;265.1;265.7;59850;0
МТС-ао;60;20170125;090000;266;266;266;266;202;0
МТС-ао;60;20170125;100000;266.1;269.7;265.7;268.1;23417;0
МТС-ао;60;20170125;110000;267.85;268.05;266.2;267.5;8037;0
МТС-ао;60;20170125;120000;267.5;268.9;267.3;268.65;10478;0
МТС-ао;60;20170125;130000;268.45;268.45;267.5;267.65;2774;0
МТС-ао;60;20170125;140000;267.6;268.15;267.5;267.8;6598;0
МТС-ао;60;20170125;150000;267.8;268.45;267.55;268;17286;0
МТС-ао;60;20170125;160000;268;268.4;267.95;268.2;3681;0
МТС-ао;60;20170125;170000;268.1;268.45;267.95;268;7297;0
МТС-ао;60;20170125;180000;268.25;269.5;268;268;27676;0
МТС-ао;60;20170126;090000;268;268;268;268;2;0
МТС-ао;60;20170126;100000;268.15;271;268.1;269.5;14546;0
МТС-ао;60;20170126;110000;269.55;271;269.1;270.75;14285;0
МТС-ао;60;20170126;120000;270.75;273.9;270.75;273.6;29832;0
МТС-ао;60;20170126;130000;273.6;275.95;272.55;275.95;119770;0
МТС-ао;60;20170126;140000;275.95;276.85;275.2;276.5;45914;0
МТС-ао;60;20170126;150000;276.5;279;275.9;279;52956;0
МТС-ао;60;20170126;160000;278.75;279;276.55;277.5;29980;0
МТС-ао;60;20170126;170000;277.5;277.75;275.2;275.8;20889;0
МТС-ао;60;20170126;180000;276;277.95;275.45;277.5;25741;0
МТС-ао;60;20170127;090000;277.45;277.45;277.45;277.45;17;0
МТС-ао;60;20170127;100000;277;278.55;275.45;276.55;11767;0
МТС-ао;60;20170127;110000;276.55;276.55;275;275.2;11130;0
МТС-ао;60;20170127;120000;275.2;279.55;275.05;278.25;37283;0
МТС-ао;60;20170127;130000;278.1;278.25;276.35;276.45;8776;0
МТС-ао;60;20170127;140000;276.65;276.75;275.35;275.35;7710;0
МТС-ао;60;20170127;150000;275.35;275.8;274.45;274.7;13441;0
МТС-ао;60;20170127;160000;275;275.8;273.05;274.5;21125;0
МТС-ао;60;20170127;170000;274.55;276.2;273.05;274.3;16881;0
МТС-ао;60;20170127;180000;274.35;277.2;274.05;277.05;19114;0
МТС-ао;60;20170130;090000;277.5;277.5;277.5;277.5;402;0
МТС-ао;60;20170130;100000;277.5;278.95;276.05;276.55;17657;0
МТС-ао;60;20170130;110000;276.75;276.75;273.9;275.2;17872;0
