<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МагадЭн ао;60;20170127;100000;3.03;3.03;3.03;3.03;1;0
МагадЭн ао;60;20170127;120000;3.02;3.02;3.02;3.02;3;0
МагадЭн ао;60;20170127;170000;2.99;2.99;2.99;2.99;1;0
МагадЭн ао;60;20170127;180000;3.02;3.02;3.02;3.02;1;0
МагадЭн ао;60;20170130;110000;2.98;2.98;2.98;2.98;2;0
МагадЭн ао;60;20170131;150000;3.02;3.03;3.02;3.03;2;0
МагадЭн ао;60;20170131;160000;3;3;3;3;2;0
МагадЭн ао;60;20170131;170000;3;3;3;3;2;0
МагадЭн ао;60;20170201;100000;2.99;2.99;2.99;2.99;1;0
МагадЭн ао;60;20170201;140000;3;3;3;3;1;0
МагадЭн ао;60;20170202;150000;3;3;3;3;5;0
МагадЭн ао;60;20170202;180000;2.99;2.99;2.99;2.99;2;0
МагадЭн ао;60;20170203;100000;2.98;2.98;2.98;2.98;4;0
МагадЭн ао;60;20170203;120000;3;3;3;3;2;0
МагадЭн ао;60;20170206;100000;2.98;2.98;2.98;2.98;1;0
МагадЭн ао;60;20170206;110000;2.97;2.97;2.91;2.94;17;0
МагадЭн ао;60;20170206;150000;2.95;2.95;2.95;2.95;1;0
МагадЭн ао;60;20170207;130000;2.93;2.93;2.93;2.93;1;0
МагадЭн ао;60;20170207;140000;2.92;2.92;2.82;2.89;27;0
МагадЭн ао;60;20170207;160000;2.93;2.93;2.93;2.93;1;0
МагадЭн ао;60;20170208;120000;2.93;2.94;2.93;2.94;6;0
МагадЭн ао;60;20170208;140000;2.92;2.92;2.92;2.92;1;0
МагадЭн ао;60;20170209;130000;2.91;2.91;2.91;2.91;1;0
МагадЭн ао;60;20170209;170000;2.93;2.94;2.93;2.94;3;0
МагадЭн ао;60;20170210;180000;2.9;2.95;2.87;2.95;6;0
МагадЭн ао;60;20170213;160000;2.9;2.92;2.85;2.92;39;0
МагадЭн ао;60;20170214;100000;3.02;3.03;2.88;3.03;7;0
МагадЭн ао;60;20170214;170000;2.91;2.91;2.86;2.86;6;0
МагадЭн ао;60;20170214;180000;2.86;2.94;2.86;2.94;5;0
МагадЭн ао;60;20170215;110000;2.86;2.94;2.85;2.94;5;0
МагадЭн ао;60;20170215;160000;2.9;2.9;2.9;2.9;1;0
МагадЭн ао;60;20170216;140000;2.92;2.95;2.92;2.95;30;0
МагадЭн ао;60;20170217;160000;2.91;2.91;2.9;2.9;3;0
МагадЭн ао;60;20170217;180000;2.93;2.93;2.93;2.93;1;0
МагадЭн ао;60;20170220;130000;2.89;2.89;2.88;2.88;5;0
МагадЭн ао;60;20170220;150000;2.89;2.9;2.89;2.9;2;0
МагадЭн ао;60;20170220;160000;2.87;2.87;2.86;2.86;6;0
МагадЭн ао;60;20170221;120000;2.85;2.85;2.85;2.85;2;0
МагадЭн ао;60;20170221;160000;2.85;2.85;2.85;2.85;1;0
МагадЭн ао;60;20170222;110000;2.84;2.84;2.84;2.84;2;0
МагадЭн ао;60;20170222;150000;2.83;2.84;2.69;2.84;21;0
МагадЭн ао;60;20170224;110000;2.85;2.9;2.85;2.9;7;0
МагадЭн ао;60;20170224;150000;2.87;2.87;2.87;2.87;1;0
МагадЭн ао;60;20170227;150000;2.86;2.86;2.86;2.86;1;0
МагадЭн ао;60;20170228;100000;2.81;2.81;2.68;2.68;11;0
МагадЭн ао;60;20170228;110000;2.81;2.88;2.68;2.88;10;0
МагадЭн ао;60;20170228;180000;2.7;2.9;2.5;2.9;24;0
МагадЭн ао;60;20170301;170000;2.88;2.88;2.88;2.88;1;0
МагадЭн ао;60;20170301;180000;2.81;2.81;2.74;2.74;4;0
МагадЭн ао;60;20170302;100000;2.9;2.9;2.9;2.9;1;0
МагадЭн ао;60;20170302;130000;2.87;2.87;2.87;2.87;1;0
МагадЭн ао;60;20170303;160000;2.9;2.92;2.9;2.92;7;0
МагадЭн ао;60;20170303;170000;2.93;3.03;2.93;2.98;9;0
МагадЭн ао;60;20170309;120000;2.99;2.99;2.99;2.99;1;0
МагадЭн ао;60;20170317;180000;2.97;3.17;2.97;3.17;18;0
МагадЭн ао;60;20170320;100000;3.05;3.06;2.81;3.06;4;0
МагадЭн ао;60;20170322;170000;3.03;3.03;3.03;3.03;1;0
МагадЭн ао;60;20170323;100000;3.06;3.13;3.06;3.13;2;0
МагадЭн ао;60;20170323;110000;3.09;3.13;3.09;3.13;7;0
МагадЭн ао;60;20170323;140000;3;3;3;3;1;0
МагадЭн ао;60;20170324;120000;2.95;2.95;2.95;2.95;1;0
МагадЭн ао;60;20170324;180000;3;3;3;3;1;0
МагадЭн ао;60;20170330;110000;2.96;2.96;2.96;2.96;1;0
МагадЭн ао;60;20170330;180000;2.96;3;2.96;3;3;0
МагадЭн ао;60;20170331;160000;2.95;2.99;2.91;2.99;3;0
МагадЭн ао;60;20170403;120000;2.9;2.9;2.9;2.9;1;0
МагадЭн ао;60;20170403;160000;2.95;2.99;2.94;2.94;3;0
МагадЭн ао;60;20170405;180000;2.91;2.91;2.91;2.91;1;0
МагадЭн ао;60;20170406;160000;2.98;2.98;2.98;2.98;1;0
МагадЭн ао;60;20170414;120000;2.91;2.91;2.63;2.63;37;0
МагадЭн ао;60;20170414;130000;2.7;2.8;2.7;2.8;20;0
МагадЭн ао;60;20170417;110000;2.75;2.79;2.75;2.77;38;0
МагадЭн ао;60;20170417;140000;2.69;2.69;2.65;2.65;2;0
МагадЭн ао;60;20170417;150000;2.76;2.76;2.76;2.76;1;0
МагадЭн ао;60;20170417;180000;2.68;2.76;2.64;2.76;6;0
МагадЭн ао;60;20170418;170000;2.73;2.74;2.73;2.74;11;0
МагадЭн ао;60;20170420;100000;2.7;2.79;2.69;2.73;6;0
МагадЭн ао;60;20170420;110000;2.63;2.63;2.62;2.62;2;0
МагадЭн ао;60;20170420;120000;2.73;2.73;2.73;2.73;6;0
МагадЭн ао;60;20170420;150000;2.72;2.73;2.72;2.73;8;0
МагадЭн ао;60;20170425;140000;2.69;2.69;2.69;2.69;1;0
МагадЭн ао;60;20170425;150000;2.73;2.73;2.73;2.73;7;0
МагадЭн ао;60;20170425;160000;2.74;2.74;2.74;2.74;10;0
МагадЭн ао;60;20170426;100000;2.77;2.77;2.77;2.77;1;0
МагадЭн ао;60;20170426;140000;2.67;2.67;2.66;2.66;3;0
МагадЭн ао;60;20170426;150000;2.7;2.73;2.7;2.73;5;0
