<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МагадЭн ап;60;20170124;100000;2.53;2.53;2.53;2.53;1;0
МагадЭн ап;60;20170124;160000;2.48;2.48;2.48;2.48;1;0
МагадЭн ап;60;20170124;170000;2.47;2.47;2.47;2.47;1;0
МагадЭн ап;60;20170125;110000;2.51;2.51;2.51;2.51;1;0
МагадЭн ап;60;20170125;120000;2.5;2.5;2.5;2.5;1;0
МагадЭн ап;60;20170125;170000;2.46;2.46;2.3;2.45;26;0
МагадЭн ап;60;20170126;100000;2.43;2.43;2.43;2.43;1;0
МагадЭн ап;60;20170126;110000;2.42;2.42;2.39;2.39;3;0
МагадЭн ап;60;20170126;120000;2.44;2.44;2.44;2.44;27;0
МагадЭн ап;60;20170126;180000;2.44;2.44;2.44;2.44;31;0
МагадЭн ап;60;20170127;160000;2.44;2.5;2.44;2.5;12;0
МагадЭн ап;60;20170127;180000;2.51;2.57;2.51;2.57;8;0
МагадЭн ап;60;20170201;100000;2.49;2.5;2.33;2.5;6;0
МагадЭн ап;60;20170207;100000;2.53;2.54;2.49;2.49;3;0
МагадЭн ап;60;20170207;160000;2.48;2.48;2.39;2.39;32;0
МагадЭн ап;60;20170207;180000;2.38;2.38;2.38;2.38;4;0
МагадЭн ап;60;20170208;120000;2.42;2.42;2.42;2.42;1;0
МагадЭн ап;60;20170208;150000;2.4;2.4;2.4;2.4;2;0
МагадЭн ап;60;20170209;180000;2.4;2.55;2.4;2.4;17;0
МагадЭн ап;60;20170210;180000;2.43;2.54;2.43;2.54;14;0
МагадЭн ап;60;20170213;150000;2.45;2.45;2.31;2.38;72;0
МагадЭн ап;60;20170213;160000;2.33;2.38;2.3;2.36;53;0
МагадЭн ап;60;20170213;180000;2.32;2.34;2.3;2.34;28;0
МагадЭн ап;60;20170214;100000;2.43;2.43;2.39;2.43;10;0
МагадЭн ап;60;20170214;110000;2.34;2.34;2.31;2.31;9;0
МагадЭн ап;60;20170214;160000;2.37;2.37;2.37;2.37;1;0
МагадЭн ап;60;20170215;100000;2.37;2.37;2.37;2.37;1;0
МагадЭн ап;60;20170216;140000;2.37;2.38;2.37;2.38;60;0
МагадЭн ап;60;20170216;180000;2.34;2.37;2.34;2.37;3;0
МагадЭн ап;60;20170217;120000;2.33;2.33;2.3;2.3;8;0
МагадЭн ап;60;20170217;130000;2.3;2.3;2.3;2.3;5;0
МагадЭн ап;60;20170217;160000;2.3;2.3;2.3;2.3;1;0
МагадЭн ап;60;20170220;100000;2.29;2.29;2.29;2.29;1;0
МагадЭн ап;60;20170220;130000;2.3;2.3;2.3;2.3;1;0
МагадЭн ап;60;20170221;180000;2.23;2.3;2.23;2.3;2;0
МагадЭн ап;60;20170222;170000;2.28;2.33;2.28;2.33;2;0
МагадЭн ап;60;20170228;110000;2.27;2.3;2.16;2.3;5;0
МагадЭн ап;60;20170228;170000;2.24;2.24;2.24;2.24;1;0
МагадЭн ап;60;20170228;180000;2.23;2.27;2.22;2.27;3;0
МагадЭн ап;60;20170301;160000;2.23;2.23;2.23;2.23;1;0
МагадЭн ап;60;20170301;170000;2.29;2.29;2.29;2.29;1;0
МагадЭн ап;60;20170303;170000;2.28;2.37;2.28;2.37;6;0
МагадЭн ап;60;20170307;120000;2.27;2.27;2.25;2.25;43;0
МагадЭн ап;60;20170307;130000;2.25;2.25;2.25;2.25;1;0
МагадЭн ап;60;20170307;180000;2.25;2.3;2.25;2.29;27;0
МагадЭн ап;60;20170309;120000;2.2;2.2;2.18;2.18;5;0
МагадЭн ап;60;20170309;130000;2.29;2.29;2.15;2.15;6;0
МагадЭн ап;60;20170309;150000;2.28;2.37;2.28;2.37;10;0
МагадЭн ап;60;20170315;090000;2.28;2.28;2.28;2.28;2;0
МагадЭн ап;60;20170315;110000;2.32;2.35;2.32;2.35;4;0
МагадЭн ап;60;20170316;130000;2.31;2.31;2.3;2.3;2;0
МагадЭн ап;60;20170320;100000;2.34;2.34;2.34;2.34;1;0
МагадЭн ап;60;20170321;180000;2.25;2.25;2.25;2.25;1;0
МагадЭн ап;60;20170322;130000;2.2;2.2;2.15;2.15;4;0
МагадЭн ап;60;20170322;170000;2.2;2.2;2.2;2.2;1;0
МагадЭн ап;60;20170323;100000;2.35;2.35;2.35;2.35;1;0
МагадЭн ап;60;20170323;110000;2.2;2.2;2.2;2.2;3;0
МагадЭн ап;60;20170323;120000;2.18;2.18;2.18;2.18;2;0
МагадЭн ап;60;20170323;130000;2.18;2.18;2.18;2.18;1;0
МагадЭн ап;60;20170323;150000;2.18;2.18;2.18;2.18;7;0
МагадЭн ап;60;20170323;180000;2.18;2.18;2.18;2.18;34;0
МагадЭн ап;60;20170324;170000;2.19;2.2;2.19;2.2;2;0
МагадЭн ап;60;20170324;180000;2.21;2.28;2.21;2.28;3;0
МагадЭн ап;60;20170327;100000;2.27;2.27;2.27;2.27;1;0
МагадЭн ап;60;20170327;110000;2.21;2.21;2.21;2.21;1;0
МагадЭн ап;60;20170327;170000;2.27;2.27;2.27;2.27;1;0
МагадЭн ап;60;20170329;170000;2.21;2.3;2.21;2.3;6;0
МагадЭн ап;60;20170330;100000;2.34;2.34;2.25;2.25;6;0
МагадЭн ап;60;20170330;180000;2.21;2.28;2.21;2.28;2;0
МагадЭн ап;60;20170331;150000;2.28;2.28;2.28;2.28;1;0
МагадЭн ап;60;20170331;170000;2.21;2.21;2.21;2.21;2;0
МагадЭн ап;60;20170331;180000;2.28;2.28;2.28;2.28;1;0
МагадЭн ап;60;20170403;140000;2.21;2.21;2.19;2.19;3;0
МагадЭн ап;60;20170403;160000;2.25;2.28;2.25;2.28;2;0
МагадЭн ап;60;20170407;150000;2.21;2.21;2.2;2.2;2;0
МагадЭн ап;60;20170407;160000;2.19;2.2;2.19;2.2;5;0
МагадЭн ап;60;20170407;170000;2.18;2.25;2.11;2.25;9;0
МагадЭн ап;60;20170410;100000;2.21;2.21;2.21;2.21;1;0
МагадЭн ап;60;20170412;140000;2.21;2.21;2.2;2.2;2;0
МагадЭн ап;60;20170414;120000;2.15;2.15;1.96;2.01;13;0
МагадЭн ап;60;20170414;170000;2.04;2.04;2.04;2.04;1;0
МагадЭн ап;60;20170414;180000;2.05;2.08;2;2.08;15;0
МагадЭн ап;60;20170417;100000;2.01;2.01;2.01;2.01;3;0
МагадЭн ап;60;20170417;110000;2.01;2.01;1.98;1.98;3;0
МагадЭн ап;60;20170417;170000;2;2;2;2;1;0
МагадЭн ап;60;20170417;180000;1.95;1.95;1.88;1.94;56;0
МагадЭн ап;60;20170420;100000;2.01;2.07;1.98;1.98;3;0
МагадЭн ап;60;20170420;130000;1.87;1.87;1.87;1.87;1;0
МагадЭн ап;60;20170421;100000;1.85;2.02;1.85;2.02;2;0
МагадЭн ап;60;20170421;110000;1.94;1.94;1.94;1.94;1;0
МагадЭн ап;60;20170421;130000;1.94;1.94;1.94;1.94;1;0
МагадЭн ап;60;20170421;140000;1.94;1.94;1.94;1.94;1;0
МагадЭн ап;60;20170426;170000;1.85;1.85;1.85;1.85;1;0
