<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Магнит ао;60;20170124;090000;9700;9700;9700;9700;16;0
Магнит ао;60;20170124;100000;9700;9714;9620;9656;7734;0
Магнит ао;60;20170124;110000;9656;9743;9641;9734;10122;0
Магнит ао;60;20170124;120000;9725;9744;9707;9722;6878;0
Магнит ао;60;20170124;130000;9730;9742;9688;9715;10003;0
Магнит ао;60;20170124;140000;9713;9716;9688;9699;3449;0
Магнит ао;60;20170124;150000;9699;9713;9688;9690;6532;0
Магнит ао;60;20170124;160000;9688;9699;9672;9695;3626;0
Магнит ао;60;20170124;170000;9692;9700;9682;9698;5789;0
Магнит ао;60;20170124;180000;9699;9699;9650;9690;25765;0
Магнит ао;60;20170125;090000;9703;9703;9703;9703;20;0
Магнит ао;60;20170125;100000;9700;9700;9582;9609;16831;0
Магнит ао;60;20170125;110000;9605;9622;9530;9615;21877;0
Магнит ао;60;20170125;120000;9617;9643;9608;9625;10214;0
Магнит ао;60;20170125;130000;9625;9625;9593;9611;10053;0
Магнит ао;60;20170125;140000;9615;9626;9585;9617;8854;0
Магнит ао;60;20170125;150000;9614;9624;9593;9607;14879;0
Магнит ао;60;20170125;160000;9607;9625;9602;9610;7099;0
Магнит ао;60;20170125;170000;9611;9615;9591;9612;25490;0
Магнит ао;60;20170125;180000;9612;9625;9610;9625;21701;0
Магнит ао;60;20170126;090000;9626;9626;9626;9626;13;0
Магнит ао;60;20170126;100000;9626;9670;9623;9643;9087;0
Магнит ао;60;20170126;110000;9648;9710;9640;9705;20003;0
Магнит ао;60;20170126;120000;9709;9725;9700;9715;18818;0
Магнит ао;60;20170126;130000;9721;9949;9718;9932;36597;0
Магнит ао;60;20170126;140000;9932;9971;9884;9932;25088;0
Магнит ао;60;20170126;150000;9941;10000;9921;10000;26533;0
Магнит ао;60;20170126;160000;10000;10000;9940;9963;19266;0
Магнит ао;60;20170126;170000;9966;9991;9929;9984;17885;0
Магнит ао;60;20170126;180000;9988;10085;9977;10020;37146;0
Магнит ао;60;20170127;090000;10021;10021;10021;10021;309;0
Магнит ао;60;20170127;100000;10021;10040;9750;9861;107657;0
Магнит ао;60;20170127;110000;9861;9885;9770;9840;57815;0
Магнит ао;60;20170127;120000;9840;9876;9804;9865;26615;0
Магнит ао;60;20170127;130000;9865;9890;9861;9871;25073;0
Магнит ао;60;20170127;140000;9871;9900;9870;9870;26730;0
Магнит ао;60;20170127;150000;9870;9880;9850;9861;35029;0
Магнит ао;60;20170127;160000;9861;9930;9762;9878;45843;0
Магнит ао;60;20170127;170000;9873;9882;9839;9851;31345;0
Магнит ао;60;20170127;180000;9853;9912;9850;9900;24923;0
Магнит ао;60;20170130;090000;9895;9895;9895;9895;86;0
Магнит ао;60;20170130;100000;9862;9865;9813;9830;15456;0
Магнит ао;60;20170130;110000;9824;9890;9780;9792;40809;0
Магнит ао;60;20170130;120000;9786;9810;9763;9775;18471;0
Магнит ао;60;20170130;130000;9772;9779;9710;9764;22770;0
Магнит ао;60;20170130;140000;9764;9772;9685;9720;19090;0
Магнит ао;60;20170130;150000;9721;9741;9687;9694;11136;0
Магнит ао;60;20170130;160000;9693;9697;9627;9647;45513;0
Магнит ао;60;20170130;170000;9647;9670;9615;9647;34107;0
Магнит ао;60;20170130;180000;9650;9665;9625;9625;39917;0
Магнит ао;60;20170131;090000;9603;9603;9603;9603;28;0
Магнит ао;60;20170131;100000;9625;9734;9605;9720;9562;0
Магнит ао;60;20170131;110000;9725;9740;9618;9647;20487;0
Магнит ао;60;20170131;120000;9649;9680;9636;9678;8517;0
Магнит ао;60;20170131;130000;9678;9710;9627;9643;13568;0
Магнит ао;60;20170131;140000;9643;9660;9633;9643;5831;0
Магнит ао;60;20170131;150000;9639;9656;9625;9648;7416;0
Магнит ао;60;20170131;160000;9648;9717;9623;9699;11960;0
Магнит ао;60;20170131;170000;9699;9700;9642;9655;6848;0
Магнит ао;60;20170131;180000;9660;9667;9634;9650;14114;0
Магнит ао;60;20170201;090000;9673;9673;9673;9673;5;0
Магнит ао;60;20170201;100000;9669;9704;9632;9682;7981;0
Магнит ао;60;20170201;110000;9675;9703;9645;9680;19306;0
Магнит ао;60;20170201;120000;9686;9758;9635;9740;19744;0
Магнит ао;60;20170201;130000;9745;9745;9693;9710;6097;0
Магнит ао;60;20170201;140000;9710;9749;9690;9730;12370;0
Магнит ао;60;20170201;150000;9733;9774;9715;9730;6749;0
Магнит ао;60;20170201;160000;9733;9763;9730;9744;7683;0
Магнит ао;60;20170201;170000;9749;9749;9690;9696;10439;0
Магнит ао;60;20170201;180000;9697;9708;9666;9700;18010;0
Магнит ао;60;20170202;090000;9700;9700;9700;9700;31;0
Магнит ао;60;20170202;100000;9700;9720;9652;9695;11591;0
Магнит ао;60;20170202;110000;9694;9694;9631;9657;16449;0
Магнит ао;60;20170202;120000;9660;9684;9645;9678;7394;0
Магнит ао;60;20170202;130000;9678;9700;9678;9694;17461;0
Магнит ао;60;20170202;140000;9694;9725;9693;9711;16714;0
Магнит ао;60;20170202;150000;9710;9719;9653;9655;23685;0
Магнит ао;60;20170202;160000;9655;9674;9505;9532;50034;0
Магнит ао;60;20170202;170000;9532;9577;9464;9561;46332;0
Магнит ао;60;20170202;180000;9561;9579;9495;9495;53375;0
Магнит ао;60;20170203;090000;9543;9543;9543;9543;25;0
