<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МариЭнСб-п;60;20170209;160000;4.69;4.69;4.69;4.69;1;0
МариЭнСб-п;60;20170209;180000;4.7;4.7;4.7;4.7;1;0
МариЭнСб-п;60;20170210;100000;4.27;4.34;4.11;4.34;3;0
МариЭнСб-п;60;20170210;120000;4.69;4.69;4.69;4.69;1;0
МариЭнСб-п;60;20170213;180000;4.7;4.7;4.7;4.7;2;0
МариЭнСб-п;60;20170222;150000;4.7;4.7;4.7;4.7;2;0
МариЭнСб-п;60;20170307;170000;4.13;4.18;4.13;4.18;2;0
МариЭнСб-п;60;20170307;180000;4.48;4.48;4.26;4.26;2;0
МариЭнСб-п;60;20170320;130000;3.82;3.88;3.82;3.88;3;0
МариЭнСб-п;60;20170412;120000;3.71;3.71;3.71;3.71;1;0
МариЭнСб-п;60;20170414;130000;4;4;4;4;2;0
МариЭнСб-п;60;20170421;110000;4.69;4.69;4.69;4.69;1;0
МариЭнСб-п;60;20170504;100000;4.02;4.02;3.98;3.98;3;0
МариЭнСб-п;60;20170504;110000;3.89;3.89;3.8;3.8;2;0
МариЭнСб-п;60;20170504;120000;3.8;3.88;3.8;3.88;2;0
МариЭнСб-п;60;20170512;100000;4.19;4.19;4.19;4.19;1;0
МариЭнСб-п;60;20170530;120000;3.32;3.32;2.75;2.75;6;0
МариЭнСб-п;60;20170530;140000;3.1;3.1;3.1;3.1;1;0
МариЭнСб-п;60;20170530;150000;3.04;3.1;3.03;3.1;3;0
МариЭнСб-п;60;20170530;160000;3.03;3.03;3.01;3.01;2;0
МариЭнСб-п;60;20170530;170000;3.17;3.18;3.17;3.18;3;0
МариЭнСб-п;60;20170530;180000;3.18;3.18;3.18;3.18;1;0
МариЭнСб-п;60;20170531;120000;3.2;3.2;3.2;3.2;1;0
МариЭнСб-п;60;20170531;130000;3.2;3.2;3.2;3.2;1;0
МариЭнСб-п;60;20170531;140000;3.2;3.2;3.2;3.2;1;0
МариЭнСб-п;60;20170602;140000;3.86;3.86;3.86;3.86;1;0
МариЭнСб-п;60;20170606;120000;2.8;2.89;2.8;2.89;2;0
МариЭнСб-п;60;20170606;130000;3.09;3.09;3.09;3.09;1;0
МариЭнСб-п;60;20170615;110000;3.45;3.46;3.45;3.46;2;0
МариЭнСб-п;60;20170627;180000;3.5;3.5;3.5;3.5;1;0
МариЭнСб-п;60;20170710;120000;3.41;3.41;3.41;3.41;1;0
МариЭнСб-п;60;20170712;100000;3.97;3.97;3.97;3.97;1;0
МариЭнСб-п;60;20170712;110000;3.97;3.97;3.97;3.97;1;0
МариЭнСб-п;60;20170725;110000;4.37;4.37;4.37;4.37;2;0
МариЭнСб-п;60;20170725;160000;4.22;4.22;4.22;4.22;1;0
МариЭнСб-п;60;20170726;140000;4.41;4.41;4.4;4.4;5;0
МариЭнСб-п;60;20170727;100000;4.4;5.75;3.51;4.5;93;0
МариЭнСб-п;60;20170727;170000;4.31;4.31;4.31;4.31;1;0
МариЭнСб-п;60;20170728;100000;5.58;6.02;4.32;5;37;0
МариЭнСб-п;60;20170731;100000;5.4;6.99;5.4;6.9;12;0
МариЭнСб-п;60;20170731;110000;6.99;6.99;5;5.5;34;0
МариЭнСб-п;60;20170731;120000;5.59;5.6;5.59;5.6;6;0
МариЭнСб-п;60;20170731;140000;5.7;6.98;5.61;6;17;0
МариЭнСб-п;60;20170731;150000;6.19;6.19;6.19;6.19;2;0
МариЭнСб-п;60;20170731;160000;5.7;5.7;5.5;5.5;2;0
МариЭнСб-п;60;20170731;170000;5.51;5.51;5.51;5.51;5;0
МариЭнСб-п;60;20170801;100000;7.61;7.71;6;6;52;0
МариЭнСб-п;60;20170801;120000;6.5;6.5;6.5;6.5;1;0
МариЭнСб-п;60;20170801;140000;6.25;6.5;6.25;6.5;3;0
МариЭнСб-п;60;20170801;170000;5.27;5.27;5.25;5.25;3;0
МариЭнСб-п;60;20170801;180000;5.15;5.31;5.14;5.31;11;0
МариЭнСб-п;60;20170802;160000;6.4;6.4;6.4;6.4;4;0
МариЭнСб-п;60;20170803;100000;5.12;5.4;5.11;5.4;5;0
МариЭнСб-п;60;20170803;110000;6.2;6.2;6.2;6.2;1;0
МариЭнСб-п;60;20170803;130000;5.2;5.21;5.19;5.19;6;0
МариЭнСб-п;60;20170803;140000;5.21;5.21;4.75;5.05;14;0
МариЭнСб-п;60;20170804;130000;4.66;5.34;4.66;5.34;2;0
МариЭнСб-п;60;20170809;100000;4.9;4.9;4.47;4.47;3;0
МариЭнСб-п;60;20170809;180000;4.59;4.59;4.59;4.59;2;0
МариЭнСб-п;60;20170810;100000;4.5;4.5;4.5;4.5;1;0
МариЭнСб-п;60;20170810;180000;4.6;4.6;4.6;4.6;1;0
МариЭнСб-п;60;20170811;120000;4.41;4.48;4.41;4.48;2;0
МариЭнСб-п;60;20170811;160000;4.41;4.48;4.4;4.48;3;0
МариЭнСб-п;60;20170821;110000;4.25;4.25;3.52;3.52;4;0
МариЭнСб-п;60;20170821;150000;3.91;3.91;3.91;3.91;1;0
МариЭнСб-п;60;20170821;160000;3.98;3.98;3.98;3.98;1;0
МариЭнСб-п;60;20170821;170000;4.25;4.45;4.25;4.45;2;0
МариЭнСб-п;60;20170822;170000;3.98;3.98;3.98;3.98;1;0
МариЭнСб-п;60;20170823;160000;3.81;3.81;3.81;3.81;1;0
МариЭнСб-п;60;20170823;180000;3.88;4.38;3.88;4.38;2;0
МариЭнСб-п;60;20170828;100000;4.08;4.08;4.08;4.08;2;0
