<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МегаФон ао;60;20170124;090000;627.5;627.5;627.5;627.5;58;0
МегаФон ао;60;20170124;100000;626.7;634.1;626.5;631.8;2894;0
МегаФон ао;60;20170124;110000;632.1;633.5;631.8;633;1288;0
МегаФон ао;60;20170124;120000;633;634;632.3;632.9;1110;0
МегаФон ао;60;20170124;130000;632.8;633;631.8;632.2;604;0
МегаФон ао;60;20170124;140000;632.3;633;631.7;633;316;0
МегаФон ао;60;20170124;150000;633;633;631.6;632;470;0
МегаФон ао;60;20170124;160000;632.6;633.2;631.5;633;628;0
МегаФон ао;60;20170124;170000;632.7;633.7;630;632;2408;0
МегаФон ао;60;20170124;180000;632;633.8;631.4;631.5;1438;0
МегаФон ао;60;20170125;090000;632.1;632.1;632.1;632.1;3;0
МегаФон ао;60;20170125;100000;632.1;640;630.5;638;4863;0
МегаФон ао;60;20170125;110000;638;638.6;626.5;627.4;4320;0
МегаФон ао;60;20170125;120000;628.1;629.8;625.8;628.5;2834;0
МегаФон ао;60;20170125;130000;628.4;630.1;628.1;628.1;340;0
МегаФон ао;60;20170125;140000;628.1;628.5;626;626.7;1873;0
МегаФон ао;60;20170125;150000;626.6;627.7;625;626.3;1124;0
МегаФон ао;60;20170125;160000;626.1;626.8;625;625.1;1702;0
МегаФон ао;60;20170125;170000;625.3;625.7;624;624.7;1361;0
МегаФон ао;60;20170125;180000;624.9;624.9;620;621;9242;0
МегаФон ао;60;20170126;100000;621;625.6;620.9;624.7;1474;0
МегаФон ао;60;20170126;110000;624.7;629.7;624.7;629;1878;0
МегаФон ао;60;20170126;120000;629.5;631;629.4;630.1;965;0
МегаФон ао;60;20170126;130000;630;634.8;628.6;633.6;2574;0
МегаФон ао;60;20170126;140000;634.4;635.8;632.1;635.5;2192;0
МегаФон ао;60;20170126;150000;635.5;641;634.9;640.7;8584;0
МегаФон ао;60;20170126;160000;640.7;641;637.5;639.6;5217;0
МегаФон ао;60;20170126;170000;640;641.9;636.4;637;2418;0
МегаФон ао;60;20170126;180000;636.5;637;634;634.4;1036;0
МегаФон ао;60;20170127;090000;639;639;639;639;15;0
МегаФон ао;60;20170127;100000;635.1;639.3;633.8;636.4;1259;0
МегаФон ао;60;20170127;110000;636.3;638.8;634.7;635.7;1419;0
МегаФон ао;60;20170127;120000;635.1;642.6;635;640;2761;0
МегаФон ао;60;20170127;130000;640;640.3;635.5;636;538;0
МегаФон ао;60;20170127;140000;636;636.3;635;635;303;0
МегаФон ао;60;20170127;150000;635;640;635;637;828;0
МегаФон ао;60;20170127;160000;636.7;637.2;632.4;636.3;2046;0
МегаФон ао;60;20170127;170000;636;636.5;634.1;636.5;761;0
МегаФон ао;60;20170127;180000;636.5;639;636.2;638.9;2875;0
МегаФон ао;60;20170130;090000;638.9;638.9;638.9;638.9;3;0
МегаФон ао;60;20170130;100000;638.2;638.6;633.2;635.5;2430;0
МегаФон ао;60;20170130;110000;635.7;641.1;635.5;639.9;3468;0
МегаФон ао;60;20170130;120000;640.1;643;639.8;641.3;3126;0
