<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Мегион-ао;60;20170125;100000;544;544;531;540;3;0
Мегион-ао;60;20170127;170000;554;554;554;554;1;0
Мегион-ао;60;20170130;120000;553;553;549;550;5;0
Мегион-ао;60;20170130;140000;553;554;553;554;2;0
Мегион-ао;60;20170131;170000;541;541;540;540;3;0
Мегион-ао;60;20170203;110000;529;529;529;529;2;0
Мегион-ао;60;20170203;120000;525;525;525;525;2;0
Мегион-ао;60;20170203;130000;517;524;512;524;6;0
Мегион-ао;60;20170203;170000;524;524;524;524;2;0
Мегион-ао;60;20170206;110000;539;539;539;539;2;0
Мегион-ао;60;20170206;140000;530;530;530;530;17;0
Мегион-ао;60;20170207;110000;544;544;544;544;1;0
Мегион-ао;60;20170207;120000;540;550;517;530;22;0
Мегион-ао;60;20170207;140000;530;530;530;530;1;0
Мегион-ао;60;20170207;160000;530;530;530;530;17;0
Мегион-ао;60;20170207;170000;535;535;535;535;561;0
Мегион-ао;60;20170208;110000;535;535;535;535;26;0
Мегион-ао;60;20170208;140000;533;538;533;538;8;0
Мегион-ао;60;20170209;150000;543;550;540;550;88;0
Мегион-ао;60;20170209;160000;550;550;550;550;5;0
Мегион-ао;60;20170209;180000;550;550;550;550;1;0
Мегион-ао;60;20170210;120000;555;565;555;565;37;0
Мегион-ао;60;20170210;130000;571;580;571;580;24;0
Мегион-ао;60;20170213;100000;584;584;575;575;52;0
Мегион-ао;60;20170213;110000;568;570;567;570;3;0
Мегион-ао;60;20170213;130000;561;561;560;560;6;0
Мегион-ао;60;20170213;150000;574;584;574;580;37;0
Мегион-ао;60;20170213;160000;585;600;585;590;11;0
Мегион-ао;60;20170213;170000;600;620;600;600;92;0
Мегион-ао;60;20170214;130000;624;624;624;624;1;0
Мегион-ао;60;20170214;150000;624;624;624;624;1;0
Мегион-ао;60;20170214;160000;615;615;615;615;2;0
Мегион-ао;60;20170215;120000;608;608;608;608;2;0
Мегион-ао;60;20170215;130000;608;608;608;608;16;0
Мегион-ао;60;20170215;170000;624;624;624;624;1;0
Мегион-ао;60;20170216;130000;630;630;630;630;7;0
Мегион-ао;60;20170216;150000;613;619;600;600;7;0
Мегион-ао;60;20170216;160000;600;619;600;610;15;0
Мегион-ао;60;20170220;100000;595;595;572;572;3;0
Мегион-ао;60;20170220;110000;604;604;604;604;1;0
Мегион-ао;60;20170220;150000;604;604;604;604;1;0
Мегион-ао;60;20170220;170000;604;604;604;604;1;0
Мегион-ао;60;20170220;180000;600;600;600;600;1;0
Мегион-ао;60;20170221;150000;599;618;599;618;30;0
Мегион-ао;60;20170221;180000;611;611;581;581;46;0
Мегион-ао;60;20170222;120000;607;607;590;600;18;0
Мегион-ао;60;20170222;130000;600;600;600;600;7;0
Мегион-ао;60;20170222;140000;612;612;610;612;16;0
Мегион-ао;60;20170222;160000;612;612;600;600;8;0
Мегион-ао;60;20170227;180000;590;591;590;591;2;0
Мегион-ао;60;20170228;100000;572;610;572;610;576;0
Мегион-ао;60;20170228;110000;609;609;609;609;3;0
Мегион-ао;60;20170228;120000;590;590;590;590;1;0
Мегион-ао;60;20170228;130000;599;599;599;599;2;0
Мегион-ао;60;20170228;180000;582;582;582;582;1;0
Мегион-ао;60;20170301;100000;587;588;587;588;2;0
Мегион-ао;60;20170302;100000;614;614;614;614;4;0
Мегион-ао;60;20170302;110000;615;615;614;614;15;0
Мегион-ао;60;20170302;120000;624;624;620;620;3;0
Мегион-ао;60;20170302;160000;612;612;612;612;1;0
Мегион-ао;60;20170302;180000;612;612;593;600;10;0
Мегион-ао;60;20170303;100000;587;594;575;588;1726;0
Мегион-ао;60;20170303;160000;583;583;580;580;11;0
Мегион-ао;60;20170306;180000;579;580;579;580;33;0
Мегион-ао;60;20170307;110000;580;580;580;580;30;0
Мегион-ао;60;20170307;160000;582;582;580;580;26;0
Мегион-ао;60;20170309;120000;591;650;590;590;13;0
Мегион-ао;60;20170309;150000;600;600;600;600;1;0
