<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Мегион-ап;60;20170124;100000;449;449;449;449;3;0
Мегион-ап;60;20170124;120000;450;450;430;430;80;0
Мегион-ап;60;20170124;130000;441;441;439;440;3;0
Мегион-ап;60;20170124;160000;447;447;447;447;1;0
Мегион-ап;60;20170125;180000;442;442;437;437;11;0
Мегион-ап;60;20170126;110000;448;454;448;449;4;0
Мегион-ап;60;20170126;120000;449;449;448;448;2;0
Мегион-ап;60;20170126;150000;444;445;444;445;3;0
Мегион-ап;60;20170126;170000;445;445;443;443;4;0
Мегион-ап;60;20170126;180000;444;444;444;444;1;0
Мегион-ап;60;20170127;100000;441;441;441;441;1;0
Мегион-ап;60;20170127;120000;442;442;442;442;1;0
Мегион-ап;60;20170127;140000;441;441;420;432;26;0
Мегион-ап;60;20170127;160000;437;438;437;438;3;0
Мегион-ап;60;20170127;170000;441;442;441;442;4;0
Мегион-ап;60;20170127;180000;436;436;436;436;1;0
Мегион-ап;60;20170130;160000;438;438;436;436;3;0
Мегион-ап;60;20170130;170000;434;434;434;434;1;0
Мегион-ап;60;20170130;180000;433;433;433;433;1;0
Мегион-ап;60;20170131;090000;430;430;430;430;1;0
Мегион-ап;60;20170131;100000;430;430;430;430;6;0
Мегион-ап;60;20170131;140000;430;430;430;430;20;0
Мегион-ап;60;20170131;160000;430;430;430;430;1;0
Мегион-ап;60;20170131;170000;429;429;429;429;3;0
Мегион-ап;60;20170131;180000;428;428;428;428;3;0
Мегион-ап;60;20170201;100000;435;435;430;430;12;0
Мегион-ап;60;20170201;110000;430;430;428;428;3;0
Мегион-ап;60;20170201;120000;428;429;428;429;20;0
Мегион-ап;60;20170201;130000;429;429;429;429;1;0
Мегион-ап;60;20170201;150000;429;435;429;435;96;0
Мегион-ап;60;20170201;170000;430;430;430;430;4;0
Мегион-ап;60;20170202;100000;430;430;430;430;3;0
Мегион-ап;60;20170202;110000;429;429;429;429;1;0
Мегион-ап;60;20170202;120000;430;430;430;430;20;0
Мегион-ап;60;20170202;130000;430;430;430;430;22;0
Мегион-ап;60;20170202;140000;429;429;428;428;5;0
Мегион-ап;60;20170202;160000;427;427;427;427;1;0
Мегион-ап;60;20170203;100000;426;430;426;430;160;0
Мегион-ап;60;20170203;110000;427;430;427;430;21;0
Мегион-ап;60;20170203;120000;430;432;430;432;21;0
Мегион-ап;60;20170203;150000;434;434;434;434;1;0
Мегион-ап;60;20170203;170000;433;433;433;433;2;0
Мегион-ап;60;20170206;100000;437;438;437;438;8;0
Мегион-ап;60;20170206;110000;439;442;438;442;4;0
Мегион-ап;60;20170206;120000;440;442;440;442;5;0
Мегион-ап;60;20170206;130000;444;444;444;444;1;0
Мегион-ап;60;20170206;140000;445;459;440;440;77;0
Мегион-ап;60;20170207;100000;442;442;437;441;3;0
Мегион-ап;60;20170207;110000;443;450;441;450;21;0
Мегион-ап;60;20170207;120000;450;450;450;450;2;0
Мегион-ап;60;20170208;140000;454;454;454;454;2;0
Мегион-ап;60;20170209;110000;450;450;450;450;1;0
Мегион-ап;60;20170209;120000;450;450;450;450;1;0
Мегион-ап;60;20170209;150000;454;487;454;487;310;0
Мегион-ап;60;20170209;160000;479;479;471;471;6;0
Мегион-ап;60;20170209;170000;472;472;472;472;2;0
Мегион-ап;60;20170210;110000;478;482;478;482;2;0
Мегион-ап;60;20170210;120000;481;481;481;481;1;0
Мегион-ап;60;20170210;130000;482;518;482;509;90;0
Мегион-ап;60;20170210;140000;508;508;508;508;2;0
Мегион-ап;60;20170210;150000;508;508;500;500;50;0
Мегион-ап;60;20170210;160000;503;503;500;502;22;0
Мегион-ап;60;20170210;170000;500;500;500;500;39;0
Мегион-ап;60;20170210;180000;496;496;480;490;110;0
Мегион-ап;60;20170213;110000;486;486;483;483;2;0
Мегион-ап;60;20170213;130000;481;481;480;480;2;0
Мегион-ап;60;20170213;150000;488;514;488;504;102;0
Мегион-ап;60;20170213;160000;502;502;500;500;3;0
Мегион-ап;60;20170213;170000;498;532;490;522;187;0
Мегион-ап;60;20170213;180000;529;529;529;529;1;0
Мегион-ап;60;20170214;140000;518;520;518;520;19;0
Мегион-ап;60;20170214;150000;520;520;520;520;1;0
Мегион-ап;60;20170214;170000;520;520;520;520;7;0
Мегион-ап;60;20170215;100000;518;518;517;517;2;0
Мегион-ап;60;20170215;110000;513;513;507;510;3;0
Мегион-ап;60;20170215;120000;514;514;514;514;3;0
Мегион-ап;60;20170215;130000;514;514;514;514;78;0
Мегион-ап;60;20170215;140000;514;514;514;514;11;0
Мегион-ап;60;20170215;150000;517;518;517;518;2;0
Мегион-ап;60;20170215;160000;524;524;520;520;2;0
Мегион-ап;60;20170216;120000;516;524;516;524;2;0
Мегион-ап;60;20170216;150000;516;516;500;500;9;0
Мегион-ап;60;20170216;160000;500;500;500;500;61;0
Мегион-ап;60;20170216;170000;500;500;500;500;10;0
Мегион-ап;60;20170217;110000;495;495;495;495;2;0
Мегион-ап;60;20170217;130000;494;494;494;494;1;0
Мегион-ап;60;20170217;140000;495;495;495;495;8;0
Мегион-ап;60;20170217;170000;488;490;488;488;5;0
Мегион-ап;60;20170220;100000;503;503;500;500;2;0
Мегион-ап;60;20170220;130000;503;508;503;508;10;0
Мегион-ап;60;20170220;140000;508;508;508;508;1;0
Мегион-ап;60;20170220;150000;500;500;493;493;7;0
Мегион-ап;60;20170221;100000;503;503;503;503;1;0
Мегион-ап;60;20170221;120000;503;503;503;503;25;0
Мегион-ап;60;20170221;150000;502;514;502;514;110;0
Мегион-ап;60;20170221;160000;514;514;502;502;401;0
Мегион-ап;60;20170221;170000;512;512;512;512;1;0
Мегион-ап;60;20170222;100000;514;517;514;517;4;0
Мегион-ап;60;20170222;120000;518;518;518;518;10;0
