<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Мечел ао;60;20170124;090000;188.44;188.44;188.44;188.44;1000;0
Мечел ао;60;20170124;100000;188.44;188.44;187.1;187.98;104528;0
Мечел ао;60;20170124;110000;187.98;188.48;187.72;187.98;30711;0
Мечел ао;60;20170124;120000;187.84;188.39;187.71;188.09;20060;0
Мечел ао;60;20170124;130000;188.13;188.27;187.4;187.87;36164;0
Мечел ао;60;20170124;140000;187.8;188.11;187.4;188;29058;0
Мечел ао;60;20170124;150000;188;188.17;187.5;187.9;29977;0
Мечел ао;60;20170124;160000;188;191.88;187.9;189.77;506466;0
Мечел ао;60;20170124;170000;189.68;190.5;188.8;190.45;166129;0
Мечел ао;60;20170124;180000;190.47;190.8;190.11;190.73;107392;0
Мечел ао;60;20170125;090000;191;191;191;191;5767;0
Мечел ао;60;20170125;100000;191.01;194.06;189.58;192.74;395340;0
Мечел ао;60;20170125;110000;192.74;192.74;191.37;191.91;110962;0
Мечел ао;60;20170125;120000;192.09;192.36;190.53;191.36;55162;0
Мечел ао;60;20170125;130000;191.29;191.78;190.6;190.99;19276;0
Мечел ао;60;20170125;140000;190.98;191.48;190.6;191.48;13211;0
Мечел ао;60;20170125;150000;191.47;191.48;190.53;190.65;25475;0
Мечел ао;60;20170125;160000;190.54;190.69;188.72;190.01;84519;0
Мечел ао;60;20170125;170000;190.01;191.48;189.42;191;71559;0
Мечел ао;60;20170125;180000;191.01;191.41;189.46;189.98;44957;0
Мечел ао;60;20170126;090000;189.37;189.37;189.37;189.37;423;0
Мечел ао;60;20170126;100000;189.37;190.11;188.02;189.58;204676;0
Мечел ао;60;20170126;110000;189.58;190.24;188.78;189.25;45090;0
Мечел ао;60;20170126;120000;189.2;190.25;188.73;190;149014;0
Мечел ао;60;20170126;130000;189.96;190.25;189.81;190;97988;0
Мечел ао;60;20170126;140000;190.19;190.65;189.59;190.4;149715;0
Мечел ао;60;20170126;150000;190.51;190.65;190;190.26;94762;0
Мечел ао;60;20170126;160000;190.26;190.34;189.44;190.14;73177;0
Мечел ао;60;20170126;170000;190.13;190.14;188.83;189.69;82792;0
Мечел ао;60;20170126;180000;189.77;190.61;189.5;190;92563;0
Мечел ао;60;20170127;090000;189.67;189.67;189.67;189.67;2441;0
Мечел ао;60;20170127;100000;189.67;189.89;188.71;188.81;86464;0
Мечел ао;60;20170127;110000;188.98;189.57;188.6;189.19;85251;0
Мечел ао;60;20170127;120000;189.17;192.93;188.63;191.01;391906;0
Мечел ао;60;20170127;130000;191.34;191.4;190.04;190.51;57882;0
Мечел ао;60;20170127;140000;190.51;192.5;190.51;191.75;80134;0
Мечел ао;60;20170127;150000;191.78;192.12;191.56;191.9;46936;0
Мечел ао;60;20170127;160000;191.81;192.15;191;192.12;80894;0
Мечел ао;60;20170127;170000;192.12;192.2;191.01;191.23;81556;0
Мечел ао;60;20170127;180000;191.41;191.5;189.95;190.01;104493;0
Мечел ао;60;20170130;090000;190.5;190.5;190.5;190.5;650;0
Мечел ао;60;20170130;100000;190.3;192;190;190.75;97642;0
Мечел ао;60;20170130;110000;190.73;191;189.74;190.22;49790;0
Мечел ао;60;20170130;120000;190.21;191.1;189.52;189.72;60992;0
Мечел ао;60;20170130;130000;189.72;191.47;189.48;190.65;48588;0
Мечел ао;60;20170130;140000;190.63;191.27;190.01;190.34;39002;0
