<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Мечел ап;60;20170124;090000;158;158;158;158;4;0
Мечел ап;60;20170124;100000;158;159.5;157.2;157.3;2540;0
Мечел ап;60;20170124;110000;157.35;158.5;157.15;158.1;2028;0
Мечел ап;60;20170124;120000;158.5;158.9;158.1;158.3;311;0
Мечел ап;60;20170124;130000;158.35;159;158.1;158.25;1224;0
Мечел ап;60;20170124;140000;158.65;159;158.1;158.1;1578;0
Мечел ап;60;20170124;150000;158.5;158.9;157.75;157.95;1710;0
Мечел ап;60;20170124;160000;157.95;159;157.45;157.95;4551;0
Мечел ап;60;20170124;170000;158;158.45;157.75;158.3;933;0
Мечел ап;60;20170124;180000;158.2;158.7;157.5;158.7;3164;0
Мечел ап;60;20170125;090000;158.75;158.75;158.75;158.75;1;0
Мечел ап;60;20170125;100000;158.7;159.6;157.4;158.6;5318;0
Мечел ап;60;20170125;110000;158.6;158.95;157.7;158.35;2598;0
Мечел ап;60;20170125;120000;158.55;158.9;157.7;157.95;3634;0
Мечел ап;60;20170125;130000;157.8;159.35;157.75;157.95;3429;0
Мечел ап;60;20170125;140000;158.2;158.5;157.8;158;921;0
Мечел ап;60;20170125;150000;158;158;157.4;158;2822;0
Мечел ап;60;20170125;160000;158;158;157;157.45;2072;0
Мечел ап;60;20170125;170000;157.15;157.75;157;157.5;1050;0
Мечел ап;60;20170125;180000;157.55;157.55;157.05;157.15;1176;0
Мечел ап;60;20170126;090000;157.8;157.8;157.8;157.8;8;0
Мечел ап;60;20170126;100000;157.8;159;157;158;2636;0
Мечел ап;60;20170126;110000;158.3;160.45;158;158.95;6682;0
Мечел ап;60;20170126;120000;159;162.5;159;162.45;5063;0
Мечел ап;60;20170126;130000;161.9;162.95;161.7;162.85;4318;0
Мечел ап;60;20170126;140000;162.55;162.55;160.1;161.9;5568;0
Мечел ап;60;20170126;150000;161.9;161.9;160.8;161.1;1142;0
Мечел ап;60;20170126;160000;161.05;161.5;159;159.75;11092;0
Мечел ап;60;20170126;170000;160.3;160.35;158.5;159.8;2652;0
Мечел ап;60;20170126;180000;159.9;160.7;158.6;159;3538;0
Мечел ап;60;20170127;090000;160;160;160;160;93;0
Мечел ап;60;20170127;100000;160;161.75;158.55;160.5;2276;0
Мечел ап;60;20170127;110000;160.4;162;160.4;160.65;1506;0
Мечел ап;60;20170127;120000;161;162.05;160.65;161.95;1685;0
Мечел ап;60;20170127;130000;161.25;162.1;160.95;161.4;1838;0
Мечел ап;60;20170127;140000;161.5;161.85;158.9;160;9087;0
Мечел ап;60;20170127;150000;160;160.9;159;160.3;1956;0
Мечел ап;60;20170127;160000;159.7;160.9;159.4;160.25;999;0
Мечел ап;60;20170127;170000;160.85;161.3;159.8;160.05;2223;0
Мечел ап;60;20170127;180000;160.2;160.2;158.9;159.75;4670;0
Мечел ап;60;20170130;090000;159.95;159.95;159.95;159.95;33;0
Мечел ап;60;20170130;100000;159.15;162.7;158.85;161.75;5003;0
Мечел ап;60;20170130;110000;161.3;161.85;160.9;160.95;1724;0
Мечел ап;60;20170130;120000;161;162.5;160.95;161.5;4036;0
Мечел ап;60;20170130;130000;161.25;161.9;160.7;161.6;1466;0
Мечел ап;60;20170130;140000;161.45;161.95;161;161.9;1146;0
Мечел ап;60;20170130;150000;161.45;161.9;161.25;161.9;1208;0
Мечел ап;60;20170130;160000;161.5;161.9;160.55;160.85;1249;0
Мечел ап;60;20170130;170000;160.85;161.65;160.2;160.2;993;0
Мечел ап;60;20170130;180000;160.8;161.8;160.2;160.45;1090;0
Мечел ап;60;20170131;100000;160.45;161.4;111.55;158.25;22972;0
Мечел ап;60;20170131;110000;158.4;158.9;157.5;157.65;2489;0
Мечел ап;60;20170131;120000;157.9;158.3;157.5;158.3;2839;0
Мечел ап;60;20170131;130000;158.5;159;158.35;158.95;1354;0
Мечел ап;60;20170131;140000;158.7;160;158.5;158.5;2675;0
Мечел ап;60;20170131;150000;159.4;159.95;158.3;158.5;329;0
Мечел ап;60;20170131;160000;158.6;160;158.55;160;1513;0
Мечел ап;60;20170131;170000;160;160.55;159.35;159.6;1710;0
Мечел ап;60;20170131;180000;159.6;160.85;159;160.3;4335;0
Мечел ап;60;20170201;100000;157.65;162;157;159.75;4862;0
Мечел ап;60;20170201;110000;160;160.5;159;159;1908;0
Мечел ап;60;20170201;120000;159.2;159.2;157.5;158.85;1865;0
Мечел ап;60;20170201;130000;158.7;158.7;156.55;157.9;4142;0
Мечел ап;60;20170201;140000;157.85;158;157.5;158;1247;0
Мечел ап;60;20170201;150000;157.8;158;157.5;158;3694;0
Мечел ап;60;20170201;160000;157.95;158.3;157.6;158.1;652;0
Мечел ап;60;20170201;170000;158.25;159;157.6;157.6;828;0
Мечел ап;60;20170201;180000;157.6;159.2;157.5;157.6;1692;0
Мечел ап;60;20170202;090000;157.55;157.55;157.55;157.55;10;0
Мечел ап;60;20170202;100000;157.55;162;157;161.4;11117;0
Мечел ап;60;20170202;110000;161.15;161.5;160.2;160.5;1170;0
Мечел ап;60;20170202;120000;160.2;161.1;160.15;160.75;1264;0
Мечел ап;60;20170202;130000;161;161.1;160.5;160.95;881;0
Мечел ап;60;20170202;140000;160.85;162.7;160.85;162.1;6879;0
Мечел ап;60;20170202;150000;162.6;162.95;160.75;161.55;4771;0
Мечел ап;60;20170202;160000;161.1;161.95;159.95;159.95;2060;0
Мечел ап;60;20170202;170000;159.95;160.8;159.55;160.8;2164;0
Мечел ап;60;20170202;180000;160.35;161.2;159.45;161.2;1713;0
Мечел ап;60;20170203;100000;162;163.5;160.15;160.65;1500;0
Мечел ап;60;20170203;110000;160.6;161.6;160.1;161.15;1326;0
Мечел ап;60;20170203;120000;161;161.05;160;160.4;1815;0
Мечел ап;60;20170203;130000;160.2;160.4;160.15;160.3;245;0
Мечел ап;60;20170203;140000;160.2;162.65;159.95;162.3;1845;0
Мечел ап;60;20170203;150000;162.3;162.45;161.9;162;1306;0
Мечел ап;60;20170203;160000;162.05;162.15;160.45;161.4;299;0
Мечел ап;60;20170203;170000;161.25;162;160.25;160.25;1410;0
Мечел ап;60;20170203;180000;160.35;160.7;159.5;160.4;902;0
Мечел ап;60;20170206;090000;160.5;160.5;160.5;160.5;2;0
Мечел ап;60;20170206;100000;161.85;161.95;159.7;161;1621;0
Мечел ап;60;20170206;110000;160.75;161.4;160.1;161.3;2625;0
Мечел ап;60;20170206;120000;161.1;161.25;160.6;161.1;361;0
Мечел ап;60;20170206;130000;160.65;161.05;160.2;160.8;639;0
Мечел ап;60;20170206;140000;160.85;160.9;160.15;160.7;776;0
Мечел ап;60;20170206;150000;160.85;160.85;160.1;160.45;1083;0
Мечел ап;60;20170206;160000;160.45;160.8;160.1;160.1;265;0
Мечел ап;60;20170206;170000;160.35;160.85;158.8;160.4;3332;0
Мечел ап;60;20170206;180000;160.35;162.5;160;162.45;4488;0
Мечел ап;60;20170207;090000;162.9;162.9;162.9;162.9;96;0
Мечел ап;60;20170207;100000;162.9;163.35;161.5;162.6;5083;0
Мечел ап;60;20170207;110000;162.6;162.95;161.1;161.95;1478;0
Мечел ап;60;20170207;120000;162.3;162.6;161;161.35;2172;0
Мечел ап;60;20170207;130000;161.2;162.4;161.2;161.4;1285;0
Мечел ап;60;20170207;140000;161.4;161.8;161;161.75;1541;0
Мечел ап;60;20170207;150000;161.75;161.8;161.05;161.8;970;0
Мечел ап;60;20170207;160000;161.75;162.4;161.75;162.35;2063;0
Мечел ап;60;20170207;170000;162.4;162.8;160.35;161.45;3553;0
Мечел ап;60;20170207;180000;161.55;162.4;160.35;161.3;3674;0
Мечел ап;60;20170208;090000;161.65;161.65;161.65;161.65;10;0
Мечел ап;60;20170208;100000;161.65;163.5;161.4;162.3;5235;0
Мечел ап;60;20170208;110000;162.15;162.5;161.8;162.3;2670;0
Мечел ап;60;20170208;120000;162;162.5;161.5;162.4;3299;0
Мечел ап;60;20170208;130000;162.45;162.45;161.2;161.2;2182;0
Мечел ап;60;20170208;140000;161.2;162.15;160.9;161.9;2707;0
Мечел ап;60;20170208;150000;162.15;162.15;161;161.85;1177;0
Мечел ап;60;20170208;160000;161.55;162.05;161.2;161.85;578;0
Мечел ап;60;20170208;170000;161.9;162;161;161;955;0
Мечел ап;60;20170208;180000;161.35;161.35;160;161;4789;0
Мечел ап;60;20170209;100000;160.1;161.95;159.8;160;4053;0
Мечел ап;60;20170209;110000;160.2;160.8;159.8;160.8;3722;0
Мечел ап;60;20170209;120000;160.25;161;159.1;159.2;3259;0
Мечел ап;60;20170209;130000;159.45;159.5;154.15;155;4880;0
Мечел ап;60;20170209;140000;155;158.1;154.8;157.75;3123;0
Мечел ап;60;20170209;150000;157.7;158.8;157.05;158.75;1215;0
Мечел ап;60;20170209;160000;158.25;158.7;157.9;158.7;558;0
Мечел ап;60;20170209;170000;158.65;158.9;158;158.75;1044;0
Мечел ап;60;20170209;180000;158.3;158.85;158;158;1262;0
Мечел ап;60;20170210;100000;159.95;160.95;158.55;160;1830;0
Мечел ап;60;20170210;110000;159.85;160;155.05;155.3;4258;0
Мечел ап;60;20170210;120000;155.3;156.5;155.3;155.75;1269;0
Мечел ап;60;20170210;130000;155.8;157;155.5;156.9;1506;0
Мечел ап;60;20170210;140000;156.85;157.95;156.1;156.35;994;0
Мечел ап;60;20170210;150000;156.35;156.8;156.3;156.55;276;0
Мечел ап;60;20170210;160000;156.4;156.6;156.15;156.45;359;0
Мечел ап;60;20170210;170000;156.25;156.4;155.1;156.25;2831;0
Мечел ап;60;20170210;180000;156.05;156.4;155.5;156;852;0
Мечел ап;60;20170213;090000;157.05;157.05;157.05;157.05;10;0
Мечел ап;60;20170213;100000;157.05;157.95;156.4;156.9;3032;0
Мечел ап;60;20170213;110000;157;157.2;155.8;156;1271;0
Мечел ап;60;20170213;120000;156.2;157;155.85;156.35;1047;0
Мечел ап;60;20170213;130000;156.15;156.95;155.8;156.75;1632;0
Мечел ап;60;20170213;140000;156.7;156.7;155.8;156.4;700;0
Мечел ап;60;20170213;150000;156.4;156.4;155.8;156;688;0
Мечел ап;60;20170213;160000;156;156.3;154.6;155.2;3902;0
Мечел ап;60;20170213;170000;155.3;156.3;154.65;155.1;1590;0
Мечел ап;60;20170213;180000;155.25;155.75;154.6;154.95;839;0
Мечел ап;60;20170214;100000;155.85;155.85;147.25;149;12339;0
Мечел ап;60;20170214;110000;149.05;150.8;148.6;149.95;3998;0
Мечел ап;60;20170214;120000;149.3;150.45;148.6;149.4;3571;0
Мечел ап;60;20170214;130000;149.6;150;149.3;149.5;1527;0
Мечел ап;60;20170214;140000;149.5;149.9;149.35;149.7;511;0
Мечел ап;60;20170214;150000;149.8;149.9;149.55;149.8;491;0
Мечел ап;60;20170214;160000;149.8;150.5;149.55;149.9;3661;0
Мечел ап;60;20170214;170000;150;150;149.7;150;3884;0
Мечел ап;60;20170214;180000;150;151;148.6;148.95;6242;0
Мечел ап;60;20170215;090000;146;146;146;146;176;0
Мечел ап;60;20170215;100000;145.95;147.8;143;143.75;10467;0
Мечел ап;60;20170215;110000;143.75;143.95;140.7;143.45;13861;0
Мечел ап;60;20170215;120000;143.15;145.7;142.7;144.45;5962;0
Мечел ап;60;20170215;130000;144.5;146.8;144.4;145.9;9104;0
Мечел ап;60;20170215;140000;145.9;146;145.5;145.9;1857;0
Мечел ап;60;20170215;150000;145.95;146.5;145.7;146.5;897;0
Мечел ап;60;20170215;160000;146.5;148.9;146.45;148.9;3750;0
Мечел ап;60;20170215;170000;148.75;149;144.65;144.9;5895;0
Мечел ап;60;20170215;180000;144.9;145.7;144.2;145.05;1201;0
Мечел ап;60;20170216;100000;146.75;146.75;143.7;144.55;4359;0
Мечел ап;60;20170216;110000;144.6;145.95;143.7;145.05;1504;0
Мечел ап;60;20170216;120000;145;148.45;144.9;148.45;8992;0
Мечел ап;60;20170216;130000;148.4;148.95;147;148.55;8062;0
Мечел ап;60;20170216;140000;148.55;148.55;147.45;148.5;1196;0
Мечел ап;60;20170216;150000;148.5;149.5;148.15;149.25;7507;0
Мечел ап;60;20170216;160000;149.2;149.85;148.55;148.8;2552;0
Мечел ап;60;20170216;170000;148.8;148.8;147.1;148;5659;0
Мечел ап;60;20170216;180000;148;149;148;148.3;1914;0
Мечел ап;60;20170217;090000;149.9;149.9;149.9;149.9;10;0
Мечел ап;60;20170217;100000;149.3;152.7;149.3;151.6;10801;0
Мечел ап;60;20170217;110000;151.7;156;151.5;152.8;8054;0
Мечел ап;60;20170217;120000;153.1;154.05;151.4;151.9;4109;0
Мечел ап;60;20170217;130000;151.85;152.45;151.4;152.35;2704;0
Мечел ап;60;20170217;140000;152.15;153;151.05;151.5;3276;0
Мечел ап;60;20170217;150000;151.3;151.95;151;151.25;1336;0
Мечел ап;60;20170217;160000;151.3;152.55;150.05;152.35;1152;0
Мечел ап;60;20170217;170000;151.5;152.2;149.45;149.45;1191;0
Мечел ап;60;20170217;180000;149.45;150.95;149.2;150.95;2267;0
Мечел ап;60;20170220;090000;150.5;150.5;150.5;150.5;1;0
Мечел ап;60;20170220;100000;150.5;152.9;147.5;149;3587;0
Мечел ап;60;20170220;110000;148.7;148.9;146.6;147.3;2198;0
Мечел ап;60;20170220;120000;147;147.45;146;147;1609;0
Мечел ап;60;20170220;130000;147.3;147.45;146.8;147.1;1302;0
Мечел ап;60;20170220;140000;147.25;147.5;146.95;147.25;1067;0
Мечел ап;60;20170220;150000;147.25;147.55;146.8;147.55;2935;0
Мечел ап;60;20170220;160000;147.55;148.4;147.1;147.6;1087;0
Мечел ап;60;20170220;170000;147.55;147.95;147.15;147.15;2986;0
Мечел ап;60;20170220;180000;147.45;147.6;147.15;147.5;1952;0
Мечел ап;60;20170221;090000;148;148;148;148;1;0
Мечел ап;60;20170221;100000;148;149.7;146.1;147.6;2718;0
Мечел ап;60;20170221;110000;147.5;147.9;146.8;147;747;0
Мечел ап;60;20170221;120000;146.8;148.25;146.8;147.95;805;0
Мечел ап;60;20170221;130000;147.75;149.4;146.7;146.9;2803;0
Мечел ап;60;20170221;140000;147;147;146.35;146.45;745;0
Мечел ап;60;20170221;150000;146.8;147.75;146.8;147.75;1147;0
Мечел ап;60;20170221;160000;147.85;148;147.15;147.4;597;0
Мечел ап;60;20170221;170000;147.4;147.4;147.1;147.4;299;0
Мечел ап;60;20170221;180000;147.25;147.4;146.85;147;266;0
Мечел ап;60;20170222;100000;147.35;151.95;147.35;149.6;4277;0
Мечел ап;60;20170222;110000;149.6;149.95;148.65;149;1803;0
Мечел ап;60;20170222;120000;148.95;149.45;148.3;149;667;0
Мечел ап;60;20170222;130000;149;149.2;148.55;149;543;0
Мечел ап;60;20170222;140000;149;149.35;148.4;148.5;852;0
Мечел ап;60;20170222;150000;148.5;148.85;147.55;147.7;1234;0
Мечел ап;60;20170222;160000;147.7;147.9;145.45;146;5692;0
Мечел ап;60;20170222;170000;145.75;146.5;144.2;145.65;3033;0
Мечел ап;60;20170222;180000;145.65;146;145.15;145.2;2932;0
Мечел ап;60;20170224;100000;147.65;147.65;142;142.1;3343;0
Мечел ап;60;20170224;110000;142.3;143.4;141.95;143.2;393;0
Мечел ап;60;20170224;120000;142.7;142.95;141.55;142.95;2517;0
Мечел ап;60;20170224;130000;142.8;142.8;141.85;142.2;1206;0
Мечел ап;60;20170224;140000;142.2;142.85;141.85;142;939;0
Мечел ап;60;20170224;150000;141.9;142.1;141.9;142.1;177;0
Мечел ап;60;20170224;160000;142.1;143;142.05;142.8;820;0
Мечел ап;60;20170224;170000;142.75;143.8;142.45;143.35;2007;0
Мечел ап;60;20170224;180000;143.8;143.85;142.5;142.95;2033;0
Мечел ап;60;20170227;100000;143;145;142;143.6;5637;0
Мечел ап;60;20170227;110000;143.95;144;141;141.7;4284;0
Мечел ап;60;20170227;120000;141.75;141.8;140.5;141.05;2151;0
Мечел ап;60;20170227;130000;140.95;141.35;140.5;140.7;799;0
Мечел ап;60;20170227;140000;140.7;140.95;137.15;138.15;5353;0
Мечел ап;60;20170227;150000;138.35;139.05;136.2;137.65;2414;0
Мечел ап;60;20170227;160000;136.9;138.55;136.9;137.85;2493;0
Мечел ап;60;20170227;170000;137.45;138.45;134.15;135.6;9636;0
Мечел ап;60;20170227;180000;135.3;137.65;134.95;136.65;5813;0
Мечел ап;60;20170228;090000;135.7;135.7;135.7;135.7;8;0
Мечел ап;60;20170228;100000;135.65;135.7;124.05;128.35;34163;0
Мечел ап;60;20170228;110000;128.55;136.5;128;136.5;20439;0
Мечел ап;60;20170228;120000;135.45;135.95;131.35;132.95;12959;0
Мечел ап;60;20170228;130000;132.45;132.95;130.5;131.95;4169;0
Мечел ап;60;20170228;140000;131.55;132.45;130.5;131.7;1961;0
Мечел ап;60;20170228;150000;131.65;132.3;130.5;131.75;4476;0
Мечел ап;60;20170228;160000;131.7;133.9;131.1;133.85;5241;0
Мечел ап;60;20170228;170000;133.55;137.9;133.55;134.15;3658;0
Мечел ап;60;20170228;180000;134.2;136;134.2;134.35;1551;0
Мечел ап;60;20170301;090000;135.15;135.15;135.15;135.15;5;0
Мечел ап;60;20170301;100000;137.95;138.9;132.05;138;4565;0
Мечел ап;60;20170301;110000;138;139.95;137.8;139.9;6330;0
Мечел ап;60;20170301;120000;139.85;139.9;138.05;138.9;1831;0
Мечел ап;60;20170301;130000;138.9;139;138.05;138.85;2617;0
Мечел ап;60;20170301;140000;138.85;139;138.1;138.85;5222;0
Мечел ап;60;20170301;150000;138.85;139.95;138.75;139.95;4628;0
Мечел ап;60;20170301;160000;139.9;140.3;139.75;139.75;1674;0
Мечел ап;60;20170301;170000;139.8;140.2;139.5;140.2;1041;0
Мечел ап;60;20170301;180000;140.2;140.7;140;140.7;2986;0
Мечел ап;60;20170302;100000;140.8;146.65;140;145.1;24954;0
Мечел ап;60;20170302;110000;145.05;145.5;144;144;6206;0
Мечел ап;60;20170302;120000;144.2;144.6;142.1;142.2;4052;0
Мечел ап;60;20170302;130000;142.25;143.75;139.15;140.7;4052;0
Мечел ап;60;20170302;140000;140.75;141.5;136.4;139.45;6462;0
Мечел ап;60;20170302;150000;140;141.65;138.2;140.6;2118;0
Мечел ап;60;20170302;160000;140.45;142;140.05;140.2;854;0
Мечел ап;60;20170302;170000;141.3;141.6;139.85;139.85;1360;0
Мечел ап;60;20170302;180000;139.9;140.5;138.55;139.6;806;0
Мечел ап;60;20170303;090000;137.1;137.1;137.1;137.1;100;0
Мечел ап;60;20170303;100000;138.6;138.6;136;137.7;4536;0
Мечел ап;60;20170303;110000;137.55;140;137.1;139;3164;0
Мечел ап;60;20170303;120000;138.65;139.5;137.7;137.7;1278;0
Мечел ап;60;20170303;130000;137.8;139.35;137.8;138.5;351;0
Мечел ап;60;20170303;140000;138.6;139.95;138.5;139.95;820;0
Мечел ап;60;20170303;150000;139.95;141.3;139.25;141;1779;0
Мечел ап;60;20170303;160000;140.95;141.8;139.55;140.6;927;0
Мечел ап;60;20170303;170000;140.55;141.45;140;140.15;2185;0
Мечел ап;60;20170303;180000;140.15;140.2;138.9;139.9;2199;0
Мечел ап;60;20170306;090000;140.5;140.5;140.5;140.5;3;0
Мечел ап;60;20170306;100000;140.8;143.35;140.5;142.55;4578;0
Мечел ап;60;20170306;110000;142.6;143.8;142.55;143.5;2494;0
Мечел ап;60;20170306;120000;143.5;143.65;142.75;143.3;1477;0
Мечел ап;60;20170306;130000;143.4;144.4;143;144.4;2359;0
Мечел ап;60;20170306;140000;144.15;144.9;142.95;142.95;3288;0
Мечел ап;60;20170306;150000;143.15;143.6;142.15;142.5;2370;0
Мечел ап;60;20170306;160000;142.65;143.75;140.75;142.7;3164;0
Мечел ап;60;20170306;170000;142.85;144.4;142.15;144.4;2707;0
Мечел ап;60;20170306;180000;144.35;144.95;142.1;143.45;4389;0
Мечел ап;60;20170307;090000;146.75;146.75;146.75;146.75;139;0
Мечел ап;60;20170307;100000;146.7;146.7;142.15;143.4;2296;0
Мечел ап;60;20170307;110000;143.4;143.4;139.6;140.35;3287;0
Мечел ап;60;20170307;120000;140.7;141.1;137.9;140;1788;0
Мечел ап;60;20170307;130000;140;140.95;139;139.35;2623;0
Мечел ап;60;20170307;140000;139.15;139.5;138;139.25;1698;0
Мечел ап;60;20170307;150000;139.3;140.9;139.05;139.95;3283;0
Мечел ап;60;20170307;160000;140.05;141.2;139.2;140.85;1348;0
Мечел ап;60;20170307;170000;141;141.35;140.05;140.6;2781;0
