<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МордЭнСб;60;20170124;100000;0.55;0.595;0.55;0.59;164;0
МордЭнСб;60;20170124;110000;0.571;0.576;0.565;0.576;31;0
МордЭнСб;60;20170124;120000;0.575;0.586;0.569;0.586;34;0
МордЭнСб;60;20170124;130000;0.576;0.583;0.564;0.572;49;0
МордЭнСб;60;20170124;140000;0.574;0.585;0.574;0.584;19;0
МордЭнСб;60;20170124;150000;0.579;0.579;0.576;0.577;4;0
МордЭнСб;60;20170124;160000;0.581;0.582;0.574;0.575;11;0
МордЭнСб;60;20170124;170000;0.575;0.581;0.57;0.581;38;0
МордЭнСб;60;20170124;180000;0.58;0.587;0.58;0.584;58;0
МордЭнСб;60;20170125;100000;0.586;0.618;0.581;0.599;99;0
МордЭнСб;60;20170125;110000;0.604;0.616;0.595;0.612;93;0
МордЭнСб;60;20170125;120000;0.604;0.613;0.603;0.613;42;0
МордЭнСб;60;20170125;130000;0.602;0.611;0.6;0.611;22;0
МордЭнСб;60;20170125;140000;0.604;0.61;0.602;0.61;21;0
МордЭнСб;60;20170125;150000;0.609;0.61;0.609;0.61;8;0
МордЭнСб;60;20170125;180000;0.604;0.609;0.602;0.609;8;0
МордЭнСб;60;20170126;100000;0.616;0.631;0.593;0.601;246;0
МордЭнСб;60;20170126;110000;0.605;0.605;0.597;0.599;26;0
МордЭнСб;60;20170126;120000;0.603;0.609;0.601;0.602;18;0
МордЭнСб;60;20170126;130000;0.606;0.613;0.6;0.608;17;0
МордЭнСб;60;20170126;140000;0.614;0.614;0.594;0.607;57;0
МордЭнСб;60;20170126;150000;0.599;0.606;0.587;0.595;131;0
МордЭнСб;60;20170126;160000;0.598;0.6;0.597;0.6;7;0
МордЭнСб;60;20170126;170000;0.596;0.6;0.592;0.6;15;0
МордЭнСб;60;20170126;180000;0.599;0.599;0.593;0.597;12;0
МордЭнСб;60;20170127;100000;0.587;0.591;0.587;0.59;3;0
МордЭнСб;60;20170127;110000;0.592;0.592;0.592;0.592;4;0
МордЭнСб;60;20170127;130000;0.595;0.598;0.595;0.598;9;0
МордЭнСб;60;20170127;140000;0.592;0.592;0.59;0.59;3;0
МордЭнСб;60;20170127;150000;0.589;0.589;0.583;0.583;26;0
МордЭнСб;60;20170127;160000;0.587;0.587;0.587;0.587;2;0
МордЭнСб;60;20170127;170000;0.585;0.585;0.584;0.584;7;0
МордЭнСб;60;20170127;180000;0.585;0.59;0.579;0.59;20;0
МордЭнСб;60;20170130;100000;0.57;0.579;0.57;0.579;12;0
МордЭнСб;60;20170130;110000;0.579;0.589;0.578;0.588;13;0
МордЭнСб;60;20170130;120000;0.581;0.581;0.577;0.58;16;0
МордЭнСб;60;20170130;140000;0.581;0.581;0.581;0.581;4;0
МордЭнСб;60;20170130;150000;0.581;0.581;0.578;0.579;5;0
МордЭнСб;60;20170130;160000;0.579;0.579;0.579;0.579;1;0
МордЭнСб;60;20170130;170000;0.579;0.586;0.579;0.582;5;0
МордЭнСб;60;20170131;100000;0.598;0.598;0.563;0.571;10;0
МордЭнСб;60;20170131;120000;0.568;0.571;0.567;0.568;9;0
МордЭнСб;60;20170131;130000;0.57;0.57;0.565;0.565;10;0
МордЭнСб;60;20170131;140000;0.569;0.569;0.566;0.566;2;0
МордЭнСб;60;20170131;150000;0.567;0.57;0.567;0.568;4;0
МордЭнСб;60;20170131;160000;0.57;0.57;0.57;0.57;5;0
МордЭнСб;60;20170131;180000;0.568;0.579;0.568;0.579;2;0
МордЭнСб;60;20170201;100000;0.571;0.571;0.565;0.565;25;0
МордЭнСб;60;20170201;110000;0.565;0.568;0.564;0.565;25;0
МордЭнСб;60;20170201;120000;0.565;0.568;0.55;0.559;61;0
МордЭнСб;60;20170201;130000;0.559;0.563;0.559;0.56;19;0
МордЭнСб;60;20170201;140000;0.56;0.564;0.556;0.559;31;0
МордЭнСб;60;20170201;150000;0.559;0.568;0.551;0.551;38;0
МордЭнСб;60;20170201;160000;0.557;0.562;0.557;0.562;15;0
МордЭнСб;60;20170201;170000;0.56;0.561;0.559;0.559;12;0
МордЭнСб;60;20170201;180000;0.559;0.578;0.559;0.578;33;0
МордЭнСб;60;20170202;100000;0.58;0.593;0.574;0.579;30;0
МордЭнСб;60;20170202;110000;0.578;0.581;0.577;0.581;9;0
МордЭнСб;60;20170202;120000;0.581;0.581;0.576;0.576;7;0
МордЭнСб;60;20170202;130000;0.577;0.583;0.575;0.58;12;0
МордЭнСб;60;20170202;140000;0.58;0.585;0.579;0.584;25;0
МордЭнСб;60;20170202;150000;0.579;0.599;0.579;0.585;77;0
МордЭнСб;60;20170202;160000;0.588;0.589;0.583;0.583;16;0
МордЭнСб;60;20170202;170000;0.583;0.599;0.572;0.579;248;0
МордЭнСб;60;20170202;180000;0.58;0.582;0.574;0.578;16;0
МордЭнСб;60;20170203;100000;0.585;0.585;0.579;0.58;21;0
МордЭнСб;60;20170203;110000;0.583;0.583;0.579;0.579;2;0
МордЭнСб;60;20170203;130000;0.579;0.579;0.578;0.578;2;0
