<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Морион ао;60;20170125;110000;6.24;6.24;6.24;6.24;1;0
Морион ао;60;20170125;120000;6.24;6.24;6.23;6.23;2;0
Морион ао;60;20170125;130000;6.23;6.23;6.23;6.23;1;0
Морион ао;60;20170126;180000;6.3;6.35;6.3;6.35;2;0
Морион ао;60;20170127;120000;6.25;6.25;6.25;6.25;1;0
Морион ао;60;20170127;180000;6.38;6.38;6.38;6.38;1;0
Морион ао;60;20170130;100000;6.4;6.49;6.4;6.49;4;0
Морион ао;60;20170130;180000;6.5;6.5;6.5;6.5;1;0
Морион ао;60;20170201;130000;6.5;6.5;6.5;6.5;2;0
Морион ао;60;20170201;180000;6.71;7.15;6.71;7.15;14;0
Морион ао;60;20170202;100000;7.51;9.29;7.17;8.21;58;0
Морион ао;60;20170202;110000;8.09;8.8;7.78;8.41;35;0
Морион ао;60;20170202;120000;8.4;8.4;8.4;8.4;1;0
Морион ао;60;20170202;140000;8.07;8.07;7.87;7.87;4;0
Морион ао;60;20170202;160000;7.6;7.6;7.5;7.5;8;0
Морион ао;60;20170202;170000;7.17;7.64;7.16;7.59;9;0
Морион ао;60;20170202;180000;7.5;7.5;7.5;7.5;2;0
Морион ао;60;20170203;110000;7.21;7.6;7.2;7.6;4;0
Морион ао;60;20170203;130000;7.18;7.18;7.18;7.18;6;0
Морион ао;60;20170203;160000;6.81;6.81;6.61;6.64;9;0
Морион ао;60;20170206;100000;6.76;6.76;6.21;6.21;9;0
Морион ао;60;20170206;110000;6.36;6.36;6.35;6.35;2;0
Морион ао;60;20170206;120000;6.37;6.63;6.35;6.63;6;0
Морион ао;60;20170206;130000;6.5;6.5;6.5;6.5;2;0
Морион ао;60;20170206;140000;6.53;7.24;6.53;6.8;12;0
Морион ао;60;20170206;150000;6.89;7.29;6.89;7.01;5;0
Морион ао;60;20170206;160000;7;7.15;6.87;6.87;3;0
Морион ао;60;20170206;170000;6.78;6.78;6.78;6.78;1;0
Морион ао;60;20170206;180000;6.87;6.92;6.77;6.77;5;0
Морион ао;60;20170207;100000;6.34;6.94;6.34;6.94;2;0
Морион ао;60;20170207;130000;6.74;6.81;6.72;6.76;5;0
Морион ао;60;20170208;130000;6.54;6.54;6.5;6.5;3;0
Морион ао;60;20170208;150000;6.41;6.41;6.41;6.41;1;0
Морион ао;60;20170208;180000;6.41;6.41;6.41;6.41;1;0
Морион ао;60;20170210;100000;6.03;6.3;6.03;6.3;5;0
Морион ао;60;20170210;110000;6.29;6.29;6.29;6.29;1;0
Морион ао;60;20170210;130000;6.29;6.29;6.29;6.29;1;0
Морион ао;60;20170210;170000;6.43;6.43;6.43;6.43;2;0
Морион ао;60;20170213;140000;6.2;6.2;6.2;6.2;1;0
Морион ао;60;20170214;180000;6.5;6.89;6.5;6.89;4;0
Морион ао;60;20170215;110000;6.89;6.9;6.89;6.9;2;0
Морион ао;60;20170215;120000;7.34;7.4;7.34;7.4;5;0
Морион ао;60;20170215;130000;7.77;7.77;7.77;7.77;1;0
Морион ао;60;20170217;180000;6.52;6.52;6.5;6.5;3;0
Морион ао;60;20170220;120000;6.53;6.53;6.53;6.53;2;0
Морион ао;60;20170220;140000;6.53;6.53;6.53;6.53;1;0
Морион ао;60;20170220;150000;6.55;6.55;6.55;6.55;3;0
Морион ао;60;20170220;180000;6.61;6.61;6.61;6.61;1;0
Морион ао;60;20170221;100000;7.01;7.01;7.01;7.01;3;0
Морион ао;60;20170221;150000;7.01;7.01;7.01;7.01;5;0
Морион ао;60;20170224;140000;6.26;6.26;6.26;6.26;1;0
Морион ао;60;20170224;170000;6.98;7.77;6.94;7.77;24;0
Морион ао;60;20170227;170000;7.5;7.5;7.5;7.5;3;0
Морион ао;60;20170228;100000;6.45;6.45;6.41;6.41;2;0
Морион ао;60;20170228;120000;6.44;6.45;6.44;6.45;2;0
Морион ао;60;20170301;100000;7.5;7.5;7.5;7.5;1;0
Морион ао;60;20170301;120000;7.45;7.9;7.45;7.9;3;0
Морион ао;60;20170301;130000;7.28;7.28;7.28;7.28;1;0
Морион ао;60;20170301;170000;7.84;7.88;7.83;7.88;3;0
Морион ао;60;20170301;180000;8;8;7.17;7.17;2;0
Морион ао;60;20170302;160000;6.85;6.85;6.85;6.85;1;0
Морион ао;60;20170302;170000;7.87;7.9;7.87;7.9;3;0
Морион ао;60;20170303;150000;7.31;7.31;7.31;7.31;1;0
Морион ао;60;20170306;150000;7.32;7.32;7.32;7.32;1;0
Морион ао;60;20170306;160000;6.37;6.37;6.37;6.37;1;0
Морион ао;60;20170307;110000;7;7.1;7;7.1;3;0
Морион ао;60;20170307;120000;7;7;7;7;3;0
Морион ао;60;20170307;130000;7.96;8.88;7.94;8.88;16;0
Морион ао;60;20170307;140000;8.85;9;8.85;9;26;0
Морион ао;60;20170307;150000;9;9;9;9;18;0
Морион ао;60;20170307;160000;9;9;9;9;16;0
Морион ао;60;20170307;170000;9;9;9;9;15;0
Морион ао;60;20170307;180000;9;9;9;9;5;0
Морион ао;60;20170309;100000;8.8;11.3;8.45;10.7;58;0
Морион ао;60;20170309;110000;10.01;10.01;9.1;9.1;10;0
Морион ао;60;20170309;120000;9.1;9.1;9.1;9.1;4;0
Морион ао;60;20170309;130000;8.5;8.5;8.5;8.5;1;0
Морион ао;60;20170309;150000;8.4;8.4;8.03;8.36;15;0
Морион ао;60;20170309;160000;8.12;8.3;8.12;8.3;2;0
Морион ао;60;20170309;170000;8.11;8.11;7.8;7.8;9;0
Морион ао;60;20170310;110000;8;8;8;8;1;0
Морион ао;60;20170310;120000;8.24;8.24;8.07;8.07;2;0
Морион ао;60;20170310;160000;7;7;7;7;1;0
Морион ао;60;20170310;180000;8.23;8.23;8.23;8.23;1;0
Морион ао;60;20170313;100000;6.44;6.8;6.43;6.8;3;0
Морион ао;60;20170313;110000;7.69;7.69;7;7;6;0
Морион ао;60;20170313;120000;7.57;7.6;7.12;7.12;4;0
Морион ао;60;20170313;140000;7.66;7.66;7.66;7.66;1;0
Морион ао;60;20170313;150000;7.34;7.6;7.3;7.6;6;0
Морион ао;60;20170313;160000;7.66;7.66;7.66;7.66;1;0
Морион ао;60;20170313;170000;8.25;10.6;8.25;8.9;31;0
Морион ао;60;20170313;180000;8.51;8.7;8.31;8.65;10;0
Морион ао;60;20170314;110000;8.49;8.99;8.49;8.99;3;0
Морион ао;60;20170315;110000;8.66;8.66;8.66;8.66;1;0
Морион ао;60;20170315;130000;8.08;8.08;8.08;8.08;1;0
Морион ао;60;20170315;140000;7.68;8.7;7.56;8.7;12;0
Морион ао;60;20170315;170000;8.05;8.05;8.04;8.04;2;0
