<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МосБиржа;60;20170124;090000;130.5;130.5;130.5;130.5;180;0
МосБиржа;60;20170124;100000;130.65;131.38;130.14;131.13;33940;0
МосБиржа;60;20170124;110000;131.13;131.16;130.1;130.59;60667;0
МосБиржа;60;20170124;120000;130.62;130.72;130.38;130.53;19789;0
МосБиржа;60;20170124;130000;130.53;131.48;130.4;131.21;80004;0
МосБиржа;60;20170124;140000;131.21;131.75;130.55;130.65;116353;0
МосБиржа;60;20170124;150000;130.66;131.51;130.33;130.5;96504;0
МосБиржа;60;20170124;160000;130.5;131.08;130.41;130.82;60904;0
МосБиржа;60;20170124;170000;130.81;130.93;130.43;130.82;24060;0
МосБиржа;60;20170124;180000;130.81;131.61;130.41;131.61;79227;0
МосБиржа;60;20170125;090000;131.5;131.5;131.5;131.5;596;0
МосБиржа;60;20170125;100000;131.5;132.23;131.06;131.64;68835;0
МосБиржа;60;20170125;110000;131.64;131.88;131.16;131.74;46771;0
МосБиржа;60;20170125;120000;131.77;132.45;131.71;132.03;82779;0
МосБиржа;60;20170125;130000;132.01;132.18;131.35;131.43;27616;0
МосБиржа;60;20170125;140000;131.49;131.8;131.26;131.62;17013;0
МосБиржа;60;20170125;150000;131.65;131.74;131.27;131.3;24335;0
МосБиржа;60;20170125;160000;131.33;131.7;131.32;131.62;27278;0
МосБиржа;60;20170125;170000;131.63;131.98;131.41;131.69;46970;0
МосБиржа;60;20170125;180000;131.68;131.92;131.5;131.86;55708;0
МосБиржа;60;20170126;090000;132.3;132.3;132.3;132.3;48;0
МосБиржа;60;20170126;100000;132.29;133.5;132.21;132.99;70850;0
МосБиржа;60;20170126;110000;132.97;133.89;132.9;133.83;53785;0
МосБиржа;60;20170126;120000;133.83;133.88;133.42;133.63;31651;0
МосБиржа;60;20170126;130000;133.69;134.24;133.17;134.21;67475;0
МосБиржа;60;20170126;140000;134.22;135.42;133.76;135.42;86405;0
