<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Мостотрест;60;20170124;100000;94;94.1;93.9;94;50;0
Мостотрест;60;20170124;110000;93.9;94;93.8;94;207;0
Мостотрест;60;20170124;120000;93.9;93.9;91.6;93.7;2069;0
Мостотрест;60;20170124;130000;93.7;93.7;91.5;92.4;4453;0
Мостотрест;60;20170124;140000;92.3;92.7;92;92.7;729;0
Мостотрест;60;20170124;150000;92.7;92.9;92.6;92.8;639;0
Мостотрест;60;20170124;160000;92.9;93;92.7;92.9;1102;0
Мостотрест;60;20170124;170000;92.8;93;92.5;92.6;862;0
Мостотрест;60;20170124;180000;92.8;93;92.7;93;301;0
Мостотрест;60;20170125;100000;92.6;92.7;92;92.4;572;0
Мостотрест;60;20170125;110000;92.4;92.6;92.4;92.5;563;0
Мостотрест;60;20170125;120000;92.4;92.8;92.2;92.6;510;0
Мостотрест;60;20170125;130000;92.3;92.7;92.3;92.3;106;0
Мостотрест;60;20170125;140000;92.6;93;92.3;93;264;0
Мостотрест;60;20170125;150000;93;93.5;93;93.4;450;0
Мостотрест;60;20170125;160000;93.2;93.2;92.9;92.9;170;0
Мостотрест;60;20170125;170000;93.2;93.2;93.1;93.2;28;0
Мостотрест;60;20170125;180000;93.2;93.3;93;93.3;210;0
Мостотрест;60;20170126;100000;93;93.4;92.8;93.4;265;0
Мостотрест;60;20170126;110000;93.4;93.4;93.3;93.3;73;0
Мостотрест;60;20170126;120000;93.3;93.4;93.3;93.3;24;0
Мостотрест;60;20170126;130000;93.3;93.8;93.3;93.5;905;0
Мостотрест;60;20170126;140000;93.5;93.6;93.4;93.5;51;0
Мостотрест;60;20170126;150000;93.6;94.6;93.5;94.6;824;0
Мостотрест;60;20170126;160000;94.5;94.6;94;94.5;730;0
Мостотрест;60;20170126;170000;94.4;94.6;94;94.6;224;0
Мостотрест;60;20170126;180000;94.4;94.8;94.2;94.8;542;0
Мостотрест;60;20170127;090000;95;95;95;95;52;0
Мостотрест;60;20170127;100000;95;95.9;93.8;94.2;1910;0
Мостотрест;60;20170127;110000;94.2;94.3;94;94;793;0
Мостотрест;60;20170127;120000;94;94.6;94;94.5;449;0
Мостотрест;60;20170127;130000;94.3;94.8;94.3;94.5;102;0
Мостотрест;60;20170127;140000;94.4;94.4;94.4;94.4;3;0
Мостотрест;60;20170127;150000;94.7;94.7;94.4;94.4;63;0
Мостотрест;60;20170127;160000;94.6;94.8;94.3;94.7;131;0
Мостотрест;60;20170127;170000;94.7;95.1;94.6;95.1;727;0
Мостотрест;60;20170127;180000;95;95.4;94.7;95;505;0
Мостотрест;60;20170130;100000;94.4;94.9;94.2;94.5;225;0
Мостотрест;60;20170130;110000;94.4;94.8;94.2;94.4;129;0
Мостотрест;60;20170130;120000;94.8;94.8;94.2;94.6;260;0
Мостотрест;60;20170130;130000;94.4;94.6;93.9;94.4;938;0
Мостотрест;60;20170130;140000;94.1;94.1;93.8;94.1;297;0
Мостотрест;60;20170130;150000;94;94;94;94;19;0
Мостотрест;60;20170130;160000;93.9;94.3;93.9;94.3;51;0
Мостотрест;60;20170130;170000;94.3;94.5;94.3;94.3;111;0
Мостотрест;60;20170130;180000;94.5;94.7;94.5;94.7;136;0
Мостотрест;60;20170131;100000;94.7;94.7;94;94;293;0
Мостотрест;60;20170131;110000;94.1;94.4;93.9;94.3;767;0
Мостотрест;60;20170131;120000;94.4;94.7;94.4;94.4;227;0
Мостотрест;60;20170131;130000;94.3;94.4;93.5;93.5;682;0
Мостотрест;60;20170131;140000;93.7;94.1;93.5;93.9;193;0
Мостотрест;60;20170131;150000;94;94.1;94;94.1;3;0
Мостотрест;60;20170131;160000;94.2;94.4;94.1;94.1;42;0
Мостотрест;60;20170131;170000;94.1;94.1;94.1;94.1;78;0
Мостотрест;60;20170131;180000;94;94.1;93.9;94;188;0
Мостотрест;60;20170201;100000;93.8;94.5;93.3;94.5;581;0
Мостотрест;60;20170201;110000;94.1;95.1;93.6;94.5;1378;0
Мостотрест;60;20170201;120000;94.5;95;94.1;95;832;0
Мостотрест;60;20170201;130000;95;95;94.9;94.9;63;0
Мостотрест;60;20170201;140000;94.8;95.3;94.8;95;644;0
Мостотрест;60;20170201;150000;95;95.6;94.8;94.8;1446;0
Мостотрест;60;20170201;160000;94.8;95.2;94.7;95.2;88;0
Мостотрест;60;20170201;170000;95.2;95.2;95;95.2;94;0
Мостотрест;60;20170201;180000;95.1;96.3;95.1;96.2;1808;0
Мостотрест;60;20170202;090000;97;97;97;97;20;0
Мостотрест;60;20170202;100000;96.6;98;96.5;96.8;5238;0
Мостотрест;60;20170202;110000;97;97;95.9;96;1055;0
Мостотрест;60;20170202;120000;95.9;97.1;95.9;96.9;1019;0
Мостотрест;60;20170202;130000;96.6;96.7;96.3;96.6;141;0
Мостотрест;60;20170202;140000;96.4;96.6;96.1;96.2;244;0
Мостотрест;60;20170202;150000;96.4;96.6;96.1;96.1;45;0
Мостотрест;60;20170202;160000;96.2;96.2;96.2;96.2;13;0
Мостотрест;60;20170202;170000;96.5;96.5;96.2;96.5;162;0
Мостотрест;60;20170202;180000;96.2;96.2;95.1;96;1555;0
Мостотрест;60;20170203;100000;96.5;96.5;95.9;96.2;353;0
Мостотрест;60;20170203;110000;96;96.2;95.9;96.2;182;0
Мостотрест;60;20170203;120000;96;96.9;96;96.9;380;0
Мостотрест;60;20170203;130000;96.2;96.9;96.1;96.2;110;0
Мостотрест;60;20170203;140000;96.3;96.7;95.8;95.9;287;0
Мостотрест;60;20170203;150000;96;96.5;96;96.2;8;0
Мостотрест;60;20170203;160000;96.6;96.7;96.6;96.7;101;0
Мостотрест;60;20170203;170000;96.5;96.6;95.9;96.6;315;0
Мостотрест;60;20170203;180000;96.4;96.8;96.4;96.8;530;0
Мостотрест;60;20170206;100000;96.3;97.3;96.3;96.8;880;0
Мостотрест;60;20170206;110000;96.4;97;96.4;96.5;253;0
Мостотрест;60;20170206;120000;96.6;96.8;96.5;96.8;65;0
Мостотрест;60;20170206;130000;96.8;97;96.8;97;221;0
Мостотрест;60;20170206;140000;97;97;97;97;6;0
Мостотрест;60;20170206;150000;96.9;96.9;96.9;96.9;1;0
Мостотрест;60;20170206;160000;96.9;97;96.9;97;517;0
