<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Мотовил ао;60;20170124;180000;4.4;4.4;4.4;4.4;3;0
Мотовил ао;60;20170125;120000;4.4;4.4;4.4;4.4;3;0
Мотовил ао;60;20170125;180000;4.4;4.4;4.2;4.2;13;0
Мотовил ао;60;20170126;100000;4.34;4.45;4.34;4.45;5;0
Мотовил ао;60;20170130;150000;4.32;4.32;4.25;4.25;29;0
Мотовил ао;60;20170130;160000;4.26;4.27;4.26;4.27;2;0
Мотовил ао;60;20170131;100000;4.39;4.45;4.39;4.45;6;0
Мотовил ао;60;20170131;130000;4.45;4.55;4.45;4.55;18;0
Мотовил ао;60;20170131;180000;4.4;4.4;4.32;4.32;3;0
Мотовил ао;60;20170201;120000;4.54;4.54;4.54;4.54;1;0
Мотовил ао;60;20170201;150000;4.52;4.52;4.52;4.52;290;0
Мотовил ао;60;20170202;130000;4.55;4.6;4.55;4.6;7;0
Мотовил ао;60;20170203;130000;4.5;4.6;4.5;4.6;7;0
Мотовил ао;60;20170203;150000;4.6;4.6;4.6;4.6;5;0
Мотовил ао;60;20170203;170000;4.6;4.6;4.6;4.6;2;0
Мотовил ао;60;20170206;100000;4.31;4.31;4.31;4.31;3;0
Мотовил ао;60;20170206;110000;4.55;4.64;4.55;4.64;6;0
Мотовил ао;60;20170206;160000;4.63;4.63;4.63;4.63;1;0
Мотовил ао;60;20170207;100000;4.54;4.54;4.54;4.54;1;0
Мотовил ао;60;20170207;110000;4.66;4.66;4.66;4.66;1;0
Мотовил ао;60;20170207;120000;4.69;5.25;4.69;5.02;85;0
Мотовил ао;60;20170207;130000;5.02;5.02;4.6;5;20;0
Мотовил ао;60;20170207;150000;5;5;5;5;2;0
Мотовил ао;60;20170207;160000;5;5.04;5;5;41;0
Мотовил ао;60;20170207;170000;5;5;5;5;16;0
Мотовил ао;60;20170207;180000;5;5.3;5;5.3;107;0
Мотовил ао;60;20170208;140000;5;5;5;5;40;0
Мотовил ао;60;20170208;150000;5.15;5.15;5.15;5.15;5;0
Мотовил ао;60;20170208;170000;5.02;5.1;5.01;5.1;66;0
Мотовил ао;60;20170208;180000;5.01;5.01;5.01;5.01;1;0
Мотовил ао;60;20170209;110000;5.05;5.05;5;5;3;0
Мотовил ао;60;20170209;130000;5;5.59;5;5.59;162;0
Мотовил ао;60;20170209;140000;5.7;6.73;5.7;6;128;0
Мотовил ао;60;20170209;150000;6.02;6.02;5.63;5.63;7;0
Мотовил ао;60;20170209;160000;5.74;5.74;5.25;5.6;33;0
Мотовил ао;60;20170209;170000;5.65;5.7;5.65;5.7;3;0
Мотовил ао;60;20170209;180000;5.65;5.65;5.46;5.5;15;0
Мотовил ао;60;20170210;100000;5.26;5.26;4.85;5.08;11;0
Мотовил ао;60;20170210;120000;5.15;5.15;5.15;5.15;25;0
Мотовил ао;60;20170210;130000;5.24;5.24;5.24;5.24;1;0
Мотовил ао;60;20170210;140000;5.15;5.3;5.15;5.3;14;0
Мотовил ао;60;20170210;150000;5.3;5.33;5.3;5.32;8;0
Мотовил ао;60;20170210;160000;5.33;5.34;5.33;5.34;11;0
Мотовил ао;60;20170210;170000;5.5;5.5;5.5;5.5;5;0
Мотовил ао;60;20170213;100000;5.54;5.54;5.43;5.49;4;0
Мотовил ао;60;20170213;110000;5.74;5.74;5.57;5.57;2;0
Мотовил ао;60;20170213;120000;5.64;5.64;5.64;5.64;1;0
Мотовил ао;60;20170213;160000;5.75;6.97;5.75;6.13;110;0
Мотовил ао;60;20170213;170000;5.87;5.87;5.76;5.76;2;0
Мотовил ао;60;20170213;180000;5.85;5.85;5.8;5.8;2;0
Мотовил ао;60;20170214;120000;5.97;6.01;5.97;6;11;0
Мотовил ао;60;20170214;150000;6.23;7.44;6.23;6.95;234;0
Мотовил ао;60;20170214;160000;7;7;7;7;3;0
Мотовил ао;60;20170214;170000;6.61;7.2;6.61;7.2;13;0
Мотовил ао;60;20170214;180000;7.1;7.1;6.85;6.85;9;0
Мотовил ао;60;20170215;100000;7.34;9;7.34;8.8;264;0
Мотовил ао;60;20170215;110000;8.8;8.8;7.89;8.18;56;0
Мотовил ао;60;20170215;120000;7.95;8.5;7.5;8.5;26;0
Мотовил ао;60;20170215;130000;8.2;8.2;7.01;7.89;38;0
