<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МультиСис;60;20171025;090000;1.4;1.4;1.4;1.4;122;0
МультиСис;60;20171025;100000;1.4;1.4;1.15;1.3;16295;0
МультиСис;60;20171025;110000;1.25;1.3;1.25;1.3;1128;0
МультиСис;60;20171025;120000;1.3;1.3;1.2;1.25;2309;0
МультиСис;60;20171025;130000;1.25;1.25;1.2;1.25;1074;0
МультиСис;60;20171025;140000;1.2;1.25;1.2;1.25;658;0
МультиСис;60;20171025;150000;1.2;1.25;1.2;1.2;1570;0
МультиСис;60;20171025;160000;1.25;1.25;1.2;1.25;104;0
МультиСис;60;20171025;170000;1.25;1.25;1.15;1.2;1564;0
МультиСис;60;20171025;180000;1.15;1.2;1.15;1.2;2000;0
МультиСис;60;20171026;100000;1.2;1.3;1.2;1.25;2410;0
МультиСис;60;20171026;110000;1.25;1.4;1.2;1.35;8977;0
МультиСис;60;20171026;120000;1.35;1.35;1.25;1.25;1197;0
МультиСис;60;20171026;130000;1.25;1.3;1.25;1.3;1393;0
МультиСис;60;20171026;140000;1.3;1.3;1.15;1.2;3193;0
МультиСис;60;20171026;150000;1.2;1.25;1.15;1.25;2127;0
МультиСис;60;20171026;160000;1.2;1.25;1.2;1.2;31;0
МультиСис;60;20171026;170000;1.25;1.25;1.2;1.2;10;0
МультиСис;60;20171026;180000;1.2;1.25;1.2;1.25;455;0
МультиСис;60;20171027;100000;1.25;1.25;1.2;1.25;131;0
МультиСис;60;20171027;110000;1.2;1.25;1.2;1.2;69;0
МультиСис;60;20171027;120000;1.25;1.25;1.2;1.25;329;0
МультиСис;60;20171027;130000;1.2;1.25;1.2;1.25;29;0
МультиСис;60;20171027;140000;1.25;1.25;1.2;1.25;75;0
МультиСис;60;20171027;150000;1.2;1.25;1.2;1.25;14;0
МультиСис;60;20171027;160000;1.2;1.3;1.2;1.25;1214;0
МультиСис;60;20171027;170000;1.25;1.25;1.25;1.25;162;0
МультиСис;60;20171027;180000;1.25;1.3;1.2;1.3;93;0
МультиСис;60;20171030;090000;1.25;1.25;1.25;1.25;20;0
МультиСис;60;20171030;100000;1.25;1.3;1.25;1.25;224;0
МультиСис;60;20171030;110000;1.25;1.25;1.2;1.2;756;0
