<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МурмТЭЦ-ао;60;20170215;170000;0.83;0.83;0.83;0.83;1;0
МурмТЭЦ-ао;60;20170511;130000;0.44;0.44;0.44;0.44;1;0
МурмТЭЦ-ао;60;20170512;140000;0.426;0.426;0.426;0.426;1;0
МурмТЭЦ-ао;60;20170703;160000;0.47;0.47;0.47;0.47;1;0
МурмТЭЦ-ао;60;20171002;130000;0.459;0.626;0.459;0.626;2;0
МурмТЭЦ-ао;60;20171003;110000;0.499;0.499;0.499;0.499;1;0
МурмТЭЦ-ао;60;20171003;120000;0.41;0.429;0.41;0.429;3;0
МурмТЭЦ-ао;60;20171003;160000;0.468;0.468;0.468;0.468;1;0
МурмТЭЦ-ао;60;20171004;120000;0.654;0.654;0.654;0.654;1;0
МурмТЭЦ-ао;60;20171009;100000;0.793;0.793;0.793;0.793;1;0
МурмТЭЦ-ао;60;20171009;110000;0.793;0.793;0.793;0.793;1;0
МурмТЭЦ-ао;60;20171010;100000;0.6;0.6;0.6;0.6;1;0
МурмТЭЦ-ао;60;20171010;140000;0.5;0.5;0.5;0.5;1;0
МурмТЭЦ-ао;60;20171010;150000;0.463;0.463;0.463;0.463;1;0
МурмТЭЦ-ао;60;20171108;100000;0.333;0.333;0.333;0.333;1;0
МурмТЭЦ-ао;60;20171108;140000;0.467;0.468;0.467;0.468;2;0
МурмТЭЦ-ао;60;20171109;130000;0.392;0.392;0.392;0.392;1;0
МурмТЭЦ-ао;60;20171109;140000;0.5;0.5;0.5;0.5;1;0
МурмТЭЦ-ао;60;20171117;120000;0.699;0.699;0.699;0.699;1;0
МурмТЭЦ-ао;60;20171120;120000;0.937;0.937;0.937;0.937;2;0
МурмТЭЦ-ао;60;20171121;120000;1.245;1.245;1.245;1.245;1;0
МурмТЭЦ-ао;60;20171122;130000;1.637;1.637;1.637;1.637;1;0
МурмТЭЦ-ао;60;20171122;140000;1.598;1.637;1.598;1.637;2;0
МурмТЭЦ-ао;60;20171123;110000;2.29;2.29;2.29;2.29;1;0
МурмТЭЦ-ао;60;20171123;140000;2.289;2.289;2.289;2.289;1;0
МурмТЭЦ-ао;60;20171123;160000;1.05;1.05;1.05;1.05;1;0
МурмТЭЦ-ао;60;20171123;170000;2.289;2.289;1.06;1.06;2;0
МурмТЭЦ-ао;60;20171124;180000;1.734;1.734;1.734;1.734;3;0
МурмТЭЦ-ао;60;20171127;120000;1.709;1.709;1.709;1.709;1;0
МурмТЭЦ-ао;60;20171127;140000;1.708;1.708;1.708;1.708;1;0
МурмТЭЦ-ао;60;20171128;120000;1.02;1.02;1.02;1.02;1;0
МурмТЭЦ-ао;60;20171128;140000;1.031;1.031;1.031;1.031;1;0
МурмТЭЦ-ао;60;20171128;180000;1.025;1.025;1.025;1.025;1;0
МурмТЭЦ-ао;60;20171129;130000;1.434;1.434;1.434;1.434;2;0
МурмТЭЦ-ао;60;20171130;140000;1.04;1.04;1.04;1.04;2;0
МурмТЭЦ-ао;60;20171204;100000;0.68;0.68;0.68;0.68;2;0
МурмТЭЦ-ао;60;20171205;100000;0.612;0.612;0.612;0.612;2;0
МурмТЭЦ-ао;60;20171206;100000;0.59;0.59;0.59;0.59;1;0
МурмТЭЦ-ао;60;20171206;140000;1.035;1.035;1.035;1.035;1;0
МурмТЭЦ-ао;60;20171207;100000;0.77;0.77;0.77;0.77;2;0
МурмТЭЦ-ао;60;20171207;110000;1.448;1.448;1.448;1.448;2;0
МурмТЭЦ-ао;60;20171208;100000;0.95;2.025;0.95;2.025;4;0
МурмТЭЦ-ао;60;20171208;130000;2.024;2.024;2.024;2.024;2;0
МурмТЭЦ-ао;60;20171211;120000;1.95;1.95;1.95;1.95;2;0
МурмТЭЦ-ао;60;20171212;110000;1.25;1.25;1.25;1.25;2;0
МурмТЭЦ-ао;60;20171213;130000;1.07;1.07;1.07;1.07;2;0
МурмТЭЦ-ао;60;20171215;140000;1.5;1.5;1.5;1.5;2;0
МурмТЭЦ-ао;60;20171218;110000;0.935;0.935;0.935;0.935;2;0
МурмТЭЦ-ао;60;20171219;120000;1.329;1.329;1.329;1.329;2;0
МурмТЭЦ-ао;60;20171220;130000;0.88;0.88;0.88;0.88;1;0
МурмТЭЦ-ао;60;20171221;130000;1.26;1.26;1.26;1.26;1;0
МурмТЭЦ-ао;60;20171227;170000;0.911;0.911;0.911;0.911;1;0
