<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
МурмТЭЦ-п;60;20170124;160000;0.49;0.49;0.49;0.49;1;0
МурмТЭЦ-п;60;20170125;110000;0.49;0.494;0.49;0.494;6;0
МурмТЭЦ-п;60;20170126;150000;0.487;0.487;0.487;0.487;2;0
МурмТЭЦ-п;60;20170127;170000;0.486;0.486;0.486;0.486;1;0
МурмТЭЦ-п;60;20170130;140000;0.485;0.485;0.485;0.485;1;0
МурмТЭЦ-п;60;20170130;150000;0.484;0.484;0.484;0.484;1;0
МурмТЭЦ-п;60;20170130;170000;0.484;0.484;0.484;0.484;1;0
МурмТЭЦ-п;60;20170131;130000;0.484;0.484;0.453;0.453;48;0
МурмТЭЦ-п;60;20170131;140000;0.456;0.456;0.447;0.455;16;0
МурмТЭЦ-п;60;20170131;150000;0.454;0.454;0.454;0.454;1;0
МурмТЭЦ-п;60;20170131;160000;0.455;0.455;0.449;0.449;4;0
МурмТЭЦ-п;60;20170131;170000;0.456;0.458;0.45;0.45;6;0
МурмТЭЦ-п;60;20170131;180000;0.45;0.45;0.447;0.447;7;0
МурмТЭЦ-п;60;20170201;100000;0.446;0.448;0.436;0.443;14;0
МурмТЭЦ-п;60;20170201;110000;0.437;0.437;0.436;0.436;2;0
МурмТЭЦ-п;60;20170201;150000;0.44;0.44;0.436;0.436;3;0
МурмТЭЦ-п;60;20170201;160000;0.435;0.44;0.431;0.44;8;0
МурмТЭЦ-п;60;20170201;180000;0.441;0.441;0.441;0.441;1;0
МурмТЭЦ-п;60;20170202;100000;0.427;0.434;0.423;0.434;4;0
МурмТЭЦ-п;60;20170202;170000;0.442;0.442;0.442;0.442;1;0
МурмТЭЦ-п;60;20170203;140000;0.427;0.427;0.422;0.422;2;0
МурмТЭЦ-п;60;20170206;100000;0.422;0.422;0.422;0.422;1;0
МурмТЭЦ-п;60;20170207;120000;0.435;0.435;0.434;0.434;2;0
МурмТЭЦ-п;60;20170207;160000;0.433;0.433;0.433;0.433;1;0
МурмТЭЦ-п;60;20170208;180000;0.438;0.438;0.438;0.438;1;0
МурмТЭЦ-п;60;20170209;110000;0.439;0.439;0.439;0.439;1;0
МурмТЭЦ-п;60;20170209;170000;0.433;0.433;0.433;0.433;1;0
МурмТЭЦ-п;60;20170213;100000;0.43;0.43;0.43;0.43;1;0
МурмТЭЦ-п;60;20170213;180000;0.434;0.434;0.434;0.434;2;0
МурмТЭЦ-п;60;20170215;160000;0.436;0.436;0.436;0.436;2;0
МурмТЭЦ-п;60;20170215;170000;0.436;0.477;0.436;0.467;96;0
МурмТЭЦ-п;60;20170215;180000;0.468;0.468;0.456;0.462;18;0
МурмТЭЦ-п;60;20170216;100000;0.456;0.456;0.455;0.455;3;0
МурмТЭЦ-п;60;20170216;110000;0.454;0.454;0.448;0.454;8;0
МурмТЭЦ-п;60;20170216;120000;0.454;0.454;0.446;0.446;4;0
МурмТЭЦ-п;60;20170216;140000;0.452;0.454;0.452;0.454;5;0
МурмТЭЦ-п;60;20170216;150000;0.448;0.448;0.427;0.446;7;0
МурмТЭЦ-п;60;20170216;160000;0.445;0.445;0.445;0.445;1;0
МурмТЭЦ-п;60;20170216;180000;0.444;0.444;0.444;0.444;1;0
МурмТЭЦ-п;60;20170217;100000;0.443;0.443;0.439;0.439;5;0
МурмТЭЦ-п;60;20170217;120000;0.44;0.44;0.44;0.44;1;0
МурмТЭЦ-п;60;20170217;140000;0.44;0.44;0.44;0.44;2;0
МурмТЭЦ-п;60;20170217;160000;0.445;0.445;0.445;0.445;1;0
МурмТЭЦ-п;60;20170217;170000;0.446;0.446;0.446;0.446;1;0
МурмТЭЦ-п;60;20170217;180000;0.446;0.446;0.446;0.446;1;0
МурмТЭЦ-п;60;20170221;140000;0.431;0.431;0.431;0.431;1;0
МурмТЭЦ-п;60;20170221;170000;0.431;0.431;0.422;0.422;10;0
МурмТЭЦ-п;60;20170221;180000;0.427;0.427;0.427;0.427;1;0
МурмТЭЦ-п;60;20170222;090000;0.44;0.44;0.44;0.44;1;0
МурмТЭЦ-п;60;20170222;150000;0.439;0.439;0.439;0.439;1;0
МурмТЭЦ-п;60;20170227;160000;0.438;0.438;0.434;0.434;5;0
МурмТЭЦ-п;60;20170228;110000;0.433;0.433;0.433;0.433;1;0
МурмТЭЦ-п;60;20170228;120000;0.432;0.432;0.432;0.432;1;0
МурмТЭЦ-п;60;20170228;130000;0.438;0.439;0.433;0.433;4;0
МурмТЭЦ-п;60;20170301;100000;0.44;0.44;0.44;0.44;2;0
МурмТЭЦ-п;60;20170302;100000;0.439;0.439;0.439;0.439;1;0
МурмТЭЦ-п;60;20170303;100000;0.435;0.435;0.304;0.41;59;0
МурмТЭЦ-п;60;20170303;110000;0.417;0.418;0.417;0.418;2;0
МурмТЭЦ-п;60;20170303;120000;0.424;0.424;0.424;0.424;1;0
МурмТЭЦ-п;60;20170303;170000;0.418;0.418;0.418;0.418;2;0
МурмТЭЦ-п;60;20170303;180000;0.414;0.414;0.414;0.414;1;0
МурмТЭЦ-п;60;20170306;110000;0.416;0.416;0.4;0.4;11;0
МурмТЭЦ-п;60;20170306;130000;0.414;0.415;0.414;0.415;2;0
МурмТЭЦ-п;60;20170307;110000;0.409;0.409;0.407;0.407;3;0
МурмТЭЦ-п;60;20170307;140000;0.407;0.407;0.407;0.407;1;0
МурмТЭЦ-п;60;20170310;100000;0.406;0.406;0.405;0.405;2;0
МурмТЭЦ-п;60;20170310;120000;0.411;0.411;0.411;0.411;1;0
МурмТЭЦ-п;60;20170310;140000;0.405;0.405;0.405;0.405;1;0
МурмТЭЦ-п;60;20170322;100000;0.397;0.484;0.29;0.36;73;0
МурмТЭЦ-п;60;20170322;110000;0.368;0.368;0.368;0.368;1;0
МурмТЭЦ-п;60;20170322;130000;0.374;0.379;0.374;0.379;9;0
МурмТЭЦ-п;60;20170322;140000;0.374;0.374;0.374;0.374;1;0
МурмТЭЦ-п;60;20170327;170000;0.38;0.384;0.38;0.384;2;0
МурмТЭЦ-п;60;20170328;100000;0.389;0.389;0.389;0.389;1;0
МурмТЭЦ-п;60;20170328;110000;0.39;0.394;0.39;0.394;2;0
МурмТЭЦ-п;60;20170328;150000;0.384;0.384;0.384;0.384;1;0
МурмТЭЦ-п;60;20170328;170000;0.39;0.39;0.39;0.39;1;0
МурмТЭЦ-п;60;20170328;180000;0.383;0.383;0.383;0.383;1;0
МурмТЭЦ-п;60;20170329;100000;0.388;0.388;0.388;0.388;1;0
МурмТЭЦ-п;60;20170331;150000;0.384;0.384;0.36;0.372;7;0
МурмТЭЦ-п;60;20170405;170000;0.38;0.38;0.38;0.38;1;0
МурмТЭЦ-п;60;20170405;180000;0.389;0.39;0.389;0.39;2;0
МурмТЭЦ-п;60;20170406;140000;0.381;0.381;0.381;0.381;1;0
МурмТЭЦ-п;60;20170407;100000;0.388;0.4;0.388;0.4;2;0
МурмТЭЦ-п;60;20170407;160000;0.391;0.391;0.391;0.391;1;0
МурмТЭЦ-п;60;20170411;150000;0.39;0.39;0.39;0.39;1;0
МурмТЭЦ-п;60;20170421;140000;0.398;0.398;0.398;0.398;1;0
МурмТЭЦ-п;60;20170426;170000;0.397;0.4;0.397;0.4;2;0
МурмТЭЦ-п;60;20170502;100000;0.387;0.394;0.387;0.394;2;0
МурмТЭЦ-п;60;20170502;110000;0.406;0.406;0.406;0.406;1;0
МурмТЭЦ-п;60;20170515;110000;0.407;0.409;0.321;0.358;34;0
МурмТЭЦ-п;60;20170515;140000;0.399;0.405;0.357;0.368;9;0
МурмТЭЦ-п;60;20170515;170000;0.398;0.398;0.398;0.398;1;0
МурмТЭЦ-п;60;20170516;110000;0.36;0.368;0.352;0.352;3;0
МурмТЭЦ-п;60;20170516;120000;0.365;0.384;0.354;0.364;25;0
МурмТЭЦ-п;60;20170516;130000;0.355;0.379;0.346;0.379;16;0
МурмТЭЦ-п;60;20170516;180000;0.351;0.351;0.348;0.348;6;0
МурмТЭЦ-п;60;20170517;100000;0.358;0.363;0.358;0.363;2;0
МурмТЭЦ-п;60;20170517;120000;0.346;0.346;0.346;0.346;1;0
МурмТЭЦ-п;60;20170517;140000;0.354;0.373;0.354;0.373;2;0
МурмТЭЦ-п;60;20170517;160000;0.345;0.354;0.345;0.354;2;0
МурмТЭЦ-п;60;20170517;180000;0.352;0.352;0.335;0.335;2;0
МурмТЭЦ-п;60;20170518;120000;0.358;0.376;0.358;0.376;5;0
МурмТЭЦ-п;60;20170518;180000;0.385;0.388;0.385;0.388;3;0
МурмТЭЦ-п;60;20170519;130000;0.36;0.368;0.278;0.36;15;0
МурмТЭЦ-п;60;20170519;140000;0.364;0.364;0.356;0.364;4;0
МурмТЭЦ-п;60;20170519;170000;0.356;0.356;0.356;0.356;1;0
МурмТЭЦ-п;60;20170519;180000;0.355;0.364;0.313;0.34;14;0
МурмТЭЦ-п;60;20170522;110000;0.363;0.364;0.323;0.327;9;0
МурмТЭЦ-п;60;20170522;120000;0.358;0.363;0.358;0.363;4;0
МурмТЭЦ-п;60;20170522;140000;0.337;0.337;0.337;0.337;1;0
МурмТЭЦ-п;60;20170522;150000;0.355;0.355;0.355;0.355;1;0
МурмТЭЦ-п;60;20170522;170000;0.355;0.355;0.355;0.355;1;0
МурмТЭЦ-п;60;20170522;180000;0.338;0.338;0.338;0.338;1;0
МурмТЭЦ-п;60;20170523;160000;0.323;0.395;0.277;0.336;9;0
МурмТЭЦ-п;60;20170523;170000;0.345;0.345;0.336;0.336;5;0
МурмТЭЦ-п;60;20170523;180000;0.341;0.341;0.338;0.338;3;0
МурмТЭЦ-п;60;20170524;140000;0.359;0.378;0.325;0.339;14;0
МурмТЭЦ-п;60;20170524;160000;0.347;0.347;0.346;0.346;2;0
МурмТЭЦ-п;60;20170524;180000;0.347;0.347;0.347;0.347;2;0
МурмТЭЦ-п;60;20170526;100000;0.349;0.349;0.349;0.349;1;0
МурмТЭЦ-п;60;20170526;140000;0.324;0.324;0.324;0.324;1;0
МурмТЭЦ-п;60;20170526;150000;0.337;0.337;0.337;0.337;1;0
МурмТЭЦ-п;60;20170529;150000;0.345;0.345;0.343;0.343;2;0
МурмТЭЦ-п;60;20170529;170000;0.349;0.349;0.349;0.349;1;0
МурмТЭЦ-п;60;20170602;110000;0.342;0.342;0.342;0.342;1;0
МурмТЭЦ-п;60;20170602;120000;0.348;0.348;0.348;0.348;1;0
МурмТЭЦ-п;60;20170607;180000;0.35;0.35;0.35;0.35;1;0
МурмТЭЦ-п;60;20170614;170000;0.34;0.34;0.34;0.34;1;0
МурмТЭЦ-п;60;20170622;120000;0.328;0.328;0.328;0.328;1;0
МурмТЭЦ-п;60;20170623;120000;0.312;0.312;0.312;0.312;1;0
МурмТЭЦ-п;60;20170626;110000;0.295;0.299;0.295;0.299;2;0
МурмТЭЦ-п;60;20170626;150000;0.301;0.301;0.301;0.301;1;0
МурмТЭЦ-п;60;20170626;160000;0.301;0.306;0.301;0.306;2;0
МурмТЭЦ-п;60;20170627;130000;0.3;0.3;0.3;0.3;1;0
МурмТЭЦ-п;60;20170628;120000;0.305;0.305;0.305;0.305;1;0
МурмТЭЦ-п;60;20170707;180000;0.32;0.32;0.32;0.32;1;0
МурмТЭЦ-п;60;20170710;100000;0.312;0.312;0.312;0.312;1;0
