<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
НКНХ ао;60;20170124;130000;73;73;73;73;1;0
НКНХ ао;60;20170124;140000;73;73;73;73;1;0
НКНХ ао;60;20170124;160000;73.2;73.3;73;73;9;0
НКНХ ао;60;20170124;170000;73;73;73;73;3;0
НКНХ ао;60;20170124;180000;73;73;72.8;72.8;10;0
НКНХ ао;60;20170125;100000;72.8;72.8;72.8;72.8;1;0
НКНХ ао;60;20170125;120000;72.6;72.9;72.5;72.5;15;0
НКНХ ао;60;20170125;150000;72.8;73;72.8;73;103;0
НКНХ ао;60;20170125;170000;73;73.1;73;73.1;14;0
НКНХ ао;60;20170126;130000;73.1;73.1;72.9;72.9;17;0
НКНХ ао;60;20170126;150000;72.8;72.8;72.8;72.8;1;0
НКНХ ао;60;20170126;160000;72.8;72.8;72.8;72.8;5;0
НКНХ ао;60;20170127;100000;72.7;72.7;72.4;72.4;14;0
НКНХ ао;60;20170127;110000;72.6;72.6;72.6;72.6;4;0
НКНХ ао;60;20170127;130000;72.6;72.6;72.6;72.6;10;0
НКНХ ао;60;20170127;140000;72.6;72.6;72.6;72.6;1;0
НКНХ ао;60;20170127;150000;72.8;72.8;72.8;72.8;1;0
НКНХ ао;60;20170127;160000;72.7;72.9;72.7;72.9;14;0
НКНХ ао;60;20170127;170000;72.6;72.8;72.5;72.6;16;0
НКНХ ао;60;20170127;180000;72.5;72.5;72.5;72.5;15;0
НКНХ ао;60;20170130;120000;72.8;72.8;72.8;72.8;2;0
НКНХ ао;60;20170130;140000;72.8;72.9;72.5;72.8;18;0
НКНХ ао;60;20170130;150000;72.8;72.8;72.8;72.8;12;0
НКНХ ао;60;20170130;160000;72.8;72.8;72.8;72.8;5;0
НКНХ ао;60;20170130;170000;72.8;72.8;72.8;72.8;17;0
НКНХ ао;60;20170131;100000;73;73;72.9;72.9;2;0
НКНХ ао;60;20170131;110000;72.9;72.9;72.9;72.9;6;0
НКНХ ао;60;20170131;120000;73;73;73;73;1;0
НКНХ ао;60;20170131;130000;72.9;73;72.9;72.9;24;0
НКНХ ао;60;20170131;140000;73;73.4;73;73.4;2;0
НКНХ ао;60;20170131;160000;72.9;73;72.9;73;3;0
НКНХ ао;60;20170131;170000;72.9;72.9;72.9;72.9;2;0
НКНХ ао;60;20170131;180000;72.9;72.9;72.9;72.9;3;0
НКНХ ао;60;20170201;100000;73.5;73.6;73;73;5;0
НКНХ ао;60;20170201;110000;72.9;72.9;72.9;72.9;4;0
НКНХ ао;60;20170201;120000;72.8;72.8;72.8;72.8;1;0
НКНХ ао;60;20170201;130000;72.9;72.9;72.9;72.9;5;0
НКНХ ао;60;20170201;140000;72.8;72.8;72.5;72.5;30;0
НКНХ ао;60;20170201;150000;72.5;72.7;72.5;72.7;28;0
НКНХ ао;60;20170201;160000;72.7;72.7;72.7;72.7;20;0
НКНХ ао;60;20170201;170000;72.7;72.7;72.7;72.7;10;0
НКНХ ао;60;20170201;180000;72.6;72.7;72.6;72.7;5;0
НКНХ ао;60;20170202;100000;72.7;72.7;72.7;72.7;20;0
НКНХ ао;60;20170202;110000;72.7;72.9;72.7;72.9;20;0
НКНХ ао;60;20170202;120000;73;73;73;73;1;0
НКНХ ао;60;20170202;130000;72.8;73;72.7;73;21;0
НКНХ ао;60;20170202;140000;72.7;72.7;72.7;72.7;19;0
НКНХ ао;60;20170202;160000;72.7;72.7;72.7;72.7;1;0
НКНХ ао;60;20170202;170000;72.6;72.7;72.5;72.7;13;0
НКНХ ао;60;20170202;180000;72.7;72.7;72.7;72.7;13;0
НКНХ ао;60;20170203;110000;72.7;72.7;72.2;72.3;52;0
НКНХ ао;60;20170203;130000;72.6;72.6;72.3;72.3;9;0
НКНХ ао;60;20170203;140000;72.5;72.5;72.5;72.5;1;0
НКНХ ао;60;20170203;150000;72.5;72.6;72.5;72.6;20;0
НКНХ ао;60;20170203;160000;72.3;72.3;72.3;72.3;1;0
НКНХ ао;60;20170203;170000;72.4;72.6;72.4;72.6;23;0
НКНХ ао;60;20170203;180000;72.6;72.6;72.6;72.6;20;0
НКНХ ао;60;20170206;100000;72.3;72.3;70.7;71.4;48;0
НКНХ ао;60;20170206;110000;71.9;72.3;71.9;72.3;17;0
НКНХ ао;60;20170206;120000;72;72.1;72;72.1;5;0
НКНХ ао;60;20170206;130000;72.1;72.1;72.1;72.1;1;0
НКНХ ао;60;20170206;140000;72.1;72.2;72;72.2;24;0
НКНХ ао;60;20170206;150000;72.2;72.2;72;72;28;0
НКНХ ао;60;20170206;160000;72.1;72.1;72.1;72.1;3;0
НКНХ ао;60;20170206;170000;72.2;72.2;71.8;71.8;36;0
НКНХ ао;60;20170206;180000;71.8;71.9;71.8;71.9;34;0
НКНХ ао;60;20170207;100000;71.3;71.9;71.3;71.9;8;0
НКНХ ао;60;20170207;110000;71.9;71.9;71.9;71.9;1;0
НКНХ ао;60;20170207;130000;71.9;71.9;71.9;71.9;1;0
НКНХ ао;60;20170207;140000;71.9;71.9;71.9;71.9;2;0
НКНХ ао;60;20170207;150000;71.9;72.1;71.7;72.1;8;0
НКНХ ао;60;20170207;160000;71.9;72;71.9;72;8;0
НКНХ ао;60;20170208;100000;71.2;71.3;71.2;71.3;9;0
НКНХ ао;60;20170208;130000;71.6;71.6;71.5;71.6;7;0
НКНХ ао;60;20170208;140000;71.8;71.8;71.5;71.5;6;0
НКНХ ао;60;20170208;150000;71.5;71.7;71.4;71.7;22;0
НКНХ ао;60;20170208;160000;71.6;71.6;71.4;71.4;35;0
НКНХ ао;60;20170208;170000;71.6;72;71.6;72;11;0
НКНХ ао;60;20170208;180000;72.2;72.2;72.2;72.2;1;0
НКНХ ао;60;20170209;100000;72.3;72.3;72.3;72.3;2;0
НКНХ ао;60;20170209;110000;72.3;72.3;72;72;78;0
НКНХ ао;60;20170209;130000;71.7;71.9;71.7;71.9;2;0
НКНХ ао;60;20170209;140000;71.7;72;71.7;72;2;0
НКНХ ао;60;20170209;150000;71.8;71.8;71.7;71.7;8;0
НКНХ ао;60;20170209;160000;71.9;72;71.9;72;14;0
НКНХ ао;60;20170209;170000;72;72.3;72;72.3;4;0
НКНХ ао;60;20170210;100000;72.3;73;72.3;73;43;0
НКНХ ао;60;20170210;130000;72.9;72.9;72.9;72.9;1;0
НКНХ ао;60;20170210;140000;72.7;72.7;72.7;72.7;1;0
НКНХ ао;60;20170210;160000;72.6;72.7;72.6;72.7;3;0
НКНХ ао;60;20170210;170000;72.6;72.6;72.5;72.6;45;0
НКНХ ао;60;20170210;180000;72.7;72.7;72.7;72.7;3;0
НКНХ ао;60;20170213;110000;72.9;72.9;72;72.5;64;0
НКНХ ао;60;20170213;120000;71.9;71.9;71.9;71.9;1;0
НКНХ ао;60;20170213;130000;72;72;72;72;1;0
НКНХ ао;60;20170213;140000;72;72;72;72;5;0
НКНХ ао;60;20170213;150000;72;72;72;72;1;0
НКНХ ао;60;20170213;170000;72;72;72;72;1;0
НКНХ ао;60;20170214;100000;72.1;72.1;71.1;71.1;78;0
НКНХ ао;60;20170214;110000;71.2;71.6;70.7;71.6;12;0
НКНХ ао;60;20170214;120000;71.7;71.7;71;71;42;0
НКНХ ао;60;20170214;130000;71.8;71.9;71.8;71.9;7;0
НКНХ ао;60;20170214;170000;71.5;71.5;71.5;71.5;1;0
НКНХ ао;60;20170214;180000;71.8;72;71.8;72;10;0
НКНХ ао;60;20170215;100000;71.8;72;71.8;72;12;0
НКНХ ао;60;20170215;110000;70.8;70.8;70.8;70.8;1;0
НКНХ ао;60;20170215;130000;71.2;71.2;71;71;2;0
НКНХ ао;60;20170215;170000;71.8;71.8;71.8;71.8;20;0
НКНХ ао;60;20170215;180000;71.1;71.1;71.1;71.1;6;0
НКНХ ао;60;20170216;100000;71.1;71.1;71.1;71.1;1;0
НКНХ ао;60;20170216;130000;70.8;71.1;70.8;71.1;27;0
НКНХ ао;60;20170216;140000;71.2;71.2;71.2;71.2;4;0
НКНХ ао;60;20170216;150000;71.1;71.1;71.1;71.1;4;0
НКНХ ао;60;20170216;160000;71.2;71.2;71.1;71.1;10;0
НКНХ ао;60;20170216;170000;71.2;71.2;69.2;70;140;0
НКНХ ао;60;20170216;180000;70;70.8;69.9;70.8;23;0
НКНХ ао;60;20170217;100000;69.9;71;69.9;70.9;11;0
НКНХ ао;60;20170217;110000;70.9;70.9;70.9;70.9;13;0
НКНХ ао;60;20170217;120000;70.9;70.9;70;70;34;0
НКНХ ао;60;20170217;130000;70.7;70.7;70.7;70.7;1;0
НКНХ ао;60;20170217;150000;70.7;70.7;70.7;70.7;1;0
НКНХ ао;60;20170217;160000;70.8;70.8;70.8;70.8;2;0
НКНХ ао;60;20170220;100000;69.8;69.8;67.4;68.9;30;0
НКНХ ао;60;20170220;110000;69.7;69.9;69.5;69.9;13;0
НКНХ ао;60;20170220;120000;69.9;69.9;69.8;69.8;11;0
НКНХ ао;60;20170220;130000;69.8;69.8;69;69;24;0
НКНХ ао;60;20170220;140000;69.6;69.6;69.6;69.6;1;0
НКНХ ао;60;20170220;150000;69.8;69.8;69.8;69.8;1;0
НКНХ ао;60;20170220;170000;69.8;69.8;69.8;69.8;3;0
НКНХ ао;60;20170220;180000;69.9;70;69.6;70;25;0
НКНХ ао;60;20170221;130000;70.2;70.2;70.2;70.2;5;0
НКНХ ао;60;20170221;160000;69.8;69.9;69.8;69.9;19;0
НКНХ ао;60;20170221;180000;69.8;69.8;69.8;69.8;4;0
НКНХ ао;60;20170222;130000;69;69.3;69;69.3;3;0
НКНХ ао;60;20170222;140000;69.3;69.3;69.3;69.3;2;0
НКНХ ао;60;20170222;150000;69.4;69.7;69.4;69.7;20;0
НКНХ ао;60;20170222;160000;69.3;69.7;69.1;69.7;3;0
НКНХ ао;60;20170224;120000;69.7;69.7;69.7;69.7;1;0
НКНХ ао;60;20170224;140000;69.9;69.9;69.9;69.9;2;0
НКНХ ао;60;20170224;150000;69.8;69.8;69.7;69.7;4;0
НКНХ ао;60;20170224;160000;70;70.4;70;70.4;32;0
НКНХ ао;60;20170224;180000;70.4;71;70.4;71;57;0
НКНХ ао;60;20170227;110000;71;71.4;71;71.4;4;0
НКНХ ао;60;20170227;120000;72.2;72.2;72.2;72.2;1;0
НКНХ ао;60;20170227;130000;71.1;71.2;71;71;3;0
НКНХ ао;60;20170227;140000;71.1;71.5;71.1;71.5;5;0
НКНХ ао;60;20170227;160000;71.6;71.6;71.5;71.5;208;0
НКНХ ао;60;20170227;170000;71.5;71.5;71.2;71.5;71;0
НКНХ ао;60;20170227;180000;71;71;70.9;71;6;0
НКНХ ао;60;20170228;100000;70.8;70.8;70.1;70.1;25;0
НКНХ ао;60;20170228;110000;70;70;70;70;2;0
НКНХ ао;60;20170228;120000;70;70;70;70;3;0
НКНХ ао;60;20170228;140000;70.1;70.1;70.1;70.1;1;0
НКНХ ао;60;20170228;160000;70;70;69.9;69.9;9;0
НКНХ ао;60;20170228;170000;69.9;69.9;69.7;69.7;2;0
НКНХ ао;60;20170301;100000;69.2;69.2;68.9;68.9;31;0
