<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
НКНХ ап;60;20170124;100000;32.49;33.19;32.49;33;414;0
НКНХ ап;60;20170124;110000;33.03;33.03;32.58;32.99;176;0
НКНХ ап;60;20170124;120000;33;33;32.56;32.91;89;0
НКНХ ап;60;20170124;130000;32.92;33;32.76;32.82;54;0
НКНХ ап;60;20170124;140000;32.98;33;32.94;33;36;0
НКНХ ап;60;20170124;150000;33.01;33.1;32.91;33.02;235;0
НКНХ ап;60;20170124;160000;33.01;33.1;32.97;33.05;197;0
НКНХ ап;60;20170124;170000;33;33.05;32.9;33;566;0
НКНХ ап;60;20170124;180000;32.97;32.98;32.85;32.98;42;0
НКНХ ап;60;20170125;100000;33.03;33.27;32.9;33;78;0
НКНХ ап;60;20170125;110000;32.9;32.9;32.88;32.88;7;0
НКНХ ап;60;20170125;120000;32.88;33;32.88;32.99;38;0
НКНХ ап;60;20170125;130000;32.99;33.07;32.97;33.07;13;0
НКНХ ап;60;20170125;140000;33.08;33.24;32.97;32.99;149;0
НКНХ ап;60;20170125;150000;33.09;33.12;32.98;33.05;214;0
НКНХ ап;60;20170125;170000;33.03;33.03;33.03;33.03;2;0
НКНХ ап;60;20170125;180000;33.03;33.39;33.03;33.35;721;0
НКНХ ап;60;20170126;090000;33.4;33.4;33.4;33.4;18;0
НКНХ ап;60;20170126;100000;33.29;33.5;33.29;33.5;144;0
НКНХ ап;60;20170126;110000;33.43;33.5;33.4;33.5;245;0
НКНХ ап;60;20170126;120000;33.47;33.49;33.47;33.49;49;0
НКНХ ап;60;20170126;130000;33.49;33.66;33.47;33.66;1186;0
НКНХ ап;60;20170126;140000;33.6;33.7;33.3;33.7;195;0
НКНХ ап;60;20170126;150000;33.69;33.96;33.6;33.9;309;0
НКНХ ап;60;20170126;160000;33.73;33.93;33.7;33.93;61;0
НКНХ ап;60;20170126;170000;33.8;33.9;33.78;33.89;82;0
НКНХ ап;60;20170126;180000;33.89;33.95;33.75;33.8;321;0
НКНХ ап;60;20170127;100000;33.96;34.09;33.8;34.07;113;0
НКНХ ап;60;20170127;110000;34.1;34.2;34;34;192;0
НКНХ ап;60;20170127;120000;33.94;34;33.6;33.6;660;0
НКНХ ап;60;20170127;130000;33.61;33.94;33.6;33.93;66;0
НКНХ ап;60;20170127;140000;33.93;34;33.65;33.66;79;0
НКНХ ап;60;20170127;150000;33.75;33.75;33.7;33.7;46;0
НКНХ ап;60;20170127;160000;33.75;33.8;33.75;33.8;6;0
НКНХ ап;60;20170127;170000;33.75;34;33.65;33.96;172;0
НКНХ ап;60;20170127;180000;33.8;34;33.79;33.91;168;0
НКНХ ап;60;20170130;090000;33.97;33.97;33.97;33.97;1;0
НКНХ ап;60;20170130;100000;33.93;34.03;33.78;34;419;0
НКНХ ап;60;20170130;110000;33.97;34.1;33.97;34.02;424;0
НКНХ ап;60;20170130;120000;34.07;34.25;34.03;34.24;619;0
НКНХ ап;60;20170130;130000;34.12;34.12;34.05;34.05;87;0
НКНХ ап;60;20170130;140000;34.15;34.25;34.15;34.25;150;0
НКНХ ап;60;20170130;150000;34.25;34.25;34.12;34.19;80;0
НКНХ ап;60;20170130;160000;34.19;34.19;34;34.04;726;0
НКНХ ап;60;20170130;170000;34.03;34.22;34;34.05;266;0
НКНХ ап;60;20170130;180000;34.06;34.09;34.05;34.05;20;0
НКНХ ап;60;20170131;100000;34.21;34.22;34.05;34.05;52;0
НКНХ ап;60;20170131;110000;34.05;34.05;33.93;33.96;61;0
НКНХ ап;60;20170131;120000;34.04;34.16;34.04;34.12;22;0
НКНХ ап;60;20170131;130000;34.1;34.1;33.96;33.96;136;0
НКНХ ап;60;20170131;140000;34;34;34;34;5;0
НКНХ ап;60;20170131;150000;34;34.15;33.8;34.15;213;0
НКНХ ап;60;20170131;160000;34.1;34.29;33.9;34.29;52;0
НКНХ ап;60;20170131;170000;34.17;34.17;33.9;33.9;223;0
НКНХ ап;60;20170131;180000;33.91;34.08;33.9;33.99;467;0
НКНХ ап;60;20170201;100000;34.05;34.06;33.8;33.97;89;0
НКНХ ап;60;20170201;110000;33.88;34.29;33.81;33.92;424;0
НКНХ ап;60;20170201;120000;34.05;34.14;33.92;34.08;35;0
НКНХ ап;60;20170201;130000;34.07;34.07;33.9;33.9;48;0
НКНХ ап;60;20170201;140000;33.99;34.03;33.93;34;123;0
НКНХ ап;60;20170201;150000;33.94;33.94;33.8;33.8;150;0
НКНХ ап;60;20170201;160000;33.79;33.93;33.73;33.9;126;0
НКНХ ап;60;20170201;170000;33.9;33.9;33.86;33.86;31;0
НКНХ ап;60;20170201;180000;33.91;33.93;33.8;33.93;146;0
НКНХ ап;60;20170202;100000;34;34.02;33.9;34;241;0
НКНХ ап;60;20170202;110000;34;34.06;33.87;34.06;75;0
НКНХ ап;60;20170202;120000;34.04;34.06;33.96;34.06;16;0
НКНХ ап;60;20170202;130000;34.05;34.05;33.93;34.02;49;0
НКНХ ап;60;20170202;140000;34.02;34.02;33.95;33.95;52;0
НКНХ ап;60;20170202;150000;34;34.12;34;34.05;97;0
НКНХ ап;60;20170202;160000;34.06;34.06;33.98;33.98;22;0
НКНХ ап;60;20170202;170000;34.07;34.07;33.95;33.95;89;0
НКНХ ап;60;20170202;180000;33.96;33.99;33.73;33.95;224;0
НКНХ ап;60;20170203;100000;34.02;34.06;33.95;34.03;122;0
НКНХ ап;60;20170203;110000;34.03;34.03;33.91;33.91;230;0
НКНХ ап;60;20170203;120000;33.96;33.97;33.96;33.97;12;0
НКНХ ап;60;20170203;130000;33.98;33.98;33.92;33.98;19;0
НКНХ ап;60;20170203;140000;33.93;33.93;33.91;33.91;18;0
НКНХ ап;60;20170203;150000;33.91;33.92;33.6;33.61;630;0
НКНХ ап;60;20170203;160000;33.69;33.69;33.61;33.69;45;0
НКНХ ап;60;20170203;170000;33.65;33.68;33.5;33.68;240;0
НКНХ ап;60;20170203;180000;33.61;33.68;33.52;33.59;196;0
НКНХ ап;60;20170206;100000;33.72;33.97;33.7;33.97;93;0
НКНХ ап;60;20170206;110000;33.92;33.95;33.83;33.84;48;0
НКНХ ап;60;20170206;120000;33.85;33.95;33.85;33.85;40;0
НКНХ ап;60;20170206;130000;33.9;33.9;33.81;33.81;32;0
НКНХ ап;60;20170206;140000;33.8;33.8;33.59;33.65;371;0
НКНХ ап;60;20170206;150000;33.63;33.69;33.5;33.59;201;0
НКНХ ап;60;20170206;160000;33.6;33.6;33.55;33.59;23;0
НКНХ ап;60;20170206;170000;33.56;33.57;33.5;33.5;52;0
НКНХ ап;60;20170206;180000;33.5;33.75;33.34;33.66;263;0
НКНХ ап;60;20170207;100000;33.67;33.75;33.54;33.68;321;0
НКНХ ап;60;20170207;110000;33.68;33.75;33.57;33.57;209;0
НКНХ ап;60;20170207;120000;33.65;34;33.53;33.7;533;0
НКНХ ап;60;20170207;130000;33.7;34;33.7;33.98;1460;0
НКНХ ап;60;20170207;140000;33.99;33.99;33.74;33.95;60;0
НКНХ ап;60;20170207;150000;33.92;34.06;33.92;34;775;0
НКНХ ап;60;20170207;160000;34;34.11;34;34;852;0
НКНХ ап;60;20170207;170000;34.03;34.15;34.03;34.07;71;0
НКНХ ап;60;20170207;180000;34.13;34.2;34.13;34.2;98;0
НКНХ ап;60;20170208;090000;34.2;34.2;34.2;34.2;4;0
НКНХ ап;60;20170208;100000;34.3;34.6;34.21;34.44;165;0
НКНХ ап;60;20170208;110000;34.48;34.49;34.35;34.35;173;0
НКНХ ап;60;20170208;120000;34.34;34.36;34.33;34.33;44;0
НКНХ ап;60;20170208;130000;34.4;34.48;34.2;34.2;165;0
НКНХ ап;60;20170208;140000;34.28;34.57;34.28;34.55;872;0
НКНХ ап;60;20170208;150000;34.55;34.59;34.35;34.54;132;0
НКНХ ап;60;20170208;160000;34.53;34.55;34.4;34.48;74;0
НКНХ ап;60;20170208;170000;34.48;34.54;34.48;34.5;68;0
НКНХ ап;60;20170208;180000;34.53;34.55;34.35;34.55;607;0
НКНХ ап;60;20170209;090000;34.55;34.55;34.55;34.55;1;0
НКНХ ап;60;20170209;100000;34.55;34.64;34.51;34.51;83;0
НКНХ ап;60;20170209;110000;34.6;34.6;34.3;34.31;141;0
НКНХ ап;60;20170209;120000;34.32;34.4;34.27;34.27;104;0
НКНХ ап;60;20170209;130000;34.25;34.4;34.25;34.25;208;0
НКНХ ап;60;20170209;140000;34.24;34.36;34.11;34.15;235;0
НКНХ ап;60;20170209;150000;34.15;34.33;34.15;34.22;95;0
