<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
НКХП ао;60;20170124;120000;217;217;211;211;1611;0
НКХП ао;60;20170124;130000;212;212;205;210;217;0
НКХП ао;60;20170124;140000;210;210;208;210;20;0
НКХП ао;60;20170124;160000;210;214;210;210;35;0
НКХП ао;60;20170124;170000;209;211;209;211;13;0
НКХП ао;60;20170124;180000;211;211;211;211;1;0
НКХП ао;60;20170125;100000;210;211;210;211;3;0
НКХП ао;60;20170125;110000;212;212;212;212;50;0
НКХП ао;60;20170125;130000;212;212;211;211;2;0
НКХП ао;60;20170125;170000;212;212;212;212;1;0
НКХП ао;60;20170126;100000;213;213;213;213;1;0
НКХП ао;60;20170126;110000;213;213;208;213;25;0
НКХП ао;60;20170126;120000;211;211;211;211;1;0
НКХП ао;60;20170126;140000;212;213;212;213;4;0
НКХП ао;60;20170126;160000;213;213;213;213;1;0
НКХП ао;60;20170126;170000;212;212;212;212;2;0
НКХП ао;60;20170126;180000;212;212;212;212;8;0
НКХП ао;60;20170127;100000;211;211;211;211;2;0
НКХП ао;60;20170127;120000;212;212;212;212;2;0
НКХП ао;60;20170127;150000;211;211;211;211;2;0
НКХП ао;60;20170127;160000;211;211;209;211;9;0
НКХП ао;60;20170127;170000;211;211;211;211;1;0
НКХП ао;60;20170130;110000;215;215;214;214;11;0
НКХП ао;60;20170130;120000;214;214;213;213;9;0
НКХП ао;60;20170130;140000;212;212;211;211;3;0
НКХП ао;60;20170130;150000;214;215;214;215;5;0
НКХП ао;60;20170130;180000;212;212;212;212;2;0
НКХП ао;60;20170131;120000;214;214;214;214;211;0
НКХП ао;60;20170131;140000;214;215;213;213;4;0
НКХП ао;60;20170131;150000;213;215;213;215;11;0
НКХП ао;60;20170131;160000;216;218;211;211;438;0
НКХП ао;60;20170131;170000;211;211;211;211;2;0
НКХП ао;60;20170131;180000;211;211;210;210;79;0
НКХП ао;60;20170201;100000;210;210;210;210;10;0
НКХП ао;60;20170201;110000;212;212;212;212;180;0
НКХП ао;60;20170201;120000;210;210;209;209;3;0
НКХП ао;60;20170201;140000;212;212;210;210;15;0
НКХП ао;60;20170201;160000;210;210;210;210;2;0
НКХП ао;60;20170201;180000;209;209;209;209;3;0
НКХП ао;60;20170202;100000;211;240;210;210;57;0
НКХП ао;60;20170202;110000;212;212;210;210;63;0
НКХП ао;60;20170202;130000;212;212;212;212;1;0
НКХП ао;60;20170202;150000;212;212;212;212;2;0
НКХП ао;60;20170202;160000;211;211;211;211;3;0
НКХП ао;60;20170202;180000;215;216;213;213;5;0
НКХП ао;60;20170203;100000;212;212;212;212;1;0
НКХП ао;60;20170203;110000;212;212;212;212;2;0
НКХП ао;60;20170203;120000;212;212;212;212;6;0
НКХП ао;60;20170203;140000;210;210;209;209;5;0
НКХП ао;60;20170203;150000;209;209;209;209;5;0
НКХП ао;60;20170203;180000;211;213;210;210;6;0
НКХП ао;60;20170206;110000;210;210;210;210;1;0
НКХП ао;60;20170206;170000;212;212;212;212;12;0
НКХП ао;60;20170206;180000;211;211;211;211;3;0
НКХП ао;60;20170207;110000;210;210;203;208;815;0
НКХП ао;60;20170207;120000;208;208;203;203;803;0
