<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
НЛМК ао;60;20170124;090000;109.73;109.73;109.73;109.73;160;0
НЛМК ао;60;20170124;100000;109.72;111.2;109.51;110.52;72298;0
НЛМК ао;60;20170124;110000;110.53;110.53;109.4;110.34;38862;0
НЛМК ао;60;20170124;120000;110.4;110.6;109.91;110.48;34143;0
НЛМК ао;60;20170124;130000;110.47;110.83;110.08;110.65;31783;0
НЛМК ао;60;20170124;140000;110.62;111.1;110.42;110.69;18939;0
НЛМК ао;60;20170124;150000;110.78;111.56;110.58;111.48;23044;0
НЛМК ао;60;20170124;160000;111.46;112.5;111.25;112.37;64732;0
НЛМК ао;60;20170124;170000;112.37;112.5;111.9;112.36;39670;0
НЛМК ао;60;20170124;180000;112.36;112.64;112.02;112.5;41161;0
НЛМК ао;60;20170125;090000;112.55;112.55;112.55;112.55;916;0
НЛМК ао;60;20170125;100000;112.55;113.83;112.1;113.78;82871;0
НЛМК ао;60;20170125;110000;113.77;114.5;113.64;114.4;96022;0
НЛМК ао;60;20170125;120000;114.4;114.49;113.51;113.95;49340;0
НЛМК ао;60;20170125;130000;113.89;114.3;113.76;113.89;16198;0
НЛМК ао;60;20170125;140000;113.92;114.07;113.78;113.9;16702;0
НЛМК ао;60;20170125;150000;113.91;113.96;112.25;112.67;86625;0
НЛМК ао;60;20170125;160000;112.58;112.84;112.43;112.62;28464;0
НЛМК ао;60;20170125;170000;112.63;112.8;112.15;112.49;40978;0
НЛМК ао;60;20170125;180000;112.52;112.64;111.7;112.56;51432;0
НЛМК ао;60;20170126;090000;112.81;112.81;112.81;112.81;47;0
НЛМК ао;60;20170126;100000;112.82;114.39;112.82;114.17;76064;0
НЛМК ао;60;20170126;110000;114.13;114.22;112.05;113.05;95722;0
НЛМК ао;60;20170126;120000;113.07;113.35;111.67;112.41;146281;0
НЛМК ао;60;20170126;130000;112.44;113.3;112.3;113.02;140306;0
НЛМК ао;60;20170126;140000;113.03;115.3;112.83;115.3;230841;0
НЛМК ао;60;20170126;150000;115.3;116;114.64;116;142741;0
НЛМК ао;60;20170126;160000;116;116.25;114.73;115.95;87455;0
НЛМК ао;60;20170126;170000;115.93;115.99;115.13;115.74;42889;0
НЛМК ао;60;20170126;180000;115.71;116.65;115.54;116.4;72028;0
НЛМК ао;60;20170127;090000;116;116;116;116;442;0
НЛМК ао;60;20170127;100000;116;117.7;115.18;117.35;91133;0
НЛМК ао;60;20170127;110000;117.32;117.6;116.4;117.17;105612;0
НЛМК ао;60;20170127;120000;117.14;117.25;116.64;116.86;68645;0
НЛМК ао;60;20170127;130000;116.87;117.7;116.41;116.53;63260;0
НЛМК ао;60;20170127;140000;116.42;116.54;115.63;116.01;36885;0
НЛМК ао;60;20170127;150000;116.02;116.53;115.92;116.45;32597;0
НЛМК ао;60;20170127;160000;116.45;116.55;115.09;116.18;55890;0
НЛМК ао;60;20170127;170000;116.01;116.4;115.77;115.96;26855;0
НЛМК ао;60;20170127;180000;116.07;117.2;115.83;116.8;63096;0
НЛМК ао;60;20170130;090000;116.98;116.98;116.98;116.98;403;0
НЛМК ао;60;20170130;100000;116.83;118.08;116.23;117.95;127123;0
НЛМК ао;60;20170130;110000;117.95;118.73;116.65;117.4;95278;0
НЛМК ао;60;20170130;120000;117.4;118;117.36;117.66;23208;0
НЛМК ао;60;20170130;130000;117.6;118.07;116.97;117.61;64127;0
НЛМК ао;60;20170130;140000;117.62;117.83;116.01;117.32;69272;0
НЛМК ао;60;20170130;150000;117.32;117.48;116.39;116.45;25671;0
НЛМК ао;60;20170130;160000;116.45;116.79;116;116.02;38334;0
НЛМК ао;60;20170130;170000;116.04;117.35;116;116.3;52615;0
НЛМК ао;60;20170130;180000;116.22;116.42;116.03;116.11;29952;0
НЛМК ао;60;20170131;090000;116.41;116.41;116.41;116.41;76;0
НЛМК ао;60;20170131;100000;116.5;117.39;116.12;117;35271;0
НЛМК ао;60;20170131;110000;116.95;117;116.01;116.42;43327;0
НЛМК ао;60;20170131;120000;116.35;116.79;116.3;116.47;48021;0
НЛМК ао;60;20170131;130000;116.49;116.97;116.38;116.97;25910;0
НЛМК ао;60;20170131;140000;116.97;117.74;116.8;117.16;87608;0
НЛМК ао;60;20170131;150000;117.2;118.49;116.92;118.32;113338;0
НЛМК ао;60;20170131;160000;118.3;119.48;118;119.04;249679;0
НЛМК ао;60;20170131;170000;119.04;119.26;118.2;118.48;61616;0
НЛМК ао;60;20170131;180000;118.5;118.63;117.5;118.05;45614;0
НЛМК ао;60;20170201;090000;118.44;118.44;118.44;118.44;23;0
НЛМК ао;60;20170201;100000;118.22;120.99;117.81;120.33;122582;0
НЛМК ао;60;20170201;110000;120.33;120.86;120;120.13;85922;0
НЛМК ао;60;20170201;120000;120.13;120.2;120;120.06;35113;0
НЛМК ао;60;20170201;130000;120.07;120.83;120.05;120.77;37947;0
НЛМК ао;60;20170201;140000;120.75;120.78;120.01;120.14;18463;0
НЛМК ао;60;20170201;150000;120.13;120.35;120;120.1;24865;0
НЛМК ао;60;20170201;160000;120.1;120.25;120;120.05;35601;0
НЛМК ао;60;20170201;170000;120.05;120.33;118.81;119.38;44992;0
НЛМК ао;60;20170201;180000;119.34;120.1;118.4;120.09;60457;0
НЛМК ао;60;20170202;090000;120.09;120.09;120.09;120.09;38;0
НЛМК ао;60;20170202;100000;120.09;121.84;119.58;121.43;88558;0
НЛМК ао;60;20170202;110000;121.43;122;120.54;121.62;56513;0
НЛМК ао;60;20170202;120000;121.61;121.76;121.1;121.49;31824;0
НЛМК ао;60;20170202;130000;121.49;121.5;121.3;121.44;39869;0
НЛМК ао;60;20170202;140000;121.43;121.45;120.02;120.72;73060;0
НЛМК ао;60;20170202;150000;120.7;121.27;120.05;120.06;33556;0
НЛМК ао;60;20170202;160000;120.07;120.2;120.05;120.11;34926;0
НЛМК ао;60;20170202;170000;120.11;120.3;120.05;120.07;31281;0
НЛМК ао;60;20170202;180000;120.06;120.26;119.27;119.66;65974;0
НЛМК ао;60;20170203;090000;119.46;119.46;119.46;119.46;29;0
НЛМК ао;60;20170203;100000;119.46;119.78;118.02;119.21;61956;0
НЛМК ао;60;20170203;110000;119.29;120.74;118.2;118.54;140593;0
НЛМК ао;60;20170203;120000;118.56;119.36;118.25;119.13;27529;0
НЛМК ао;60;20170203;130000;119.13;119.13;118.5;118.5;40195;0
НЛМК ао;60;20170203;140000;118.5;119.58;118.5;119.3;32802;0
НЛМК ао;60;20170203;150000;119.3;119.31;118.51;118.84;14909;0
НЛМК ао;60;20170203;160000;118.84;119.2;118.8;119.16;5846;0
НЛМК ао;60;20170203;170000;119.16;119.97;119.05;119.38;22888;0
НЛМК ао;60;20170203;180000;119.38;119.86;119.01;119.19;32791;0
НЛМК ао;60;20170206;090000;120.3;120.3;120.3;120.3;63;0
НЛМК ао;60;20170206;100000;120.28;120.62;119.01;120.08;42596;0
НЛМК ао;60;20170206;110000;120.17;120.41;117.52;117.83;130356;0
НЛМК ао;60;20170206;120000;117.83;118.62;117.83;118.45;35362;0
НЛМК ао;60;20170206;130000;118.47;118.57;118;118.42;26123;0
НЛМК ао;60;20170206;140000;118.43;118.47;118.01;118.11;8676;0
НЛМК ао;60;20170206;150000;118.08;118.28;118;118.04;42863;0
НЛМК ао;60;20170206;160000;118.04;118.21;118;118.14;25312;0
НЛМК ао;60;20170206;170000;118.14;118.36;118;118;43371;0
НЛМК ао;60;20170206;180000;118;118.25;118;118.25;64945;0
НЛМК ао;60;20170207;090000;117.81;117.81;117.81;117.81;7;0
НЛМК ао;60;20170207;100000;118.24;118.95;117.6;118.13;33239;0
НЛМК ао;60;20170207;110000;118.13;118.8;117.8;118.55;31396;0
НЛМК ао;60;20170207;120000;118.55;118.78;117.72;117.97;38903;0
НЛМК ао;60;20170207;130000;118.02;118.28;118;118.2;7577;0
НЛМК ао;60;20170207;140000;118.16;118.2;117.91;118;10733;0
НЛМК ао;60;20170207;150000;118;118.06;117.81;117.88;12323;0
НЛМК ао;60;20170207;160000;117.87;118.27;117.74;118.03;13638;0
НЛМК ао;60;20170207;170000;117.95;118.39;117.9;118.36;17928;0
НЛМК ао;60;20170207;180000;118.33;118.33;117.88;118.05;21083;0
НЛМК ао;60;20170208;090000;118.24;118.24;118.24;118.24;98;0
НЛМК ао;60;20170208;100000;118.03;118.78;117.76;118.24;28253;0
НЛМК ао;60;20170208;110000;118.23;121.43;118.23;121.27;83963;0
НЛМК ао;60;20170208;120000;121.12;122.4;120.05;120.49;233811;0
НЛМК ао;60;20170208;130000;120.41;120.58;120.09;120.16;10535;0
НЛМК ао;60;20170208;140000;120.16;120.3;120.05;120.05;31459;0
НЛМК ао;60;20170208;150000;120.05;120.3;119.5;120.3;49925;0
НЛМК ао;60;20170208;160000;120.28;120.74;119.61;119.65;43072;0
НЛМК ао;60;20170208;170000;119.67;120.19;119.6;119.77;22006;0
НЛМК ао;60;20170208;180000;119.8;121.4;119.76;121.26;146234;0
НЛМК ао;60;20170209;090000;121.5;121.5;121.5;121.5;453;0
НЛМК ао;60;20170209;100000;121.51;122.9;120.38;120.85;109463;0
НЛМК ао;60;20170209;110000;120.82;121;120.45;120.48;109890;0
НЛМК ао;60;20170209;120000;120.47;120.75;120;120.48;69672;0
НЛМК ао;60;20170209;130000;120.58;120.58;119.55;119.61;69777;0
НЛМК ао;60;20170209;140000;119.63;120.1;119.5;120.02;55616;0
НЛМК ао;60;20170209;150000;120.02;121.44;119.98;121.33;37831;0
НЛМК ао;60;20170209;160000;121.33;121.9;121.33;121.52;86704;0
