<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
НМТП ао;60;20170124;090000;7.1;7.1;7.1;7.1;2;0
НМТП ао;60;20170124;100000;7.11;7.12;7.085;7.095;94;0
НМТП ао;60;20170124;110000;7.09;7.235;7.09;7.165;675;0
НМТП ао;60;20170124;120000;7.18;7.205;7.13;7.205;784;0
НМТП ао;60;20170124;130000;7.205;7.25;7.18;7.18;815;0
НМТП ао;60;20170124;140000;7.215;7.23;7.19;7.23;52;0
НМТП ао;60;20170124;150000;7.23;7.245;7.205;7.245;185;0
НМТП ао;60;20170124;160000;7.23;7.23;7.13;7.145;865;0
НМТП ао;60;20170124;170000;7.15;7.15;7.115;7.135;218;0
НМТП ао;60;20170124;180000;7.13;7.145;7.085;7.09;501;0
НМТП ао;60;20170125;100000;7.14;7.19;7.135;7.15;234;0
НМТП ао;60;20170125;110000;7.155;7.18;7.1;7.18;318;0
НМТП ао;60;20170125;120000;7.18;7.185;7.135;7.145;145;0
НМТП ао;60;20170125;130000;7.155;7.165;7.115;7.145;301;0
НМТП ао;60;20170125;140000;7.155;7.185;7.115;7.15;692;0
НМТП ао;60;20170125;150000;7.15;7.15;7.11;7.14;195;0
НМТП ао;60;20170125;160000;7.13;7.135;7.125;7.135;39;0
НМТП ао;60;20170125;170000;7.135;7.135;7.125;7.135;33;0
НМТП ао;60;20170125;180000;7.125;7.14;7.125;7.135;159;0
НМТП ао;60;20170126;090000;7.175;7.175;7.175;7.175;1;0
НМТП ао;60;20170126;100000;7.175;7.175;7.105;7.12;336;0
НМТП ао;60;20170126;110000;7.12;7.12;7.105;7.11;167;0
НМТП ао;60;20170126;120000;7.105;7.11;7.105;7.11;30;0
НМТП ао;60;20170126;130000;7.105;7.11;7.08;7.085;183;0
НМТП ао;60;20170126;140000;7.085;7.1;7.02;7.045;1458;0
НМТП ао;60;20170126;150000;7.045;7.08;7.035;7.08;230;0
НМТП ао;60;20170126;160000;7.08;7.095;7.06;7.095;173;0
НМТП ао;60;20170126;170000;7.095;7.1;7.08;7.1;102;0
НМТП ао;60;20170126;180000;7.1;7.1;7.055;7.09;181;0
НМТП ао;60;20170127;090000;7.095;7.095;7.095;7.095;40;0
НМТП ао;60;20170127;100000;7.095;7.12;7.06;7.085;321;0
НМТП ао;60;20170127;110000;7.06;7.07;7.035;7.05;385;0
НМТП ао;60;20170127;120000;7.05;7.05;7.03;7.035;247;0
НМТП ао;60;20170127;130000;7.035;7.045;7.035;7.04;75;0
НМТП ао;60;20170127;140000;7.035;7.035;7;7.01;706;0
НМТП ао;60;20170127;150000;7.01;7.065;7.01;7.065;544;0
