<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Нефтекамск;60;20170125;150000;105.5;105.5;105.5;105.5;6;0
Нефтекамск;60;20170127;120000;111.5;112;108;112;54;0
Нефтекамск;60;20170127;150000;112.5;112.5;112.5;112.5;5;0
Нефтекамск;60;20170130;110000;113;113;113;113;2;0
Нефтекамск;60;20170130;130000;113;113;113;113;5;0
Нефтекамск;60;20170130;160000;111;111;111;111;1;0
Нефтекамск;60;20170130;170000;112;112;112;112;1;0
Нефтекамск;60;20170201;180000;110;110;110;110;2;0
Нефтекамск;60;20170203;100000;114.5;114.5;114;114;113;0
Нефтекамск;60;20170203;110000;114.5;114.5;114.5;114.5;10;0
Нефтекамск;60;20170203;120000;113;113;113;113;20;0
Нефтекамск;60;20170203;150000;114;114;113;113;9;0
Нефтекамск;60;20170203;170000;113;113;113;113;14;0
Нефтекамск;60;20170207;130000;110.5;112;102.5;112;80;0
Нефтекамск;60;20170207;160000;112;112;112;112;2;0
Нефтекамск;60;20170208;110000;110;113;110;112.5;62;0
Нефтекамск;60;20170208;160000;110;110;110;110;1;0
Нефтекамск;60;20170209;170000;106.5;106.5;106.5;106.5;2;0
Нефтекамск;60;20170210;140000;112;112;112;112;1;0
Нефтекамск;60;20170210;150000;112;112;112;112;3;0
Нефтекамск;60;20170210;170000;107.5;107.5;107.5;107.5;2;0
Нефтекамск;60;20170213;110000;111.5;111.5;111.5;111.5;2;0
Нефтекамск;60;20170213;140000;110;110;110;110;1;0
Нефтекамск;60;20170213;180000;111;111.5;111;111.5;55;0
Нефтекамск;60;20170214;170000;107;112;107;112;77;0
Нефтекамск;60;20170215;120000;108.5;108.5;108.5;108.5;4;0
Нефтекамск;60;20170215;150000;108.5;108.5;107.5;107.5;6;0
Нефтекамск;60;20170215;160000;109.5;109.5;109.5;109.5;50;0
Нефтекамск;60;20170217;120000;113;113;107.5;107.5;3;0
Нефтекамск;60;20170217;150000;112.5;112.5;112.5;112.5;1;0
Нефтекамск;60;20170217;180000;112;112;110;110;48;0
Нефтекамск;60;20170221;120000;113.5;113.5;112;112;9;0
Нефтекамск;60;20170222;130000;110;110;110;110;1;0
Нефтекамск;60;20170222;140000;112.5;112.5;112.5;112.5;1;0
Нефтекамск;60;20170222;160000;110;110;110;110;1;0
Нефтекамск;60;20170224;110000;112;112;112;112;2;0
Нефтекамск;60;20170227;180000;106;110;105.5;105.5;9;0
Нефтекамск;60;20170228;100000;105;105;105;105;20;0
Нефтекамск;60;20170228;110000;92;92;91.5;91.5;3;0
Нефтекамск;60;20170228;120000;104;104;102;102;2;0
