<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Нижкамшина;60;20170124;160000;10.7;10.7;10.65;10.65;5;0
Нижкамшина;60;20170125;140000;11;11;11;11;1;0
Нижкамшина;60;20170125;150000;11;11;11;11;4;0
Нижкамшина;60;20170126;100000;10.7;10.7;10.65;10.65;9;0
Нижкамшина;60;20170127;120000;11.55;11.55;11.2;11.2;9;0
Нижкамшина;60;20170127;140000;11.2;11.2;11.2;11.2;7;0
Нижкамшина;60;20170131;110000;10.9;11;10.9;11;2;0
Нижкамшина;60;20170131;140000;11;11;11;11;20;0
Нижкамшина;60;20170201;170000;11.1;11.1;11;11;52;0
Нижкамшина;60;20170202;140000;11.8;11.8;11.8;11.8;1;0
Нижкамшина;60;20170202;160000;11.2;11.4;11.2;11.4;2;0
Нижкамшина;60;20170203;150000;11.1;12.2;11;12;495;0
Нижкамшина;60;20170203;160000;11.8;14.65;11.8;13.6;827;0
Нижкамшина;60;20170203;170000;13.55;14.3;12;13;262;0
Нижкамшина;60;20170203;180000;12.8;13.7;12.45;12.8;390;0
Нижкамшина;60;20170206;100000;12.65;12.85;12.15;12.6;92;0
Нижкамшина;60;20170206;110000;12.45;12.55;11.6;12.4;41;0
Нижкамшина;60;20170206;120000;12.05;12.1;12.05;12.1;11;0
Нижкамшина;60;20170206;140000;12.1;12.4;11.6;12.1;57;0
Нижкамшина;60;20170206;150000;12.2;12.2;11.4;11.5;208;0
Нижкамшина;60;20170206;160000;11.8;12.95;11.6;11.85;28;0
Нижкамшина;60;20170206;170000;12;12.6;12;12.6;44;0
Нижкамшина;60;20170206;180000;12.45;12.65;12;12.55;71;0
Нижкамшина;60;20170207;100000;12.2;12.5;11.95;12.5;8;0
Нижкамшина;60;20170207;110000;12.4;12.5;12.4;12.5;202;0
Нижкамшина;60;20170207;120000;12.65;12.7;12.55;12.55;16;0
Нижкамшина;60;20170207;130000;12.25;12.25;12;12;16;0
Нижкамшина;60;20170207;140000;12;12;11.9;11.9;22;0
Нижкамшина;60;20170207;150000;12.1;12.15;12.1;12.15;2;0
Нижкамшина;60;20170207;160000;12.35;12.5;12.2;12.2;6;0
Нижкамшина;60;20170207;180000;12.2;12.2;12.2;12.2;1;0
Нижкамшина;60;20170208;100000;12.2;12.2;12.2;12.2;7;0
Нижкамшина;60;20170208;110000;12.2;12.2;12.2;12.2;3;0
Нижкамшина;60;20170208;150000;12.1;12.1;12.1;12.1;3;0
Нижкамшина;60;20170208;160000;12.1;12.1;12.05;12.05;29;0
Нижкамшина;60;20170208;170000;12.05;12.1;12.05;12.1;54;0
Нижкамшина;60;20170209;100000;12;12;12;12;11;0
Нижкамшина;60;20170209;110000;12.05;12.05;12.05;12.05;5;0
Нижкамшина;60;20170209;120000;12.2;12.25;12.2;12.25;5;0
Нижкамшина;60;20170209;130000;12.15;12.15;12.15;12.15;1;0
Нижкамшина;60;20170209;150000;12.15;12.15;12.15;12.15;2;0
Нижкамшина;60;20170209;160000;12.15;12.15;12.15;12.15;16;0
Нижкамшина;60;20170209;170000;12.25;12.5;12.25;12.5;12;0
Нижкамшина;60;20170209;180000;12.5;14.95;12.5;13.8;268;0
