<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Новатэк ао;60;20170124;090000;705.9;705.9;705.9;705.9;18;0
Новатэк ао;60;20170124;100000;706.8;707.5;704.7;705.7;5967;0
Новатэк ао;60;20170124;110000;705.9;709.5;704;708.9;8913;0
Новатэк ао;60;20170124;120000;709.4;716.2;708.5;716;15636;0
Новатэк ао;60;20170124;130000;715.8;719.7;715.5;719.4;15496;0
Новатэк ао;60;20170124;140000;719.3;722.8;719;722.4;11048;0
Новатэк ао;60;20170124;150000;722.5;729.4;721.9;727.3;22254;0
Новатэк ао;60;20170124;160000;727.5;729;726.5;729;18372;0
Новатэк ао;60;20170124;170000;729;735.7;727;735.6;22480;0
Новатэк ао;60;20170124;180000;735.6;740.9;733.2;740.9;22459;0
Новатэк ао;60;20170125;090000;738.1;738.1;738.1;738.1;198;0
Новатэк ао;60;20170125;100000;738.6;753.2;732.6;740;56298;0
Новатэк ао;60;20170125;110000;740.1;740.1;731.3;738;13750;0
Новатэк ао;60;20170125;120000;738.3;741.9;736.1;740.2;9808;0
Новатэк ао;60;20170125;130000;740.9;740.9;735.2;736.2;3511;0
Новатэк ао;60;20170125;140000;736.1;740.5;735;739.5;4984;0
Новатэк ао;60;20170125;150000;739.2;742.3;736.3;736.5;10397;0
Новатэк ао;60;20170125;160000;736.9;748.6;736.6;748.4;11439;0
Новатэк ао;60;20170125;170000;747.2;753;745.8;752.8;13185;0
Новатэк ао;60;20170125;180000;752.6;753;748;751.7;6867;0
Новатэк ао;60;20170126;090000;754.9;754.9;754.9;754.9;85;0
Новатэк ао;60;20170126;100000;754.9;764.1;754;761.5;16785;0
Новатэк ао;60;20170126;110000;761.4;762.4;755.3;759.8;9197;0
Новатэк ао;60;20170126;120000;760;760.4;754.4;755;4439;0
Новатэк ао;60;20170126;130000;754.9;764.3;752.3;763.9;14892;0
Новатэк ао;60;20170126;140000;763.5;765;759.8;765;12717;0
Новатэк ао;60;20170126;150000;764.8;771;763.8;770.8;31982;0
Новатэк ао;60;20170126;160000;770.8;772.4;765.1;770;23100;0
Новатэк ао;60;20170126;170000;770;770.9;765;765.4;12055;0
Новатэк ао;60;20170126;180000;765.5;769;765.3;769;6215;0
Новатэк ао;60;20170127;090000;769;769;769;769;34;0
Новатэк ао;60;20170127;100000;767.1;768.4;760.7;765.1;5233;0
Новатэк ао;60;20170127;110000;765.1;769;764.1;764.8;13632;0
Новатэк ао;60;20170127;120000;765;774.3;764.5;773.2;19094;0
Новатэк ао;60;20170127;130000;773.3;774.8;766.8;766.9;11029;0
Новатэк ао;60;20170127;140000;766.9;768;764.4;766.2;3201;0
Новатэк ао;60;20170127;150000;766.2;774.3;765.1;774.2;9283;0
Новатэк ао;60;20170127;160000;774.3;785;772.5;784.9;24552;0
Новатэк ао;60;20170127;170000;783.6;792.9;769.4;778;54989;0
Новатэк ао;60;20170127;180000;778.6;781.7;775.2;780;9538;0
Новатэк ао;60;20170130;090000;772.1;772.1;772.1;772.1;70;0
Новатэк ао;60;20170130;100000;774.6;777.9;766.6;769.1;11994;0
Новатэк ао;60;20170130;110000;769;775.7;768.1;769.6;10937;0
Новатэк ао;60;20170130;120000;769.6;770.7;767.5;767.5;2904;0
Новатэк ао;60;20170130;130000;767.5;774.3;767;771.5;4365;0
Новатэк ао;60;20170130;140000;770.6;771;767.5;768.9;2165;0
Новатэк ао;60;20170130;150000;769.2;773.3;768.1;768.1;2447;0
Новатэк ао;60;20170130;160000;768.5;772.4;768.5;770;4871;0
Новатэк ао;60;20170130;170000;770;776.4;769.8;774;5985;0
Новатэк ао;60;20170130;180000;773.2;774.4;769;772.8;6346;0
Новатэк ао;60;20170131;090000;771;771;771;771;2;0
Новатэк ао;60;20170131;100000;771.6;772.4;769.3;770.8;3188;0
Новатэк ао;60;20170131;110000;771.1;773.2;766;766.1;13196;0
Новатэк ао;60;20170131;120000;766;766.9;763.5;765;8221;0
Новатэк ао;60;20170131;130000;765.1;766.5;762.7;764.4;6385;0
Новатэк ао;60;20170131;140000;763.8;767.4;761.6;763.2;5167;0
Новатэк ао;60;20170131;150000;762.7;763.6;757.8;760.8;6739;0
Новатэк ао;60;20170131;160000;760.6;765.4;760.2;762.8;7206;0
Новатэк ао;60;20170131;170000;762.7;763.6;758.3;761.4;5528;0
Новатэк ао;60;20170131;180000;761.8;763.9;758.9;759.8;10330;0
Новатэк ао;60;20170201;090000;760;760;760;760;1;0
Новатэк ао;60;20170201;100000;760.2;760.9;752.3;754.7;7804;0
Новатэк ао;60;20170201;110000;754.3;757.2;750.9;753.9;20316;0
Новатэк ао;60;20170201;120000;754.6;758;752.6;757.4;6225;0
Новатэк ао;60;20170201;130000;757.3;764.9;755;762.1;9634;0
Новатэк ао;60;20170201;140000;762.9;765.4;761.7;764.7;3703;0
Новатэк ао;60;20170201;150000;764.7;765.4;759.8;761.5;2148;0
Новатэк ао;60;20170201;160000;761.5;764.5;760.2;761.1;3393;0
Новатэк ао;60;20170201;170000;761.5;766.2;760.5;761.8;7248;0
Новатэк ао;60;20170201;180000;762.2;764.8;760.1;764.8;8686;0
Новатэк ао;60;20170202;090000;764;764;764;764;183;0
Новатэк ао;60;20170202;100000;763.2;763.2;757;759;10470;0
Новатэк ао;60;20170202;110000;759.3;762.4;758;758.2;4723;0
Новатэк ао;60;20170202;120000;758.1;762.2;757.5;761.4;5773;0
Новатэк ао;60;20170202;130000;761;768.6;760.8;767.8;11100;0
Новатэк ао;60;20170202;140000;767.8;767.8;762.3;762.6;2601;0
Новатэк ао;60;20170202;150000;763.2;763.6;757;757.5;7034;0
Новатэк ао;60;20170202;160000;757.3;757.7;750.8;752;14604;0
Новатэк ао;60;20170202;170000;753;754.3;750;750.3;4907;0
Новатэк ао;60;20170202;180000;750.3;752.9;746;746;17627;0
Новатэк ао;60;20170203;090000;748.1;748.1;748.1;748.1;1;0
Новатэк ао;60;20170203;100000;749;757.4;748.7;751.6;9075;0
Новатэк ао;60;20170203;110000;751;765.6;750;760.9;13892;0
Новатэк ао;60;20170203;120000;760.5;764.2;758;762.1;7485;0
Новатэк ао;60;20170203;130000;761.5;764;758.9;761.4;5711;0
Новатэк ао;60;20170203;140000;761.4;764.6;758.4;762.8;7809;0
Новатэк ао;60;20170203;150000;763.2;765.9;761.5;765.8;10746;0
Новатэк ао;60;20170203;160000;765.2;767.2;763.1;766.3;12792;0
Новатэк ао;60;20170203;170000;766.3;769;764.3;768.4;6008;0
Новатэк ао;60;20170203;180000;768.4;768.8;762.6;763.3;13008;0
Новатэк ао;60;20170206;090000;763.3;763.3;763.3;763.3;23;0
Новатэк ао;60;20170206;100000;763.4;770.9;759.8;761.3;10183;0
Новатэк ао;60;20170206;110000;760.7;762.1;760;761.1;7172;0
Новатэк ао;60;20170206;120000;760.6;762.3;759.5;760.2;4654;0
Новатэк ао;60;20170206;130000;760.1;763.8;756.6;762.8;16499;0
Новатэк ао;60;20170206;140000;763.3;764;761.6;762.3;3053;0
Новатэк ао;60;20170206;150000;761.5;762.4;758.5;758.6;4518;0
Новатэк ао;60;20170206;160000;759;760;756;756.3;5769;0
Новатэк ао;60;20170206;170000;756.3;759.6;755.8;756.7;7259;0
Новатэк ао;60;20170206;180000;756.7;759.8;755.8;759.8;15788;0
Новатэк ао;60;20170207;090000;759.5;759.5;759.5;759.5;25;0
Новатэк ао;60;20170207;100000;759.5;759.5;756.9;757.5;5354;0
Новатэк ао;60;20170207;110000;757.7;759;756.8;757.1;4798;0
Новатэк ао;60;20170207;120000;756.9;758.8;755;756.8;16292;0
Новатэк ао;60;20170207;130000;757;759;755.9;757.3;9106;0
Новатэк ао;60;20170207;140000;757.3;758.6;756.6;757.3;5786;0
Новатэк ао;60;20170207;150000;757.5;758.8;756.8;758.3;7459;0
Новатэк ао;60;20170207;160000;757.7;758.8;756;757.1;5132;0
Новатэк ао;60;20170207;170000;757.5;759.5;756.2;758.3;5876;0
Новатэк ао;60;20170207;180000;758.2;761.7;757.1;761.1;4966;0
Новатэк ао;60;20170208;090000;761;761;761;761;25;0
Новатэк ао;60;20170208;100000;760;760.6;757;759.4;2360;0
Новатэк ао;60;20170208;110000;759.7;762;755.2;756.3;9258;0
Новатэк ао;60;20170208;120000;756.1;758.7;752;755.3;18011;0
Новатэк ао;60;20170208;130000;756;757.3;754.6;756.3;5046;0
Новатэк ао;60;20170208;140000;756.9;757.4;753.8;753.9;4164;0
Новатэк ао;60;20170208;150000;753.8;754.2;750.8;753.6;4852;0
Новатэк ао;60;20170208;160000;753.6;753.8;750.1;751.1;2886;0
Новатэк ао;60;20170208;170000;750.7;755;750.1;750.6;13594;0
Новатэк ао;60;20170208;180000;750.3;755;748.1;755;10381;0
Новатэк ао;60;20170209;090000;754;754;754;754;14;0
Новатэк ао;60;20170209;100000;754;757.4;752;752.4;3422;0
Новатэк ао;60;20170209;110000;752.4;755.5;751;751.2;2483;0
Новатэк ао;60;20170209;120000;751.2;751.5;725.5;736.1;31277;0
Новатэк ао;60;20170209;130000;735.6;737.6;729;732.2;11149;0
Новатэк ао;60;20170209;140000;731.3;736.4;730.6;736.3;4595;0
Новатэк ао;60;20170209;150000;735.6;736.8;732.2;733.3;4249;0
Новатэк ао;60;20170209;160000;734;735;730.5;731.9;6588;0
Новатэк ао;60;20170209;170000;731.3;734;730.5;731.5;8007;0
Новатэк ао;60;20170209;180000;731.8;737;731.2;735.2;6069;0
Новатэк ао;60;20170210;090000;735.2;735.2;735.2;735.2;31;0
Новатэк ао;60;20170210;100000;735.2;740.8;735.2;737.7;5796;0
Новатэк ао;60;20170210;110000;737.8;738;728.6;731;9563;0
Новатэк ао;60;20170210;120000;731.4;736;730.9;734.3;5235;0
Новатэк ао;60;20170210;130000;734.2;740.4;733.6;739;2735;0
Новатэк ао;60;20170210;140000;739.8;742.7;738;741.7;5397;0
Новатэк ао;60;20170210;150000;741.6;742;738.3;740.8;4510;0
Новатэк ао;60;20170210;160000;740.1;744.8;738.9;738.9;5577;0
Новатэк ао;60;20170210;170000;739.5;744.7;739;739.7;4009;0
Новатэк ао;60;20170210;180000;740.7;746.7;740.7;744.2;8780;0
Новатэк ао;60;20170213;090000;744;744;744;744;2;0
Новатэк ао;60;20170213;100000;744;749.8;740.4;745.4;3791;0
Новатэк ао;60;20170213;110000;746.1;748.3;743.3;746.2;4446;0
Новатэк ао;60;20170213;120000;746.4;750.4;743.8;749;6497;0
Новатэк ао;60;20170213;130000;750;751.7;744.3;750.8;4182;0
Новатэк ао;60;20170213;140000;751.5;755.6;749.1;754;5820;0
Новатэк ао;60;20170213;150000;754.1;757.1;752.4;753;5139;0
Новатэк ао;60;20170213;160000;753.1;755.7;752.3;753.1;4397;0
Новатэк ао;60;20170213;170000;753.5;756;752.7;755.2;10096;0
Новатэк ао;60;20170213;180000;755.4;756.5;753.2;756.5;5899;0
Новатэк ао;60;20170214;090000;755.9;755.9;755.9;755.9;9;0
Новатэк ао;60;20170214;100000;755.7;756.8;748.8;749.4;3359;0
Новатэк ао;60;20170214;110000;748.9;750.2;736.4;736.8;24608;0
Новатэк ао;60;20170214;120000;736.7;743;736.4;741.2;4617;0
Новатэк ао;60;20170214;130000;741;745.5;740;742.6;6947;0
Новатэк ао;60;20170214;140000;742.3;744.1;738.8;739.7;5228;0
Новатэк ао;60;20170214;150000;740.2;742.5;740;742.3;2229;0
Новатэк ао;60;20170214;160000;742.4;745;740.8;742.5;7630;0
Новатэк ао;60;20170214;170000;742;747.9;741;746.4;5050;0
Новатэк ао;60;20170214;180000;746.5;748.4;744.3;747;8741;0
Новатэк ао;60;20170215;090000;749.9;749.9;749.9;749.9;23;0
Новатэк ао;60;20170215;100000;747;747;732;736.8;7979;0
Новатэк ао;60;20170215;110000;736.9;743.7;733.6;740.1;6623;0
Новатэк ао;60;20170215;120000;740.7;751.7;740.4;750.5;13559;0
Новатэк ао;60;20170215;130000;750.5;750.6;744.4;747.8;3445;0
Новатэк ао;60;20170215;140000;747.6;751;747;751;2019;0
Новатэк ао;60;20170215;150000;750.4;755.3;749.1;753.2;4797;0
Новатэк ао;60;20170215;160000;753.6;755.5;751.9;752;2693;0
Новатэк ао;60;20170215;170000;752.4;754.8;748.3;749.7;4223;0
Новатэк ао;60;20170215;180000;750.1;751;747.1;750;2691;0
Новатэк ао;60;20170216;090000;755.5;755.5;755.5;755.5;43;0
Новатэк ао;60;20170216;100000;752;752;742.4;748;8420;0
Новатэк ао;60;20170216;110000;747.5;752.7;746.8;751.8;4587;0
Новатэк ао;60;20170216;120000;750.9;752.8;746.2;751.7;12068;0
