<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОВК ао;60;20170124;100000;796.5;799.5;796.5;798.5;1798;0
ОВК ао;60;20170124;110000;797.5;799.5;797;798.5;5777;0
ОВК ао;60;20170124;120000;799;799;798.5;798.5;4435;0
ОВК ао;60;20170124;130000;799.5;799.5;798.5;798.5;580;0
ОВК ао;60;20170124;140000;799;799.5;798.5;799.5;2485;0
ОВК ао;60;20170124;150000;799.5;800;799;800;2976;0
ОВК ао;60;20170124;160000;800.5;800.5;800;800;1522;0
ОВК ао;60;20170124;170000;799.5;802.5;799.5;800;2132;0
ОВК ао;60;20170124;180000;799.5;800.5;799.5;800;876;0
ОВК ао;60;20170125;100000;796.5;797.5;796.5;797.5;676;0
ОВК ао;60;20170125;110000;796.5;800;796.5;799;10319;0
ОВК ао;60;20170125;120000;800;800;799.5;799.5;535;0
ОВК ао;60;20170125;130000;799;800;799;799.5;6890;0
ОВК ао;60;20170125;150000;800;800.5;800;800;20;0
ОВК ао;60;20170125;160000;800.5;801;800.5;801;3702;0
ОВК ао;60;20170125;170000;801;801;801;801;730;0
ОВК ао;60;20170126;100000;803.5;803.5;797;799.5;1200;0
ОВК ао;60;20170126;110000;800;800;799.5;800;1135;0
ОВК ао;60;20170126;120000;800;800;799.5;799.5;1020;0
ОВК ао;60;20170126;130000;800;800.5;800;800;5213;0
ОВК ао;60;20170126;140000;800.5;800.5;800.5;800.5;1791;0
ОВК ао;60;20170126;150000;800;802;800;801;9236;0
ОВК ао;60;20170126;160000;801;801;800;800;424;0
ОВК ао;60;20170126;170000;800;802.5;800;802;5712;0
ОВК ао;60;20170126;180000;802;802.5;801.5;802.5;1466;0
ОВК ао;60;20170127;100000;804;804;804;804;93;0
ОВК ао;60;20170127;110000;804;804.5;804;804;3534;0
ОВК ао;60;20170127;120000;804;804.5;804;804.5;3256;0
ОВК ао;60;20170127;130000;804.5;804.5;803.5;804;5859;0
ОВК ао;60;20170127;140000;804;804;803;803;5450;0
ОВК ао;60;20170127;150000;803;803;802.5;802.5;286;0
