<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОГК-2 ао;60;20170124;090000;0.582;0.582;0.582;0.582;437;0
ОГК-2 ао;60;20170124;100000;0.5795;0.589;0.5732;0.5873;32579;0
ОГК-2 ао;60;20170124;110000;0.5859;0.5878;0.5809;0.5833;12955;0
ОГК-2 ао;60;20170124;120000;0.5831;0.5882;0.5751;0.5798;33683;0
ОГК-2 ао;60;20170124;130000;0.5797;0.585;0.5785;0.585;13548;0
ОГК-2 ао;60;20170124;140000;0.585;0.585;0.5801;0.5846;6322;0
ОГК-2 ао;60;20170124;150000;0.5846;0.5847;0.5768;0.5807;5977;0
ОГК-2 ао;60;20170124;160000;0.5807;0.583;0.57;0.571;26381;0
ОГК-2 ао;60;20170124;170000;0.572;0.5797;0.572;0.5784;17463;0
ОГК-2 ао;60;20170124;180000;0.5782;0.5797;0.5757;0.5797;14605;0
ОГК-2 ао;60;20170125;100000;0.574;0.5878;0.5723;0.5784;16924;0
ОГК-2 ао;60;20170125;110000;0.5785;0.58;0.5701;0.5759;10450;0
ОГК-2 ао;60;20170125;120000;0.5747;0.5796;0.5737;0.5782;2275;0
ОГК-2 ао;60;20170125;130000;0.5762;0.5782;0.5738;0.5777;2539;0
ОГК-2 ао;60;20170125;140000;0.5774;0.5777;0.5736;0.577;1485;0
ОГК-2 ао;60;20170125;150000;0.577;0.582;0.5763;0.5813;4377;0
ОГК-2 ао;60;20170125;160000;0.5813;0.5824;0.5783;0.5818;7319;0
ОГК-2 ао;60;20170125;170000;0.5799;0.5821;0.5767;0.5797;5346;0
ОГК-2 ао;60;20170125;180000;0.5781;0.5797;0.5737;0.575;5073;0
ОГК-2 ао;60;20170126;090000;0.5813;0.5813;0.5813;0.5813;95;0
ОГК-2 ао;60;20170126;100000;0.5812;0.5812;0.5751;0.576;2252;0
ОГК-2 ао;60;20170126;110000;0.576;0.576;0.5674;0.5686;19198;0
ОГК-2 ао;60;20170126;120000;0.5686;0.57;0.5678;0.5698;4204;0
ОГК-2 ао;60;20170126;130000;0.5697;0.57;0.5693;0.57;1293;0
ОГК-2 ао;60;20170126;140000;0.5699;0.57;0.5691;0.57;4070;0
ОГК-2 ао;60;20170126;150000;0.57;0.57;0.5679;0.568;6554;0
ОГК-2 ао;60;20170126;160000;0.568;0.5688;0.566;0.5676;8412;0
ОГК-2 ао;60;20170126;170000;0.5676;0.5698;0.567;0.568;37814;0
ОГК-2 ао;60;20170126;180000;0.5682;0.57;0.5666;0.567;25309;0
ОГК-2 ао;60;20170127;090000;0.5719;0.5719;0.5719;0.5719;1;0
ОГК-2 ао;60;20170127;100000;0.5718;0.5718;0.5653;0.5691;15435;0
ОГК-2 ао;60;20170127;110000;0.5686;0.57;0.5673;0.5692;6725;0
ОГК-2 ао;60;20170127;120000;0.5687;0.5696;0.5672;0.5689;1448;0
ОГК-2 ао;60;20170127;130000;0.5689;0.57;0.5659;0.568;6924;0
ОГК-2 ао;60;20170127;140000;0.5679;0.5681;0.5663;0.5663;1454;0
ОГК-2 ао;60;20170127;150000;0.5662;0.5682;0.5655;0.5676;2676;0
ОГК-2 ао;60;20170127;160000;0.5676;0.5695;0.5646;0.5689;6921;0
ОГК-2 ао;60;20170127;170000;0.5695;0.57;0.5646;0.5685;8118;0
ОГК-2 ао;60;20170127;180000;0.5682;0.57;0.5659;0.5689;7147;0
ОГК-2 ао;60;20170130;100000;0.5698;0.5718;0.566;0.5699;16241;0
ОГК-2 ао;60;20170130;110000;0.5695;0.5699;0.568;0.5698;6769;0
ОГК-2 ао;60;20170130;120000;0.5698;0.5699;0.558;0.56;22842;0
ОГК-2 ао;60;20170130;130000;0.56;0.5692;0.5591;0.5625;9823;0
ОГК-2 ао;60;20170130;140000;0.5627;0.5644;0.562;0.5644;1358;0
ОГК-2 ао;60;20170130;150000;0.5644;0.5659;0.563;0.5634;2978;0
ОГК-2 ао;60;20170130;160000;0.5634;0.5644;0.5621;0.5638;4493;0
ОГК-2 ао;60;20170130;170000;0.5629;0.5645;0.5624;0.5628;3004;0
ОГК-2 ао;60;20170130;180000;0.5625;0.5658;0.5622;0.5631;2086;0
ОГК-2 ао;60;20170131;090000;0.5589;0.5589;0.5589;0.5589;7;0
ОГК-2 ао;60;20170131;100000;0.5615;0.57;0.5599;0.5633;21317;0
ОГК-2 ао;60;20170131;110000;0.5647;0.5648;0.5524;0.5549;25611;0
ОГК-2 ао;60;20170131;120000;0.5548;0.56;0.5545;0.558;9403;0
ОГК-2 ао;60;20170131;130000;0.558;0.56;0.5561;0.5561;7057;0
ОГК-2 ао;60;20170131;140000;0.557;0.5577;0.55;0.557;13363;0
ОГК-2 ао;60;20170131;150000;0.557;0.5588;0.5544;0.5547;5383;0
