<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОКС ао;60;20170124;120000;1095;1095;1095;1095;12;0
ОКС ао;60;20170125;150000;1095;1095;1095;1095;11;0
ОКС ао;60;20170126;110000;1095;1095;1095;1095;6;0
ОКС ао;60;20170127;120000;1090;1090;1090;1090;5;0
ОКС ао;60;20170127;160000;1095;1095;1095;1095;13;0
ОКС ао;60;20170127;170000;1090;1090;1090;1090;5;0
ОКС ао;60;20170130;110000;1095;1095;1095;1095;14;0
ОКС ао;60;20170131;170000;1095;1095;1095;1095;15;0
ОКС ао;60;20170201;120000;1095;1095;1095;1095;13;0
ОКС ао;60;20170202;150000;1095;1095;1095;1095;11;0
ОКС ао;60;20170203;110000;1095;1095;1095;1095;8;0
ОКС ао;60;20170206;130000;1095;1095;1095;1095;15;0
ОКС ао;60;20170207;130000;1095;1095;1095;1095;13;0
ОКС ао;60;20170208;110000;1095;1095;1095;1095;12;0
ОКС ао;60;20170209;110000;1095;1095;1095;1095;7;0
ОКС ао;60;20170213;120000;1095;1095;1095;1095;11;0
ОКС ао;60;20170214;100000;1095;1095;1095;1095;20;0
ОКС ао;60;20170214;110000;1095;1095;1095;1095;9;0
ОКС ао;60;20170215;140000;1095;1095;1095;1095;12;0
ОКС ао;60;20170216;100000;1085;1085;1085;1085;1;0
ОКС ао;60;20170216;150000;1095;1095;1095;1095;14;0
ОКС ао;60;20170220;110000;1095;1095;1095;1095;2;0
ОКС ао;60;20170221;140000;1095;1095;1095;1095;14;0
ОКС ао;60;20170222;150000;1095;1095;1095;1095;12;0
ОКС ао;60;20170227;120000;1095;1095;1095;1095;10;0
ОКС ао;60;20170228;150000;1095;1095;1095;1095;13;0
ОКС ао;60;20170301;100000;1080;1080;1070;1070;3;0
ОКС ао;60;20170301;110000;1085;1095;1085;1095;13;0
ОКС ао;60;20170303;150000;1095;1095;1095;1095;15;0
ОКС ао;60;20170306;170000;1095;1095;1095;1095;13;0
ОКС ао;60;20170307;160000;1095;1095;1095;1095;14;0
ОКС ао;60;20170309;110000;1095;1095;1095;1095;7;0
ОКС ао;60;20170310;140000;1095;1095;1095;1095;12;0
ОКС ао;60;20170313;120000;1095;1095;1095;1095;16;0
ОКС ао;60;20170314;160000;1095;1095;1095;1095;10;0
ОКС ао;60;20170315;110000;1095;1095;1095;1095;14;0
ОКС ао;60;20170316;110000;1095;1095;1095;1095;11;0
ОКС ао;60;20170317;160000;1095;1095;1095;1095;15;0
ОКС ао;60;20170321;140000;1095;1095;1095;1095;12;0
ОКС ао;60;20170323;130000;1095;1095;1095;1095;11;0
ОКС ао;60;20170324;160000;1095;1095;1095;1095;14;0
ОКС ао;60;20170327;100000;1085;1085;1085;1085;1;0
ОКС ао;60;20170327;140000;1095;1095;1095;1095;1;0
ОКС ао;60;20170327;150000;1095;1095;1095;1095;9;0
ОКС ао;60;20170330;110000;1095;1095;1095;1095;9;0
ОКС ао;60;20170403;120000;1095;1095;1095;1095;12;0
ОКС ао;60;20170404;140000;1095;1095;1095;1095;14;0
ОКС ао;60;20170405;180000;1085;1085;1085;1085;1;0
ОКС ао;60;20170406;120000;1095;1095;1095;1095;11;0
ОКС ао;60;20170407;120000;1095;1095;1095;1095;11;0
ОКС ао;60;20170410;160000;1095;1095;1095;1095;15;0
ОКС ао;60;20170411;160000;1095;1095;1095;1095;14;0
ОКС ао;60;20170412;100000;1105;1105;1095;1105;3;0
ОКС ао;60;20170412;160000;1095;1095;1095;1095;14;0
ОКС ао;60;20170414;120000;1100;1100;1100;1100;1;0
ОКС ао;60;20170417;100000;1105;1105;1105;1105;1;0
ОКС ао;60;20170419;160000;1100;1100;1100;1100;46;0
ОКС ао;60;20170420;160000;1110;1110;1110;1110;13;0
ОКС ао;60;20170421;130000;1095;1095;1095;1095;21;0
ОКС ао;60;20170424;130000;1105;1110;1105;1110;12;0
ОКС ао;60;20170425;100000;1110;1110;1110;1110;14;0
ОКС ао;60;20170426;170000;1110;1110;1110;1110;15;0
ОКС ао;60;20170427;160000;1110;1110;1110;1110;16;0
ОКС ао;60;20170428;160000;1110;1110;1110;1110;13;0
ОКС ао;60;20170502;140000;1110;1110;1110;1110;10;0
ОКС ао;60;20170503;140000;1095;1095;1095;1095;1;0
ОКС ао;60;20170503;170000;1105;1110;1105;1110;15;0
ОКС ао;60;20170504;110000;1110;1110;1110;1110;11;0
ОКС ао;60;20170505;170000;1110;1110;1110;1110;1;0
ОКС ао;60;20170511;130000;1110;1110;1110;1110;15;0
ОКС ао;60;20170515;140000;1110;1110;1110;1110;10;0
ОКС ао;60;20170515;150000;1110;1110;1110;1110;11;0
ОКС ао;60;20170516;160000;1110;1110;1110;1110;11;0
ОКС ао;60;20170517;150000;1110;1110;1110;1110;13;0
ОКС ао;60;20170518;100000;1095;1095;1095;1095;5;0
ОКС ао;60;20170518;170000;1110;1110;1110;1110;14;0
ОКС ао;60;20170519;160000;1110;1110;1110;1110;10;0
ОКС ао;60;20170522;170000;1110;1110;1110;1110;10;0
