<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОМЗ-ап;60;20170124;100000;2080;2080;2080;2080;1;0
ОМЗ-ап;60;20170124;110000;2080;2090;2070;2090;3;0
ОМЗ-ап;60;20170124;120000;2100;2110;2100;2110;2;0
ОМЗ-ап;60;20170124;140000;2120;2130;2100;2100;4;0
ОМЗ-ап;60;20170124;150000;2090;2130;2080;2130;6;0
ОМЗ-ап;60;20170124;160000;2110;2110;1990;2010;20;0
ОМЗ-ап;60;20170124;170000;2020;2030;1940;2000;59;0
ОМЗ-ап;60;20170124;180000;1970;1970;1950;1970;10;0
ОМЗ-ап;60;20170125;100000;1970;1990;1970;1990;3;0
ОМЗ-ап;60;20170125;160000;1970;1970;1970;1970;1;0
ОМЗ-ап;60;20170125;170000;1990;2000;1990;2000;2;0
ОМЗ-ап;60;20170125;180000;2010;2030;2010;2030;3;0
ОМЗ-ап;60;20170126;120000;2000;2000;2000;2000;2;0
ОМЗ-ап;60;20170126;130000;1990;1990;1990;1990;1;0
ОМЗ-ап;60;20170126;140000;1980;1980;1970;1970;2;0
ОМЗ-ап;60;20170130;100000;1980;1980;1980;1980;1;0
ОМЗ-ап;60;20170130;160000;1950;1950;1950;1950;1;0
ОМЗ-ап;60;20170130;180000;1940;2040;1930;2040;12;0
ОМЗ-ап;60;20170131;100000;2010;2010;2000;2000;3;0
ОМЗ-ап;60;20170131;120000;1990;1990;1990;1990;1;0
ОМЗ-ап;60;20170131;170000;2000;2040;2000;2040;5;0
ОМЗ-ап;60;20170131;180000;2010;2010;2000;2000;2;0
ОМЗ-ап;60;20170201;100000;1990;1990;1990;1990;1;0
ОМЗ-ап;60;20170203;100000;1980;1980;1960;1960;3;0
ОМЗ-ап;60;20170203;140000;1980;2060;1980;2030;10;0
ОМЗ-ап;60;20170203;160000;2020;2020;2010;2010;2;0
ОМЗ-ап;60;20170203;170000;2000;2020;2000;2020;6;0
ОМЗ-ап;60;20170203;180000;2000;2000;2000;2000;3;0
ОМЗ-ап;60;20170206;150000;1990;1990;1840;1840;9;0
ОМЗ-ап;60;20170206;160000;1980;1980;1950;1950;4;0
ОМЗ-ап;60;20170206;170000;1960;1960;1960;1960;1;0
ОМЗ-ап;60;20170207;170000;1960;1960;1960;1960;1;0
ОМЗ-ап;60;20170208;100000;1950;1950;1780;1950;27;0
ОМЗ-ап;60;20170208;110000;1950;1950;1950;1950;2;0
ОМЗ-ап;60;20170208;170000;1930;1930;1930;1930;15;0
ОМЗ-ап;60;20170208;180000;1930;1930;1930;1930;1;0
ОМЗ-ап;60;20170209;100000;1920;1920;1920;1920;1;0
ОМЗ-ап;60;20170209;130000;1940;1940;1940;1940;1;0
ОМЗ-ап;60;20170209;140000;1920;1920;1920;1920;1;0
ОМЗ-ап;60;20170210;100000;1960;1970;1960;1970;2;0
