<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОМПК ао;60;20170124;110000;54;54;54;54;2;0
ОМПК ао;60;20170124;120000;53.5;53.5;52.5;52.5;14;0
ОМПК ао;60;20170124;160000;52.5;52.5;52.5;52.5;4;0
ОМПК ао;60;20170124;170000;52.5;52.5;52.5;52.5;6;0
ОМПК ао;60;20170124;180000;53.9;53.9;53.9;53.9;1;0
ОМПК ао;60;20170125;100000;50;52.5;50;52.5;2;0
ОМПК ао;60;20170125;120000;52.5;52.5;52.5;52.5;6;0
ОМПК ао;60;20170125;180000;50.3;50.3;50.3;50.3;1;0
ОМПК ао;60;20170126;100000;50;51.8;50;51.8;2;0
ОМПК ао;60;20170126;160000;50.3;50.3;49.1;49.1;8;0
ОМПК ао;60;20170126;170000;49;49;45;45;70;0
ОМПК ао;60;20170126;180000;45;50;45;50;36;0
ОМПК ао;60;20170127;160000;51.3;51.5;51.3;51.5;3;0
ОМПК ао;60;20170127;170000;51.8;51.8;51.8;51.8;1;0
ОМПК ао;60;20170130;150000;51;51;51;51;1;0
ОМПК ао;60;20170201;100000;52.4;53;52.4;53;2;0
ОМПК ао;60;20170201;110000;52;52;52;52;3;0
ОМПК ао;60;20170201;180000;52;53.4;52;53.4;2;0
ОМПК ао;60;20170203;110000;52.9;52.9;52.9;52.9;1;0
ОМПК ао;60;20170203;130000;53;53;53;53;1;0
ОМПК ао;60;20170206;090000;58.3;58.3;58.3;58.3;14;0
ОМПК ао;60;20170206;100000;65;74;65;72.2;153;0
ОМПК ао;60;20170206;110000;73.9;74.1;72.4;74.1;116;0
ОМПК ао;60;20170206;130000;74.1;74.1;74.1;74.1;1;0
ОМПК ао;60;20170206;140000;74.1;74.1;74.1;74.1;5;0
ОМПК ао;60;20170206;180000;74.1;74.1;74.1;74.1;2;0
ОМПК ао;60;20170207;090000;81.5;81.5;81.5;81.5;13;0
ОМПК ао;60;20170207;100000;81.5;90;72;72;193;0
ОМПК ао;60;20170207;110000;71.6;72.9;70;72.9;38;0
ОМПК ао;60;20170207;120000;71;72.5;65;69.5;88;0
ОМПК ао;60;20170207;130000;69.5;70.2;69.5;70.2;4;0
ОМПК ао;60;20170207;140000;70.5;73;70.5;71;20;0
ОМПК ао;60;20170207;160000;71;71;69.3;69.3;2;0
ОМПК ао;60;20170207;170000;69.2;69.2;67.2;67.5;37;0
ОМПК ао;60;20170207;180000;69;70;69;69;19;0
ОМПК ао;60;20170208;100000;69.1;69.9;68.5;69.9;6;0
ОМПК ао;60;20170208;110000;71.5;73;71.5;73;7;0
ОМПК ао;60;20170208;130000;71.1;71.1;70.9;71;9;0
ОМПК ао;60;20170208;140000;70.3;70.3;70.3;70.3;1;0
ОМПК ао;60;20170208;180000;70;72.5;70;72.5;3;0
ОМПК ао;60;20170209;100000;70.8;70.8;70.6;70.6;3;0
ОМПК ао;60;20170209;170000;70.4;70.4;70;70;3;0
ОМПК ао;60;20170210;100000;71.8;82;71.8;73.5;59;0
ОМПК ао;60;20170210;110000;72.4;78.8;72.4;78.8;4;0
ОМПК ао;60;20170210;120000;74.9;74.9;73.8;73.8;8;0
ОМПК ао;60;20170210;130000;74.1;74.1;74.1;74.1;1;0
ОМПК ао;60;20170210;140000;73.9;73.9;73.9;73.9;1;0
ОМПК ао;60;20170210;150000;73.8;73.8;73.8;73.8;1;0
ОМПК ао;60;20170210;170000;74;74;74;74;2;0
ОМПК ао;60;20170210;180000;74.1;74.5;74.1;74.5;12;0
ОМПК ао;60;20170213;100000;70.7;73.5;70.6;72.5;9;0
ОМПК ао;60;20170213;110000;72.4;72.4;70.6;70.6;10;0
ОМПК ао;60;20170213;120000;70.5;72.5;70.5;71;17;0
ОМПК ао;60;20170213;140000;71;71;71;71;2;0
ОМПК ао;60;20170213;180000;71.9;71.9;71.9;71.9;1;0
ОМПК ао;60;20170214;110000;72.8;72.8;72.8;72.8;1;0
ОМПК ао;60;20170214;120000;72.9;73;72.9;73;3;0
ОМПК ао;60;20170214;160000;73;74.5;73;74.5;18;0
ОМПК ао;60;20170214;170000;74.4;74.5;73;73;5;0
ОМПК ао;60;20170214;180000;72.2;74.4;72.1;74.4;6;0
ОМПК ао;60;20170215;100000;72.5;72.5;69;69;18;0
ОМПК ао;60;20170215;110000;69.6;72;69.6;72;6;0
ОМПК ао;60;20170215;120000;72;72.1;71.9;72;13;0
ОМПК ао;60;20170215;150000;72.1;72.1;71.1;71.1;2;0
ОМПК ао;60;20170216;100000;71.4;71.4;71.3;71.3;6;0
ОМПК ао;60;20170216;120000;71.5;71.5;71.2;71.2;10;0
ОМПК ао;60;20170217;120000;71.2;71.2;71.1;71.1;6;0
ОМПК ао;60;20170220;130000;71.1;71.1;71.1;71.1;1;0
ОМПК ао;60;20170220;170000;71.1;71.1;71.1;71.1;1;0
ОМПК ао;60;20170221;100000;72;72.1;72;72.1;4;0
ОМПК ао;60;20170221;110000;71.3;71.3;71;71;8;0
ОМПК ао;60;20170221;150000;71.1;71.1;71;71;14;0
ОМПК ао;60;20170221;170000;71;71;71;71;1;0
ОМПК ао;60;20170221;180000;71.1;73.5;71;73.5;16;0
ОМПК ао;60;20170222;100000;73.3;73.4;73.3;73.4;2;0
ОМПК ао;60;20170222;110000;71.1;71.1;71.1;71.1;1;0
ОМПК ао;60;20170222;160000;71.2;71.2;71.2;71.2;1;0
