<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОПИН ао;60;20170124;100000;337;350;329;342;1708;0
ОПИН ао;60;20170124;110000;342;342;340;342;189;0
ОПИН ао;60;20170124;120000;341;341;341;341;3;0
ОПИН ао;60;20170124;140000;342;342;340;340;4;0
ОПИН ао;60;20170124;150000;340;341;340;341;2;0
ОПИН ао;60;20170124;160000;341;341;334;335;103;0
ОПИН ао;60;20170124;170000;334;336;334;336;71;0
ОПИН ао;60;20170124;180000;336;336;336;336;962;0
ОПИН ао;60;20170125;100000;338;339;329;329;52;0
ОПИН ао;60;20170125;110000;335;337;335;337;18;0
ОПИН ао;60;20170125;120000;336;336;336;336;15;0
ОПИН ао;60;20170125;130000;335;336;335;336;100;0
ОПИН ао;60;20170125;140000;335;335;335;335;100;0
ОПИН ао;60;20170125;160000;330;330;328;328;81;0
ОПИН ао;60;20170125;170000;332;333;332;333;20;0
ОПИН ао;60;20170125;180000;329;330;327;330;27;0
ОПИН ао;60;20170126;100000;328;340;326;335;1259;0
ОПИН ао;60;20170126;110000;332;339;332;339;122;0
ОПИН ао;60;20170126;120000;339;339;324;324;1284;0
ОПИН ао;60;20170126;130000;327;327;325;325;127;0
ОПИН ао;60;20170126;140000;325;332;325;326;257;0
ОПИН ао;60;20170126;160000;329;329;327;327;11;0
ОПИН ао;60;20170126;170000;329;332;329;332;500;0
ОПИН ао;60;20170126;180000;328;332;324;327;691;0
ОПИН ао;60;20170127;090000;330;330;330;330;6;0
ОПИН ао;60;20170127;100000;330;343;330;342;496;0
ОПИН ао;60;20170127;110000;340;348;340;340;492;0
ОПИН ао;60;20170127;120000;339;340;338;338;360;0
ОПИН ао;60;20170127;130000;338;340;335;335;191;0
ОПИН ао;60;20170127;140000;336;336;335;335;106;0
ОПИН ао;60;20170127;160000;335;335;335;335;90;0
ОПИН ао;60;20170127;170000;335;335;335;335;90;0
ОПИН ао;60;20170127;180000;337;339;337;339;3;0
ОПИН ао;60;20170130;090000;340;340;340;340;5;0
ОПИН ао;60;20170130;100000;339;339;337;337;12;0
ОПИН ао;60;20170130;110000;336;336;334;334;126;0
ОПИН ао;60;20170130;120000;334;336;334;336;38;0
ОПИН ао;60;20170130;140000;338;339;338;339;15;0
ОПИН ао;60;20170130;150000;335;335;335;335;89;0
ОПИН ао;60;20170130;160000;336;336;333;333;81;0
ОПИН ао;60;20170130;170000;333;333;333;333;40;0
ОПИН ао;60;20170130;180000;336;336;336;336;1;0
ОПИН ао;60;20170131;100000;336;347;333;334;766;0
ОПИН ао;60;20170131;120000;341;342;341;342;39;0
ОПИН ао;60;20170131;130000;343;345;341;345;132;0
ОПИН ао;60;20170131;140000;345;345;345;345;1;0
ОПИН ао;60;20170131;150000;344;344;344;344;200;0
ОПИН ао;60;20170131;160000;344;344;344;344;1;0
ОПИН ао;60;20170131;170000;343;344;341;344;42;0
ОПИН ао;60;20170131;180000;343;344;341;341;22;0
ОПИН ао;60;20170201;100000;343;343;341;341;25;0
ОПИН ао;60;20170201;110000;341;341;341;341;160;0
ОПИН ао;60;20170201;120000;343;343;343;343;116;0
ОПИН ао;60;20170201;130000;343;343;335;335;870;0
ОПИН ао;60;20170201;140000;336;347;334;347;428;0
ОПИН ао;60;20170201;150000;348;356;347;349;446;0
ОПИН ао;60;20170201;160000;347;360;345;360;2180;0
ОПИН ао;60;20170201;170000;356;356;352;353;1207;0
ОПИН ао;60;20170201;180000;353;354;353;353;6;0
ОПИН ао;60;20170202;100000;355;355;352;352;37;0
ОПИН ао;60;20170202;110000;355;356;352;356;22;0
ОПИН ао;60;20170202;120000;353;353;352;352;321;0
ОПИН ао;60;20170202;130000;350;355;341;354;693;0
ОПИН ао;60;20170202;140000;354;358;354;358;345;0
ОПИН ао;60;20170202;150000;357;357;357;357;80;0
ОПИН ао;60;20170202;160000;354;354;350;350;105;0
ОПИН ао;60;20170202;170000;351;351;349;349;468;0
ОПИН ао;60;20170203;100000;347;347;339;345;97;0
ОПИН ао;60;20170203;110000;340;350;340;346;1321;0
