<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОР ао;60;20171020;110000;180;180;141.03;144;615;0
ОР ао;60;20171020;120000;143;144.6;143;143;730;0
ОР ао;60;20171020;130000;143;143.4;143;143.4;162;0
ОР ао;60;20171020;140000;143.1;143.1;141;141;212;0
ОР ао;60;20171020;150000;140.52;141.79;140.5;141;1308;0
ОР ао;60;20171020;160000;141;141;141;141;124;0
ОР ао;60;20171020;170000;141;143.93;141;143.92;998;0
ОР ао;60;20171020;180000;143.93;143.93;143.92;143.93;53;0
ОР ао;60;20171023;100000;141.01;142.5;141;142.5;482;0
ОР ао;60;20171023;110000;142.99;142.99;142.99;142.99;5;0
ОР ао;60;20171023;120000;142.98;143;142.98;142.98;29;0
ОР ао;60;20171023;130000;142.71;143;141;141;494;0
ОР ао;60;20171023;140000;141.01;141.01;141;141;356;0
ОР ао;60;20171023;160000;141.01;141.01;141;141;70;0
ОР ао;60;20171023;170000;141.01;141.2;141;141;534;0
ОР ао;60;20171023;180000;141.3;141.3;141.05;141.05;3;0
ОР ао;60;20171024;100000;142;142;140;140;291;0
ОР ао;60;20171024;110000;140.5;140.5;140.5;140.5;6;0
ОР ао;60;20171024;120000;140.02;140.02;140;140;335;0
ОР ао;60;20171024;130000;140;140;139;139;940;0
ОР ао;60;20171024;140000;139.9;139.9;139;139;29;0
ОР ао;60;20171024;160000;139;139;139;139;35;0
ОР ао;60;20171024;170000;139;139;139;139;40;0
ОР ао;60;20171024;180000;139.89;139.9;139;139;122;0
ОР ао;60;20171025;100000;139.1;139.1;139.1;139.1;19;0
ОР ао;60;20171025;110000;139.05;139.05;139;139.05;4423;0
ОР ао;60;20171025;120000;139;139;139;139;300;0
ОР ао;60;20171025;130000;139;139.01;139;139;614;0
ОР ао;60;20171025;140000;139;139.02;139;139;3195;0
ОР ао;60;20171025;150000;139;139.01;139;139;1702;0
ОР ао;60;20171025;170000;139;139;139;139;2;0
ОР ао;60;20171025;180000;138.5;139;138;139;493;0
ОР ао;60;20171026;100000;138;138;137;137;10041;0
ОР ао;60;20171026;110000;137;137;137;137;664;0
ОР ао;60;20171026;120000;137;137;136;136;22524;0
ОР ао;60;20171026;130000;136;137.79;136;137;5830;0
ОР ао;60;20171026;140000;137;137;137;137;264;0
ОР ао;60;20171026;150000;136.11;137;136;136;1088;0
ОР ао;60;20171026;160000;136;136;136;136;1;0
ОР ао;60;20171026;170000;135.7;135.7;135.7;135.7;160;0
ОР ао;60;20171026;180000;137;137;137;137;430;0
ОР ао;60;20171027;100000;140;140;137;137;103;0
ОР ао;60;20171027;120000;136.5;136.5;136.5;136.5;2;0
ОР ао;60;20171027;130000;136;136;136;136;10014;0
ОР ао;60;20171027;140000;136;136;135.12;135.12;18;0
ОР ао;60;20171027;150000;135.12;135.12;135.12;135.12;1;0
ОР ао;60;20171027;160000;135;135;135;135;11037;0
ОР ао;60;20171027;170000;134.03;134.03;134;134;164;0
ОР ао;60;20171027;180000;135;135.9;135;135;3095;0
ОР ао;60;20171030;100000;135.01;135.01;135;135;8;0
ОР ао;60;20171030;110000;135;135;135;135;79;0
ОР ао;60;20171030;120000;135.69;135.7;135;135;71;0
ОР ао;60;20171030;130000;135;135;135;135;19;0
ОР ао;60;20171030;140000;135;135;135;135;30;0
ОР ао;60;20171030;150000;135;135;135;135;3;0
ОР ао;60;20171030;170000;135.54;135.7;135;135;236;0
ОР ао;60;20171031;100000;139.49;139.8;137.2;137.2;29;0
ОР ао;60;20171031;110000;137.2;138;137.2;138;86;0
ОР ао;60;20171031;120000;137.99;139;137.2;139;609;0
ОР ао;60;20171031;140000;138;138;138;138;6;0
ОР ао;60;20171031;150000;138;138.75;137.2;138.75;705;0
ОР ао;60;20171031;160000;138;139.5;138;139;6444;0
ОР ао;60;20171031;170000;140;140;138.99;139;6388;0
ОР ао;60;20171101;100000;142.42;142.42;142.42;142.42;1;0
ОР ао;60;20171101;110000;139.01;139.01;139;139.01;121;0
ОР ао;60;20171101;120000;139;139;139;139;143;0
ОР ао;60;20171101;130000;139.01;139.01;139;139;41;0
ОР ао;60;20171101;140000;139;139;139;139;6;0
ОР ао;60;20171101;150000;139;139;139;139;23;0
ОР ао;60;20171101;160000;139.01;141;139.01;140;2301;0
ОР ао;60;20171101;170000;140;141;140;140;2383;0
ОР ао;60;20171101;180000;140;140;140;140;1010;0
ОР ао;60;20171102;100000;141;141;141;141;3;0
ОР ао;60;20171102;110000;140.01;140.01;140;140;199;0
ОР ао;60;20171102;120000;140;140;140;140;197;0
ОР ао;60;20171102;130000;140.74;140.75;140;140;289;0
ОР ао;60;20171102;140000;140;140;140;140;1283;0
ОР ао;60;20171102;150000;140;140.74;140;140;3;0
ОР ао;60;20171102;160000;140.01;140.01;140;140;1000;0
ОР ао;60;20171102;170000;140;140;140;140;30;0
ОР ао;60;20171103;110000;140;140;140;140;150;0
ОР ао;60;20171103;120000;140;140;140;140;175;0
ОР ао;60;20171103;130000;140;140;140;140;100;0
ОР ао;60;20171103;150000;140.25;140.25;140;140;215;0
ОР ао;60;20171107;110000;139;139;139;139;1;0
ОР ао;60;20171107;140000;139;140;139;140;10000;0
ОР ао;60;20171107;150000;140;140;140;140;10135;0
ОР ао;60;20171107;160000;140.01;140.01;140;140;9866;0
ОР ао;60;20171107;170000;139.99;140;139.99;140;4;0
ОР ао;60;20171108;100000;138.01;138.01;137;137;100;0
ОР ао;60;20171108;110000;139.99;140;139.5;140;4178;0
ОР ао;60;20171108;130000;139.51;139.51;139.5;139.5;38;0
ОР ао;60;20171109;100000;138.5;138.5;137.05;137.05;12;0
ОР ао;60;20171109;110000;139.98;139.98;139.98;139.98;1;0
ОР ао;60;20171109;120000;138.11;138.11;138.1;138.1;8;0
ОР ао;60;20171109;130000;138.1;138.1;138;138.1;10120;0
ОР ао;60;20171109;140000;138;138;138;138;1;0
ОР ао;60;20171109;160000;138;138.1;138;138;21550;0
ОР ао;60;20171109;170000;137.52;138.01;137.52;138;1726;0
ОР ао;60;20171109;180000;138;138.01;137;137;4785;0
ОР ао;60;20171110;110000;138;138;138;138;773;0
ОР ао;60;20171110;120000;137.99;138.01;137.99;138;1128;0
ОР ао;60;20171110;170000;137.99;138;137.99;138;10;0
ОР ао;60;20171110;180000;137.31;137.31;136.9;136.9;9;0
ОР ао;60;20171113;110000;139.97;139.97;139.97;139.97;1;0
ОР ао;60;20171113;130000;138.8;138.8;138.8;138.8;1;0
ОР ао;60;20171113;150000;138.8;138.8;138.8;138.8;1;0
ОР ао;60;20171113;180000;139;139;139;139;12;0
ОР ао;60;20171114;120000;139.74;139.74;139.74;139.74;1;0
ОР ао;60;20171114;140000;137.11;137.11;137.09;137.09;10;0
ОР ао;60;20171114;150000;137.09;137.09;137;137;10029;0
ОР ао;60;20171114;160000;136.1;136.1;136.1;136.1;3;0
ОР ао;60;20171114;170000;136.99;137;136.99;137;10000;0
ОР ао;60;20171114;180000;137.11;137.11;136;136.5;62;0
ОР ао;60;20171115;100000;137.01;138.54;137;137.01;124;0
ОР ао;60;20171115;110000;137;137;137;137;9882;0
ОР ао;60;20171115;120000;137;137;137;137;1;0
ОР ао;60;20171115;140000;136.5;136.5;136;136;102;0
ОР ао;60;20171115;160000;136;136;136;136;9913;0
ОР ао;60;20171115;170000;136;136;136;136;10000;0
ОР ао;60;20171115;180000;136.99;136.99;135.5;135.5;54;0
ОР ао;60;20171116;100000;137.01;137.01;134.79;135;301;0
ОР ао;60;20171116;110000;135.1;136.99;135.1;136.99;2;0
ОР ао;60;20171116;130000;136;136;136;136;1;0
ОР ао;60;20171116;140000;135.11;135.11;135.1;135.1;5;0
ОР ао;60;20171116;160000;135.1;135.1;135.1;135.1;2;0
ОР ао;60;20171117;100000;135;135;135;135;14;0
ОР ао;60;20171117;110000;135;136.5;135;135.5;122;0
ОР ао;60;20171117;120000;135.51;136;135.51;136;8;0
ОР ао;60;20171117;150000;135.99;135.99;135.5;135.5;8;0
ОР ао;60;20171117;160000;135.2;136;135.2;136;3;0
ОР ао;60;20171117;180000;135.2;135.2;135;135;41;0
ОР ао;60;20171120;100000;135;135.02;135;135;8;0
ОР ао;60;20171120;110000;135;135;135;135;4;0
ОР ао;60;20171120;120000;135;135;135;135;1;0
ОР ао;60;20171120;130000;134.9;134.9;134.88;134.88;5;0
ОР ао;60;20171120;140000;134.19;134.19;134.19;134.19;1;0
ОР ао;60;20171120;150000;134.19;134.19;134.01;134.01;27;0
ОР ао;60;20171120;170000;134.02;134.02;134;134;21;0
ОР ао;60;20171120;180000;134.99;134.99;134.99;134.99;5;0
ОР ао;60;20171121;100000;135;135;135;135;10;0
