<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОргСинт ао;60;20170124;100000;43.6;43.6;43;43;6;0
ОргСинт ао;60;20170124;110000;43.1;43.4;43.1;43.4;13;0
ОргСинт ао;60;20170124;120000;43.5;44;43.1;44;66;0
ОргСинт ао;60;20170124;130000;44.1;44.1;44.1;44.1;27;0
ОргСинт ао;60;20170124;140000;44.3;44.3;44;44;7;0
ОргСинт ао;60;20170124;150000;44.1;44.1;44;44;17;0
ОргСинт ао;60;20170124;160000;43.7;44;43.5;43.5;21;0
ОргСинт ао;60;20170124;170000;43.7;43.7;43.5;43.5;3;0
ОргСинт ао;60;20170124;180000;43.7;44;43.7;44;20;0
ОргСинт ао;60;20170125;100000;44.2;44.5;44;44;15;0
ОргСинт ао;60;20170125;110000;44.1;44.3;43.9;43.9;9;0
ОргСинт ао;60;20170125;150000;44;44.3;43.9;44.3;20;0
ОргСинт ао;60;20170125;160000;44;44.2;43.8;44.2;31;0
ОргСинт ао;60;20170125;170000;44;44;44;44;5;0
ОргСинт ао;60;20170125;180000;44.2;44.5;44.1;44.3;46;0
ОргСинт ао;60;20170126;100000;44.5;44.9;44.5;44.9;20;0
ОргСинт ао;60;20170126;150000;44.3;44.3;44.2;44.2;22;0
ОргСинт ао;60;20170126;160000;44.5;44.5;44.5;44.5;3;0
ОргСинт ао;60;20170126;170000;44.6;44.6;44.3;44.3;3;0
ОргСинт ао;60;20170126;180000;44.5;45.5;44.5;45;417;0
ОргСинт ао;60;20170127;100000;45;45;45;45;51;0
ОргСинт ао;60;20170127;110000;45;45;44.8;44.8;10;0
ОргСинт ао;60;20170127;120000;44.8;45.9;44.8;45.6;13;0
ОргСинт ао;60;20170127;150000;45.1;45.1;45;45;43;0
ОргСинт ао;60;20170127;160000;45;45;44.5;45;49;0
ОргСинт ао;60;20170130;100000;45;45.8;45;45.7;57;0
ОргСинт ао;60;20170130;120000;46;46;46;46;25;0
ОргСинт ао;60;20170130;130000;45.9;45.9;45.9;45.9;1;0
ОргСинт ао;60;20170130;140000;46;46;46;46;11;0
ОргСинт ао;60;20170130;150000;45.9;45.9;45.8;45.8;4;0
ОргСинт ао;60;20170130;160000;45.8;45.8;45.8;45.8;4;0
ОргСинт ао;60;20170130;180000;45.6;45.6;44.9;44.9;62;0
ОргСинт ао;60;20170131;090000;45.7;45.7;45.7;45.7;2;0
ОргСинт ао;60;20170131;130000;46.4;46.5;45.1;45.1;5;0
ОргСинт ао;60;20170131;150000;45.8;45.8;45.8;45.8;1;0
ОргСинт ао;60;20170131;160000;45.9;45.9;45.9;45.9;2;0
ОргСинт ао;60;20170131;170000;45.9;45.9;45.9;45.9;2;0
ОргСинт ао;60;20170131;180000;45.8;45.8;45.8;45.8;2;0
ОргСинт ао;60;20170201;110000;46;46;46;46;6;0
ОргСинт ао;60;20170201;120000;45.7;46;45.7;46;2;0
ОргСинт ао;60;20170201;130000;45.9;45.9;45.9;45.9;1;0
ОргСинт ао;60;20170201;140000;45.9;45.9;45.9;45.9;384;0
ОргСинт ао;60;20170201;150000;45.8;45.8;45.8;45.8;200;0
ОргСинт ао;60;20170201;180000;45.6;45.9;45.6;45.9;7;0
ОргСинт ао;60;20170202;120000;45.9;45.9;45.9;45.9;15;0
ОргСинт ао;60;20170202;130000;46;46;45;45.4;89;0
ОргСинт ао;60;20170202;140000;45.1;45.3;45;45.3;46;0
ОргСинт ао;60;20170202;150000;45.5;45.6;45.5;45.6;2;0
ОргСинт ао;60;20170202;160000;45.1;45.1;44.7;44.7;30;0
ОргСинт ао;60;20170202;170000;45.1;45.4;44.7;45.4;28;0
ОргСинт ао;60;20170202;180000;45.6;45.6;45.6;45.6;3;0
ОргСинт ао;60;20170203;100000;45.5;46;45.5;45.5;61;0
ОргСинт ао;60;20170203;110000;45.6;46;44.8;44.8;151;0
ОргСинт ао;60;20170203;120000;45.2;45.2;45.2;45.2;2;0
ОргСинт ао;60;20170203;130000;45.5;45.6;45.5;45.6;4;0
ОргСинт ао;60;20170203;160000;45.5;45.6;45.5;45.6;2;0
ОргСинт ао;60;20170203;170000;45.2;45.2;45;45.1;31;0
ОргСинт ао;60;20170203;180000;45.7;46;45;46;68;0
ОргСинт ао;60;20170206;100000;45.9;45.9;45;45.7;107;0
ОргСинт ао;60;20170206;120000;45.2;45.4;45.2;45.4;3;0
ОргСинт ао;60;20170206;150000;45.4;45.4;45.4;45.4;1;0
ОргСинт ао;60;20170206;160000;45.4;45.7;45.4;45.6;11;0
ОргСинт ао;60;20170206;170000;45.6;46.7;45.6;46.7;595;0
ОргСинт ао;60;20170206;180000;46.7;46.7;45.7;46;105;0
ОргСинт ао;60;20170207;090000;46.2;46.2;46.2;46.2;6;0
ОргСинт ао;60;20170207;100000;46;46.9;46;46.9;47;0
ОргСинт ао;60;20170207;110000;46.8;46.8;46;46.7;34;0
ОргСинт ао;60;20170207;120000;46.4;46.4;46.4;46.4;1;0
ОргСинт ао;60;20170207;150000;46.7;47.1;46.7;47;102;0
ОргСинт ао;60;20170207;160000;46.7;47;46.7;47;3;0
ОргСинт ао;60;20170207;170000;47;47;47;47;1;0
ОргСинт ао;60;20170207;180000;46.9;47;46.9;47;55;0
ОргСинт ао;60;20170208;100000;47.2;47.9;47.2;47.9;55;0
ОргСинт ао;60;20170208;110000;47.9;47.9;47.5;47.5;6;0
ОргСинт ао;60;20170208;120000;47.8;47.8;47.8;47.8;1;0
ОргСинт ао;60;20170208;140000;47.9;47.9;47.9;47.9;5;0
ОргСинт ао;60;20170208;150000;47.9;47.9;47.9;47.9;1;0
ОргСинт ао;60;20170208;170000;47.7;47.7;47.5;47.5;341;0
ОргСинт ао;60;20170209;100000;47.8;47.8;47.3;47.3;110;0
ОргСинт ао;60;20170209;120000;47.3;47.3;47.3;47.3;1;0
ОргСинт ао;60;20170209;130000;47.2;47.2;46.8;46.8;19;0
ОргСинт ао;60;20170209;140000;47;47;47;47;1;0
ОргСинт ао;60;20170209;150000;46.8;46.8;45.6;45.6;59;0
ОргСинт ао;60;20170209;160000;46.5;46.5;46.5;46.5;1;0
ОргСинт ао;60;20170210;100000;46.5;46.6;46.5;46.6;2;0
ОргСинт ао;60;20170210;130000;46.2;46.2;46.2;46.2;1;0
ОргСинт ао;60;20170210;140000;46.4;46.7;46.2;46.7;290;0
ОргСинт ао;60;20170210;150000;46.6;46.6;46.6;46.6;50;0
ОргСинт ао;60;20170210;160000;46.5;47.1;46.5;47.1;50;0
ОргСинт ао;60;20170210;170000;46.5;47.1;46.5;47;78;0
ОргСинт ао;60;20170210;180000;47.1;47.1;47.1;47.1;10;0
ОргСинт ао;60;20170213;110000;47;47.4;47;47.3;9;0
ОргСинт ао;60;20170213;120000;47.4;47.4;47.4;47.4;2;0
ОргСинт ао;60;20170213;140000;47.4;47.4;47.1;47.1;5;0
ОргСинт ао;60;20170213;150000;47.1;47.1;46.5;46.9;43;0
ОргСинт ао;60;20170213;160000;46.9;47.9;46.9;47.6;166;0
ОргСинт ао;60;20170213;180000;47.7;47.8;47.7;47.8;3;0
ОргСинт ао;60;20170214;100000;48.1;49;47.2;49;218;0
ОргСинт ао;60;20170214;110000;49;49;48.2;49;166;0
ОргСинт ао;60;20170214;120000;48.1;49;48.1;48.9;15;0
ОргСинт ао;60;20170214;130000;48.1;48.1;48.1;48.1;3;0
ОргСинт ао;60;20170214;140000;48.1;48.9;48;48.9;80;0
ОргСинт ао;60;20170214;150000;48.8;48.8;48.5;48.5;2;0
ОргСинт ао;60;20170214;160000;48.5;48.6;48.5;48.5;52;0
ОргСинт ао;60;20170214;170000;48.6;48.6;48;48;32;0
ОргСинт ао;60;20170215;110000;47.8;47.9;47.6;47.9;27;0
ОргСинт ао;60;20170215;120000;47.9;48.2;47.9;48.2;4;0
ОргСинт ао;60;20170215;130000;48.7;48.7;48;48;11;0
ОргСинт ао;60;20170215;150000;48.2;48.6;48.2;48.4;7;0
ОргСинт ао;60;20170215;170000;48.3;48.3;48.3;48.3;1;0
ОргСинт ао;60;20170216;120000;48.1;48.1;48.1;48.1;1;0
ОргСинт ао;60;20170216;140000;48.1;48.2;48.1;48.2;6;0
ОргСинт ао;60;20170216;160000;48.3;48.3;48.3;48.3;4;0
ОргСинт ао;60;20170216;170000;48.3;48.3;48.3;48.3;1;0
ОргСинт ао;60;20170216;180000;48.1;48.4;48.1;48.4;11;0
ОргСинт ао;60;20170217;100000;48.4;48.4;48.4;48.4;2;0
ОргСинт ао;60;20170217;120000;48.2;48.2;48.2;48.2;2;0
ОргСинт ао;60;20170217;150000;48;48;48;48;10;0
ОргСинт ао;60;20170217;170000;48.1;48.1;47.7;47.7;40;0
ОргСинт ао;60;20170217;180000;47.9;47.9;47.9;47.9;2;0
ОргСинт ао;60;20170220;100000;47.1;47.1;44.1;47;48;0
ОргСинт ао;60;20170220;110000;47.5;48;47.5;47.5;8;0
ОргСинт ао;60;20170220;130000;47.5;47.5;47.5;47.5;1;0
ОргСинт ао;60;20170220;180000;46.9;47.1;46.5;47.1;5;0
ОргСинт ао;60;20170221;100000;47;47.3;47;47.3;43;0
ОргСинт ао;60;20170221;110000;47;47;47;47;5;0
ОргСинт ао;60;20170221;120000;47.4;47.4;47;47.4;23;0
ОргСинт ао;60;20170221;130000;47.3;47.5;45.1;47.4;563;0
ОргСинт ао;60;20170221;170000;47.3;47.4;47.3;47.4;3;0
ОргСинт ао;60;20170221;180000;47.4;47.4;47.4;47.4;3;0
ОргСинт ао;60;20170222;130000;47.1;47.3;47;47.3;11;0
ОргСинт ао;60;20170222;150000;47.1;47.1;47.1;47.1;1;0
ОргСинт ао;60;20170222;160000;47.4;47.5;47.4;47.5;3;0
ОргСинт ао;60;20170222;170000;47.4;48;47.4;47.5;33;0
ОргСинт ао;60;20170222;180000;47.9;48;47.9;48;62;0
ОргСинт ао;60;20170224;100000;48.3;48.3;48.3;48.3;2;0
ОргСинт ао;60;20170224;120000;48.3;48.3;48.3;48.3;3;0
ОргСинт ао;60;20170224;170000;48.2;48.3;48.2;48.3;3;0
ОргСинт ао;60;20170224;180000;48.3;48.4;48.3;48.4;8;0
ОргСинт ао;60;20170227;100000;48.5;48.5;48.2;48.2;32;0
ОргСинт ао;60;20170227;110000;48.2;48.2;48;48;14;0
ОргСинт ао;60;20170227;120000;48;48.3;48;48.3;7;0
ОргСинт ао;60;20170227;140000;48.4;48.5;48.4;48.5;41;0
ОргСинт ао;60;20170227;150000;48.5;48.5;48.5;48.5;12;0
ОргСинт ао;60;20170227;160000;48.1;48.1;48.1;48.1;2;0
ОргСинт ао;60;20170227;170000;48.1;48.1;48.1;48.1;1;0
ОргСинт ао;60;20170227;180000;48.4;48.9;48.1;48.9;84;0
ОргСинт ао;60;20170228;100000;48.6;48.6;48;48;87;0
ОргСинт ао;60;20170228;110000;48;48.4;48;48;22;0
ОргСинт ао;60;20170228;120000;48.3;48.3;48;48.3;17;0
ОргСинт ао;60;20170228;140000;48.1;49;48.1;49;22;0
ОргСинт ао;60;20170228;150000;49;49;48.4;48.4;3;0
ОргСинт ао;60;20170228;160000;48.9;49.4;48.9;49.4;496;0
ОргСинт ао;60;20170228;170000;49.4;49.5;49.4;49.5;2;0
ОргСинт ао;60;20170228;180000;49.4;49.4;49.4;49.4;1;0
ОргСинт ао;60;20170301;100000;49.1;49.1;49.1;49.1;5;0
ОргСинт ао;60;20170301;110000;49.4;49.4;49.4;49.4;1;0
ОргСинт ао;60;20170301;120000;49.4;49.5;49.4;49.5;32;0
ОргСинт ао;60;20170301;130000;49.4;49.4;49.4;49.4;1;0
ОргСинт ао;60;20170301;150000;49.2;49.6;49.1;49.5;82;0
ОргСинт ао;60;20170301;160000;49.5;49.5;49.4;49.5;72;0
ОргСинт ао;60;20170301;170000;49.5;49.8;49.5;49.8;34;0
ОргСинт ао;60;20170301;180000;49.9;50.2;49.9;50.2;96;0
ОргСинт ао;60;20170302;100000;50.4;50.4;49.9;49.9;4;0
ОргСинт ао;60;20170302;110000;49.9;50.2;49.9;50.2;12;0
ОргСинт ао;60;20170302;120000;50.2;50.2;49.9;49.9;5;0
ОргСинт ао;60;20170302;130000;49.9;50.2;49.8;50.2;14;0
ОргСинт ао;60;20170302;140000;49.8;49.8;49.8;49.8;2;0
ОргСинт ао;60;20170302;150000;50;50;50;50;15;0
ОргСинт ао;60;20170302;180000;50;51.4;50;51.4;27;0
ОргСинт ао;60;20170303;090000;51.1;51.1;51.1;51.1;1;0
ОргСинт ао;60;20170303;100000;51.1;51.1;51.1;51.1;1;0
ОргСинт ао;60;20170303;110000;51.1;51.5;51.1;51.5;12;0
ОргСинт ао;60;20170303;130000;51;51;50;50;77;0
ОргСинт ао;60;20170303;140000;50.2;51.2;50.1;50.5;19;0
ОргСинт ао;60;20170303;150000;51;51.1;51;51.1;3;0
ОргСинт ао;60;20170303;160000;51.1;51.1;51.1;51.1;1;0
ОргСинт ао;60;20170303;170000;50.5;50.5;50;50;62;0
ОргСинт ао;60;20170303;180000;50.4;50.5;49.2;49.2;21;0
ОргСинт ао;60;20170306;100000;49.6;50;49.6;50;62;0
ОргСинт ао;60;20170306;110000;49.9;49.9;49.9;49.9;1;0
ОргСинт ао;60;20170306;120000;49.9;49.9;49.9;49.9;14;0
ОргСинт ао;60;20170306;130000;50;50;50;50;3;0
ОргСинт ао;60;20170306;160000;50;50;50;50;1;0
ОргСинт ао;60;20170306;180000;49.9;49.9;49.9;49.9;1;0
ОргСинт ао;60;20170307;100000;49.9;49.9;49.2;49.2;101;0
ОргСинт ао;60;20170307;120000;49.7;49.7;49.7;49.7;1;0
ОргСинт ао;60;20170307;160000;49.5;49.5;49.5;49.5;2;0
ОргСинт ао;60;20170309;090000;48.8;48.8;48.8;48.8;1;0
ОргСинт ао;60;20170309;100000;49.4;49.4;49.4;49.4;1;0
ОргСинт ао;60;20170309;110000;49.3;49.4;49.1;49.4;17;0
ОргСинт ао;60;20170309;120000;49.4;49.4;49.4;49.4;5;0
ОргСинт ао;60;20170309;130000;49.2;49.4;48.9;49;135;0
ОргСинт ао;60;20170309;140000;48.9;48.9;48.4;48.4;10;0
ОргСинт ао;60;20170309;150000;48.2;49;48;49;50;0
ОргСинт ао;60;20170309;160000;48.9;49;48.9;48.9;15;0
ОргСинт ао;60;20170309;170000;49.2;49.5;49;49;141;0
ОргСинт ао;60;20170309;180000;48.9;49.9;48.8;49.9;286;0
ОргСинт ао;60;20170310;100000;50.5;52;49.6;52;581;0
ОргСинт ао;60;20170310;110000;51.5;52;51.3;52;131;0
ОргСинт ао;60;20170310;120000;51.9;51.9;51.9;51.9;20;0
ОргСинт ао;60;20170310;130000;51.9;51.9;51.9;51.9;3;0
ОргСинт ао;60;20170310;140000;51.4;51.4;51.4;51.4;2;0
ОргСинт ао;60;20170310;150000;51.8;51.8;51.8;51.8;1;0
ОргСинт ао;60;20170310;160000;51.6;51.6;51.6;51.6;50;0
ОргСинт ао;60;20170310;170000;51.7;51.7;51.7;51.7;3;0
ОргСинт ао;60;20170310;180000;51.9;51.9;51.9;51.9;1;0
ОргСинт ао;60;20170313;090000;55.5;55.5;55.5;55.5;5;0
ОргСинт ао;60;20170313;100000;55.9;56;54.7;55;72;0
ОргСинт ао;60;20170313;110000;55.6;55.6;54;54.1;76;0
ОргСинт ао;60;20170313;120000;54.9;55;54.5;55;8;0
ОргСинт ао;60;20170313;130000;54.5;54.9;53.8;53.8;21;0
ОргСинт ао;60;20170313;140000;54.1;54.9;53.8;54;66;0
ОргСинт ао;60;20170313;160000;54.5;55.3;54.5;55.3;41;0
ОргСинт ао;60;20170313;170000;55;55.4;55;55.4;249;0
ОргСинт ао;60;20170313;180000;55.5;55.5;55.5;55.5;5;0
