<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОргСинт ап;60;20170124;100000;4.15;4.17;4.1;4.1;23;0
ОргСинт ап;60;20170124;120000;4.13;4.13;4.13;4.13;1;0
ОргСинт ап;60;20170124;140000;4.14;4.16;4.12;4.14;66;0
ОргСинт ап;60;20170124;160000;4.12;4.12;4.11;4.11;5;0
ОргСинт ап;60;20170124;170000;4.11;4.11;4.1;4.1;30;0
ОргСинт ап;60;20170124;180000;4.1;4.1;4.1;4.1;2;0
ОргСинт ап;60;20170125;100000;4.14;4.14;4.14;4.14;1;0
ОргСинт ап;60;20170125;130000;4.12;4.14;4.12;4.14;14;0
ОргСинт ап;60;20170125;140000;4.14;4.14;4.14;4.14;1;0
ОргСинт ап;60;20170125;150000;4.14;4.14;4.14;4.14;4;0
ОргСинт ап;60;20170126;100000;4.14;4.14;4.14;4.14;1;0
ОргСинт ап;60;20170126;120000;4.15;4.15;4.14;4.14;2;0
ОргСинт ап;60;20170126;130000;4.11;4.13;4.11;4.13;2;0
ОргСинт ап;60;20170126;170000;4.11;4.11;4.1;4.1;48;0
ОргСинт ап;60;20170126;180000;4.12;4.13;4.12;4.13;2;0
ОргСинт ап;60;20170127;100000;4.13;4.15;4.13;4.15;4;0
ОргСинт ап;60;20170127;110000;4.15;4.15;4.15;4.15;29;0
ОргСинт ап;60;20170127;160000;4.14;4.14;4.14;4.14;1;0
ОргСинт ап;60;20170130;100000;4.15;4.15;4.15;4.15;3;0
ОргСинт ап;60;20170130;110000;4.14;4.14;4.14;4.14;2;0
ОргСинт ап;60;20170130;150000;4.16;4.16;4.16;4.16;13;0
ОргСинт ап;60;20170131;150000;4.13;4.13;4.1;4.1;41;0
ОргСинт ап;60;20170131;160000;4.1;4.1;4.1;4.1;4;0
ОргСинт ап;60;20170131;170000;4.12;4.13;4.12;4.13;2;0
ОргСинт ап;60;20170131;180000;4.1;4.15;4.1;4.15;24;0
ОргСинт ап;60;20170201;110000;4.16;4.16;4.11;4.11;27;0
ОргСинт ап;60;20170201;120000;4.11;4.11;4.1;4.1;13;0
ОргСинт ап;60;20170201;130000;4.12;4.12;4.12;4.12;1;0
ОргСинт ап;60;20170201;140000;4.12;4.12;4.12;4.12;10;0
ОргСинт ап;60;20170201;160000;4.12;4.12;4.11;4.11;10;0
ОргСинт ап;60;20170202;120000;4.11;4.14;4.07;4.1;17;0
ОргСинт ап;60;20170202;170000;4.12;4.12;4.12;4.12;2;0
ОргСинт ап;60;20170202;180000;4.13;4.15;4.11;4.11;63;0
ОргСинт ап;60;20170203;100000;4.14;4.14;4.14;4.14;1;0
ОргСинт ап;60;20170203;110000;4.16;4.17;4.16;4.17;3;0
ОргСинт ап;60;20170203;170000;4.15;4.15;4.15;4.15;5;0
ОргСинт ап;60;20170206;130000;4.18;4.18;4.14;4.18;16;0
ОргСинт ап;60;20170206;160000;4.17;4.18;4.17;4.18;50;0
ОргСинт ап;60;20170207;100000;4.2;4.26;4.16;4.21;10;0
ОргСинт ап;60;20170207;110000;4.21;4.21;4.21;4.21;7;0
