<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Отисифарм;60;20170124;150000;181.5;181.5;181.5;181.5;2;0
Отисифарм;60;20170124;160000;181;181;181;181;2;0
Отисифарм;60;20170124;170000;181;181;181;181;1;0
Отисифарм;60;20170124;180000;181;181;181;181;2;0
Отисифарм;60;20170125;120000;180.5;180.5;180;180;6;0
Отисифарм;60;20170125;140000;180.5;180.5;180;180;1000;0
Отисифарм;60;20170125;160000;180.5;181;180.5;181;100;0
Отисифарм;60;20170125;170000;180.5;181;180.5;181;4;0
Отисифарм;60;20170125;180000;180.5;180.5;180;180;2;0
Отисифарм;60;20170126;100000;181.5;182.5;181.5;182.5;4;0
Отисифарм;60;20170126;110000;181;181;181;181;296;0
Отисифарм;60;20170126;120000;181;181;181;181;35;0
Отисифарм;60;20170126;130000;180.5;180.5;180.5;180.5;2;0
Отисифарм;60;20170126;150000;180;180;178.5;178.5;9;0
Отисифарм;60;20170126;160000;178.5;178.5;178;178.5;41;0
Отисифарм;60;20170126;170000;178.5;178.5;178.5;178.5;1;0
Отисифарм;60;20170127;110000;180;180;180;180;1;0
Отисифарм;60;20170127;130000;180;180.5;180;180.5;2001;0
Отисифарм;60;20170127;160000;180.5;180.5;180.5;180.5;3;0
Отисифарм;60;20170127;170000;181;184.5;181;184.5;24;0
Отисифарм;60;20170127;180000;184.5;184.5;184.5;184.5;1;0
Отисифарм;60;20170130;090000;182;182;182;182;1;0
Отисифарм;60;20170130;100000;181.5;181.5;181.5;181.5;1;0
Отисифарм;60;20170130;160000;183;183.5;183;183.5;1001;0
Отисифарм;60;20170131;140000;183;183;183;183;1;0
Отисифарм;60;20170131;150000;183;183;183;183;1;0
Отисифарм;60;20170131;160000;181.5;181.5;181.5;181.5;3;0
Отисифарм;60;20170131;170000;181;181;179.5;181;10;0
Отисифарм;60;20170201;100000;180;180;179.5;179.5;3;0
Отисифарм;60;20170201;110000;181.5;182;181.5;182;3;0
Отисифарм;60;20170201;140000;182;182;182;182;1;0
Отисифарм;60;20170201;150000;182;182;182;182;3;0
Отисифарм;60;20170201;160000;180;180;180;180;1;0
Отисифарм;60;20170201;170000;180;180;180;180;1;0
Отисифарм;60;20170202;120000;180;180;179.5;180;2301;0
Отисифарм;60;20170202;130000;180;180;180;180;1368;0
Отисифарм;60;20170202;140000;180;182;180;182;86;0
Отисифарм;60;20170202;150000;182;182;181;182;51;0
Отисифарм;60;20170202;170000;181;181;181;181;1;0
Отисифарм;60;20170203;180000;181;183;181;183;5;0
Отисифарм;60;20170206;100000;179;182.5;179;182;11;0
Отисифарм;60;20170206;110000;183;184.5;183;184.5;5;0
