<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ОткрФКБ ао;60;20170124;100000;1452;1457;1450;1457;15;0
ОткрФКБ ао;60;20170124;110000;1456;1456;1456;1456;4;0
ОткрФКБ ао;60;20170124;120000;1456;1456;1455;1455;2;0
ОткрФКБ ао;60;20170124;130000;1455;1455;1450;1450;52;0
ОткрФКБ ао;60;20170124;140000;1450;1450;1450;1450;4;0
ОткрФКБ ао;60;20170124;160000;1454;1454;1454;1454;7;0
ОткрФКБ ао;60;20170124;170000;1449;1449;1447;1447;8;0
ОткрФКБ ао;60;20170124;180000;1455;1458;1455;1458;1763;0
ОткрФКБ ао;60;20170125;100000;1455;1456;1455;1456;5;0
ОткрФКБ ао;60;20170125;110000;1456;1456;1456;1456;8;0
ОткрФКБ ао;60;20170125;150000;1456;1456;1456;1456;5;0
ОткрФКБ ао;60;20170125;170000;1455;1455;1452;1452;5;0
ОткрФКБ ао;60;20170126;100000;1448;1448;1438;1440;1792;0
ОткрФКБ ао;60;20170126;110000;1438;1440;1438;1440;25;0
ОткрФКБ ао;60;20170126;120000;1440;1443;1440;1443;67;0
ОткрФКБ ао;60;20170126;140000;1443;1450;1443;1450;71;0
ОткрФКБ ао;60;20170126;170000;1448;1448;1441;1441;15;0
ОткрФКБ ао;60;20170126;180000;1449;1449;1449;1449;1;0
ОткрФКБ ао;60;20170127;100000;1444;1456;1441;1456;460;0
ОткрФКБ ао;60;20170127;120000;1457;1457;1451;1451;99;0
ОткрФКБ ао;60;20170127;140000;1450;1450;1443;1444;30;0
ОткрФКБ ао;60;20170127;180000;1455;1455;1455;1455;1;0
ОткрФКБ ао;60;20170130;100000;1453;1456;1452;1455;61;0
ОткрФКБ ао;60;20170130;110000;1456;1456;1456;1456;11;0
ОткрФКБ ао;60;20170130;120000;1456;1456;1456;1456;1;0
ОткрФКБ ао;60;20170130;130000;1450;1450;1449;1449;15;0
ОткрФКБ ао;60;20170130;140000;1449;1449;1449;1449;11000;0
ОткрФКБ ао;60;20170130;170000;1450;1450;1450;1450;16;0
ОткрФКБ ао;60;20170131;100000;1450;1450;1450;1450;22;0
ОткрФКБ ао;60;20170131;110000;1445;1445;1445;1445;13;0
ОткрФКБ ао;60;20170131;130000;1449;1449;1445;1445;5;0
ОткрФКБ ао;60;20170131;140000;1445;1445;1445;1445;7;0
ОткрФКБ ао;60;20170131;160000;1449;1449;1449;1449;3;0
ОткрФКБ ао;60;20170201;100000;1446;1451;1445;1445;25;0
ОткрФКБ ао;60;20170201;110000;1444;1444;1444;1444;1;0
ОткрФКБ ао;60;20170201;120000;1444;1444;1431;1432;30;0
ОткрФКБ ао;60;20170201;130000;1440;1440;1440;1440;30;0
