<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПИК ао;60;20170124;100000;282.9;283;282.1;282.9;27;0
ПИК ао;60;20170124;110000;282.6;283.5;282.1;283.5;36;0
ПИК ао;60;20170124;120000;283.4;283.5;281;281.8;157;0
ПИК ао;60;20170124;130000;281.9;286.8;280.5;284.9;2295;0
ПИК ао;60;20170124;140000;285;287;284;284.7;1361;0
ПИК ао;60;20170124;150000;284.1;284.5;284;284.5;69;0
ПИК ао;60;20170124;160000;283.6;285.3;283.6;285.3;11;0
ПИК ао;60;20170124;170000;285.2;285.3;284.9;285.3;33;0
ПИК ао;60;20170124;180000;284.3;284.9;282.6;284.2;184;0
ПИК ао;60;20170125;100000;283.3;284.7;282.5;283.5;106;0
ПИК ао;60;20170125;110000;282.6;283.8;282.5;283.8;71;0
ПИК ао;60;20170125;120000;283.9;284.4;283.9;284.3;79;0
ПИК ао;60;20170125;130000;284.3;284.5;283.5;284.4;535;0
ПИК ао;60;20170125;140000;284.5;284.9;284.5;284.5;497;0
ПИК ао;60;20170125;150000;284.5;284.9;283.2;284;860;0
ПИК ао;60;20170125;160000;283.7;284.8;283.2;284.7;26;0
ПИК ао;60;20170125;170000;284.7;284.9;284.7;284.9;3;0
ПИК ао;60;20170125;180000;284.9;285;284.1;284.8;48;0
ПИК ао;60;20170126;090000;288.7;288.7;288.7;288.7;120;0
ПИК ао;60;20170126;100000;287.3;287.5;285.5;286;208;0
ПИК ао;60;20170126;110000;285.6;286.3;284.5;285.8;170;0
ПИК ао;60;20170126;130000;285.8;285.9;284.1;284.3;114;0
ПИК ао;60;20170126;140000;284.5;285.9;284.1;285.5;121;0
ПИК ао;60;20170126;150000;285.5;285.9;285.4;285.9;29;0
ПИК ао;60;20170126;160000;285.8;286.1;285.7;286;831;0
ПИК ао;60;20170126;170000;285.5;285.9;284.6;285.8;11;0
ПИК ао;60;20170126;180000;286;286.4;284.6;286.4;46;0
ПИК ао;60;20170127;100000;285.4;285.4;284.7;285.4;45;0
ПИК ао;60;20170127;110000;285.5;285.5;285.2;285.5;11;0
ПИК ао;60;20170127;120000;285.1;286;285;285.3;124;0
ПИК ао;60;20170127;130000;285.1;285.5;285;285.1;17;0
ПИК ао;60;20170127;140000;285.7;285.8;285.1;285.1;23;0
ПИК ао;60;20170127;150000;285.1;285.8;285;285.7;91;0
