<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПИФ Аршин;60;20170330;110000;99000;99000;99000;99000;4;0
ПИФ Аршин;60;20170330;120000;99000;99000;99000;99000;3;0
ПИФ Аршин;60;20170331;140000;99000;99000;99000;99000;3;0
ПИФ Аршин;60;20170802;120000;96000;96000;96000;96000;1;0
ПИФ Аршин;60;20170802;140000;96000;96000;96000;96000;1;0
ПИФ Аршин;60;20170802;150000;96000;96000;96000;96000;1;0
ПИФ Аршин;60;20170802;170000;96000;96000;96000;96000;1;0
ПИФ Аршин;60;20170803;110000;96000;96000;96000;96000;1;0
ПИФ Аршин;60;20170803;120000;96000;96000;96000;96000;1;0
ПИФ Аршин;60;20170803;130000;96000;96000;96000;96000;1;0
ПИФ Аршин;60;20170804;150000;96000;96000;96000;96000;1;0
ПИФ Аршин;60;20170804;160000;96000;96000;96000;96000;1;0
ПИФ Аршин;60;20170804;170000;96000;96000;96000;96000;1;0
