<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПИФ РубОбл;60;20170616;140000;1416;1416;1416;1416;2;0
ПИФ РубОбл;60;20170720;140000;1430;1430;1430;1430;1;0
ПИФ РубОбл;60;20170816;100000;1458.5;1458.5;1458.5;1458.5;3;0
ПИФ РубОбл;60;20170823;180000;1438;1438;1438;1438;1;0
ПИФ РубОбл;60;20170908;100000;1444;1444;1444;1444;130;0
ПИФ РубОбл;60;20170918;100000;1449;1449;1449;1449;1;0
ПИФ РубОбл;60;20170918;110000;1449;1449;1449;1449;11;0
ПИФ РубОбл;60;20170918;170000;1450;1450;1450;1450;27;0
ПИФ РубОбл;60;20170920;160000;1451;1451;1451;1451;1;0
ПИФ РубОбл;60;20170929;160000;1456;1456;1456;1456;1;0
ПИФ РубОбл;60;20171013;170000;1463;1463;1463;1463;270;0
ПИФ РубОбл;60;20171016;110000;1463;1463;1463;1463;86;0
ПИФ РубОбл;60;20171017;120000;1461;1461;1461;1461;4;0
ПИФ РубОбл;60;20171103;150000;1473;1473;1473;1473;9;0
ПИФ РубОбл;60;20171108;120000;1475;1475;1475;1475;20;0
ПИФ РубОбл;60;20171108;140000;1475;1475;1475;1475;332;0
ПИФ РубОбл;60;20171108;160000;1475;1475;1475;1475;2;0
ПИФ РубОбл;60;20171121;120000;1479;1479;1479;1479;598;0
ПИФ РубОбл;60;20171123;120000;1479;1479;1479;1479;50;0
ПИФ РубОбл;60;20171129;140000;1482;1482;1482;1482;35;0
ПИФ РубОбл;60;20171129;160000;1482;1482;1482;1482;1;0
ПИФ РубОбл;60;20171201;150000;1484;1484;1484;1484;20;0
ПИФ РубОбл;60;20171201;160000;1484;1484;1484;1484;5;0
ПИФ РубОбл;60;20171206;120000;1485;1485;1485;1485;105;0
ПИФ РубОбл;60;20171212;100000;1485;1485;1485;1485;140;0
ПИФ РубОбл;60;20171212;110000;1487;1516.5;1487;1516.5;141;0
ПИФ РубОбл;60;20171212;120000;1487;1487;1487;1487;45;0
ПИФ РубОбл;60;20171212;130000;1487;1487;1487;1487;1;0
ПИФ РубОбл;60;20171214;120000;1487;1487;1487;1487;26;0
ПИФ РубОбл;60;20171214;180000;1487;1487;1487;1487;3;0
ПИФ РубОбл;60;20171215;120000;1487;1487;1487;1487;61;0
ПИФ РубОбл;60;20171215;130000;1487;1487;1487;1487;6;0
ПИФ РубОбл;60;20171219;110000;1457.5;1457.5;1457.5;1457.5;3;0
ПИФ РубОбл;60;20171226;110000;1457.5;1457.5;1457.5;1457.5;1;0
ПИФ РубОбл;60;20171227;120000;1491;1491;1491;1491;26;0
ПИФ РубОбл;60;20171227;160000;1493;1493;1493;1493;63;0
ПИФ РубОбл;60;20171227;180000;1493;1493;1493;1493;67;0
ПИФ РубОбл;60;20171228;180000;1493;1493;1493;1493;79;0
ПИФ РубОбл;60;20171229;150000;1492;1492;1492;1492;51;0
