<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПИФАрсЖС;60;20170201;160000;3050;3050;3050;3050;1;0
ПИФАрсЖС;60;20170208;140000;3500;3500;3400;3400;60;0
ПИФАрсЖС;60;20170210;100000;3400;3400;3400;3400;10;0
ПИФАрсЖС;60;20170214;150000;3350;3350;3350;3350;10;0
ПИФАрсЖС;60;20170220;160000;3400;3400;3400;3400;1;0
ПИФАрсЖС;60;20170224;130000;3650;3650;3650;3650;1;0
ПИФАрсЖС;60;20170227;150000;3590;3590;3590;3590;1;0
ПИФАрсЖС;60;20170301;150000;3100;3100;3100;3100;65;0
ПИФАрсЖС;60;20170301;160000;3100;3100;3100;3100;10;0
ПИФАрсЖС;60;20170301;180000;3100;3540;3100;3540;31;0
ПИФАрсЖС;60;20170302;170000;2950;2950;2950;2950;1;0
ПИФАрсЖС;60;20170302;180000;3510;3510;3510;3510;1;0
ПИФАрсЖС;60;20170306;100000;3690;3690;3570;3690;150;0
ПИФАрсЖС;60;20170310;100000;3690;3690;3690;3690;82;0
ПИФАрсЖС;60;20170313;180000;3020;3020;3020;3020;1;0
ПИФАрсЖС;60;20170314;180000;3440;3440;3440;3440;1;0
ПИФАрсЖС;60;20170321;130000;3010;3010;3000;3000;47;0
ПИФАрсЖС;60;20170321;140000;3100;3100;3100;3100;16;0
ПИФАрсЖС;60;20170321;170000;3200;3200;3200;3200;1;0
ПИФАрсЖС;60;20170322;180000;3290;3290;3290;3290;1;0
ПИФАрсЖС;60;20170323;100000;3610;3610;3610;3610;15;0
ПИФАрсЖС;60;20170324;170000;3300;3300;3300;3300;7;0
ПИФАрсЖС;60;20170331;180000;3490;3540;3490;3540;2;0
ПИФАрсЖС;60;20170420;150000;3220;3220;3030;3030;3;0
ПИФАрсЖС;60;20170421;100000;2410;2890;2390;2890;120;0
ПИФАрсЖС;60;20170421;110000;2800;2990;2710;2990;27;0
ПИФАрсЖС;60;20170421;120000;2990;2990;2990;2990;1;0
ПИФАрсЖС;60;20170421;160000;2860;2860;2860;2860;1;0
ПИФАрсЖС;60;20170421;180000;3180;3180;3180;3180;1;0
ПИФАрсЖС;60;20170425;090000;3000;3000;3000;3000;4;0
ПИФАрсЖС;60;20170428;180000;2900;2900;2900;2900;29;0
ПИФАрсЖС;60;20170503;180000;2940;2940;2940;2940;1;0
ПИФАрсЖС;60;20170512;180000;3280;3280;3280;3280;1;0
ПИФАрсЖС;60;20170515;140000;2760;2760;2760;2760;1;0
ПИФАрсЖС;60;20170515;180000;2950;2950;2950;2950;1;0
ПИФАрсЖС;60;20170525;110000;2900;2900;2760;2760;187;0
ПИФАрсЖС;60;20170605;130000;2900;2950;2900;2950;2;0
ПИФАрсЖС;60;20170605;160000;2770;3080;2770;3080;30;0
ПИФАрсЖС;60;20170614;150000;2680;2680;2680;2680;1;0
ПИФАрсЖС;60;20170620;100000;2900;2900;2700;2700;24;0
ПИФАрсЖС;60;20170620;180000;2950;2950;2950;2950;5;0
ПИФАрсЖС;60;20170626;140000;2750;2750;2450;2450;19;0
ПИФАрсЖС;60;20170626;160000;3130;3130;3130;3130;1;0
ПИФАрсЖС;60;20170630;180000;3300;3300;3300;3300;1;0
ПИФАрсЖС;60;20170704;160000;2820;2820;2820;2820;1;0
ПИФАрсЖС;60;20170704;180000;3100;3100;3100;3100;1;0
ПИФАрсЖС;60;20170705;110000;3100;3390;3100;3390;28;0
ПИФАрсЖС;60;20170711;160000;2970;2970;2970;2970;1;0
ПИФАрсЖС;60;20170801;180000;2900;2900;2900;2900;1;0
ПИФАрсЖС;60;20170810;100000;3000;3000;3000;3000;3;0
ПИФАрсЖС;60;20170816;170000;2770;2770;2770;2770;15;0
ПИФАрсЖС;60;20170821;180000;3200;3200;3200;3200;1;0
ПИФАрсЖС;60;20170825;150000;3290;3290;3290;3290;1;0
ПИФАрсЖС;60;20170830;120000;3340;3350;3340;3350;30;0
ПИФАрсЖС;60;20170830;150000;3150;3190;3130;3130;21;0
ПИФАрсЖС;60;20170830;160000;3200;3200;3200;3200;4;0
ПИФАрсЖС;60;20170831;140000;3390;3390;3390;3390;1;0
ПИФАрсЖС;60;20170904;160000;3200;3200;3200;3200;5;0
ПИФАрсЖС;60;20170904;170000;3200;3200;3200;3200;5;0
ПИФАрсЖС;60;20170906;130000;3190;3190;3190;3190;3;0
ПИФАрсЖС;60;20170906;160000;3110;3110;3110;3110;1;0
ПИФАрсЖС;60;20170906;170000;3110;3200;3110;3200;28;0
ПИФАрсЖС;60;20170913;100000;2900;3100;2900;3100;2;0
ПИФАрсЖС;60;20170915;100000;3120;3120;3120;3120;1;0
ПИФАрсЖС;60;20170922;110000;3150;3150;3150;3150;25;0
ПИФАрсЖС;60;20170926;160000;3150;3150;3150;3150;14;0
ПИФАрсЖС;60;20170929;180000;3390;3390;3390;3390;1;0
ПИФАрсЖС;60;20171004;170000;3200;3200;3200;3200;1;0
ПИФАрсЖС;60;20171004;180000;2910;2910;2910;2910;2;0
ПИФАрсЖС;60;20171018;170000;3150;3150;3150;3150;3;0
ПИФАрсЖС;60;20171019;160000;3390;3390;3390;3390;1;0
