<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПИФСбер-КН;60;20170124;100000;114;114;114;114;100;0
ПИФСбер-КН;60;20170124;110000;114;114;114;114;24;0
ПИФСбер-КН;60;20170124;150000;112.5;112.5;112.5;112.5;180;0
ПИФСбер-КН;60;20170126;160000;113;113;113;113;58;0
ПИФСбер-КН;60;20170126;170000;114;114;114;114;21;0
ПИФСбер-КН;60;20170127;110000;114;114;114;114;35;0
ПИФСбер-КН;60;20170127;160000;114;114;114;114;1;0
ПИФСбер-КН;60;20170127;170000;114;114;114;114;1;0
ПИФСбер-КН;60;20170131;110000;114;114;114;114;1;0
ПИФСбер-КН;60;20170201;160000;114;114;114;114;4;0
ПИФСбер-КН;60;20170201;170000;114;114;114;114;1;0
ПИФСбер-КН;60;20170202;150000;114;114;114;114;6;0
ПИФСбер-КН;60;20170203;140000;114;114;114;114;2;0
ПИФСбер-КН;60;20170203;160000;114;114;114;114;1;0
ПИФСбер-КН;60;20170206;150000;114;114;114;114;100;0
ПИФСбер-КН;60;20170206;170000;114;114;114;114;13;0
ПИФСбер-КН;60;20170207;150000;114;114;114;114;8;0
ПИФСбер-КН;60;20170209;140000;114;114;114;114;65;0
ПИФСбер-КН;60;20170210;120000;114;114;114;114;14;0
ПИФСбер-КН;60;20170213;100000;112.5;112.5;112.5;112.5;1;0
ПИФСбер-КН;60;20170214;100000;112.5;112.5;112.5;112.5;1;0
ПИФСбер-КН;60;20170215;170000;117;117;117;117;51;0
ПИФСбер-КН;60;20170216;180000;117;117;117;117;4;0
ПИФСбер-КН;60;20170220;130000;113;113;113;113;394;0
ПИФСбер-КН;60;20170220;140000;117;117;117;117;1;0
ПИФСбер-КН;60;20170221;100000;112;112;112;112;1;0
ПИФСбер-КН;60;20170221;130000;112;112;112;112;413;0
ПИФСбер-КН;60;20170222;110000;111.5;111.5;111.5;111.5;1;0
ПИФСбер-КН;60;20170224;110000;124;124;124;124;5;0
ПИФСбер-КН;60;20170224;120000;112;112;112;112;2;0
ПИФСбер-КН;60;20170301;130000;112;112;112;112;1;0
ПИФСбер-КН;60;20170301;160000;112;112;112;112;2;0
ПИФСбер-КН;60;20170302;140000;112;112;111;111;4;0
ПИФСбер-КН;60;20170302;150000;110;110;110;110;10;0
ПИФСбер-КН;60;20170303;110000;116.5;116.5;116.5;116.5;15;0
ПИФСбер-КН;60;20170310;100000;117;117;117;117;20;0
ПИФСбер-КН;60;20170313;140000;116.5;116.5;116.5;116.5;1;0
ПИФСбер-КН;60;20170317;130000;117;117;117;117;1;0
ПИФСбер-КН;60;20170317;160000;116.5;116.5;116.5;116.5;40;0
ПИФСбер-КН;60;20170322;150000;115;116.5;115;116.5;36;0
ПИФСбер-КН;60;20170327;180000;116.5;116.5;116.5;116.5;1;0
ПИФСбер-КН;60;20170328;160000;116.5;116.5;116.5;116.5;14;0
ПИФСбер-КН;60;20170328;180000;113;113;113;113;1;0
ПИФСбер-КН;60;20170411;140000;114;114;114;114;1;0
ПИФСбер-КН;60;20170411;170000;113.5;113.5;113.5;113.5;10;0
ПИФСбер-КН;60;20170412;130000;113;113;112;112;95;0
ПИФСбер-КН;60;20170412;180000;111.5;111.5;111.5;111.5;289;0
ПИФСбер-КН;60;20170414;110000;116.5;116.5;116.5;116.5;2;0
ПИФСбер-КН;60;20170417;150000;116.5;116.5;111;111;49;0
ПИФСбер-КН;60;20170418;170000;116;116;116;116;1;0
ПИФСбер-КН;60;20170421;120000;112.5;112.5;105;105;62;0
ПИФСбер-КН;60;20170421;140000;102;102;101;101;53;0
ПИФСбер-КН;60;20170421;150000;100.5;100.5;100;100;19;0
ПИФСбер-КН;60;20170421;160000;108;108;108;108;1;0
ПИФСбер-КН;60;20170421;170000;108;108;108;108;1;0
ПИФСбер-КН;60;20170421;180000;108;109.5;108;109.5;100;0
ПИФСбер-КН;60;20170424;100000;101;101;100;100;102;0
ПИФСбер-КН;60;20170424;110000;109;109.5;109;109.5;24;0
ПИФСбер-КН;60;20170425;100000;103;103;100;100;64;0
ПИФСбер-КН;60;20170425;110000;109;109;100;100;13;0
ПИФСбер-КН;60;20170425;140000;100;106.5;100;100;35;0
ПИФСбер-КН;60;20170425;150000;100;100;100;100;42;0
ПИФСбер-КН;60;20170425;160000;100;100;100;100;52;0
ПИФСбер-КН;60;20170426;120000;101;101;100;100;13;0
ПИФСбер-КН;60;20170426;130000;100.5;100.5;100;100;13;0
ПИФСбер-КН;60;20170426;150000;104.5;105;104.5;105;100;0
ПИФСбер-КН;60;20170427;150000;100.5;100.5;100;100;27;0
ПИФСбер-КН;60;20170428;120000;100.5;100.5;100;100;18;0
ПИФСбер-КН;60;20170428;140000;100;100;100;100;200;0
ПИФСбер-КН;60;20170428;160000;104.5;106.5;104.5;106.5;148;0
ПИФСбер-КН;60;20170428;170000;106.5;106.5;106;106.5;176;0
ПИФСбер-КН;60;20170502;100000;100.5;100.5;100;100;108;0
ПИФСбер-КН;60;20170502;130000;100;104.5;99.5;104.5;21;0
ПИФСбер-КН;60;20170502;140000;105;105.5;105;105.5;10;0
ПИФСбер-КН;60;20170502;160000;105;105;105;105;8;0
ПИФСбер-КН;60;20170502;170000;105;105;105;105;19;0
ПИФСбер-КН;60;20170503;100000;105;105;105;105;20;0
ПИФСбер-КН;60;20170503;110000;99;100;99;100;9;0
ПИФСбер-КН;60;20170503;120000;100;100;100;100;1;0
ПИФСбер-КН;60;20170504;100000;101;101;101;101;18;0
ПИФСбер-КН;60;20170510;140000;100.5;100.5;100;100;3;0
ПИФСбер-КН;60;20170510;180000;99.5;99.5;99.5;99.5;2;0
ПИФСбер-КН;60;20170511;100000;100.5;100.5;100;100;102;0
ПИФСбер-КН;60;20170511;110000;106;106.5;106;106.5;814;0
ПИФСбер-КН;60;20170511;120000;106.5;106.5;106.5;106.5;476;0
ПИФСбер-КН;60;20170511;130000;107;107;107;107;3;0
ПИФСбер-КН;60;20170511;140000;100.5;100.5;100;100;9;0
ПИФСбер-КН;60;20170511;150000;107;107;100;100;6;0
ПИФСбер-КН;60;20170511;170000;106.5;106.5;106.5;106.5;1;0
ПИФСбер-КН;60;20170511;180000;100.5;100.5;100;100;180;0
ПИФСбер-КН;60;20170512;100000;100;100;100;100;6;0
ПИФСбер-КН;60;20170512;110000;103;103;103;103;600;0
ПИФСбер-КН;60;20170516;100000;103;103;103;103;5;0
ПИФСбер-КН;60;20170516;130000;106.5;108;100;100;17;0
ПИФСбер-КН;60;20170516;140000;100;100;100;100;26;0
ПИФСбер-КН;60;20170516;150000;99.5;99.5;96;96;109;0
ПИФСбер-КН;60;20170516;160000;103;103;103;103;120;0
ПИФСбер-КН;60;20170517;130000;100;100;100;100;700;0
ПИФСбер-КН;60;20170517;150000;100;100;100;100;1;0
ПИФСбер-КН;60;20170517;160000;98;98;98;98;100;0
ПИФСбер-КН;60;20170518;160000;99.5;99.5;99.5;99.5;200;0
ПИФСбер-КН;60;20170518;170000;99.5;99.5;99.5;99.5;300;0
ПИФСбер-КН;60;20170519;160000;100;100;100;100;62;0
ПИФСбер-КН;60;20170523;150000;100;100;96;100;13;0
ПИФСбер-КН;60;20170524;130000;96;96;96;96;131;0
ПИФСбер-КН;60;20170524;140000;95.5;95.5;95.5;95.5;1055;0
ПИФСбер-КН;60;20170524;150000;95;95;94;94;656;0
ПИФСбер-КН;60;20170525;130000;95;95;95;95;50;0
ПИФСбер-КН;60;20170526;180000;95;95;95;95;1;0
ПИФСбер-КН;60;20170529;140000;94;94;90;90;129;0
