<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПМП ао;60;20170124;120000;1.16;1.17;1.15;1.17;12;0
ПМП ао;60;20170126;140000;1.165;1.47;1.165;1.23;117;0
ПМП ао;60;20170126;160000;1.255;1.255;1.255;1.255;1;0
ПМП ао;60;20170127;140000;1.22;1.22;1.2;1.2;2;0
ПМП ао;60;20170127;150000;1.185;1.225;1.185;1.225;3;0
ПМП ао;60;20170127;160000;1.19;1.19;1.19;1.19;1;0
ПМП ао;60;20170130;160000;1.18;1.18;1.18;1.18;3;0
ПМП ао;60;20170131;180000;1.18;1.18;1.18;1.18;1;0
ПМП ао;60;20170201;120000;1.2;1.2;1.2;1.2;2;0
ПМП ао;60;20170201;130000;1.18;1.18;1.17;1.17;4;0
ПМП ао;60;20170201;140000;1.165;1.165;1.165;1.165;34;0
ПМП ао;60;20170202;100000;1.195;1.195;1.195;1.195;1;0
ПМП ао;60;20170206;110000;1.16;1.16;1.16;1.16;11;0
ПМП ао;60;20170206;160000;1.175;1.175;1.175;1.175;2;0
ПМП ао;60;20170207;110000;1.17;1.17;1.065;1.14;130;0
ПМП ао;60;20170207;120000;1.135;1.135;1.135;1.135;1;0
ПМП ао;60;20170207;130000;1.14;1.14;1.14;1.14;3;0
ПМП ао;60;20170207;140000;1.14;1.14;1.14;1.14;13;0
ПМП ао;60;20170207;180000;1.14;1.155;1.14;1.155;4;0
ПМП ао;60;20170208;140000;1.125;1.125;1.08;1.1;5;0
ПМП ао;60;20170208;150000;1.115;1.17;1.115;1.17;3;0
ПМП ао;60;20170208;160000;1.17;1.17;1.17;1.17;9;0
ПМП ао;60;20170210;160000;1.11;1.11;1.09;1.105;5;0
ПМП ао;60;20170210;170000;1.1;1.1;1.1;1.1;1;0
ПМП ао;60;20170210;180000;1.12;1.12;1.12;1.12;1;0
ПМП ао;60;20170213;100000;1.08;1.08;1.08;1.08;1;0
ПМП ао;60;20170213;120000;1.09;1.125;1.085;1.125;6;0
ПМП ао;60;20170213;130000;1.13;1.13;1.125;1.125;14;0
ПМП ао;60;20170214;150000;1.095;1.095;1.08;1.08;4;0
ПМП ао;60;20170216;170000;1.11;1.175;1.11;1.175;6;0
ПМП ао;60;20170217;110000;1.12;1.12;1.08;1.08;10;0
ПМП ао;60;20170217;120000;1.125;1.125;1.125;1.125;1;0
ПМП ао;60;20170217;160000;1.095;1.095;1.095;1.095;1;0
ПМП ао;60;20170220;100000;1.11;1.145;1.11;1.145;8;0
ПМП ао;60;20170220;130000;1.145;1.145;1.145;1.145;1;0
ПМП ао;60;20170220;150000;1.145;1.145;1.145;1.145;5;0
ПМП ао;60;20170222;150000;1.11;1.11;1.105;1.105;2;0
ПМП ао;60;20170222;160000;1.145;1.15;1.145;1.15;7;0
ПМП ао;60;20170222;170000;1.105;1.105;1.105;1.105;1;0
ПМП ао;60;20170227;120000;1.1;1.1;1.085;1.1;14;0
ПМП ао;60;20170227;140000;1.09;1.09;1.09;1.09;2;0
ПМП ао;60;20170227;170000;1.09;1.09;1.085;1.085;24;0
ПМП ао;60;20170228;100000;1.08;1.08;1.05;1.05;23;0
ПМП ао;60;20170228;110000;1.02;1.03;1;1.03;15;0
ПМП ао;60;20170228;120000;1;1;1;1;1;0
ПМП ао;60;20170228;130000;1.005;1.005;1;1;25;0
ПМП ао;60;20170228;140000;1.015;1.015;1.015;1.015;1;0
ПМП ао;60;20170228;160000;1.005;1.005;1.005;1.005;10;0
ПМП ао;60;20170228;170000;1.015;1.015;1.015;1.015;1;0
ПМП ао;60;20170301;100000;1.03;1.03;1.03;1.03;1;0
