<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПРОТЕК ао;60;20170124;100000;113.2;113.3;112.5;113.3;78;0
ПРОТЕК ао;60;20170124;110000;113.5;113.8;113;113.8;21;0
ПРОТЕК ао;60;20170124;120000;113.9;113.9;113.9;113.9;6;0
ПРОТЕК ао;60;20170124;130000;113.9;113.9;113.8;113.9;23;0
ПРОТЕК ао;60;20170124;140000;113.9;115;113.9;114.7;133;0
ПРОТЕК ао;60;20170124;150000;114.7;114.9;114.6;114.6;31;0
ПРОТЕК ао;60;20170124;160000;114.9;115;114.9;115;9;0
ПРОТЕК ао;60;20170124;170000;114.7;114.9;114.5;114.5;53;0
ПРОТЕК ао;60;20170124;180000;114.5;114.5;114.1;114.5;14;0
ПРОТЕК ао;60;20170125;100000;114.5;115;114.4;115;52;0
ПРОТЕК ао;60;20170125;110000;115;115;114.9;114.9;32;0
ПРОТЕК ао;60;20170125;120000;114.9;114.9;114.8;114.8;38;0
ПРОТЕК ао;60;20170125;130000;114.6;114.7;114.5;114.5;10;0
ПРОТЕК ао;60;20170125;140000;114.6;114.6;113.9;114.2;37;0
ПРОТЕК ао;60;20170125;150000;114.2;114.2;114.2;114.2;6;0
ПРОТЕК ао;60;20170125;160000;113.9;114;113.3;114;44;0
ПРОТЕК ао;60;20170125;170000;114;114.1;113.8;114;24;0
ПРОТЕК ао;60;20170125;180000;114;114.2;113.9;113.9;8;0
ПРОТЕК ао;60;20170126;100000;114;114;113.5;113.8;9;0
ПРОТЕК ао;60;20170126;110000;113.5;113.8;112.5;113;102;0
ПРОТЕК ао;60;20170126;120000;112.9;113.7;112.9;113.3;59;0
ПРОТЕК ао;60;20170126;130000;113.6;113.7;113.3;113.5;23;0
ПРОТЕК ао;60;20170126;140000;113.5;114;113.5;113.7;38;0
ПРОТЕК ао;60;20170126;150000;114;114;113;113;72;0
ПРОТЕК ао;60;20170126;160000;113.5;113.7;112.6;113.6;68;0
ПРОТЕК ао;60;20170126;170000;113.6;113.9;113.6;113.9;7;0
ПРОТЕК ао;60;20170126;180000;113.9;113.9;113.8;113.9;9;0
