<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПавлАвт ао;60;20170124;150000;457;464;450;464;5;0
ПавлАвт ао;60;20170124;160000;457;464;457;457;6;0
ПавлАвт ао;60;20170124;170000;457;457;455;455;3;0
ПавлАвт ао;60;20170125;110000;464;469;457;464;6;0
ПавлАвт ао;60;20170126;110000;463;498;463;498;9;0
ПавлАвт ао;60;20170126;120000;491;491;480;480;3;0
ПавлАвт ао;60;20170126;130000;475;475;475;475;1;0
ПавлАвт ао;60;20170126;150000;472;472;472;472;1;0
ПавлАвт ао;60;20170126;170000;467;467;465;465;4;0
ПавлАвт ао;60;20170126;180000;463;463;463;463;6;0
ПавлАвт ао;60;20170127;180000;465;465;465;465;1;0
ПавлАвт ао;60;20170131;100000;478;504;478;497;6;0
ПавлАвт ао;60;20170131;110000;493;493;493;493;1;0
ПавлАвт ао;60;20170214;120000;495;495;495;495;1;0
ПавлАвт ао;60;20170216;110000;503;503;503;503;3;0
ПавлАвт ао;60;20170216;120000;503;503;503;503;4;0
ПавлАвт ао;60;20170222;170000;490;490;490;490;2;0
ПавлАвт ао;60;20170310;140000;495;495;495;495;1;0
ПавлАвт ао;60;20170313;090000;495;495;495;495;5;0
ПавлАвт ао;60;20170313;100000;495;495;495;495;5;0
ПавлАвт ао;60;20170315;180000;480;480;480;480;2;0
ПавлАвт ао;60;20170330;110000;480;480;480;480;1;0
ПавлАвт ао;60;20170331;120000;456;470;437;440;7;0
ПавлАвт ао;60;20170331;130000;450;450;444;444;5;0
ПавлАвт ао;60;20170413;100000;464;464;460;460;2;0
ПавлАвт ао;60;20170414;100000;489;489;489;489;1;0
ПавлАвт ао;60;20170414;150000;470;470;470;470;1;0
ПавлАвт ао;60;20170425;100000;488;488;480;480;2;0
ПавлАвт ао;60;20170426;150000;470;470;470;470;1;0
ПавлАвт ао;60;20170428;120000;498;498;490;490;2;0
ПавлАвт ао;60;20170511;100000;499;500;499;500;5;0
ПавлАвт ао;60;20170511;140000;500;500;500;500;1;0
ПавлАвт ао;60;20170511;180000;500;500;500;500;1;0
ПавлАвт ао;60;20170512;140000;490;490;490;490;2;0
ПавлАвт ао;60;20170522;100000;461;480;461;470;3;0
ПавлАвт ао;60;20170524;110000;490;490;490;490;4;0
ПавлАвт ао;60;20170526;180000;400;460;400;460;3;0
ПавлАвт ао;60;20170605;100000;480;548;460;500;15;0
ПавлАвт ао;60;20170605;110000;520;520;520;520;1;0
ПавлАвт ао;60;20170605;120000;505;510;497;497;3;0
ПавлАвт ао;60;20170629;160000;509;538;477;477;6;0
ПавлАвт ао;60;20170630;100000;517;517;517;517;1;0
ПавлАвт ао;60;20170707;110000;506;506;506;506;1;0
ПавлАвт ао;60;20170811;170000;501;501;501;501;1;0
ПавлАвт ао;60;20170815;150000;508;508;508;508;1;0
ПавлАвт ао;60;20170817;100000;500;500;500;500;2;0
ПавлАвт ао;60;20170829;130000;493;493;493;493;1;0
ПавлАвт ао;60;20170830;100000;485;490;485;490;2;0
ПавлАвт ао;60;20170830;120000;477;480;477;480;2;0
ПавлАвт ао;60;20170830;160000;494;498;493;493;3;0
ПавлАвт ао;60;20170901;120000;495;495;495;495;1;0
ПавлАвт ао;60;20170907;140000;508;508;500;500;3;0
ПавлАвт ао;60;20170907;170000;514;520;510;510;6;0
ПавлАвт ао;60;20170911;100000;515;515;515;515;2;0
ПавлАвт ао;60;20170911;110000;512;515;512;515;2;0
ПавлАвт ао;60;20170911;140000;520;520;520;520;1;0
ПавлАвт ао;60;20170913;120000;528;528;528;528;1;0
ПавлАвт ао;60;20170914;100000;528;528;528;528;1;0
ПавлАвт ао;60;20170914;110000;520;520;520;520;1;0
ПавлАвт ао;60;20170920;100000;522;528;522;528;11;0
ПавлАвт ао;60;20170920;130000;530;530;530;530;1;0
ПавлАвт ао;60;20170921;100000;530;530;530;530;2;0
ПавлАвт ао;60;20170921;110000;530;530;530;530;1;0
ПавлАвт ао;60;20171004;100000;547;547;547;547;1;0
ПавлАвт ао;60;20171004;130000;566;573;566;573;2;0
ПавлАвт ао;60;20171004;160000;561;561;560;560;2;0
ПавлАвт ао;60;20171005;100000;560;560;560;560;1;0
ПавлАвт ао;60;20171006;100000;564;564;564;564;1;0
ПавлАвт ао;60;20171009;180000;567;567;567;567;1;0
ПавлАвт ао;60;20171010;120000;555;555;555;555;1;0
ПавлАвт ао;60;20171012;100000;564;564;564;564;1;0
ПавлАвт ао;60;20171025;170000;550;550;550;550;2;0
ПавлАвт ао;60;20171101;170000;510;510;501;501;9;0
ПавлАвт ао;60;20171107;140000;500;500;500;500;1;0
ПавлАвт ао;60;20171108;120000;481;500;459;489;49;0
ПавлАвт ао;60;20171108;150000;492;492;492;492;1;0
ПавлАвт ао;60;20171113;170000;480;480;480;480;1;0
ПавлАвт ао;60;20171117;160000;470;470;470;470;1;0
ПавлАвт ао;60;20171117;170000;470;470;470;470;1;0
ПавлАвт ао;60;20171220;160000;484;484;480;480;2;0
