<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПермьЭнС-п;60;20170124;100000;59.2;59.2;58.8;59.2;4;0
ПермьЭнС-п;60;20170124;110000;59.2;59.2;59.2;59.2;9;0
ПермьЭнС-п;60;20170124;120000;59.2;59.2;59.2;59.2;2;0
ПермьЭнС-п;60;20170124;140000;59;59;59;59;47;0
ПермьЭнС-п;60;20170125;100000;59;59.4;59;59.4;39;0
ПермьЭнС-п;60;20170125;110000;58.6;58.6;58.6;58.6;10;0
ПермьЭнС-п;60;20170125;120000;58.8;59.4;58.8;59.4;5;0
ПермьЭнС-п;60;20170125;130000;59;59;59;59;13;0
ПермьЭнС-п;60;20170125;140000;59.3;59.4;59.3;59.4;83;0
ПермьЭнС-п;60;20170125;150000;59.4;59.4;59.4;59.4;7;0
ПермьЭнС-п;60;20170125;180000;59;59;58.9;58.9;26;0
ПермьЭнС-п;60;20170126;140000;58.2;58.2;58.1;58.1;2;0
ПермьЭнС-п;60;20170127;110000;58.3;58.3;57.5;57.5;79;0
ПермьЭнС-п;60;20170127;120000;58.1;58.1;58.1;58.1;2;0
ПермьЭнС-п;60;20170127;130000;58.3;58.5;58.3;58.4;36;0
ПермьЭнС-п;60;20170127;140000;58.4;58.4;58.1;58.1;30;0
ПермьЭнС-п;60;20170127;150000;58.8;59;58.8;58.8;27;0
ПермьЭнС-п;60;20170127;160000;59;59;59;59;13;0
ПермьЭнС-п;60;20170127;170000;59.3;59.4;59.3;59.4;47;0
ПермьЭнС-п;60;20170127;180000;59.3;59.3;59.3;59.3;2;0
ПермьЭнС-п;60;20170130;120000;58.6;59.4;57.6;59.4;45;0
ПермьЭнС-п;60;20170130;170000;59;59;58;58;8;0
ПермьЭнС-п;60;20170130;180000;58.9;59.4;58.9;59.4;10;0
ПермьЭнС-п;60;20170131;100000;59.4;60.3;59;60;1952;0
ПермьЭнС-п;60;20170131;110000;60.5;60.9;60;60;108;0
ПермьЭнС-п;60;20170131;120000;60.3;60.5;60.3;60.5;162;0
ПермьЭнС-п;60;20170131;130000;60.5;60.5;60.3;60.3;50;0
ПермьЭнС-п;60;20170131;140000;60.8;61.5;60.8;61.5;51;0
ПермьЭнС-п;60;20170131;160000;60.7;60.7;59.1;59.1;59;0
ПермьЭнС-п;60;20170131;170000;60;60;60;60;67;0
ПермьЭнС-п;60;20170131;180000;59.3;60;59.3;60;8;0
ПермьЭнС-п;60;20170201;110000;60;60;60;60;1;0
ПермьЭнС-п;60;20170201;130000;60;60;60;60;4;0
ПермьЭнС-п;60;20170201;170000;60;60.4;60;60;73;0
ПермьЭнС-п;60;20170201;180000;60;60;60;60;3;0
ПермьЭнС-п;60;20170202;100000;60.9;61;60.9;61;15;0
ПермьЭнС-п;60;20170202;110000;61.2;61.4;61;61.4;24;0
ПермьЭнС-п;60;20170202;120000;61.3;61.4;61.3;61.4;11;0
ПермьЭнС-п;60;20170202;140000;61.4;61.4;61.4;61.4;79;0
ПермьЭнС-п;60;20170202;150000;61.5;61.5;61.5;61.5;8;0
ПермьЭнС-п;60;20170202;180000;61.4;63.5;61.4;61.8;249;0
ПермьЭнС-п;60;20170203;100000;62.7;63.9;62.7;63.9;76;0
ПермьЭнС-п;60;20170203;110000;63.8;63.8;63.8;63.8;5;0
ПермьЭнС-п;60;20170203;120000;61.7;61.7;61.7;61.7;1;0
ПермьЭнС-п;60;20170203;140000;63.5;63.9;63.5;63.9;50;0
ПермьЭнС-п;60;20170203;150000;63.1;63.7;63;63.7;8;0
ПермьЭнС-п;60;20170203;160000;63.3;63.3;63.3;63.3;1;0
ПермьЭнС-п;60;20170203;170000;63.3;63.3;61.7;63.3;31;0
ПермьЭнС-п;60;20170203;180000;63;63.3;63;63.3;12;0
ПермьЭнС-п;60;20170206;100000;64;64;64;64;33;0
ПермьЭнС-п;60;20170206;110000;63.9;63.9;61.6;63.9;31;0
ПермьЭнС-п;60;20170206;150000;63.8;63.9;63.8;63.9;162;0
ПермьЭнС-п;60;20170206;160000;62;62;61.9;61.9;10;0
ПермьЭнС-п;60;20170207;100000;62.8;63.7;62.8;63.7;5;0
ПермьЭнС-п;60;20170207;110000;62.9;62.9;62.9;62.9;1;0
ПермьЭнС-п;60;20170207;130000;63.1;63.1;62.9;62.9;10;0
ПермьЭнС-п;60;20170207;150000;63.7;63.8;63.4;63.8;23;0
ПермьЭнС-п;60;20170207;170000;63.8;63.8;61.2;61.7;62;0
ПермьЭнС-п;60;20170208;140000;63.1;63.1;63.1;63.1;2;0
ПермьЭнС-п;60;20170208;160000;63.1;63.1;63.1;63.1;48;0
ПермьЭнС-п;60;20170209;100000;63.7;63.8;62.8;62.8;9;0
ПермьЭнС-п;60;20170209;120000;63;63;63;63;2;0
ПермьЭнС-п;60;20170209;170000;62;62;61.7;61.7;10;0
ПермьЭнС-п;60;20170209;180000;61.3;61.6;60;60.3;291;0
ПермьЭнС-п;60;20170210;100000;60.9;61.6;60;60.3;271;0
ПермьЭнС-п;60;20170210;110000;60.4;60.6;60.4;60.6;13;0
ПермьЭнС-п;60;20170210;130000;60.6;60.6;60.6;60.6;6;0
ПермьЭнС-п;60;20170210;140000;60.6;60.8;60.6;60.8;3;0
ПермьЭнС-п;60;20170210;150000;60.8;60.8;60.8;60.8;5;0
ПермьЭнС-п;60;20170210;160000;60.6;60.6;60.1;60.1;25;0
ПермьЭнС-п;60;20170210;170000;60.3;60.8;60.3;60.8;16;0
ПермьЭнС-п;60;20170210;180000;60.8;62.9;60.8;62.9;41;0
ПермьЭнС-п;60;20170213;110000;62.7;63;62.7;63;19;0
ПермьЭнС-п;60;20170213;160000;61.4;61.4;61;61.1;27;0
ПермьЭнС-п;60;20170213;170000;61.1;63.1;61.1;63.1;60;0
ПермьЭнС-п;60;20170214;100000;62.9;62.9;62.9;62.9;1;0
ПермьЭнС-п;60;20170214;130000;61.9;61.9;61.9;61.9;1;0
ПермьЭнС-п;60;20170214;140000;61.2;61.2;61.2;61.2;1;0
ПермьЭнС-п;60;20170214;160000;61.3;61.3;61.3;61.3;2;0
ПермьЭнС-п;60;20170214;170000;61.4;61.4;61.4;61.4;3;0
