<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
ПермьЭнСб;60;20170124;100000;58.4;58.4;58.4;58.4;2;0
ПермьЭнСб;60;20170124;110000;58.5;58.8;58.5;58.8;9;0
ПермьЭнСб;60;20170124;130000;58.8;59.3;58.8;59.3;20;0
ПермьЭнСб;60;20170124;150000;59.1;59.2;59.1;59.2;2;0
ПермьЭнСб;60;20170125;120000;59.1;59.2;59.1;59.2;2;0
ПермьЭнСб;60;20170125;150000;59.2;59.5;59.2;59.5;7;0
ПермьЭнСб;60;20170125;160000;58.2;58.2;58.1;58.1;2;0
ПермьЭнСб;60;20170125;180000;59;59;58.9;58.9;35;0
ПермьЭнСб;60;20170126;140000;57.5;57.5;57.3;57.5;8;0
ПермьЭнСб;60;20170126;150000;58.7;58.7;58.7;58.7;1;0
ПермьЭнСб;60;20170126;170000;58.7;58.8;57.8;57.8;35;0
ПермьЭнСб;60;20170127;130000;58.5;58.5;58.5;58.5;105;0
ПермьЭнСб;60;20170127;160000;59.2;59.5;59.2;59.5;5;0
ПермьЭнСб;60;20170127;180000;59.5;59.5;59.5;59.5;3;0
ПермьЭнСб;60;20170130;120000;58.7;58.9;57.1;58.9;21;0
ПермьЭнСб;60;20170130;130000;59.1;59.1;59.1;59.1;1;0
ПермьЭнСб;60;20170131;100000;59.1;61;59.1;59.7;370;0
ПермьЭнСб;60;20170131;110000;60.8;60.8;60.1;60.1;5;0
ПермьЭнСб;60;20170131;170000;60.2;60.2;60;60;112;0
ПермьЭнСб;60;20170201;170000;59.4;59.4;59.3;59.3;20;0
ПермьЭнСб;60;20170201;180000;60.3;60.7;60.3;60.7;2;0
ПермьЭнСб;60;20170202;110000;60.9;61;60.9;61;11;0
ПермьЭнСб;60;20170202;120000;61.1;61.2;61.1;61.2;3;0
ПермьЭнСб;60;20170202;130000;61.1;61.2;61.1;61.2;3;0
ПермьЭнСб;60;20170202;180000;61;61;61;61;3;0
ПермьЭнСб;60;20170203;100000;61.8;62;61.8;62;64;0
ПермьЭнСб;60;20170203;110000;62.3;62.4;62.3;62.4;5;0
ПермьЭнСб;60;20170203;140000;62.3;62.6;62.3;62.5;69;0
ПермьЭнСб;60;20170203;150000;62.6;62.9;62.6;62.9;43;0
ПермьЭнСб;60;20170203;160000;63.2;63.2;63.2;63.2;1;0
ПермьЭнСб;60;20170203;170000;63.3;63.5;62.5;63.5;23;0
ПермьЭнСб;60;20170206;110000;62.8;64.4;62.8;64.4;11;0
ПермьЭнСб;60;20170206;150000;64.1;64.1;63.6;63.6;12;0
ПермьЭнСб;60;20170206;160000;62.9;62.9;61.3;61.3;20;0
ПермьЭнСб;60;20170206;170000;61.8;61.8;61.8;61.8;2;0
ПермьЭнСб;60;20170207;130000;62;62.4;61.8;62.4;11;0
ПермьЭнСб;60;20170207;160000;63.8;64.3;63.8;64.3;50;0
ПермьЭнСб;60;20170207;170000;63.9;63.9;63.8;63.8;5;0
ПермьЭнСб;60;20170208;160000;64;64;63.9;63.9;2;0
ПермьЭнСб;60;20170208;180000;63.6;63.6;63.6;63.6;2;0
ПермьЭнСб;60;20170209;140000;63.4;63.4;63.3;63.3;2;0
ПермьЭнСб;60;20170209;170000;63.3;63.3;63.3;63.3;5;0
ПермьЭнСб;60;20170209;180000;63.3;63.3;63.3;63.3;3;0
ПермьЭнСб;60;20170210;140000;63.4;63.4;63.4;63.4;3;0
ПермьЭнСб;60;20170213;110000;64;64.1;64;64.1;8;0
