<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Плазмек;60;20170124;090000;0.314;0.314;0.314;0.314;1;0
Плазмек;60;20170124;100000;0.314;0.314;0.305;0.31;456;0
Плазмек;60;20170124;110000;0.311;0.311;0.305;0.308;572;0
Плазмек;60;20170124;120000;0.309;0.309;0.304;0.306;216;0
Плазмек;60;20170124;130000;0.306;0.308;0.306;0.308;127;0
Плазмек;60;20170124;140000;0.307;0.307;0.305;0.306;193;0
Плазмек;60;20170124;150000;0.308;0.308;0.304;0.307;558;0
Плазмек;60;20170124;160000;0.306;0.307;0.305;0.305;28;0
Плазмек;60;20170124;170000;0.307;0.313;0.304;0.309;743;0
Плазмек;60;20170124;180000;0.309;0.313;0.309;0.31;281;0
Плазмек;60;20170125;090000;0.311;0.311;0.311;0.311;1;0
Плазмек;60;20170125;100000;0.31;0.312;0.306;0.311;142;0
Плазмек;60;20170125;110000;0.308;0.308;0.304;0.306;853;0
Плазмек;60;20170125;120000;0.305;0.306;0.304;0.306;106;0
Плазмек;60;20170125;130000;0.305;0.305;0.304;0.304;163;0
Плазмек;60;20170125;140000;0.306;0.308;0.3;0.305;1166;0
Плазмек;60;20170125;150000;0.304;0.304;0.303;0.304;33;0
Плазмек;60;20170125;160000;0.303;0.305;0.303;0.305;67;0
Плазмек;60;20170125;170000;0.304;0.305;0.304;0.305;104;0
Плазмек;60;20170125;180000;0.304;0.307;0.303;0.307;232;0
Плазмек;60;20170126;090000;0.306;0.306;0.306;0.306;31;0
Плазмек;60;20170126;100000;0.305;0.305;0.301;0.305;239;0
Плазмек;60;20170126;110000;0.306;0.309;0.306;0.309;228;0
Плазмек;60;20170126;120000;0.308;0.309;0.304;0.304;236;0
Плазмек;60;20170126;130000;0.305;0.307;0.305;0.307;22;0
Плазмек;60;20170126;140000;0.307;0.309;0.307;0.308;106;0
Плазмек;60;20170126;150000;0.308;0.309;0.304;0.306;174;0
