<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Полюс;60;20170124;100000;4601;4606;4585;4600;453;0
Полюс;60;20170124;110000;4603;4605;4593;4598;256;0
Полюс;60;20170124;120000;4597;4604;4597;4604;151;0
Полюс;60;20170124;130000;4603;4605;4597;4597;85;0
Полюс;60;20170124;140000;4597;4603;4597;4597;30;0
Полюс;60;20170124;150000;4602;4606;4602;4603;47;0
Полюс;60;20170124;160000;4603;4608;4598;4598;80;0
Полюс;60;20170124;170000;4598;4605;4598;4601;136;0
Полюс;60;20170124;180000;4599;4599;4599;4599;20;0
Полюс;60;20170125;100000;4609;4651;4572;4595;767;0
Полюс;60;20170125;110000;4595;4600;4595;4595;59;0
Полюс;60;20170125;120000;4596;4604;4595;4600;511;0
Полюс;60;20170125;130000;4600;4602;4596;4600;298;0
Полюс;60;20170125;140000;4599;4602;4598;4600;145;0
Полюс;60;20170125;150000;4602;4602;4578;4595;456;0
Полюс;60;20170125;160000;4595;4600;4585;4594;367;0
Полюс;60;20170125;170000;4591;4591;4590;4590;173;0
Полюс;60;20170125;180000;4589;4591;4589;4590;247;0
Полюс;60;20170126;100000;4611;4616;4590;4590;111;0
Полюс;60;20170126;110000;4588;4600;4588;4594;959;0
Полюс;60;20170126;120000;4594;4598;4590;4598;261;0
Полюс;60;20170126;130000;4597;4605;4590;4600;674;0
Полюс;60;20170126;140000;4600;4603;4596;4603;90;0
Полюс;60;20170126;150000;4604;4620;4604;4609;654;0
Полюс;60;20170126;160000;4619;4630;4612;4628;603;0
Полюс;60;20170126;170000;4625;4625;4617;4622;33;0
Полюс;60;20170126;180000;4620;4620;4615;4620;139;0
Полюс;60;20170127;100000;4610;4616;4603;4610;126;0
Полюс;60;20170127;110000;4610;4611;4598;4600;323;0
Полюс;60;20170127;120000;4600;4611;4600;4608;1000;0
Полюс;60;20170127;130000;4610;4612;4600;4609;171;0
Полюс;60;20170127;140000;4602;4612;4600;4601;342;0
Полюс;60;20170127;150000;4601;4611;4600;4600;549;0
Полюс;60;20170127;160000;4605;4615;4605;4615;126;0
Полюс;60;20170127;170000;4614;4617;4614;4617;74;0
Полюс;60;20170127;180000;4617;4617;4609;4609;45;0
Полюс;60;20170130;100000;4602;4610;4600;4605;267;0
Полюс;60;20170130;110000;4606;4610;4582;4602;831;0
Полюс;60;20170130;120000;4602;4606;4601;4602;49;0
Полюс;60;20170130;130000;4607;4607;4601;4607;133;0
Полюс;60;20170130;140000;4607;4607;4605;4607;39;0
Полюс;60;20170130;150000;4607;4609;4607;4609;114;0
Полюс;60;20170130;160000;4607;4609;4602;4606;928;0
Полюс;60;20170130;170000;4606;4607;4605;4605;71;0
Полюс;60;20170130;180000;4608;4610;4606;4606;391;0
Полюс;60;20170131;100000;4606;4620;4605;4616;234;0
Полюс;60;20170131;110000;4610;4610;4604;4605;536;0
Полюс;60;20170131;120000;4613;4613;4604;4609;199;0
Полюс;60;20170131;130000;4608;4608;4604;4606;42;0
Полюс;60;20170131;140000;4607;4609;4606;4609;54;0
Полюс;60;20170131;150000;4608;4621;4607;4616;691;0
Полюс;60;20170131;160000;4617;4622;4616;4622;246;0
Полюс;60;20170131;170000;4622;4635;4622;4635;724;0
Полюс;60;20170131;180000;4635;4650;4625;4648;880;0
Полюс;60;20170201;100000;4649;4649;4587;4600;681;0
Полюс;60;20170201;110000;4609;4611;4500;4576;538;0
Полюс;60;20170201;120000;4588;4589;4575;4583;202;0
Полюс;60;20170201;130000;4582;4588;4575;4587;104;0
Полюс;60;20170201;140000;4588;4589;4576;4584;49;0
Полюс;60;20170201;150000;4584;4585;4577;4577;3;0
Полюс;60;20170201;160000;4577;4577;4575;4575;15;0
Полюс;60;20170201;170000;4582;4587;4581;4586;125;0
Полюс;60;20170201;180000;4586;4594;4586;4586;46;0
Полюс;60;20170202;100000;4573;4574;4568;4571;22;0
Полюс;60;20170202;110000;4585;4585;4575;4575;172;0
Полюс;60;20170202;120000;4575;4582;4575;4575;217;0
Полюс;60;20170202;130000;4575;4577;4575;4577;220;0
Полюс;60;20170202;140000;4577;4579;4575;4577;19;0
Полюс;60;20170202;150000;4575;4580;4575;4580;498;0
Полюс;60;20170202;160000;4577;4582;4576;4580;62;0
Полюс;60;20170202;170000;4580;4583;4575;4583;116;0
Полюс;60;20170202;180000;4577;4577;4575;4575;282;0
Полюс;60;20170203;100000;4592;4592;4455;4564;1288;0
Полюс;60;20170203;110000;4569;4571;4510;4559;742;0
Полюс;60;20170203;120000;4559;4562;4559;4562;5;0
Полюс;60;20170203;130000;4561;4568;4559;4568;30;0
Полюс;60;20170203;140000;4567;4570;4567;4570;10;0
Полюс;60;20170203;150000;4568;4569;4568;4569;3;0
Полюс;60;20170203;160000;4569;4570;4566;4566;26;0
Полюс;60;20170203;170000;4566;4566;4566;4566;2;0
Полюс;60;20170203;180000;4570;4570;4563;4564;14;0
Полюс;60;20170206;090000;4588;4588;4588;4588;10;0
Полюс;60;20170206;100000;4579;4585;4559;4560;83;0
Полюс;60;20170206;110000;4561;4568;4555;4563;160;0
Полюс;60;20170206;120000;4565;4565;4564;4564;89;0
Полюс;60;20170206;130000;4563;4567;4538;4566;499;0
Полюс;60;20170206;140000;4566;4566;4550;4550;285;0
Полюс;60;20170206;150000;4534;4534;4508;4508;52;0
Полюс;60;20170206;160000;4515;4520;4512;4512;45;0
Полюс;60;20170206;170000;4510;4510;4490;4494;133;0
Полюс;60;20170206;180000;4499;4499;4495;4495;38;0
Полюс;60;20170207;090000;4515;4515;4515;4515;1;0
Полюс;60;20170207;100000;4515;4515;4464;4477;48;0
Полюс;60;20170207;110000;4486;4488;4400;4440;881;0
Полюс;60;20170207;120000;4450;4486;4431;4471;208;0
Полюс;60;20170207;130000;4477;4477;4450;4470;65;0
Полюс;60;20170207;140000;4455;4467;4445;4448;406;0
Полюс;60;20170207;150000;4444;4459;4432;4459;150;0
Полюс;60;20170207;160000;4457;4464;4457;4462;17;0
Полюс;60;20170207;170000;4463;4463;4459;4459;23;0
Полюс;60;20170207;180000;4459;4460;4449;4449;76;0
Полюс;60;20170208;090000;4449;4449;4449;4449;5;0
Полюс;60;20170208;100000;4447;4465;4430;4451;552;0
Полюс;60;20170208;110000;4452;4463;4431;4459;527;0
Полюс;60;20170208;120000;4447;4475;4443;4450;466;0
Полюс;60;20170208;130000;4452;4460;4449;4460;279;0
Полюс;60;20170208;140000;4460;4470;4450;4470;177;0
Полюс;60;20170208;150000;4470;4497;4470;4497;321;0
Полюс;60;20170208;160000;4497;4511;4497;4511;245;0
Полюс;60;20170208;170000;4502;4515;4501;4509;150;0
Полюс;60;20170208;180000;4500;4503;4500;4501;66;0
Полюс;60;20170209;100000;4519;4571;4483;4484;290;0
Полюс;60;20170209;110000;4485;4498;4484;4485;495;0
Полюс;60;20170209;120000;4488;4489;4480;4485;77;0
Полюс;60;20170209;130000;4489;4490;4485;4490;29;0
Полюс;60;20170209;140000;4487;4487;4487;4487;6;0
Полюс;60;20170209;150000;4485;4485;4485;4485;97;0
Полюс;60;20170209;160000;4485;4485;4480;4480;352;0
Полюс;60;20170209;170000;4493;4499;4486;4490;14;0
Полюс;60;20170209;180000;4487;4487;4481;4481;17;0
Полюс;60;20170210;100000;4498;4499;4475;4475;633;0
Полюс;60;20170210;110000;4480;4480;4476;4476;41;0
Полюс;60;20170210;120000;4476;4477;4450;4450;3184;0
Полюс;60;20170210;130000;4451;4459;4450;4452;60;0
Полюс;60;20170210;140000;4451;4459;4427;4459;176;0
Полюс;60;20170210;150000;4459;4473;4459;4473;203;0
Полюс;60;20170210;160000;4467;4489;4465;4465;198;0
Полюс;60;20170210;170000;4470;4470;4466;4466;29;0
Полюс;60;20170210;180000;4468;4470;4466;4470;25;0
Полюс;60;20170213;100000;4471;4484;4421;4484;134;0
Полюс;60;20170213;110000;4483;4487;4470;4470;50;0
Полюс;60;20170213;120000;4479;4487;4450;4450;201;0
Полюс;60;20170213;130000;4442;4454;4442;4454;10;0
Полюс;60;20170213;140000;4449;4454;4449;4454;148;0
Полюс;60;20170213;150000;4450;4455;4450;4455;15;0
Полюс;60;20170213;160000;4454;4454;4448;4450;254;0
Полюс;60;20170213;170000;4448;4458;4430;4441;675;0
Полюс;60;20170213;180000;4426;4459;4420;4445;522;0
Полюс;60;20170214;090000;4465;4465;4465;4465;6;0
Полюс;60;20170214;100000;4470;4479;4465;4472;455;0
Полюс;60;20170214;110000;4471;4471;4452;4452;34;0
Полюс;60;20170214;120000;4453;4459;4427;4447;760;0
Полюс;60;20170214;130000;4442;4460;4432;4432;127;0
Полюс;60;20170214;140000;4440;4440;4437;4440;163;0
Полюс;60;20170214;150000;4439;4439;4432;4432;3;0
Полюс;60;20170214;160000;4440;4450;4440;4450;218;0
Полюс;60;20170214;170000;4445;4450;4431;4431;147;0
Полюс;60;20170214;180000;4432;4450;4431;4450;232;0
Полюс;60;20170215;100000;4444;4464;4423;4440;430;0
Полюс;60;20170215;110000;4440;4450;4435;4441;118;0
Полюс;60;20170215;120000;4448;4451;4436;4450;61;0
Полюс;60;20170215;130000;4448;4452;4412;4452;274;0
Полюс;60;20170215;140000;4454;4454;4454;4454;1;0
Полюс;60;20170215;150000;4441;4453;4424;4445;154;0
Полюс;60;20170215;160000;4446;4446;4445;4445;21;0
Полюс;60;20170215;170000;4435;4452;4435;4450;31;0
Полюс;60;20170215;180000;4450;4450;4440;4447;19;0
Полюс;60;20170216;100000;4416;4454;4416;4454;53;0
Полюс;60;20170216;110000;4449;4451;4449;4451;68;0
Полюс;60;20170216;120000;4449;4458;4449;4458;45;0
Полюс;60;20170216;130000;4442;4458;4421;4452;531;0
Полюс;60;20170216;140000;4457;4457;4439;4439;73;0
Полюс;60;20170216;150000;4440;4453;4433;4451;158;0
Полюс;60;20170216;160000;4442;4447;4438;4438;17;0
Полюс;60;20170216;170000;4447;4450;4440;4440;39;0
Полюс;60;20170216;180000;4441;4450;4440;4450;59;0
Полюс;60;20170217;090000;4450;4450;4450;4450;37;0
Полюс;60;20170217;100000;4450;4468;4449;4449;72;0
Полюс;60;20170217;110000;4449;4449;4440;4442;7;0
Полюс;60;20170217;120000;4449;4452;4435;4449;197;0
Полюс;60;20170217;130000;4440;4440;4440;4440;20;0
Полюс;60;20170217;140000;4444;4450;4443;4446;114;0
Полюс;60;20170217;150000;4444;4450;4433;4450;94;0
Полюс;60;20170217;160000;4445;4452;4445;4450;590;0
Полюс;60;20170217;170000;4450;4452;4450;4450;169;0
Полюс;60;20170217;180000;4450;4454;4450;4450;31;0
Полюс;60;20170220;090000;4450;4450;4450;4450;15;0
Полюс;60;20170220;100000;4468;4484;4458;4460;117;0
Полюс;60;20170220;110000;4458;4460;4451;4460;30;0
Полюс;60;20170220;120000;4454;4455;4452;4452;14;0
Полюс;60;20170220;130000;4456;4459;4452;4459;25;0
Полюс;60;20170220;140000;4459;4459;4451;4451;10;0
Полюс;60;20170220;150000;4456;4459;4456;4456;14;0
Полюс;60;20170220;160000;4452;4452;4450;4450;135;0
Полюс;60;20170220;170000;4451;4457;4451;4457;2;0
Полюс;60;20170220;180000;4457;4458;4451;4451;21;0
