<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Приморье;60;20170126;170000;6320;6320;6320;6320;1;0
Приморье;60;20170127;110000;6310;6310;6310;6310;1;0
Приморье;60;20170202;130000;6440;6440;6440;6440;1;0
Приморье;60;20170209;100000;6100;6180;6100;6180;2;0
Приморье;60;20170210;100000;6880;6880;6880;6880;1;0
Приморье;60;20170210;110000;6670;6670;6670;6670;1;0
Приморье;60;20170221;100000;6780;6780;6780;6780;1;0
Приморье;60;20170228;110000;6010;6080;6000;6080;3;0
Приморье;60;20170306;150000;6590;7490;6590;7490;9;0
Приморье;60;20170306;160000;7480;7480;7480;7480;1;0
Приморье;60;20170306;170000;6810;6880;6810;6880;2;0
Приморье;60;20170306;180000;7490;7940;7450;7450;7;0
Приморье;60;20170307;140000;7420;7420;7420;7420;1;0
Приморье;60;20170316;160000;7530;8390;7530;8390;5;0
Приморье;60;20170316;170000;8480;9500;8480;9500;5;0
Приморье;60;20170324;170000;9500;9500;9500;9500;1;0
Приморье;60;20170329;150000;9890;9890;9890;9890;1;0
Приморье;60;20170330;180000;7000;13830;7000;13830;40;0
Приморье;60;20170407;170000;8000;8010;7800;7800;34;0
Приморье;60;20170407;180000;7800;7800;7800;7800;1;0
Приморье;60;20170410;150000;5340;5340;4800;4800;2;0
Приморье;60;20170410;180000;5050;5050;5050;5050;2;0
Приморье;60;20170411;120000;5400;5400;5400;5400;1;0
Приморье;60;20170413;130000;6550;6550;6550;6550;1;0
Приморье;60;20170413;170000;6990;7180;5030;5790;13;0
Приморье;60;20170414;100000;5700;5700;5700;5700;1;0
Приморье;60;20170426;170000;5010;5010;5010;5010;1;0
Приморье;60;20170427;180000;5010;5010;5010;5010;1;0
Приморье;60;20170428;120000;5000;5000;5000;5000;1;0
Приморье;60;20170428;130000;4700;4710;4700;4700;3;0
Приморье;60;20170428;150000;5000;5000;5000;5000;1;0
Приморье;60;20170502;180000;5000;5000;5000;5000;2;0
Приморье;60;20170511;150000;5490;5500;5490;5500;4;0
Приморье;60;20170512;110000;5500;5500;5500;5500;2;0
Приморье;60;20170516;180000;5490;5500;5490;5500;3;0
Приморье;60;20170529;150000;5000;5000;5000;5000;2;0
Приморье;60;20170531;100000;4600;4600;4600;4600;1;0
Приморье;60;20170601;140000;5490;5500;5490;5500;2;0
Приморье;60;20170606;130000;5500;5500;5500;5500;1;0
Приморье;60;20170615;110000;7000;7000;7000;7000;1;0
Приморье;60;20170619;180000;6990;6990;6990;6990;1;0
Приморье;60;20170706;140000;6990;6990;6990;6990;1;0
Приморье;60;20170706;170000;6970;6970;6970;6970;1;0
Приморье;60;20170927;130000;6960;8450;6960;8450;7;0
Приморье;60;20170927;140000;8340;8440;8340;8440;4;0
Приморье;60;20171010;170000;8600;8600;8240;8250;5;0
Приморье;60;20171108;180000;8500;8500;8500;8500;1;0
Приморье;60;20171116;170000;8500;8500;8500;8500;1;0
