<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Промсвб ао;60;20170124;100000;0.0711;0.0711;0.0705;0.0711;44;0
Промсвб ао;60;20170124;150000;0.071;0.0712;0.071;0.0712;3785;0
Промсвб ао;60;20170125;110000;0.0714;0.0714;0.0714;0.0714;1;0
Промсвб ао;60;20170125;120000;0.0712;0.0714;0.0711;0.0714;164;0
Промсвб ао;60;20170125;130000;0.0713;0.0715;0.0711;0.0711;588;0
Промсвб ао;60;20170125;140000;0.0711;0.0711;0.0709;0.0709;1410;0
Промсвб ао;60;20170125;160000;0.071;0.071;0.071;0.071;1263;0
Промсвб ао;60;20170125;170000;0.071;0.071;0.071;0.071;140;0
Промсвб ао;60;20170126;100000;0.0711;0.0711;0.0711;0.0711;5;0
Промсвб ао;60;20170126;110000;0.0711;0.0711;0.0711;0.0711;4;0
Промсвб ао;60;20170126;120000;0.0713;0.0713;0.0713;0.0713;2;0
Промсвб ао;60;20170126;130000;0.0712;0.0712;0.0712;0.0712;1686;0
Промсвб ао;60;20170126;160000;0.0712;0.0712;0.0711;0.0711;80;0
Промсвб ао;60;20170126;170000;0.0712;0.0712;0.0712;0.0712;1826;0
Промсвб ао;60;20170127;100000;0.0711;0.0711;0.0711;0.0711;1;0
Промсвб ао;60;20170127;110000;0.0712;0.0712;0.0711;0.0711;23;0
Промсвб ао;60;20170127;120000;0.0714;0.0716;0.0714;0.0716;9;0
Промсвб ао;60;20170127;160000;0.0716;0.0716;0.0716;0.0716;2080;0
Промсвб ао;60;20170127;170000;0.0717;0.0717;0.0717;0.0717;1;0
Промсвб ао;60;20170127;180000;0.0715;0.0715;0.0715;0.0715;1400;0
Промсвб ао;60;20170130;100000;0.0711;0.0711;0.0711;0.0711;70;0
Промсвб ао;60;20170130;110000;0.0718;0.0718;0.0718;0.0718;1;0
Промсвб ао;60;20170130;120000;0.0718;0.0718;0.0718;0.0718;2;0
Промсвб ао;60;20170130;130000;0.0715;0.0718;0.0713;0.0718;12;0
Промсвб ао;60;20170130;140000;0.0714;0.0714;0.0714;0.0714;1105;0
Промсвб ао;60;20170130;150000;0.0714;0.0714;0.0714;0.0714;577;0
Промсвб ао;60;20170130;160000;0.0713;0.0713;0.0713;0.0713;1;0
Промсвб ао;60;20170130;170000;0.0716;0.0716;0.0713;0.0713;1959;0
Промсвб ао;60;20170130;180000;0.0716;0.0716;0.0716;0.0716;1;0
Промсвб ао;60;20170131;100000;0.0716;0.0716;0.0715;0.0715;5;0
Промсвб ао;60;20170131;110000;0.0714;0.0714;0.0713;0.0713;50;0
Промсвб ао;60;20170131;120000;0.0713;0.0713;0.0713;0.0713;3;0
Промсвб ао;60;20170131;130000;0.0715;0.0715;0.0715;0.0715;2097;0
Промсвб ао;60;20170131;140000;0.0713;0.0713;0.0713;0.0713;2;0
Промсвб ао;60;20170131;150000;0.0716;0.0718;0.0716;0.0718;20;0
Промсвб ао;60;20170131;170000;0.0715;0.0715;0.0712;0.0712;2722;0
Промсвб ао;60;20170201;100000;0.0716;0.0716;0.0711;0.0716;11;0
Промсвб ао;60;20170201;110000;0.0715;0.0715;0.0715;0.0715;1;0
Промсвб ао;60;20170201;120000;0.0712;0.0712;0.0712;0.0712;1;0
Промсвб ао;60;20170201;130000;0.0712;0.0713;0.0712;0.0713;1567;0
Промсвб ао;60;20170201;150000;0.0715;0.0717;0.0712;0.0712;1706;0
Промсвб ао;60;20170201;160000;0.0715;0.0715;0.0715;0.0715;4950;0
Промсвб ао;60;20170201;180000;0.0712;0.0712;0.0712;0.0712;15;0
Промсвб ао;60;20170202;110000;0.0713;0.0713;0.0712;0.0712;1828;0
Промсвб ао;60;20170202;120000;0.0715;0.0715;0.0715;0.0715;1;0
Промсвб ао;60;20170202;130000;0.0715;0.0717;0.0715;0.0717;469;0
Промсвб ао;60;20170202;140000;0.0713;0.0713;0.0711;0.0713;1543;0
Промсвб ао;60;20170202;160000;0.0713;0.0713;0.0713;0.0713;664;0
Промсвб ао;60;20170202;170000;0.0712;0.0713;0.0711;0.0713;80;0
Промсвб ао;60;20170202;180000;0.0713;0.0713;0.0713;0.0713;1;0
Промсвб ао;60;20170203;140000;0.0715;0.0715;0.0715;0.0715;1400;0
Промсвб ао;60;20170203;150000;0.0716;0.0716;0.0716;0.0716;15;0
Промсвб ао;60;20170203;160000;0.0717;0.0717;0.0717;0.0717;2253;0
Промсвб ао;60;20170206;100000;0.0716;0.0716;0.0715;0.0715;68;0
Промсвб ао;60;20170206;110000;0.0717;0.0718;0.0717;0.0718;3;0
Промсвб ао;60;20170206;120000;0.0719;0.0719;0.0715;0.0716;583;0
Промсвб ао;60;20170206;150000;0.0716;0.0716;0.0713;0.0716;2271;0
Промсвб ао;60;20170206;160000;0.0716;0.0716;0.0715;0.0716;1155;0
Промсвб ао;60;20170207;110000;0.0714;0.0714;0.0713;0.0713;108;0
Промсвб ао;60;20170207;150000;0.0716;0.0718;0.0716;0.0718;2271;0
Промсвб ао;60;20170207;160000;0.0717;0.0717;0.0715;0.0715;1401;0
Промсвб ао;60;20170207;170000;0.0715;0.0715;0.0714;0.0714;79;0
Промсвб ао;60;20170207;180000;0.0717;0.0717;0.0717;0.0717;3;0
Промсвб ао;60;20170208;100000;0.0714;0.0714;0.0714;0.0714;1;0
Промсвб ао;60;20170208;130000;0.0715;0.0715;0.0715;0.0715;2;0
Промсвб ао;60;20170208;150000;0.0716;0.0716;0.0716;0.0716;1536;0
Промсвб ао;60;20170208;160000;0.0718;0.0718;0.0716;0.0716;1730;0
Промсвб ао;60;20170208;170000;0.0716;0.0716;0.0716;0.0716;377;0
Промсвб ао;60;20170208;180000;0.0715;0.0715;0.0715;0.0715;3;0
Промсвб ао;60;20170209;110000;0.0714;0.0717;0.0713;0.0713;7;0
Промсвб ао;60;20170209;130000;0.0714;0.0714;0.0714;0.0714;302;0
Промсвб ао;60;20170209;140000;0.0717;0.0717;0.0717;0.0717;1;0
Промсвб ао;60;20170209;150000;0.0717;0.0718;0.0717;0.0718;2100;0
Промсвб ао;60;20170209;160000;0.0716;0.0716;0.0716;0.0716;1404;0
Промсвб ао;60;20170209;170000;0.0715;0.0715;0.0715;0.0715;1;0
Промсвб ао;60;20170209;180000;0.0715;0.0715;0.0715;0.0715;3;0
Промсвб ао;60;20170210;100000;0.0715;0.0715;0.0714;0.0714;10;0
Промсвб ао;60;20170210;110000;0.0718;0.0719;0.0718;0.0719;29;0
Промсвб ао;60;20170210;120000;0.0718;0.0718;0.0718;0.0718;1;0
Промсвб ао;60;20170210;150000;0.0716;0.0716;0.0714;0.0716;486;0
Промсвб ао;60;20170210;160000;0.0716;0.0716;0.0716;0.0716;921;0
Промсвб ао;60;20170210;170000;0.0716;0.0716;0.0716;0.0716;2641;0
Промсвб ао;60;20170213;140000;0.0716;0.0718;0.0716;0.0718;2107;0
Промсвб ао;60;20170213;150000;0.0719;0.0719;0.0719;0.0719;1;0
Промсвб ао;60;20170213;170000;0.0718;0.0718;0.0718;0.0718;1392;0
Промсвб ао;60;20170214;130000;0.0718;0.0719;0.0718;0.0719;10;0
Промсвб ао;60;20170214;140000;0.0716;0.0718;0.0716;0.0718;210;0
Промсвб ао;60;20170214;150000;0.0718;0.0718;0.0718;0.0718;1393;0
