<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РБК ао;60;20170124;090000;9.05;9.05;9.05;9.05;16;0
РБК ао;60;20170124;100000;9;9.18;8.94;9.01;2297;0
РБК ао;60;20170124;110000;9.01;9.1;8.975;9.1;947;0
РБК ао;60;20170124;120000;9.095;9.1;8.99;9.02;342;0
РБК ао;60;20170124;130000;9.025;9.09;8.98;9.05;576;0
РБК ао;60;20170124;140000;9.055;9.08;9.015;9.04;413;0
РБК ао;60;20170124;150000;9.04;9.045;8.98;9;820;0
РБК ао;60;20170124;160000;8.995;9.05;8.95;9.015;1136;0
РБК ао;60;20170124;170000;9.01;9.02;9;9;174;0
РБК ао;60;20170124;180000;9.01;9.045;8.98;9.045;441;0
РБК ао;60;20170125;100000;9.05;9.12;9;9.115;239;0
РБК ао;60;20170125;110000;9.1;9.12;9.07;9.11;126;0
РБК ао;60;20170125;120000;9.11;9.135;9.055;9.135;585;0
РБК ао;60;20170125;130000;9.13;9.13;9.08;9.13;23;0
РБК ао;60;20170125;140000;9.13;9.13;9.07;9.09;57;0
РБК ао;60;20170125;150000;9.1;9.1;9.03;9.055;132;0
РБК ао;60;20170125;160000;9.075;9.075;8.99;9;532;0
РБК ао;60;20170125;170000;9;9;8.975;9;787;0
РБК ао;60;20170125;180000;9;9;8.975;9;86;0
РБК ао;60;20170126;100000;9.01;9.01;8.6;8.69;1842;0
РБК ао;60;20170126;110000;8.685;8.75;8.59;8.7;1516;0
РБК ао;60;20170126;120000;8.73;8.87;8.73;8.83;930;0
РБК ао;60;20170126;130000;8.805;8.81;8.55;8.64;2108;0
РБК ао;60;20170126;140000;8.645;8.72;8.575;8.715;968;0
РБК ао;60;20170126;150000;8.715;8.715;8.675;8.7;212;0
РБК ао;60;20170126;160000;8.7;8.7;8.655;8.7;360;0
РБК ао;60;20170126;170000;8.7;8.7;8.675;8.7;361;0
РБК ао;60;20170126;180000;8.7;8.71;8.67;8.71;823;0
РБК ао;60;20170127;090000;8.7;8.7;8.7;8.7;1;0
РБК ао;60;20170127;100000;8.71;8.755;8.635;8.7;263;0
РБК ао;60;20170127;110000;8.705;8.75;8.68;8.68;117;0
РБК ао;60;20170127;120000;8.675;8.695;8.555;8.65;1657;0
РБК ао;60;20170127;130000;8.645;8.655;8.5;8.5;1723;0
РБК ао;60;20170127;140000;8.545;8.595;8.495;8.55;434;0
РБК ао;60;20170127;150000;8.545;8.59;8.545;8.58;91;0
РБК ао;60;20170127;160000;8.555;8.655;8.545;8.635;303;0
РБК ао;60;20170127;170000;8.66;8.695;8.62;8.665;206;0
РБК ао;60;20170127;180000;8.67;8.7;8.615;8.695;362;0
РБК ао;60;20170130;100000;8.7;8.78;8.7;8.78;469;0
РБК ао;60;20170130;110000;8.78;8.89;8.745;8.825;909;0
РБК ао;60;20170130;120000;8.82;8.825;8.81;8.81;16;0
РБК ао;60;20170130;130000;8.84;8.85;8.84;8.845;262;0
РБК ао;60;20170130;140000;8.82;8.82;8.77;8.79;153;0
РБК ао;60;20170130;150000;8.785;8.795;8.75;8.78;160;0
РБК ао;60;20170130;160000;8.79;8.795;8.79;8.795;27;0
РБК ао;60;20170130;170000;8.795;8.84;8.755;8.755;248;0
РБК ао;60;20170130;180000;8.8;8.9;8.8;8.9;775;0
РБК ао;60;20170131;100000;8.88;8.98;8.85;8.94;406;0
РБК ао;60;20170131;110000;8.915;8.945;8.865;8.905;109;0
РБК ао;60;20170131;120000;8.9;8.9;8.77;8.9;405;0
РБК ао;60;20170131;130000;8.86;8.9;8.84;8.86;445;0
РБК ао;60;20170131;140000;8.85;8.92;8.85;8.92;327;0
РБК ао;60;20170131;150000;8.89;8.925;8.89;8.925;103;0
РБК ао;60;20170131;160000;8.9;8.92;8.805;8.84;182;0
РБК ао;60;20170131;170000;8.84;8.85;8.84;8.85;292;0
РБК ао;60;20170131;180000;8.84;8.85;8.8;8.84;145;0
РБК ао;60;20170201;100000;8.83;8.83;8.6;8.755;808;0
РБК ао;60;20170201;110000;8.765;8.775;8.7;8.735;209;0
РБК ао;60;20170201;120000;8.74;8.745;8.665;8.72;239;0
РБК ао;60;20170201;130000;8.715;8.82;8.715;8.82;355;0
РБК ао;60;20170201;140000;8.82;8.96;8.8;8.85;319;0
РБК ао;60;20170201;150000;8.84;8.87;8.78;8.78;66;0
РБК ао;60;20170201;160000;8.83;8.86;8.78;8.85;138;0
РБК ао;60;20170201;170000;8.855;8.86;8.78;8.78;145;0
РБК ао;60;20170201;180000;8.8;8.84;8.795;8.81;187;0
РБК ао;60;20170202;100000;8.81;8.875;8.805;8.84;152;0
РБК ао;60;20170202;110000;8.86;8.89;8.84;8.84;95;0
РБК ао;60;20170202;120000;8.85;8.85;8.85;8.85;8;0
РБК ао;60;20170202;130000;8.86;8.88;8.775;8.775;341;0
РБК ао;60;20170202;140000;8.775;8.79;8.605;8.615;1418;0
РБК ао;60;20170202;150000;8.64;8.67;8.22;8.23;4819;0
РБК ао;60;20170202;160000;8.225;8.425;8.22;8.42;1353;0
РБК ао;60;20170202;170000;8.42;8.525;8.4;8.46;3326;0
РБК ао;60;20170202;180000;8.49;8.495;8.35;8.395;1117;0
РБК ао;60;20170203;100000;8.41;8.41;8.275;8.3;679;0
