<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РГС СК ао;60;20170124;100000;0.417;0.419;0.416;0.419;345;0
РГС СК ао;60;20170124;110000;0.418;0.421;0.418;0.419;694;0
РГС СК ао;60;20170124;120000;0.418;0.419;0.418;0.418;3579;0
РГС СК ао;60;20170124;130000;0.418;0.419;0.418;0.418;154;0
РГС СК ао;60;20170124;140000;0.419;0.419;0.418;0.418;138;0
РГС СК ао;60;20170124;150000;0.418;0.418;0.417;0.418;142;0
РГС СК ао;60;20170124;170000;0.417;0.417;0.417;0.417;386;0
РГС СК ао;60;20170124;180000;0.417;0.417;0.417;0.417;1;0
РГС СК ао;60;20170125;100000;0.417;0.417;0.416;0.416;815;0
РГС СК ао;60;20170125;120000;0.416;0.417;0.416;0.417;2967;0
РГС СК ао;60;20170125;140000;0.416;0.416;0.416;0.416;10;0
РГС СК ао;60;20170125;150000;0.417;0.417;0.417;0.417;45;0
РГС СК ао;60;20170125;170000;0.416;0.417;0.416;0.417;26;0
РГС СК ао;60;20170125;180000;0.416;0.416;0.416;0.416;85;0
РГС СК ао;60;20170126;100000;0.422;0.422;0.413;0.417;719;0
РГС СК ао;60;20170126;110000;0.416;0.417;0.416;0.417;76;0
РГС СК ао;60;20170126;120000;0.418;0.419;0.416;0.416;1922;0
РГС СК ао;60;20170126;140000;0.417;0.417;0.417;0.417;10;0
РГС СК ао;60;20170126;150000;0.416;0.418;0.416;0.418;5;0
РГС СК ао;60;20170126;160000;0.418;0.42;0.418;0.419;183;0
РГС СК ао;60;20170126;170000;0.417;0.417;0.416;0.416;10;0
РГС СК ао;60;20170126;180000;0.419;0.419;0.419;0.419;1;0
РГС СК ао;60;20170127;100000;0.42;0.42;0.414;0.418;141;0
РГС СК ао;60;20170127;110000;0.418;0.418;0.418;0.418;1;0
РГС СК ао;60;20170127;120000;0.418;0.418;0.417;0.418;2045;0
РГС СК ао;60;20170127;160000;0.419;0.419;0.419;0.419;1;0
РГС СК ао;60;20170127;170000;0.417;0.419;0.416;0.419;3965;0
РГС СК ао;60;20170127;180000;0.417;0.417;0.416;0.417;7521;0
РГС СК ао;60;20170130;100000;0.417;0.419;0.416;0.417;43;0
РГС СК ао;60;20170130;110000;0.418;0.419;0.418;0.419;10;0
РГС СК ао;60;20170130;120000;0.419;0.419;0.419;0.419;1457;0
РГС СК ао;60;20170130;130000;0.417;0.418;0.417;0.418;19;0
РГС СК ао;60;20170130;160000;0.417;0.418;0.416;0.418;5606;0
РГС СК ао;60;20170130;170000;0.418;0.418;0.415;0.415;126;0
РГС СК ао;60;20170130;180000;0.417;0.42;0.415;0.42;120;0
РГС СК ао;60;20170131;100000;0.415;0.416;0.415;0.415;811;0
РГС СК ао;60;20170131;110000;0.415;0.415;0.414;0.414;228;0
РГС СК ао;60;20170131;120000;0.414;0.414;0.414;0.414;5;0
РГС СК ао;60;20170131;140000;0.414;0.414;0.414;0.414;2;0
РГС СК ао;60;20170131;150000;0.415;0.417;0.415;0.417;2345;0
РГС СК ао;60;20170131;170000;0.418;0.418;0.418;0.418;2;0
РГС СК ао;60;20170131;180000;0.417;0.417;0.417;0.417;121;0
РГС СК ао;60;20170201;100000;0.415;0.415;0.414;0.414;167;0
РГС СК ао;60;20170201;110000;0.416;0.417;0.416;0.417;6;0
РГС СК ао;60;20170201;120000;0.417;0.417;0.417;0.417;2565;0
РГС СК ао;60;20170201;130000;0.417;0.417;0.417;0.417;9;0
РГС СК ао;60;20170201;140000;0.417;0.417;0.415;0.415;2;0
РГС СК ао;60;20170201;150000;0.417;0.417;0.415;0.415;325;0
РГС СК ао;60;20170201;160000;0.415;0.415;0.415;0.415;506;0
РГС СК ао;60;20170201;170000;0.414;0.414;0.413;0.414;3401;0
РГС СК ао;60;20170201;180000;0.413;0.413;0.413;0.413;4033;0
РГС СК ао;60;20170202;100000;0.412;0.413;0.412;0.413;252;0
РГС СК ао;60;20170202;120000;0.414;0.414;0.407;0.408;9788;0
РГС СК ао;60;20170202;130000;0.409;0.414;0.409;0.414;381;0
РГС СК ао;60;20170202;140000;0.413;0.413;0.413;0.413;1500;0
РГС СК ао;60;20170202;150000;0.413;0.413;0.413;0.413;2675;0
РГС СК ао;60;20170202;160000;0.413;0.413;0.413;0.413;1500;0
РГС СК ао;60;20170202;170000;0.413;0.413;0.413;0.413;1000;0
РГС СК ао;60;20170202;180000;0.413;0.414;0.413;0.414;2376;0
РГС СК ао;60;20170203;100000;0.413;0.413;0.413;0.413;197;0
РГС СК ао;60;20170203;110000;0.415;0.415;0.415;0.415;120;0
РГС СК ао;60;20170203;120000;0.415;0.415;0.415;0.415;3222;0
РГС СК ао;60;20170203;130000;0.415;0.415;0.415;0.415;7;0
РГС СК ао;60;20170203;140000;0.414;0.415;0.413;0.413;2171;0
РГС СК ао;60;20170203;150000;0.413;0.413;0.413;0.413;4933;0
РГС СК ао;60;20170203;160000;0.413;0.413;0.413;0.413;3517;0
РГС СК ао;60;20170203;170000;0.414;0.414;0.414;0.414;1;0
РГС СК ао;60;20170203;180000;0.414;0.414;0.414;0.414;1;0
РГС СК ао;60;20170206;100000;0.413;0.413;0.413;0.413;11;0
РГС СК ао;60;20170206;110000;0.413;0.413;0.413;0.413;415;0
РГС СК ао;60;20170206;120000;0.413;0.414;0.413;0.414;578;0
РГС СК ао;60;20170206;130000;0.413;0.413;0.413;0.413;1;0
РГС СК ао;60;20170206;150000;0.413;0.413;0.413;0.413;300;0
РГС СК ао;60;20170206;170000;0.413;0.413;0.413;0.413;3558;0
РГС СК ао;60;20170206;180000;0.414;0.414;0.413;0.413;4501;0
РГС СК ао;60;20170207;100000;0.413;0.413;0.413;0.413;40;0
РГС СК ао;60;20170207;110000;0.414;0.414;0.414;0.414;86;0
РГС СК ао;60;20170207;120000;0.413;0.414;0.413;0.414;3198;0
РГС СК ао;60;20170207;130000;0.413;0.413;0.413;0.413;2500;0
РГС СК ао;60;20170207;140000;0.413;0.413;0.413;0.413;3006;0
