<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РН-ЗапСиб;60;20170201;130000;34;34;34;34;1;0
РН-ЗапСиб;60;20170202;130000;31.1;31.1;31.1;31.1;1;0
РН-ЗапСиб;60;20170202;180000;32;32;32;32;68;0
РН-ЗапСиб;60;20170203;140000;32.1;32.1;32.1;32.1;1;0
РН-ЗапСиб;60;20170203;180000;35.9;39.9;35.9;39.9;5;0
РН-ЗапСиб;60;20170206;160000;38.9;38.9;38.9;38.9;1;0
РН-ЗапСиб;60;20170206;180000;40;42;40;42;3;0
РН-ЗапСиб;60;20170207;100000;42;50;42;42.2;161;0
РН-ЗапСиб;60;20170208;120000;40;40;40;40;1;0
РН-ЗапСиб;60;20170213;100000;33.5;33.5;33.5;33.5;10;0
РН-ЗапСиб;60;20170213;130000;38.9;38.9;38.9;38.9;1;0
РН-ЗапСиб;60;20170213;180000;35.3;35.3;34.2;34.4;13;0
РН-ЗапСиб;60;20170214;100000;33.8;33.8;33.8;33.8;13;0
РН-ЗапСиб;60;20170215;130000;33.5;33.5;33.5;33.5;20;0
РН-ЗапСиб;60;20170216;160000;33.5;33.5;32;32;10;0
РН-ЗапСиб;60;20170222;180000;34.3;34.4;34.3;34.4;7;0
РН-ЗапСиб;60;20170227;170000;37;37;37;37;34;0
РН-ЗапСиб;60;20170228;180000;36.8;36.8;36.8;36.8;10;0
РН-ЗапСиб;60;20170303;140000;33;33;33;33;5;0
РН-ЗапСиб;60;20170303;170000;32;32;31;32;133;0
РН-ЗапСиб;60;20170303;180000;36;36;36;36;5;0
РН-ЗапСиб;60;20170307;170000;32.5;32.5;32.5;32.5;4;0
РН-ЗапСиб;60;20170310;140000;31.1;31.1;31.1;31.1;2;0
РН-ЗапСиб;60;20170313;140000;35.9;37;35.5;37;6;0
РН-ЗапСиб;60;20170320;100000;42.9;43.3;42.9;43.3;50;0
РН-ЗапСиб;60;20170322;100000;44.9;44.9;44.9;44.9;36;0
РН-ЗапСиб;60;20170323;120000;38.9;38.9;38.9;38.9;4;0
РН-ЗапСиб;60;20170324;100000;42;42.2;41.3;42.2;47;0
РН-ЗапСиб;60;20170324;160000;37;37;37;37;4;0
РН-ЗапСиб;60;20170327;130000;31;31;31;31;60;0
РН-ЗапСиб;60;20170330;140000;38.4;38.4;38.4;38.4;2;0
РН-ЗапСиб;60;20170403;130000;30;38.9;30;38.9;18;0
