<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РОСИНТЕРао;60;20170124;100000;74.2;76;74.2;76;27;0
РОСИНТЕРао;60;20170124;110000;75.9;79.1;75.9;79;82;0
РОСИНТЕРао;60;20170124;150000;78.4;78.5;74.1;76;43;0
РОСИНТЕРао;60;20170125;160000;76;78.6;76;78.6;7;0
РОСИНТЕРао;60;20170125;170000;76;76;76;76;1;0
РОСИНТЕРао;60;20170126;130000;78.9;78.9;78.9;78.9;1;0
РОСИНТЕРао;60;20170126;140000;79;79;79;79;1;0
РОСИНТЕРао;60;20170126;180000;77.2;77.2;77.2;77.2;1;0
РОСИНТЕРао;60;20170127;110000;76.4;76.4;76.4;76.4;2;0
РОСИНТЕРао;60;20170130;110000;77.9;78;77.9;78;27;0
РОСИНТЕРао;60;20170130;140000;77.8;78;75;75;87;0
РОСИНТЕРао;60;20170131;110000;76.9;78.9;76.9;78.9;7;0
РОСИНТЕРао;60;20170201;100000;73.3;79;70.8;79;79;0
РОСИНТЕРао;60;20170201;120000;75.1;75.1;75.1;75.1;2;0
РОСИНТЕРао;60;20170201;140000;75.1;75.1;71.3;74.9;103;0
РОСИНТЕРао;60;20170201;150000;74.9;74.9;72.9;73;36;0
РОСИНТЕРао;60;20170201;160000;73;73;72.1;72.1;3;0
РОСИНТЕРао;60;20170201;170000;73;73;73;73;17;0
РОСИНТЕРао;60;20170201;180000;72.3;74.3;72.2;74.3;20;0
РОСИНТЕРао;60;20170202;100000;74.6;77.7;73.3;77.7;59;0
РОСИНТЕРао;60;20170202;150000;76.3;76.3;76.3;76.3;2;0
РОСИНТЕРао;60;20170202;160000;76.3;77.3;76.3;77.3;55;0
РОСИНТЕРао;60;20170203;110000;75;75;75;75;3;0
РОСИНТЕРао;60;20170203;140000;78;78.5;78;78.5;14;0
РОСИНТЕРао;60;20170203;180000;75.3;78.5;74.5;78.5;51;0
РОСИНТЕРао;60;20170206;160000;76.1;76.1;75.5;75.5;15;0
РОСИНТЕРао;60;20170207;120000;74.4;74.4;73.3;73.3;20;0
РОСИНТЕРао;60;20170207;140000;73.7;73.7;73.5;73.5;17;0
РОСИНТЕРао;60;20170207;170000;75.2;75.2;75.2;75.2;1;0
РОСИНТЕРао;60;20170208;100000;73.4;73.4;73.4;73.4;5;0
РОСИНТЕРао;60;20170208;110000;75;75;73.4;73.4;65;0
РОСИНТЕРао;60;20170208;130000;74.2;74.8;74.2;74.7;44;0
РОСИНТЕРао;60;20170208;140000;74;74;73.4;73.4;68;0
РОСИНТЕРао;60;20170208;150000;74.2;74.7;74.2;74.7;6;0
РОСИНТЕРао;60;20170208;160000;73.9;74.7;73.4;74.7;20;0
РОСИНТЕРао;60;20170208;170000;74.7;75.1;74.7;75.1;12;0
РОСИНТЕРао;60;20170208;180000;75.1;78.8;75.1;78.8;172;0
РОСИНТЕРао;60;20170209;100000;79.8;79.8;79.7;79.7;27;0
РОСИНТЕРао;60;20170209;110000;79.7;79.7;79.1;79.1;9;0
