<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
РСХБ 08Т1;60;20170124;100000;110.01;111.08;110;111;136;0
РСХБ 08Т1;60;20170124;110000;111.09;111.25;111.09;111.25;228;0
РСХБ 08Т1;60;20170124;120000;111.25;111.25;111.25;111.25;117;0
РСХБ 08Т1;60;20170124;130000;111.2;111.25;111.2;111.25;390;0
РСХБ 08Т1;60;20170124;140000;111.25;111.44;111.11;111.11;1557;0
РСХБ 08Т1;60;20170124;150000;111.39;111.5;111.12;111.49;5620;0
РСХБ 08Т1;60;20170124;160000;111.12;111.12;111.12;111.12;2;0
РСХБ 08Т1;60;20170124;180000;111.15;111.5;111.11;111.16;3661;0
РСХБ 08Т1;60;20170125;100000;111.72;111.75;110.28;111;18;0
РСХБ 08Т1;60;20170125;110000;110.77;111.75;110.77;111.01;992;0
РСХБ 08Т1;60;20170125;120000;111.25;111.25;109.31;110;7557;0
РСХБ 08Т1;60;20170125;130000;110;110.95;110;110.95;1483;0
РСХБ 08Т1;60;20170125;140000;110.96;110.96;110.96;110.96;34;0
РСХБ 08Т1;60;20170125;150000;110.94;110.95;110.94;110.95;11;0
РСХБ 08Т1;60;20170125;160000;110.95;110.95;110.95;110.95;225;0
РСХБ 08Т1;60;20170125;170000;110.87;110.95;110.86;110.95;12;0
РСХБ 08Т1;60;20170125;180000;110.86;110.86;110.05;110.85;53;0
РСХБ 08Т1;60;20170126;100000;110.94;111.4;110.5;110.99;673;0
РСХБ 08Т1;60;20170126;120000;110.94;110.99;110.66;110.98;62;0
РСХБ 08Т1;60;20170126;150000;110.89;111.94;110.87;111.91;1528;0
РСХБ 08Т1;60;20170126;160000;111.8;111.91;111.8;111.91;3;0
РСХБ 08Т1;60;20170126;170000;111.8;111.9;111.8;111.9;2;0
РСХБ 08Т1;60;20170126;180000;111.71;111.89;110.95;111.87;983;0
РСХБ 08Т1;60;20170127;100000;111.99;112;111.8;111.98;11;0
РСХБ 08Т1;60;20170127;110000;111.81;111.95;111.5;111.82;216;0
РСХБ 08Т1;60;20170127;120000;111.51;111.8;111.5;111.55;5;0
РСХБ 08Т1;60;20170127;130000;111.8;111.8;111;111.5;1417;0
РСХБ 08Т1;60;20170127;140000;111.5;111.5;111.5;111.5;34;0
РСХБ 08Т1;60;20170127;160000;111.01;111.15;111;111.15;68;0
