<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>;<OPENINT>
Разгуляй;60;20170124;090000;6;6;6;6;100;0
Разгуляй;60;20170124;100000;6.02;6.07;5.85;5.9;2376;0
Разгуляй;60;20170124;110000;5.92;5.96;5.87;5.87;1285;0
Разгуляй;60;20170124;120000;5.9;5.93;5.88;5.93;654;0
Разгуляй;60;20170124;130000;5.91;5.96;5.91;5.95;717;0
Разгуляй;60;20170124;140000;5.96;5.97;5.91;5.91;603;0
Разгуляй;60;20170124;150000;5.92;5.96;5.88;5.88;1468;0
Разгуляй;60;20170124;160000;5.9;5.97;5.9;5.93;390;0
Разгуляй;60;20170124;170000;5.93;5.94;5.9;5.9;602;0
Разгуляй;60;20170124;180000;5.92;5.92;5.86;5.9;1188;0
Разгуляй;60;20170125;100000;5.91;5.97;5.91;5.97;240;0
Разгуляй;60;20170125;110000;5.95;5.97;5.95;5.96;111;0
Разгуляй;60;20170125;120000;5.96;5.98;5.87;5.87;712;0
Разгуляй;60;20170125;130000;5.92;5.92;5.86;5.91;328;0
Разгуляй;60;20170125;140000;5.88;5.96;5.85;5.85;637;0
Разгуляй;60;20170125;150000;5.86;5.91;5.85;5.85;232;0
Разгуляй;60;20170125;160000;5.85;5.9;5.83;5.87;837;0
Разгуляй;60;20170125;170000;5.88;5.91;5.86;5.88;335;0
Разгуляй;60;20170125;180000;5.87;5.91;5.85;5.91;479;0
Разгуляй;60;20170126;100000;5.93;5.96;5.88;5.93;431;0
Разгуляй;60;20170126;110000;5.95;5.95;5.89;5.9;484;0
Разгуляй;60;20170126;120000;5.89;5.91;5.84;5.85;948;0
Разгуляй;60;20170126;130000;5.84;5.86;5.84;5.86;327;0
Разгуляй;60;20170126;140000;5.84;5.9;5.84;5.88;340;0
Разгуляй;60;20170126;150000;5.88;5.91;5.88;5.91;236;0
Разгуляй;60;20170126;160000;5.9;5.91;5.88;5.88;393;0
Разгуляй;60;20170126;170000;5.89;5.92;5.89;5.91;163;0
Разгуляй;60;20170126;180000;5.91;5.96;5.89;5.91;976;0
Разгуляй;60;20170127;100000;5.94;5.94;5.8;5.85;660;0
Разгуляй;60;20170127;110000;5.85;5.87;5.8;5.83;1126;0
Разгуляй;60;20170127;120000;5.83;5.85;5.81;5.85;129;0
Разгуляй;60;20170127;130000;5.83;5.85;5.8;5.85;230;0
Разгуляй;60;20170127;140000;5.85;5.86;5.83;5.86;57;0
